species,centroid_lon,centroid_lat
Rallina eurizonoides,109.720010985786,27.283147150871
Rallina fasciata,,
Rallus aquaticus,96.6895063042387,38.0526916409747
Zapornia bicolor,97.9474612618769,29.2401186100198
Tetrax tetrax,91.7064992095435,38.7624797658365
Acrocephalus bistrigiceps,112.796047529775,30.2106506331141
Acrocephalus concinens,109.280331710268,29.6475395271511
Acrocephalus dumetorum,89.0612412638023,39.3636588975095
Acrocephalus orientalis,85.9447572596377,40.7887555254391
Acrocephalus tangorum,120.007279583341,38.5927433611734
Iduna caligata,93.0428674688222,37.9805305228454
Aegithalos bonvaloti,95.4040876249329,30.0984353311246
Aegithalos caudatus,99.358292154929,43.6063635988447
Aegithalos concinnus,108.857998071773,37.4238939912452
Aegithalos fuliginosus,104.747564674528,33.742918161213
Leptopoecile elegans,94.640574750026,33.5156560029079
Alaudala cheleensis,93.0366064257266,36.1098689988502
Alaudala heinei,,
Calandrella brachydactyla,97.2004706568679,37.4459716841954
Galerida cristata,93.781865688307,36.4726743395057
Alcippe morrisonia,105.089424246549,29.8151539095426
Artamus fuscus,98.4901426874439,28.7422463651889
Bombycilla japonica,106.499792166522,34.0068903314021
Plectrophenax nivalis,97.8167296952337,43.6338222662519
Coracina javensis,111.449932889651,26.6455215826802
Lalage melaschistos,93.0434326558193,29.8006965500648
Pericrocotus divaricatus,124.619953497361,42.6342828983726
Pericrocotus ethologus,101.077690093491,31.5454786563278
Pericrocotus solaris,117.37528389728,28.2313292118784
Certhia familiaris,88.0157743292953,40.9701428243263
Certhia himalayana,93.0345825388191,35.191414918882
Certhia tianquanensis,,
Cisticola exilis,,
Cisticola juncidis,108.459958400917,24.4002639857161
Prinia atrogularis,98.8543606871293,29.1766095619044
Prinia flaviventris,102.208772753238,30.3926523905698
Prinia inornata,109.447371367369,27.8786659812382
Prinia rufescens,96.9097652132546,28.9039882901938
Prinia superciliaris,101.623157774631,31.591123169462
Dendrocitta formosae,,
Podoces biddulphi,,
Temnurus temnurus,110.358343106803,17.7878288549739
Dicaeum ignipectus,108.263337544317,30.4852773599737
Dicrurus annectens,109.023256309757,22.967289178171
Dicrurus hottentottus,102.107304191545,35.1291819333781
Dicrurus remifer,,
Elachura formosa,106.648928160389,28.7420152596875
Emberiza buchanani,,
Emberiza chrysophrys,,
Emberiza citrinella,95.6243360420301,43.3593599512445
Emberiza elegans,115.45838051481,37.2074748282482
Emberiza godlewskii,99.7985749976619,34.2033549422612
Emberiza leucocephalos,,
Emberiza melanocephala,87.6986131507783,40.3048864729128
Emberiza rustica,110.086369821349,31.753421020585
Emberiza siemsseni,109.569345518807,31.189348178011
Emberiza sulphurata,119.046073744627,28.5485705352273
Emberiza yessoensis,120.688913113298,36.7870991015576
Lonchura striata,106.411737089355,26.9908421329877
Psarisomus dalhousiae,108.782270335874,23.8334065276383
Acanthis flammea,86.5807966956308,40.7282787191326
Bucanetes mongolicus,95.3846302246352,38.9822432071572
Carduelis caniceps,88.3835993151076,40.5396218293743
Carpodacus roborowskii,88.5581841305189,31.5582032448636
Chloris ambigua,95.5451481361918,31.4236657858828
Fringilla coelebs,101.417512069318,38.1374674959712
Loxia curvirostra,93.1552010078826,36.3394724882796
Mycerobas affinis,96.6598062357499,32.0260126285616
Pyrrhula nipalensis,100.715776288554,29.3799831014187
Pyrrhula pyrrhula,102.019543105289,42.5081347473633
Rhodospiza obsoleta,90.7122221105902,39.3304521464076
Cecropis striolata,105.224693902605,24.6190239753568
Delichon dasypus,104.099640438847,33.2418956859783
Hirundo smithii,,
Ptyonoprogne rupestris,,
Lanius borealis,101.421962155504,37.8116332431497
Lanius collurioides,105.68494527166,25.1300996051982
Lanius isabellinus,95.3015702925478,41.0554577097911
Lanius schach,113.151633391339,26.0254304502214
Lanius sphenocercus,112.928881034762,24.229229165747
Lanius tephronotus,94.321784368713,35.0438056875098
Cutia nipalensis,,
Garrulax canorus,103.508690146223,37.0386635419122
Garrulax maesi,104.296285427378,24.5982032845435
Garrulax monileger,102.80480854789,29.376440389482
Heterophasia desgodinsi,97.9571583596853,29.4925501507148
Ianthocincla lunulata,104.696991039151,33.6104548389267
Pterorhinus berthemyi,,
Pterorhinus lanceolatus,103.706928587162,30.8506372475172
Pterorhinus pectoralis,,
Pterorhinus sannio,108.020864091773,29.5574950766969
Helopsaltes certhiola,96.0325273766957,35.6801724804942
Helopsaltes ochotensis,117.973352930441,31.497476573835
Helopsaltes pleskei,116.234691877332,26.6629167495884
Helopsaltes pryeri,115.707928146737,27.6052429949483
Locustella davidi,110.994155736811,36.8566735445956
Locustella mandelli,108.091619855477,28.3166262861054
Hypothymis azurea,109.132582024981,25.1477789413389
Anthus godlewskii,94.3693968510723,36.5832290176491
Anthus gustavi,123.469870990261,41.6826198388699
Anthus richardi,,
Anthus roseatus,100.61455651776,32.9390507489254
Anthus trivialis,121.469264939024,31.2045240127431
Motacilla citreola,104.27120336406,35.2306562638727
Calliope obscura,102.683386430459,31.9021742440669
Copsychus saularis,103.160657880221,25.5841272184024
Cyornis glaucicomans,108.185692790533,29.1123796518729
Cyornis hainanus,106.61063938387,24.5523227762617
Cyornis poliogenys,91.8659774985578,30.1121524046297
Cyornis rubeculoides,98.8191872801987,30.1687691126507
Enicurus maculatus,101.826483977569,29.2684200209982
Enicurus schistaceus,108.904482794319,28.3091737487902
Erithacus rubecula,91.6049670462552,40.1714781759893
Eumyias thalassinus,101.704914661404,30.0147260809935
Ficedula albicilla,,
Ficedula elisae,112.437152687571,31.3596991853872
