species,province,longitude,latitude,grid_id,pub_year,dist_to_grid
Hydroprogne caspia,Yunnan,102.64,25,243,2005,0.18425508039817
Larus ichthyaetus,Anhui,117.02,30.85,1054,2025,0.18830753897065
Larus ichthyaetus,Liaoning,121.67,39.11,2640,2014,0.572901426631284
Larus relictus,Ningxia,106.77,37.72,2091,2019,0.114377002352514
Larus argentatus,Tibet,91.11,29.68,859,2025,0.251623145380098
Larus canus,Tibet,91.16,29.9,859,2025,0.253270627817689
Larus crassirostris,Hainan,109.69,19.91,13,2006,0.322528302682541
Larus fuscus,Hubei,114.12,30.33,902,2022,0.224305236260571
Larus fuscus,Inner Mongolia,100.69,42.42,2929,2023,0.0166796000095749
Larus fuscus,Tibet,91.08,29.92,931,2018,0.329442244621288
Larus glaucescens,Inner Mongolia,112.69,40.55,2628,2018,0.1140274027044
Larus glaucescens,Shanghai,121.49,31.24,1210,2018,0.100211036285897
Larus hyperboreus,Gansu,103.88,36.08,1865,2025,0.216902643616019
Larus hyperboreus,Shanxi,111.5,37.8,2175,2020,0.176570338601013
Larus hyperboreus,Tibet,91.84,30.03,932,2015,0.212925883169038
Onychoprion aleuticus,Fujian,117.67,23.78,233,2009,0.194323645349158
Onychoprion aleuticus,Jiangsu,120.85,31.82,1285,2025,0.272882969527874
Onychoprion aleuticus,Shandong,120.81,36.2,2040,2019,0.459942558636996
Onychoprion aleuticus,Zhejiang,120.7,27.14,639,2021,0.658131698039894
Onychoprion anaethetus,Guangxi,109.2,20.92,21,2013,0.52809861553903
Onychoprion anaethetus,Jiangsu,120.82,31.87,1285,2025,0.263730052563375
Onychoprion anaethetus,Shandong,120.68,36.01,2040,2019,0.411173269248187
Onychoprion anaethetus,Yunnan,103.16,23.35,92,2024,0.11428970650166
Onychoprion fuscatus,Yunnan,102,23.6,124,2023,0.174891320214459
Rissa tridactyla,Anhui,117.09,30.75,1054,2025,0.120084816660559
Rissa tridactyla,Gansu,103.79,29.49,740,2008,0.217467426472532
Rissa tridactyla,Guizhou,107.9,27.94,505,2024,0.202601011506591
Rissa tridactyla,Hunan,113.01,28.22,567,2022,0.283696013769358
Rissa tridactyla,Jilin,125.35,43.81,3295,2023,0.183369978119409
Rissa tridactyla,Qinghai,101.78,36.6,1934,2019,0.230586680528562
Rissa tridactyla,Yunnan,102.65,24.97,243,2009,0.213218661077899
Thalasseus bengalensis,Guangxi,108.52,21.59,31,2021,0.383783894770023
Thalasseus bengalensis,Hebei,119.37,39.55,2562,2018,0.13503745804862
Thalasseus bergii,Shanghai,121.98,31.29,1210,2013,0.443508932021024
Recurvirostra avosetta,Ningxia,106.39,38.38,2244,2011,0.264341966897194
Recurvirostra avosetta,Yunnan,99.64,27.9,489,2010,0.288774822333992
Arenaria interpres,Xinjiang,83.82,42.89,3154,2000,0.229981088798653
Arenaria interpres,Yunnan,103.38,23.42,93,2014,0.172437972024676
Calidris acuminata,Shaanxi,109.39,34.79,1654,2016,0.119315786270347
Calidris acuminata,Xinjiang,84.92,44.48,3355,2010,0.307081923084276
Calidris alba,Yunnan,102.71,24.93,243,2017,0.283240253993106
Calidris alpina,Shaanxi,109.03,32.71,1263,2017,0.244711638132105
Calidris alpina,Tibet,91.16,29.9,859,2019,0.253270627817689
Calidris alpina,Yunnan,102.83,24.82,203,2013,0.227681787632575
Calidris alpina,Chongqing,106.5,29.78,745,2011,0.15704546670598
Calidris bairdii,Zhejiang,120.64,27.54,639,2023,0.317027479928469
Calidris canutus,Jilin,123.91,45.79,3456,2010,0.110365153145619
Calidris falcinellus,Jilin,122.58,45.82,3454,2011,0.0811673179550429
Calidris falcinellus,Shaanxi,109.4,34.8,1654,2021,0.105778153604546
Calidris melanotos,Hainan,110.58,19.9,17,2014,0.11180301222408
Calidris melanotos,Hunan,112.82,28.5,624,2025,0.0914218208750077
Calidris melanotos,Liaoning,121.61,40.86,2877,2019,0.310928198919052
Calidris melanotos,Tianjin,117.68,39.11,2486,2007,0.314142056425333
Calidris melanotos,Yunnan,102.77,24.89,203,2017,0.317638297675471
Calidris melanotos,Zhejiang,121.28,28.15,704,2022,0.327869281542147
Calidris minuta,Hainan,108.7,18.52,4,2024,0.185336888796641
Calidris minuta,Hubei,114.1,30.45,974,2022,0.219199441606203
Calidris minuta,Hunan,112.91,27.77,514,2025,0.311662328808448
Calidris minuta,Jilin,122.57,45.83,3454,2012,0.0681005060229151
Calidris minuta,Liaoning,124.08,39.82,2722,2019,0.0372808384305097
Calidris minuta,Shaanxi,107.51,34.26,1496,2018,0.312110141040093
Calidris minuta,Sichuan,104.55,28.81,608,2021,0.095403633004238
Calidris minuta,Tianjin,117.7,39.11,2486,2007,0.331881870782445
Calidris minuta,Yunnan,102.7,24.93,243,2013,0.276342321317461
Calidris pugnax,Guizhou,106.8,26.54,373,2021,0.212045342994669
Calidris pugnax,Henan,112.17,32.95,1347,2019,0.112412843908738
Calidris pugnax,Liaoning,124.12,39.83,2722,2019,0.0300063450183136
Calidris pugnax,Shaanxi,108.07,34.24,1497,2011,0.300860945980174
Calidris pugnax,Tianjin,117.49,38.46,2341,2007,0.244816340822742
Calidris pygmaea,Shandong,117.87,38.26,2342,2018,0.073530529130686
Calidris subminuta,Jilin,128.24,42.57,3251,2020,0.272002379365303
Calidris subminuta,Xinjiang,84.92,44.48,3355,2010,0.307081923084276
Calidris tenuirostris,Jilin,122.57,45.83,3454,2011,0.0681005060229151
Calidris tenuirostris,Sichuan,104.54,28.81,608,2021,0.0877842261124896
Calidris tenuirostris,Yunnan,102.72,24.77,202,2015,0.214852141834294
Limnodromus scolopaceus,Guangxi,108.83,21.62,32,2021,0.29622950491932
Limnodromus scolopaceus,Heilongjiang,122.05,51.38,3756,2014,0.143837750478279
Limnodromus scolopaceus,Hubei,114.41,30.43,975,2014,0.197088698797025
Limnodromus scolopaceus,Liaoning,123.93,39.82,2722,2019,0.183089077179054
Limnodromus scolopaceus,Shaanxi,110.2,34.95,1655,2019,0.210164918609353
Limnodromus scolopaceus,Sichuan,104.3,30.98,956,2017,0.161186400531438
Limnodromus semipalmatus,Shaanxi,109.42,34.8,1654,2020,0.0982889362279765
Limnodromus semipalmatus,Xinjiang,84.92,44.48,3355,2011,0.307081923084276
Limosa lapponica,Yunnan,102.59,24.65,202,2013,0.072658322561962
