species,bio1_native,bio12_native
Hemixos castanonotus,0.740549299994118,1.01308745654967
Ictinaetus malaiensis,0.657153482695291,164.594788807488
Locustella mandelli,0.558617238045031,30.6277345430185
Machlolophus xanthogenys,0.982953192294065,112.305077561971
Phoenicurus leucocephalus,0.738997479544751,26.7009369444594
Phoenicurus schisticeps,0.927309780455534,27.1324106629977
Phylloscopus affinis,0.679436604200305,10.9928765790505
Phylloscopus ricketti,0.649693172753109,100.793337709813
Pnoepyga immaculata,1.2620853564754,-117.11220676588
Prunella himalayana,0.0445780798158486,33.3267939627973
Prunella strophiata,0.859502782830352,46.6108505748385
Pyrrhula nipalensis,0.667514834009872,-38.3918113405775
Recurvirostra avosetta,0.194836013721858,-1.77051565266805
Rhodospiza obsoleta,1.22516218396584,-4.15871686304735
Spinus spinus,-0.0334280744371762,-6.70686905400487
Ceryle rudis,0.417054866006284,39.3060634149698
Chalcophaps indica,0.500320100629759,38.2762888504366
Ciconia episcopus,0.232999594267749,147.686033985896
Dicaeum cruentatum,-0.0110846729395604,77.4577737722018
Dicaeum minullum,0.065648441240441,6.93572225446155
Fregata ariel,0.160029096669704,129.549551911064
Fringilla montifringilla,1.30611313120516,13.5696406283375
Leptopoecile elegans,0.546939157507254,-14.9843827419436
Limnodromus semipalmatus,1.33401147929813,19.3382856964398
Limosa limosa,0.691927882649571,-6.07970501146343
Motacilla citreola,1.06456965083738,1.67841316000113
Muscicapa dauurica,0.716416952584413,-19.6422494528596
Otus spilocephalus,0.542412259810162,24.8187707212368
Paradoxornis gularis,-0.0280904828588255,-210.596737783168
Phylloscopus tenellipes,0.369339954809418,-70.2319869111977
Pitta nympha,0.450214948794931,-95.6418068822548
Pycnonotus jocosus,0.202382708741778,54.1321925727361
Pyrrhula erythaca,0.315205590207732,-98.3670849933965
Regulus regulus,1.30432058393515,16.143364253612
Spilornis cheela,0.243053672263823,48.3359460646741
Suthora conspicillata,0.329258910889879,87.1701105673637
Timalia pileata,-0.0445799788030605,91.4308189411743
Treron sieboldii,0.847417464989114,-6.00569173196193
Turdus mandarinus,0.623938173480851,-75.151931651369
Accipiter virgatus,0.309635561600729,-3.69712318301731
Calonectris leucomelas,0.0160809210782968,-31.7750895506662
