species,record_count_new_record,first_year,provinces_recorded,new_record_order
Egretta picata,1,2025,Jiangsu,Pelecaniformes
Elachura formosa,2,2019,Hubei | Tibet,Passeriformes
Elanus caeruleus,8,2006,Beijing | Gansu | Henan | Inner Mongolia | Liaoning | Shaanxi | Sichuan | Tianjin,Accipitriformes
Emberiza buchanani,1,2017,Qinghai,Passeriformes
Emberiza chrysophrys,2,2021,Gansu,Passeriformes
Emberiza citrinella,1,2017,Qinghai,Passeriformes
Emberiza elegans,3,2017,Heilongjiang | Qinghai | Tibet,Passeriformes
Emberiza godlewskii,2,2010,Heilongjiang | Hunan,Passeriformes
Emberiza hortulana,1,2023,Inner Mongolia,Passeriformes
Emberiza leucocephalos,1,2013,Anhui,Passeriformes
Emberiza melanocephala,1,2019,Guangxi,Passeriformes
Emberiza pallasi,1,2014,Guizhou,Passeriformes
Emberiza pusilla,1,2014,Tibet,Passeriformes
Emberiza rustica,1,2024,Guizhou,Passeriformes
Emberiza siemsseni,4,2013,Jiangsu | Jiangxi | Ningxia | Qinghai,Passeriformes
Emberiza stewarti,1,2013,Xinjiang,Passeriformes
Emberiza sulphurata,1,2006,Zhejiang,Passeriformes
Emberiza yessoensis,3,2014,Anhui | Hubei | Hunan,Passeriformes
Enicurus leschenaulti,1,2015,Inner Mongolia,Passeriformes
Enicurus maculatus,2,2018,Guizhou | Zhejiang,Passeriformes
Enicurus schistaceus,1,2024,Anhui,Passeriformes
Eremophila alpestris,1,2025,Shandong,Passeriformes
Erithacus rubecula,4,2010,Gansu | Jilin | Ningxia | Xinjiang,Passeriformes
Erpornis zantholeuca,1,2019,Tibet,Passeriformes
Erythrogenys hypoleucos,1,2019,Yunnan,Passeriformes
Eudynamys scolopaceus,4,2016,Liaoning | Qinghai | Shanxi | Tibet,Cuculiformes
Eumyias thalassinus,6,2018,Gansu | Hainan | Inner Mongolia | Jiangsu | Qinghai | Tianjin,Passeriformes
Falco cherrug,1,2018,Yunnan,Falconiformes
Falco severus,1,2014,Tibet,Falconiformes
Ficedula albicilla,1,2017,Tibet,Passeriformes
Ficedula elisae,3,2012,Hunan | Jiangxi | Shanghai,Passeriformes
Ficedula erithacus,2,2016,Guizhou | Hebei,Passeriformes
Ficedula hyperythra,3,2007,Chongqing | Hunan | Shaanxi,Passeriformes
Ficedula hypoleuca,1,2008,Xinjiang,Passeriformes
Ficedula mugimaki,1,2019,Guizhou,Passeriformes
Ficedula narcissina,3,2011,Anhui | Jiangxi | Liaoning,Passeriformes
Ficedula owstoni,1,2024,Jiangsu,Passeriformes
Ficedula parva,4,2008,Hebei | Hong Kong | Hunan | Shanghai,Passeriformes
Ficedula ruficauda,1,2017,Sichuan,Passeriformes
Ficedula strophiata,1,2017,Beijing,Passeriformes
Ficedula superciliaris,1,2020,Hubei,Passeriformes
Ficedula tricolor,3,2009,Hunan | Inner Mongolia | Qinghai,Passeriformes
Fregata andrewsi,2,2006,Fujian | Liaoning,Suliformes
Fregata ariel,4,2011,Beijing | Jiangxi | Liaoning | Shaanxi,Suliformes
Fringilla coelebs,6,2017,Gansu | Hubei | Hunan | Jiangsu | Qinghai | Yunnan,Passeriformes
Fringilla montifringilla,1,2011,Ningxia,Passeriformes
Galerida cristata,1,2010,Heilongjiang,Passeriformes
Gallicrex cinerea,1,2020,Gansu,Gruiformes
Garrulax canorus,1,2003,Liaoning,Passeriformes
Garrulax maesi,1,2008,Guangdong,Passeriformes
Garrulax monileger,3,2009,Hubei | Jiangsu | Shaanxi,Passeriformes
Gavia adamsii,3,2006,Jiangsu | Jilin | Sichuan,Gaviiformes
Gavia arctica,3,2018,Liaoning | Shaanxi | Yunnan,Gaviiformes
Gavia pacifica,1,2025,Zhejiang,Gaviiformes
Gavia stellata,2,2021,Anhui | Xinjiang,Gaviiformes
Gelochelidon nilotica,2,2020,Hubei | Hunan,Charadriiformes
Geokichla citrina,2,2009,Chongqing | Jiangxi,Passeriformes
Geokichla wardii,1,2024,Tibet,NA
Geopelia striata,1,2021,Yunnan,Columbiformes
Glareola lactea,2,2019,Guangxi | Hainan,Charadriiformes
Glaucidium cuculoides,1,2008,Beijing,Strigiformes
Gorsachius goisagi,1,2025,Hainan,Pelecaniformes
Gorsachius melanolophus,2,2019,Jiangsu | Shandong,Pelecaniformes
Gracupica nigricollis,4,2006,Anhui | Chongqing | Hainan | Shandong,Passeriformes
Grandala coelicolor,1,2009,Chongqing,Passeriformes
Grus canadensis,4,2011,Anhui | Jilin | Liaoning | Yunnan,NA
Grus japonensis,2,2024,Fujian | Sichuan,Gruiformes
Grus monacha,1,2021,Ningxia,Gruiformes
Grus nigricollis,1,2023,Inner Mongolia,Gruiformes
Grus vipio,3,2019,Gansu | Shanxi | Sichuan,NA
Grus virgo,3,2002,Anhui | Beijing | Tianjin,Gruiformes
Gygis alba,1,2006,Fujian,Charadriiformes
Gypaetus barbatus,2,2010,Chongqing | Shaanxi,Accipitriformes
Gyps himalayensis,2,2003,Guangxi | Liaoning,Accipitriformes
Gyps tenuirostris,1,2021,Yunnan,Accipitriformes
