new_record_species,new_record_order,record_count_new_record,first_year,provinces_recorded,matched_species,match_status,match_type,taxonomy_source,review_flag,avibase_ioc_review,birdlife_review,candidate_species,note,model_ready
Circus aeruginosus,Accipitriformes,2,2025,Gansu | Ningxia,Circus aeruginosus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Circus macrourus,Accipitriformes,1,2023,Zhejiang,Circus macrourus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Circus spilonotus,Accipitriformes,1,2015,Xinjiang,Circus spilonotus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cisticola exilis,Passeriformes,1,2007,Hainan,Cisticola exilis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cisticola juncidis,Passeriformes,1,2006,Liaoning,Cisticola juncidis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Clamator coromandus,Cuculiformes,3,2003,Beijing | Heilongjiang | Liaoning,Clamator coromandus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Clamator jacobinus,Cuculiformes,1,2021,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Clamator coromandus,same genus Clamator coromandus,FALSE
Clanga clanga,Accipitriformes,1,2023,Gansu,Clanga clanga,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Clangula hyemalis,Anseriformes,7,2008,Gansu | Hubei | Jiangsu | Jiangxi | Ningxia | Shandong | Yunnan,Clangula hyemalis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Columba oenas,Columbiformes,2,2017,Gansu | Inner Mongolia,Columba oenas,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Copsychus saularis,Passeriformes,1,2006,Guangxi,Copsychus saularis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Coracias garrulus,Coraciiformes,1,2022,Qinghai,Coracias garrulus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Coracina macei,Passeriformes,1,2017,Zhejiang,Coracina macei,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Coturnicops exquisitus,Gruiformes,1,2004,Yunnan,Coturnicops exquisitus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Crex crex,Gruiformes,1,2012,Yunnan,Crex crex,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Crossoptilon mantchuricum,Galliformes,1,2024,Henan,Crossoptilon mantchuricum,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Curruca communis,Passeriformes,1,2025,Tibet,Curruca communis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Curruca crassirostris,Passeriformes,1,2016,Tibet,Larus crassirostris,matched,auto_epithet_unique,Auto candidate; cross-check with Avibase/IOC + BirdLife recommended,auto_medium_confidence,candidate,candidate,,NA,TRUE
Curruca curruca,Passeriformes,2,2022,Guizhou | Hainan,Curruca curruca,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cutia nipalensis,Passeriformes,1,2001,Hubei,Cutia nipalensis,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cyanistes cyanus,Passeriformes,1,2023,Jilin,Cyanistes cyanus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cyanoderma pyrrhops,Passeriformes,1,2010,Tibet,Cyanoderma pyrrhops,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cyanoderma rufifrons,NA,1,2006,Guangxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Cyanoderma pyrrhops,same genus Cyanoderma pyrrhops,FALSE
Cygnus columbianus,Anseriformes,1,2011,Yunnan,Cygnus columbianus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cygnus cygnus,Anseriformes,1,2017,Guangxi,Cygnus cygnus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cygnus olor,Anseriformes,3,2010,Jilin | Shaanxi,Cygnus olor,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cyornis glaucicomans,Passeriformes,3,2020,Henan | Jiangsu | Shanxi,Cyornis glaucicomans,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cyornis hainanus,Passeriformes,1,2023,Sichuan,Cyornis hainanus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Cyornis poliogenys,Passeriformes,1,2014,Guangxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Cyornis hainanus | Cyornis glaucicomans | Cyornis rubeculoides,same genus Cyornis hainanus | Cyornis glaucicomans | Cyornis rubeculoides,FALSE
Cyornis rubeculoides,Passeriformes,1,2010,Hunan,Cyornis rubeculoides,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Delichon dasypus,Passeriformes,1,2018,Henan,Delichon dasypus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Dendrocitta formosae,Passeriformes,1,2018,Shanghai,Dendrocitta formosae,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Dendrocopos hyperythrus,Piciformes,1,2015,Qinghai,Dendrocopos hyperythrus,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Dendrocygna javanica,Anseriformes,1,2021,Guizhou,Dendrocygna javanica,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
Dicaeum cruentatum,Passeriformes,1,2011,Jiangxi,Dicaeum cruentatum,matched,direct_exact,Direct match in SHP,not_required,not_required,not_required,,NA,TRUE
