species,match_status,n_raw,n_clean,n_cell_unique,model_status,skip_reason,cv_strategy,maxent_engine
Glareola lactea,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Glaucidium cuculoides,matched,1460,871,871,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Gorsachius goisagi,matched,16,10,10,modeled,NA,random_repeated,maxnet::maxnet
Gorsachius melanolophus,matched,137,78,78,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Gracupica nigricollis,matched,4729,2241,2241,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Grandala coelicolor,matched,112,68,68,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Grus canadensis,matched,11,7,7,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Grus japonensis,matched,241,148,148,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Grus monacha,matched,455,237,237,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Grus nigricollis,matched,441,364,364,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Grus vipio,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Grus virgo,matched,281,234,234,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Gygis alba,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Gypaetus barbatus,matched,636,511,511,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Gyps himalayensis,matched,1177,889,889,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Gyps tenuirostris,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Halcyon coromanda,matched,5,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Halcyon pileata,matched,739,552,552,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Halcyon smyrnensis,matched,2520,1294,1294,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Haliaeetus leucoryphus,matched,72,57,57,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Haliaeetus pelagicus,matched,25,12,12,modeled,NA,random_repeated,maxnet::maxnet
Haliastur indus,matched,26,15,15,modeled,NA,random_repeated,maxnet::maxnet
Harpactes wardi,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Helopsaltes certhiola,matched,363,227,227,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Helopsaltes ochotensis,matched,12,10,10,modeled,NA,random_repeated,maxnet::maxnet
Helopsaltes pleskei,matched,4,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Helopsaltes pryeri,matched,106,68,68,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Hemiprocne coronata,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Hemitesia pallidipes,matched,84,36,36,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Hemixos castanonotus,matched,3881,2218,2218,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Heterophasia desgodinsi,matched,565,317,317,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Heteroxenicus stellatus,matched,23,16,16,modeled,NA,random_repeated,maxnet::maxnet
Hieraaetus pennatus,matched,590,414,414,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Hierococcyx nisicolor,matched,108,89,89,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Hirundapus caudacutus,matched,427,273,273,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Hirundo rustica,matched,15134,7935,7935,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Hirundo smithii,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Histrionicus histrionicus,matched,17,12,12,modeled,NA,random_repeated,maxnet::maxnet
Hydrocoloeus minutus,matched,34,29,29,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Hydrophasianus chirurgus,matched,1127,677,677,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Hydroprogne caspia,matched,668,408,408,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Hypothymis azurea,matched,449,245,245,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Hypsipetes leucocephalus,matched,4408,2378,2378,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ianthocincla lunulata,matched,102,73,73,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ibidorhyncha struthersii,matched,313,222,222,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ictinaetus malaiensis,matched,1265,882,882,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Iduna caligata,matched,123,93,93,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Indicator xanthonotus,matched,65,33,33,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ixobrychus cinnamomeus,matched,665,475,475,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ixobrychus eurhythmus,matched,228,175,175,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ixobrychus minutus,matched,148,115,115,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ixos mcclellandii,matched,3736,2200,2200,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ketupa flavipes,matched,104,59,59,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Lalage melaschistos,matched,1393,876,876,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Lanius borealis,matched,138,109,109,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Lanius collurioides,matched,60,48,48,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Lanius isabellinus,matched,419,362,362,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Lanius schach,matched,14971,7073,7073,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Lanius sphenocercus,matched,1491,957,957,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Lanius tephronotus,matched,1246,864,864,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Larus argentatus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Larus brunnicephalus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Larus cachinnans,matched,283,207,207,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Larus canus,matched,549,361,361,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Larus crassirostris,matched,1018,589,589,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Larus fuscus,matched,263,199,199,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Larus genei,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Larus glaucescens,matched,7,7,7,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Larus hyperboreus,matched,44,28,28,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Larus ichthyaetus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Larus relictus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Larvivora akahige,matched,92,46,46,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Larvivora brunnea,matched,76,56,56,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Larvivora cyane,matched,458,265,265,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Leptopoecile elegans,matched,161,112,112,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Leptoptilos javanicus,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Leucogeranus leucogeranus,matched,584,276,276,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Limnodromus scolopaceus,matched,75,46,46,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Limnodromus semipalmatus,matched,341,224,224,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Limosa lapponica,matched,464,284,284,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Limosa limosa,matched,1323,794,794,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Linaria cannabina,matched,286,202,202,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Locustella davidi,matched,183,130,130,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Locustella mandelli,matched,146,110,110,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Lonchura striata,matched,4598,2715,2715,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Lophophanes dichrous,matched,403,267,267,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Lophotriorchis kienerii,matched,10,6,6,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Lophura leucomelanos,matched,44,26,26,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Lophura nycthemera,matched,873,508,508,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Loxia curvirostra,matched,512,335,335,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Machlolophus xanthogenys,matched,11,6,6,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Macropygia unchall,matched,136,92,92,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Mareca americana,matched,80,31,31,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Mareca falcata,matched,3018,1548,1548,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Megaceryle lugubris,matched,1890,1152,1152,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Melanitta fusca,matched,6,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Melanitta stejnegeri,matched,127,73,73,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Melanochlora sultanea,matched,193,83,83,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Mergus serrator,matched,456,244,244,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Merops philippinus,matched,247,137,137,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Mixornis gularis,matched,129,48,48,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Monticola gularis,matched,293,176,176,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Monticola rufiventris,matched,639,390,390,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Monticola solitarius,matched,1118,824,824,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Motacilla citreola,matched,1506,1108,1108,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Moupinia poecilotis,matched,20,16,16,modeled,NA,random_repeated,maxnet::maxnet
Muscicapa dauurica,matched,2826,1574,1574,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Muscicapa ferruginea,matched,245,163,163,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Muscicapa muttui,matched,291,185,185,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Mycerobas affinis,matched,111,84,84,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Mycerobas carnipes,matched,393,269,269,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Mycteria leucocephala,matched,8,5,5,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Myiomela leucura,matched,320,172,172,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Myophonus caeruleus,matched,2932,1739,1739,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Napothera malacoptila,matched,28,10,10,modeled,NA,random_repeated,maxnet::maxnet
Neophron percnopterus,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Netta rufina,matched,1321,826,826,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Niltava davidi,matched,285,148,148,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Niltava grandis,matched,83,42,42,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Niltava macgrigoriae,matched,268,126,126,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Niltava sundara,matched,165,104,104,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ninox japonica,matched,255,144,144,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Nipponia nippon,matched,314,155,155,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Nisaetus nipalensis,matched,345,245,245,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Numenius madagascariensis,matched,496,299,299,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Numenius minutus,matched,199,146,146,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Numenius phaeopus,matched,891,508,508,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Nycticorax nycticorax,matched,10646,4730,4730,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Oceanites oceanicus,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Oenanthe deserti,matched,470,419,419,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Oenanthe oenanthe,matched,544,423,423,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Onychoprion aleuticus,matched,16,16,16,modeled,NA,random_repeated,maxnet::maxnet
Onychoprion anaethetus,matched,68,58,58,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Onychoprion fuscatus,matched,12,10,10,modeled,NA,random_repeated,maxnet::maxnet
Oriolus oriolus,matched,125,81,81,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Oroanassa magnifica,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Otocichla mupinensis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Otus lettia,matched,669,443,443,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Otus semitorques,matched,88,57,57,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
