species,scenario,gcm,total_area_km2,delta_area_km2
Myophonus caeruleus,current,ensemble_mean,2626617.369468324,0
Aethopyga christinae,current,ensemble_mean,1725541.0293122488,0
Muscicapa dauurica,current,ensemble_mean,3070655.3688601344,0
Streptopelia decaocto,current,ensemble_mean,4428069.912866367,0
Dendrocitta formosae,current,ensemble_mean,2058336.2122847438,0
Pycnonotus aurigaster,current,ensemble_mean,748991.0148751282,0
Picumnus innominatus,current,ensemble_mean,2115378.978729165,0
Ficedula albicilla,current,ensemble_mean,2545570.4489091076,0
Recurvirostra avosetta,current,ensemble_mean,5101734.037003435,0
Aythya fuligula,current,ensemble_mean,3253644.215169846,0
Halcyon smyrnensis,current,ensemble_mean,1530972.2919792044,0
Vanellus vanellus,current,ensemble_mean,4377147.837922719,0
Acrocephalus orientalis,current,ensemble_mean,4554956.767666699,0
Emberiza rustica,current,ensemble_mean,2841603.5766669633,0
Parus monticolus,current,ensemble_mean,2479020.507332614,0
Aix galericulata,current,ensemble_mean,3312111.5887789074,0
Dicrurus hottentottus,current,ensemble_mean,2846274.2475825264,0
Aythya nyroca,current,ensemble_mean,4139580.9391561416,0
Pericrocotus solaris,current,ensemble_mean,1754298.4884085942,0
Anthus richardi,current,ensemble_mean,2366300.6724674255,0
Enicurus leschenaulti,current,ensemble_mean,2284570.9955927995,0
Spinus spinus,current,ensemble_mean,4306021.774137741,0
Emberiza chrysophrys,current,ensemble_mean,2830511.548056035,0
Pericrocotus cantonensis,current,ensemble_mean,1811720.6627180323,0
Anser fabalis,current,ensemble_mean,2297802.9043438677,0
Cisticola juncidis,current,ensemble_mean,2517721.348603773,0
Psilopogon virens,current,ensemble_mean,2088195.0599529347,0
Megaceryle lugubris,current,ensemble_mean,4250563.89564512,0
Anser anser,current,ensemble_mean,7156711.362350824,0
Phoenicurus leucocephalus,current,ensemble_mean,2304608.1527984436,0
Pernis ptilorhynchus,current,ensemble_mean,2797105.8968788185,0
Circus spilonotus,current,ensemble_mean,2431194.8351126625,0
Charadrius placidus,current,ensemble_mean,3324086.837982601,0
Emberiza pallasi,current,ensemble_mean,4576641.070516667,0
Accipiter virgatus,current,ensemble_mean,2306011.864008288,0
Cygnus columbianus,current,ensemble_mean,3275608.258620648,0
Spilornis cheela,current,ensemble_mean,1644731.9763077737,0
Accipiter soloensis,current,ensemble_mean,3092963.831233578,0
Alauda gulgula,current,ensemble_mean,6218588.042866702,0
Tringa stagnatilis,current,ensemble_mean,2825972.2808536636,0
Ciconia nigra,current,ensemble_mean,8278852.448068798,0
Motacilla citreola,current,ensemble_mean,4180150.303876912,0
Lanius sphenocercus,current,ensemble_mean,5576562.02535341,0
Glaucidium cuculoides,current,ensemble_mean,2834298.0567692933,0
Acrocephalus bistrigiceps,current,ensemble_mean,2425664.175317491,0
Staphida torqueola,current,ensemble_mean,1940794.5825544768,0
Ciconia boyciana,current,ensemble_mean,1591501.440604959,0
Remiz consobrinus,current,ensemble_mean,1836853.75589438,0
Turdus cardis,current,ensemble_mean,2147151.064710915,0
Lalage melaschistos,current,ensemble_mean,2756257.938815632,0
Regulus regulus,current,ensemble_mean,4909706.6394198565,0
Calidris alpina,current,ensemble_mean,1876237.946636081,0
Turdus ruficollis,current,ensemble_mean,5868949.770613481,0
Delichon dasypus,current,ensemble_mean,3545919.460116755,0
Limosa limosa,current,ensemble_mean,3568196.9481599107,0
Netta rufina,current,ensemble_mean,3605119.9110175464,0
Ictinaetus malaiensis,current,ensemble_mean,1713102.4641231669,0
Butastur indicus,current,ensemble_mean,2486920.378381045,0
Lanius tephronotus,current,ensemble_mean,2004858.4287706837,0
Riparia riparia,current,ensemble_mean,2648922.4173395047,0
Ardea purpurea,current,ensemble_mean,2962386.694393053,0
Gyps himalayensis,current,ensemble_mean,2733198.8663113024,0
Phoenicurus frontalis,current,ensemble_mean,2262950.3197448235,0
Phylloscopus claudiae,current,ensemble_mean,3906328.566880588,0
Phoenicurus ochruros,current,ensemble_mean,2763892.109470464,0
Sturnus vulgaris,current,ensemble_mean,4380254.097202519,0
Eumyias thalassinus,current,ensemble_mean,1915656.5761805833,0
Anser albifrons,current,ensemble_mean,3669167.420769647,0
Hydrophasianus chirurgus,current,ensemble_mean,1138388.0104769869,0
Phylloscopus coronatus,current,ensemble_mean,3210364.205098388,0
Monticola solitarius,current,ensemble_mean,3587362.897156604,0
Pterorhinus pectoralis,current,ensemble_mean,1831437.4245815203,0
Aegithalos caudatus,current,ensemble_mean,3008066.423497943,0
Centropus bengalensis,current,ensemble_mean,2176524.523037946,0
Chlidonias leucopterus,current,ensemble_mean,5277165.593844059,0
Dicaeum ignipectus,current,ensemble_mean,1811454.4216193103,0
Accipiter gularis,current,ensemble_mean,2817265.790375667,0
Cygnus cygnus,current,ensemble_mean,2377134.242303181,0
Zosterops erythropleurus,current,ensemble_mean,4014517.8790727328,0
Curruca crassirostris,current,ensemble_mean,1702889.458113339,0
Larus crassirostris,current,ensemble_mean,1306291.2018308716,0
Passer domesticus,current,ensemble_mean,3084624.753397006,0
Anthus roseatus,current,ensemble_mean,6223394.2630648995,0
Emberiza godlewskii,current,ensemble_mean,4156640.705542899,0
Enicurus schistaceus,current,ensemble_mean,1599264.974693732,0
Podiceps nigricollis,current,ensemble_mean,1193987.5964507607,0
Saxicola ferreus,current,ensemble_mean,2307081.8199489517,0
Pericrocotus ethologus,current,ensemble_mean,1767928.032339414,0
Turdus rubrocanus,current,ensemble_mean,1889796.3321412015,0
Sitta villosa,current,ensemble_mean,4494675.594583219,0
Cacomantis merulinus,current,ensemble_mean,807418.3625538886,0
Ficedula mugimaki,current,ensemble_mean,2724803.3376299636,0
Yuhina nigrimenta,current,ensemble_mean,1413900.041548435,0
Calidris subminuta,current,ensemble_mean,2812378.250658572,0
Gelochelidon nilotica,current,ensemble_mean,1127094.9805763233,0
Anser indicus,current,ensemble_mean,4285900.860814102,0
Numenius phaeopus,current,ensemble_mean,2935176.6204396733,0
Paradoxornis heudei,current,ensemble_mean,1254558.0820546648,0
Eremophila alpestris,current,ensemble_mean,3040494.227095692,0
Lophura nycthemera,current,ensemble_mean,1397560.9724799637,0
Phylloscopus humei,current,ensemble_mean,1394131.5521103432,0
Sibirionetta formosa,current,ensemble_mean,2580526.5743908803,0
Athene noctua,current,ensemble_mean,5803466.100913731,0
Bombycilla japonica,current,ensemble_mean,5268198.635825368,0
Erpornis zantholeuca,current,ensemble_mean,822965.6581327769,0
Parayuhina diademata,current,ensemble_mean,972272.2938754692,0
Aethopyga gouldiae,current,ensemble_mean,2351496.65116277,0
Phylloscopus castaniceps,current,ensemble_mean,2999751.0412280704,0
Prunella strophiata,current,ensemble_mean,1252754.5617639539,0
Galerida cristata,current,ensemble_mean,3979075.587568838,0
Acridotheres tristis,current,ensemble_mean,1392416.4697166502,0
Halcyon pileata,current,ensemble_mean,2991847.2014603172,0
Dendrocopos hyperythrus,current,ensemble_mean,4348475.268985074,0
Phylloscopus tenellipes,current,ensemble_mean,2040155.8594901906,0
Platalea minor,current,ensemble_mean,904041.152173583,0
Charadrius mongolus,current,ensemble_mean,1562890.560706708,0
Calidris acuminata,current,ensemble_mean,2129630.846432902,0
Sturnia sinensis,current,ensemble_mean,425875.0694851911,0
Pyrrhula erythaca,current,ensemble_mean,1743526.9004922267,0
Pericrocotus divaricatus,current,ensemble_mean,3275905.5470462497,0
Falco cherrug,current,ensemble_mean,4866436.120218414,0
Phylloscopus ricketti,current,ensemble_mean,2775984.1284261416,0
Otus lettia,current,ensemble_mean,2122073.040532303,0
Hydroprogne caspia,current,ensemble_mean,1728225.7986388768,0
Ixobrychus cinnamomeus,current,ensemble_mean,2748887.468098738,0
Ptyonoprogne rupestris,current,ensemble_mean,3886354.0100406506,0
Pseudopodoces humilis,current,ensemble_mean,2427112.282657828,0
Aviceda leuphotes,current,ensemble_mean,1978583.1608154068,0
Pterorhinus lanceolatus,current,ensemble_mean,960392.5742805465,0
Monticola rufiventris,current,ensemble_mean,2751350.1385967494,0
Gypaetus barbatus,current,ensemble_mean,3571873.517790627,0
Cyanistes cyanus,current,ensemble_mean,3488134.165042147,0
Prunella montanella,current,ensemble_mean,3021926.184509731,0
Periparus rubidiventris,current,ensemble_mean,1168994.5466782763,0
Phylloscopus magnirostris,current,ensemble_mean,1129958.8702241806,0
Hieraaetus pennatus,current,ensemble_mean,8476105.524840333,0
Psilopogon faber,current,ensemble_mean,1487861.2278032508,0
Leucogeranus leucogeranus,current,ensemble_mean,990855.5487661642,0
Asio flammeus,current,ensemble_mean,1944259.6367686458,0
Phoenicurus schisticeps,current,ensemble_mean,1209141.2820506457,0
Pomatorhinus schisticeps,current,ensemble_mean,1347088.9725749542,0
Heterophasia desgodinsi,current,ensemble_mean,3554408.351609536,0
Certhia familiaris,current,ensemble_mean,2792302.047492628,0
Phylloscopus subaffinis,current,ensemble_mean,1394162.9705742658,0
Chrysolophus pictus,current,ensemble_mean,1389905.9979382756,0
Larus canus,current,ensemble_mean,3668620.791507183,0
Oenanthe oenanthe,current,ensemble_mean,2090228.926875037,0
Emberiza leucocephalos,current,ensemble_mean,2206738.1812894517,0
Clamator coromandus,current,ensemble_mean,1884869.5953500045,0
Loxia curvirostra,current,ensemble_mean,4844201.363647666,0
Panurus biarmicus,current,ensemble_mean,5558325.648641401,0
Numenius madagascariensis,current,ensemble_mean,1124935.4603675073,0
Fringilla coelebs,current,ensemble_mean,998199.1589128169,0
Phylloscopus pulcher,current,ensemble_mean,1710048.6836259067,0
Dicaeum cruentatum,current,ensemble_mean,285225.93637941586,0
Phylloscopus yunnanensis,current,ensemble_mean,1814588.1925267857,0
Oenanthe deserti,current,ensemble_mean,2463013.369061604,0
Turdus viscivorus,current,ensemble_mean,554041.5088146054,0
Cyornis hainanus,current,ensemble_mean,393553.9776890221,0
Limosa lapponica,current,ensemble_mean,1218099.202727003,0
Larvivora cyane,current,ensemble_mean,1831994.8848703036,0
Mergus serrator,current,ensemble_mean,1350102.6784433243,0
Grus monacha,current,ensemble_mean,1870025.5207243438,0
Arenaria interpres,current,ensemble_mean,1436653.2584238339,0
Hypothymis azurea,current,ensemble_mean,387547.6926792213,0
Urosphena squameiceps,current,ensemble_mean,2956200.3178276946,0
Grus nigricollis,current,ensemble_mean,3530534.2518152352,0
Agropsar sturninus,current,ensemble_mean,4263032.099692375,0
Carpodacus vinaceus,current,ensemble_mean,1198969.8073927104,0
Hirundapus caudacutus,current,ensemble_mean,2214649.4063130235,0
Clanga clanga,current,ensemble_mean,1937509.026217629,0
Emberiza yessoensis,current,ensemble_mean,3012185.405123882,0
Phylloscopus valentini,current,ensemble_mean,1608382.4586904135,0
Alaudala cheleensis,current,ensemble_mean,5803641.138786719,0
Lanius isabellinus,current,ensemble_mean,2004171.0661804846,0
Phyllergates cucullatus,current,ensemble_mean,566077.3689325079,0
Phylloscopus tephrocephalus,current,ensemble_mean,745962.951573268,0
Chloris chloris,current,ensemble_mean,2773860.285296408,0
Lophophanes dichrous,current,ensemble_mean,1401026.5963725857,0
Coracias garrulus,current,ensemble_mean,3386749.2653713436,0
Mycerobas carnipes,current,ensemble_mean,2593130.9457482276,0
Aerodramus brevirostris,current,ensemble_mean,4329807.40672193,0
Garrulax monileger,current,ensemble_mean,2416618.1464407677,0
Ficedula strophiata,current,ensemble_mean,1442810.9246327516,0
Calidris falcinellus,current,ensemble_mean,1089045.6885226152,0
Calidris tenuirostris,current,ensemble_mean,1169268.9094500316,0
Cygnus olor,current,ensemble_mean,3154757.2596807415,0
Pteruthius xanthochlorus,current,ensemble_mean,1133497.782152069,0
Helopsaltes certhiola,current,ensemble_mean,6649226.883047897,0
Tringa brevipes,current,ensemble_mean,1046843.9196268035,0
Carduelis carduelis,current,ensemble_mean,386333.81602561724,0
Ficedula erithacus,current,ensemble_mean,1226913.3986817868,0
Ficedula narcissina,current,ensemble_mean,1117761.4422255245,0
Nisaetus nipalensis,current,ensemble_mean,2235514.147506488,0
Limnodromus semipalmatus,current,ensemble_mean,1674566.935123501,0
Aegithalos fuliginosus,current,ensemble_mean,677988.5130160798,0
Phylloscopus maculipennis,current,ensemble_mean,2273875.816495854,0
Egretta eulophotes,current,ensemble_mean,543088.482593693,0
Artamus fuscus,current,ensemble_mean,737401.7097490743,0
Anser erythropus,current,ensemble_mean,1397021.4711009,0
Emberiza siemsseni,current,ensemble_mean,3020455.054053406,0
Calidris alba,current,ensemble_mean,1230383.9464058073,0
Myiomela leucura,current,ensemble_mean,1024752.1908235061,0
Calidris pugnax,current,ensemble_mean,4079239.018489943,0
Accipiter badius,current,ensemble_mean,437205.14136134053,0
Nipponia nippon,current,ensemble_mean,1527601.7498241966,0
Pyrrhula nipalensis,current,ensemble_mean,818681.3451715994,0
Ibidorhyncha struthersii,current,ensemble_mean,3204674.6532696164,0
Turdus boulboul,current,ensemble_mean,1233402.1940997434,0
Phylloscopus ogilviegranti,current,ensemble_mean,1294092.0026846887,0
Monticola gularis,current,ensemble_mean,4714817.876671707,0
Muscicapa muttui,current,ensemble_mean,1646412.0121697634,0
Dicaeum minullum,current,ensemble_mean,673581.3028001895,0
Linaria cannabina,current,ensemble_mean,3874322.907592046,0
Niltava davidi,current,ensemble_mean,1223307.6023615154,0
Pelecanus crispus,current,ensemble_mean,4886424.209940537,0
Calidris minuta,current,ensemble_mean,2616934.0476357457,0
Larus cachinnans,current,ensemble_mean,1095158.7937518067,0
Grus virgo,current,ensemble_mean,5306269.204152715,0
Curruca communis,current,ensemble_mean,5956069.729830484,0
Charadrius atrifrons,current,ensemble_mean,1917297.5219502577,0
Niltava macgrigoriae,current,ensemble_mean,1832322.235008466,0
Calidris canutus,current,ensemble_mean,984702.9567728945,0
Larus fuscus,current,ensemble_mean,932682.789759224,0
Geokichla citrina,current,ensemble_mean,1340225.9784619266,0
Ninox japonica,current,ensemble_mean,3438045.7588296365,0
Phalaropus lobatus,current,ensemble_mean,2229326.4476064597,0
Merops philippinus,current,ensemble_mean,803330.9927047854,0
Perdix hodgsoniae,current,ensemble_mean,2735305.8740705336,0
Muscicapa ferruginea,current,ensemble_mean,1909729.6448158382,0
Phylloscopus affinis,current,ensemble_mean,2577143.4085777244,0
Aquila heliaca,current,ensemble_mean,2084204.0947708096,0
Acanthis flammea,current,ensemble_mean,2568647.3853933783,0
Aquila fasciata,current,ensemble_mean,1616463.510876371,0
Grus japonensis,current,ensemble_mean,1922083.0190951922,0
Prunella collaris,current,ensemble_mean,4919287.163568567,0
Curruca curruca,current,ensemble_mean,1521875.9268023868,0
Enicurus maculatus,current,ensemble_mean,635063.3276137986,0
Chalcophaps indica,current,ensemble_mean,367567.4569659016,0
Charadrius dealbatus,current,ensemble_mean,690009.2538471874,0
Podiceps auritus,current,ensemble_mean,1162323.0706603732,0
Pyrrhula pyrrhula,current,ensemble_mean,3470156.213037742,0
Ixobrychus eurhythmus,current,ensemble_mean,3263765.2048704075,0
Phylloscopus soror,current,ensemble_mean,1063814.1256621038,0
Pterorhinus berthemyi,current,ensemble_mean,3372463.432510333,0
Anthus godlewskii,current,ensemble_mean,1187310.3855936204,0
Columba oenas,current,ensemble_mean,1088360.1407011445,0
Prinia striata,current,ensemble_mean,2259759.993687213,0
Syrrhaptes paradoxus,current,ensemble_mean,4019043.2066522534,0
Aviceda jerdoni,current,ensemble_mean,1043408.4172726986,0
Tragopan temminckii,current,ensemble_mean,609529.4576867047,0
Phylloscopus intermedius,current,ensemble_mean,2081104.89709628,0
Otus spilocephalus,current,ensemble_mean,1148324.9586448334,0
Aegithalos bonvaloti,current,ensemble_mean,492646.46581116016,0
Charadrius veredus,current,ensemble_mean,2891264.679397397,0
Ficedula elisae,current,ensemble_mean,1700379.858730819,0
Paradoxornis guttaticollis,current,ensemble_mean,1660105.9076937495,0
Numenius minutus,current,ensemble_mean,1506462.6427993567,0
Pastor roseus,current,ensemble_mean,698887.0202559865,0
Rhodospiza obsoleta,current,ensemble_mean,2636024.935746725,0
Melanochlora sultanea,current,ensemble_mean,1356197.1306799455,0
Phylloscopus omeiensis,current,ensemble_mean,1048244.1375369504,0
Ficedula tricolor,current,ensemble_mean,2095858.6597770709,0
Locustella davidi,current,ensemble_mean,4031522.707761441,0
Elachura formosa,current,ensemble_mean,1179542.0237124036,0
Chloris ambigua,current,ensemble_mean,647145.3503404688,0
Gallicrex cinerea,current,ensemble_mean,2103261.82083582,0
Phylloscopus collybita,current,ensemble_mean,985926.0276040046,0
Circaetus gallicus,current,ensemble_mean,2914041.6489846893,0
Phylloscopus emeiensis,current,ensemble_mean,1782947.7153558328,0
Phoenicurus erythronotus,current,ensemble_mean,1085832.9329052249,0
Anthus trivialis,current,ensemble_mean,2647294.6561938557,0
Niltava sundara,current,ensemble_mean,2034110.192369023,0
Passer hispaniolensis,current,ensemble_mean,596912.5327499656,0
Clangula hyemalis,current,ensemble_mean,3485768.054621802,0
Prunella immaculata,current,ensemble_mean,1364169.8906158546,0
Tarsiger indicus,current,ensemble_mean,1036231.4386942958,0
Anthus gustavi,current,ensemble_mean,1415838.3565222428,0
Leptopoecile elegans,current,ensemble_mean,1680863.2215322491,0
Tarsiger chrysaeus,current,ensemble_mean,3528441.526582151,0
Plegadis falcinellus,current,ensemble_mean,2922385.450265243,0
Pitta nympha,current,ensemble_mean,1848767.8038319163,0
Rallus aquaticus,current,ensemble_mean,1677383.9172530547,0
Cephalopyrus flammiceps,current,ensemble_mean,4220485.76036251,0
Cyornis glaucicomans,current,ensemble_mean,1559605.8760547463,0
Treron sieboldii,current,ensemble_mean,2098641.4593224428,0
Turdus pilaris,current,ensemble_mean,3158262.1689725756,0
Ixobrychus minutus,current,ensemble_mean,1035423.5036757891,0
Acrocephalus agricola,current,ensemble_mean,2658424.465716287,0
Cettia castaneocoronata,current,ensemble_mean,2854931.872134425,0
Locustella mandelli,current,ensemble_mean,923256.2685895498,0
Calandrella brachydactyla,current,ensemble_mean,567649.4519694468,0
Tringa guttifer,current,ensemble_mean,1738469.070099329,0
Lanius borealis,current,ensemble_mean,1263070.4663879145,0
Gorsachius melanolophus,current,ensemble_mean,312361.5512024512,0
Macropygia unchall,current,ensemble_mean,2279325.1522000534,0
Bucanetes mongolicus,current,ensemble_mean,1694652.618104099,0
Ficedula parva,current,ensemble_mean,2044687.0842531915,0
Certhia tianquanensis,current,ensemble_mean,701329.683745989,0
Prinia rufescens,current,ensemble_mean,422833.19733372814,0
Chlidonias niger,current,ensemble_mean,766968.4776130896,0
Cisticola exilis,current,ensemble_mean,880841.2728951367,0
Remiz coronatus,current,ensemble_mean,537723.325131418,0
Certhia himalayana,current,ensemble_mean,955711.4471397443,0
Mixornis gularis,current,ensemble_mean,1037039.5294210722,0
Melanitta stejnegeri,current,ensemble_mean,3978151.7869261876,0
Rubigula flaviventris,current,ensemble_mean,719877.9334855989,0
Sasia ochracea,current,ensemble_mean,1173250.6674513966,0
Oriolus oriolus,current,ensemble_mean,305290.4400114423,0
Oxyura leucocephala,current,ensemble_mean,6051832.155266023,0
Iduna caligata,current,ensemble_mean,312511.40555997123,0
Emberiza hortulana,current,ensemble_mean,1963477.3252989396,0
Calidris pygmaea,current,ensemble_mean,713114.1312272447,0
Tephrodornis virgatus,current,ensemble_mean,925129.6269336247,0
Thalasseus bergii,current,ensemble_mean,193340.46715428753,0
Phoenicopterus roseus,current,ensemble_mean,1732985.6476417156,0
Dendrocygna javanica,current,ensemble_mean,179234.9355802706,0
Grandala coelicolor,current,ensemble_mean,2063009.6854496703,0
Mycerobas affinis,current,ensemble_mean,3381843.8443011395,0
Phylloscopus borealoides,current,ensemble_mean,2222149.979249638,0
Emberiza buchanani,current,ensemble_mean,5393085.7868895745,0
Hierococcyx nisicolor,current,ensemble_mean,927076.8911827225,0
Helopsaltes pryeri,current,ensemble_mean,736628.7796200407,0
Ketupa flavipes,current,ensemble_mean,1504188.9603342556,0
Timalia pileata,current,ensemble_mean,3467370.7160325893,0
Treron sphenurus,current,ensemble_mean,1409986.859505574,0
Emberiza citrinella,current,ensemble_mean,2870602.522312157,0
Ficedula hyperythra,current,ensemble_mean,2544815.590875124,0
Circus aeruginosus,current,ensemble_mean,1215383.0675247328,0
Ianthocincla lunulata,current,ensemble_mean,409332.72705411894,0
Rissa tridactyla,current,ensemble_mean,3358240.442412457,0
Turnix suscitator,current,ensemble_mean,854071.5781097764,0
Pellorneum tickelli,current,ensemble_mean,2923112.0677652312,0
Acrocephalus concinens,current,ensemble_mean,1279444.9767470288,0
Syrmaticus reevesii,current,ensemble_mean,2922051.3932153177,0
Tyto longimembris,current,ensemble_mean,1099952.8518847078,0
Larvivora akahige,current,ensemble_mean,595814.5273830122,0
Otus semitorques,current,ensemble_mean,1521025.0426276878,0
Psarisomus dalhousiae,current,ensemble_mean,4687678.4022595985,0
Tragopan caboti,current,ensemble_mean,435177.6528395451,0
Cettia brunnifrons,current,ensemble_mean,2030246.6527173386,0
Anser caerulescens,current,ensemble_mean,4629149.36509903,0
Hemitesia pallidipes,current,ensemble_mean,3796014.899717289,0
Rallina eurizonoides,current,ensemble_mean,878738.6926680251,0
Niltava grandis,current,ensemble_mean,1422226.1715053036,0
Mareca americana,current,ensemble_mean,540904.4902101144,0
Larvivora brunnea,current,ensemble_mean,3706886.950664182,0
Limnodromus scolopaceus,current,ensemble_mean,938713.5370886085,0
Emberiza sulphurata,current,ensemble_mean,237994.59669224755,0
Prinia atrogularis,current,ensemble_mean,1378221.8115334017,0
Coracina macei,current,ensemble_mean,1273019.4827491879,0
Gavia arctica,current,ensemble_mean,853560.8260396579,0
Haliaeetus leucoryphus,current,ensemble_mean,2022262.6326977238,0
Spilopelia senegalensis,current,ensemble_mean,1176495.7894235773,0
Onychoprion anaethetus,current,ensemble_mean,528181.1525477407,0
Gavia stellata,current,ensemble_mean,1568121.5450378396,0
Treron curvirostra,current,ensemble_mean,880525.7385007391,0
Indicator xanthonotus,current,ensemble_mean,4388593.913183216,0
Zoothera dixoni,current,ensemble_mean,1258781.694367872,0
Pelecanus onocrotalus,current,ensemble_mean,2002272.8659822324,0
Picus chlorolophus,current,ensemble_mean,1179011.1748312686,0
Sittiparus varius,current,ensemble_mean,1756522.3540241967,0
Anthus pratensis,current,ensemble_mean,6738259.616351812,0
Garrulax maesi,current,ensemble_mean,834025.7593912828,0
Lanius collurioides,current,ensemble_mean,604560.219501279,0
Sitta cinnamoventris,current,ensemble_mean,765588.960705322,0
Staphida castaniceps,current,ensemble_mean,528573.5715069326,0
Erithacus rubecula,current,ensemble_mean,2828899.910650938,0
Podiceps grisegena,current,ensemble_mean,3921046.342454389,0
Cecropis striolata,current,ensemble_mean,847347.9369178147,0
Phylloscopus burkii,current,ensemble_mean,1729786.5451323455,0
Stachyris nonggangensis,current,ensemble_mean,4385585.725552645,0
Suthora fulvifrons,current,ensemble_mean,2392816.055392414,0
Turdus feae,current,ensemble_mean,3230014.536754003,0
Pomatorhinus superciliaris,current,ensemble_mean,5877544.071319663,0
Erythrogenys hypoleucos,current,ensemble_mean,124068.58640040347,0
Calidris melanotos,current,ensemble_mean,2733120.119497309,0
Emberiza melanocephala,current,ensemble_mean,1590992.254526714,0
Acrocephalus tangorum,current,ensemble_mean,2878243.6951134074,0
Zapornia bicolor,current,ensemble_mean,1701226.6190416995,0
Amaurornis cinerea,current,ensemble_mean,419439.75992616476,0
Phylloscopus cantator,current,ensemble_mean,236940.47516783036,0
Prunella himalayana,current,ensemble_mean,2106805.9715720783,0
Crossoptilon mantchuricum,current,ensemble_mean,4208271.6857147245,0
Caprimulgus macrurus,current,ensemble_mean,227158.55703038693,0
Charadrius hiaticula,current,ensemble_mean,853691.6766466157,0
Stachyris humei,current,ensemble_mean,7406476.68448516,0
Branta ruficollis,current,ensemble_mean,1860386.845845986,0
Falco severus,current,ensemble_mean,6400173.67516185,0
Larus hyperboreus,current,ensemble_mean,1668962.520254825,0
Lophura leucomelanos,current,ensemble_mean,5537513.649505844,0
Cutia nipalensis,current,ensemble_mean,6631220.416656772,0
Alcippe morrisonia,current,ensemble_mean,5628996.687307857,0
Branta bernicla,current,ensemble_mean,7338527.348983086,0
Sitta formosa,current,ensemble_mean,6792787.250789977,0
Plectrophenax nivalis,current,ensemble_mean,38879.16705569438,0
Podoces biddulphi,current,ensemble_mean,6079131.905159801,0
Ficedula superciliaris,current,ensemble_mean,1028146.7914068659,0
Hydrocoloeus minutus,current,ensemble_mean,3259805.94435589,0
Alcedo hercules,current,ensemble_mean,495013.58990465594,0
Dicrurus annectens,current,ensemble_mean,716530.849204432,0
Dicrurus remifer,current,ensemble_mean,118350.9485843658,0
Agropsar philippensis,current,ensemble_mean,225821.0189629612,0
Anastomus oscitans,current,ensemble_mean,2351079.719174321,0
Crex crex,current,ensemble_mean,1034889.571893903,0
Branta leucopsis,current,ensemble_mean,956933.4456798343,0
Zoothera mollissima,current,ensemble_mean,937312.4156662998,0
Napothera malacoptila,current,ensemble_mean,7512030.852081556,0
Pellorneum albiventre,current,ensemble_mean,1314486.4642471331,0
