algorithm,mean_auc,mean_tss,mean_threshold,available,species
GLM,0.7731365109233029,0.5062498424369318,0.12996472980648122,TRUE,Amaurornis phoenicurus
MaxEnt,NA,NA,NA,TRUE,Amaurornis phoenicurus
RF,0.5733258192186983,0.24117660389289447,0.012666666666666668,TRUE,Amaurornis phoenicurus
GAM,0.6402368469042425,0.2923849788662262,0.03350514765151146,TRUE,Eudynamys scolopaceus
GBM,0.6314772626408546,0.2897634947773312,0.04526664573946888,TRUE,Eudynamys scolopaceus
GLM,0.6672939580847266,0.36137278162064285,0.10823324875496171,TRUE,Eudynamys scolopaceus
MaxEnt,NA,NA,NA,TRUE,Eudynamys scolopaceus
RF,0.6335738973029753,0.12335593335831825,0.004666666666666667,TRUE,Eudynamys scolopaceus
GAM,0.6643679878204414,0.39369580049173114,0.10396524024055485,TRUE,Passer cinnamomeus
GBM,0.6692853619844389,0.3460201247117659,0.07050646242150327,TRUE,Passer cinnamomeus
GLM,0.7189466124875903,0.34870248169506546,0.255370396324213,TRUE,Passer cinnamomeus
MaxEnt,NA,NA,NA,TRUE,Passer cinnamomeus
RF,0.5905187186687967,0.17600780539876199,0.009333333333333334,TRUE,Passer cinnamomeus
GAM,0.6918040532814366,0.46705694878556603,0.08197922121942668,TRUE,Accipiter trivirgatus
GBM,0.6370593361765359,0.43323926538185853,0.06836114235288479,TRUE,Accipiter trivirgatus
GLM,0.74862895637533,0.5317555141326459,0.1675392525040912,TRUE,Accipiter trivirgatus
MaxEnt,NA,NA,NA,TRUE,Accipiter trivirgatus
RF,0.592314466078789,0.3345139930584585,0.007333333333333334,TRUE,Accipiter trivirgatus
GAM,0.7325293119397795,0.4461525348241405,0.17909968528148817,TRUE,Elanus caeruleus
GBM,0.7083327474070062,0.4691770622606837,0.08650124798590525,TRUE,Elanus caeruleus
GLM,0.750675959691142,0.508265019649035,0.2116805955750223,TRUE,Elanus caeruleus
MaxEnt,NA,NA,NA,TRUE,Elanus caeruleus
RF,0.6823902016684987,0.3043867082085197,0.015333333333333334,TRUE,Elanus caeruleus
GAM,0.8221503512971626,0.6132998341267941,0.13957575402514474,TRUE,Prinia flaviventris
GBM,0.80789645643871,0.628013467914436,0.07014758219353044,TRUE,Prinia flaviventris
GLM,0.8700323658721888,0.6698357635742892,0.24152538985587155,TRUE,Prinia flaviventris
MaxEnt,NA,NA,NA,TRUE,Prinia flaviventris
RF,0.7599905235357898,0.560241497287708,0.019333333333333334,TRUE,Prinia flaviventris
GAM,0.7968606298944372,0.4330011240998599,0.2728747866621178,TRUE,Mareca falcata
GBM,0.756152548167002,0.40500758922675223,0.10820191915067887,TRUE,Mareca falcata
GLM,0.7627173084575779,0.4511960325464287,0.1706019321165572,TRUE,Mareca falcata
MaxEnt,NA,NA,NA,TRUE,Mareca falcata
RF,0.6422583442050773,0.16792514738790848,0.048,TRUE,Mareca falcata
GAM,0.7239686781387841,0.4117210863785187,0.18834218175574521,TRUE,Ceryle rudis
GBM,0.6935056085534053,0.41927645499589417,0.0987084950367006,TRUE,Ceryle rudis
GLM,0.7822147678215138,0.49517034327617226,0.18009590480422805,TRUE,Ceryle rudis
MaxEnt,NA,NA,NA,TRUE,Ceryle rudis
RF,0.6273190166781429,0.24376319738389501,0.008666666666666666,TRUE,Ceryle rudis
GAM,0.6304507903838381,0.40308818681257336,0.05110488238689395,TRUE,Myophonus caeruleus
GBM,0.5729706936807801,0.2841131450882707,0.04328298636834464,TRUE,Myophonus caeruleus
GLM,0.7062495461048598,0.4441413877041827,0.12326476457505432,TRUE,Myophonus caeruleus
MaxEnt,NA,NA,NA,TRUE,Myophonus caeruleus
RF,0.5448084341138217,0.15756695800967715,0.008666666666666668,TRUE,Myophonus caeruleus
GAM,0.6584117503969072,0.4186722107056538,0.06470968836914769,TRUE,Aethopyga christinae
GBM,0.607086863686163,0.3983890546313159,0.039502468800465616,TRUE,Aethopyga christinae
GLM,0.7156668534966583,0.4622701995572204,0.11379947036389089,TRUE,Aethopyga christinae
MaxEnt,NA,NA,NA,TRUE,Aethopyga christinae
RF,0.5661240274009228,0.2645772802819798,0.006666666666666667,TRUE,Aethopyga christinae
GAM,0.7045386440683662,0.33907830853181875,0.11080881320283632,TRUE,Muscicapa dauurica
