"species","species_cn","english_name","order","iucn","n_event_records","tree_label_direct","target_tree_label","bridge_type","bridge_note","tree_label_final","exact_match","bridged_match","unresolved","match_status"
"Staphida castaniceps","栗耳凤鹛","Striated Yuhina","Passeriformes","LC",1,"Staphida_castaniceps",NA,NA,NA,"Staphida_castaniceps",TRUE,FALSE,FALSE,"Exact match"
"Staphida torqueola","栗颈凤鹛","Indochinese Yuhina","Passeriformes","LC",1,"Staphida_torqueola",NA,NA,NA,"Staphida_torqueola",TRUE,FALSE,FALSE,"Exact match"
"Sturnia pagodarum","黑冠椋鸟","Brahminy Starling","Passeriformes","LC",1,"Sturnia_pagodarum",NA,NA,NA,"Sturnia_pagodarum",TRUE,FALSE,FALSE,"Exact match"
"Sturnia sinensis","灰背椋鸟","White-shouldered Starling","Passeriformes","LC",1,"Sturnia_sinensis",NA,NA,NA,"Sturnia_sinensis",TRUE,FALSE,FALSE,"Exact match"
"Sturnus vulgaris","紫翅椋鸟","Common Starling","Passeriformes","LC",4,"Sturnus_vulgaris",NA,NA,NA,"Sturnus_vulgaris",TRUE,FALSE,FALSE,"Exact match"
"Suthora alphonsiana","灰喉鸦雀","Ashy-throated Parrotbill","Passeriformes","LC",1,"Suthora_alphonsiana",NA,NA,NA,"Suthora_alphonsiana",TRUE,FALSE,FALSE,"Exact match"
"Suthora conspicillata","白眶鸦雀","Spectacled Parrotbill","Passeriformes","LC",1,"Suthora_conspicillata",NA,NA,NA,"Suthora_conspicillata",TRUE,FALSE,FALSE,"Exact match"
"Suthora fulvifrons","黄额鸦雀","Fulvous Parrotbill","Passeriformes","LC",1,"Suthora_fulvifrons",NA,NA,NA,"Suthora_fulvifrons",TRUE,FALSE,FALSE,"Exact match"
"Suthora przewalskii","灰冠鸦雀","Rusty-throated Parrotbill","Passeriformes","LC",1,"Suthora_przewalskii",NA,NA,NA,"Suthora_przewalskii",TRUE,FALSE,FALSE,"Exact match"
"Suthora webbiana","棕头鸦雀","Vinous-throated Parrotbill","Passeriformes","LC",1,"Suthora_webbiana",NA,NA,NA,"Suthora_webbiana",TRUE,FALSE,FALSE,"Exact match"
"Sylvia atricapilla","黑顶林莺","Eurasian Blackcap","Passeriformes","LC",1,"Sylvia_atricapilla",NA,NA,NA,"Sylvia_atricapilla",TRUE,FALSE,FALSE,"Exact match"
"Sylviparus modestus","黄眉林雀","Yellow-browed Tit","Passeriformes","LC",1,"Sylviparus_modestus",NA,NA,NA,"Sylviparus_modestus",TRUE,FALSE,FALSE,"Exact match"
"Tarsiger chrysaeus","金色林鸲","Golden Bush-robin","Passeriformes","LC",5,"Tarsiger_chrysaeus",NA,NA,NA,"Tarsiger_chrysaeus",TRUE,FALSE,FALSE,"Exact match"
"Tarsiger indicus","白眉林鸲","White-browed Bush-robin","Passeriformes","LC",1,"Tarsiger_indicus",NA,NA,NA,"Tarsiger_indicus",TRUE,FALSE,FALSE,"Exact match"
"Temnurus temnurus","塔尾树鹊","Ratchet-tailed Treepie","Passeriformes","LC",1,"Temnurus_temnurus",NA,NA,NA,"Temnurus_temnurus",TRUE,FALSE,FALSE,"Exact match"
