"species","species_cn","order","order_cn","family","family_cn","genus","genus_cn"
"Mergus serrator","红胸秋沙鸭","Anseriformes","雁形目","Anatidae","鸭科","Mergus","秋沙鸭属"
"Mergus squamatus","中华秋沙鸭","Anseriformes","雁形目","Anatidae","鸭科","Mergus","秋沙鸭属"
"Netta rufina","赤嘴潜鸭","Anseriformes","雁形目","Anatidae","鸭科","Netta","狭嘴潜鸭属"
"Nettapus coromandelianus","棉凫","Anseriformes","雁形目","Anatidae","鸭科","Nettapus","棉凫属"
"Oxyura leucocephala","白头硬尾鸭","Anseriformes","雁形目","Anatidae","鸭科","Oxyura","硬尾鸭属"
"Polysticta stelleri","小绒鸭","Anseriformes","雁形目","Anatidae","鸭科","Polysticta","小绒鸭属"
"Sarkidiornis melanotos","瘤鸭","Anseriformes","雁形目","Anatidae","鸭科","Sarkidiornis","瘤鸭属"
"Sibirionetta formosa","花脸鸭","Anseriformes","雁形目","Anatidae","鸭科","Sibirionetta",NA
"Spatula clypeata","琵嘴鸭","Anseriformes","雁形目","Anatidae","鸭科","Spatula",NA
"Spatula querquedula","白眉鸭","Anseriformes","雁形目","Anatidae","鸭科","Spatula",NA
"Tadorna ferruginea","赤麻鸭","Anseriformes","雁形目","Anatidae","鸭科","Tadorna","麻鸭属"
"Tadorna tadorna","翘鼻麻鸭","Anseriformes","雁形目","Anatidae","鸭科","Tadorna","麻鸭属"
"Aceros nipalensis","棕颈犀鸟","Bucerotiformes","犀鸟目","Bucerotidae","犀鸟科","Aceros","无盔犀鸟属"
"Anorrhinus austeni","白喉犀鸟","Bucerotiformes","犀鸟目","Bucerotidae","犀鸟科","Anorrhinus","小盔犀鸟属"
"Anthracoceros albirostris","冠斑犀鸟","Bucerotiformes","犀鸟目","Bucerotidae","犀鸟科","Anthracoceros","斑犀鸟属"
"Buceros bicornis","双角犀鸟","Bucerotiformes","犀鸟目","Bucerotidae","犀鸟科","Buceros","犀鸟属"
"Rhyticeros undulatus","花冠皱盔犀鸟","Bucerotiformes","犀鸟目","Bucerotidae","犀鸟科","Rhyticeros",NA
"Upupa epops","戴胜","Bucerotiformes","犀鸟目","Upupidae","戴胜科","Upupa","戴胜属"
"Aerodramus brevirostris","短嘴金丝燕","Caprimulgiformes","夜鹰目","Apodidae","雨燕科","Aerodramus","金丝燕属"
"Aerodramus fuciphagus","爪哇金丝燕","Caprimulgiformes","夜鹰目","Apodidae","雨燕科","Aerodramus","金丝燕属"
"Apus acuticauda","暗背雨燕","Caprimulgiformes","夜鹰目","Apodidae","雨燕科","Apus","雨燕属"
"Apus apus","普通雨燕","Caprimulgiformes","夜鹰目","Apodidae","雨燕科","Apus","雨燕属"
"Apus cooki","库氏白腰雨燕","Caprimulgiformes","夜鹰目","Apodidae","雨燕科","Apus","雨燕属"
"Apus nipalensis","小白腰雨燕","Caprimulgiformes","夜鹰目","Apodidae","雨燕科","Apus","雨燕属"
"Apus pacificus","白腰雨燕","Caprimulgiformes","夜鹰目","Apodidae","雨燕科","Apus","雨燕属"
"Apus salimalii","华西白腰雨燕","Caprimulgiformes","夜鹰目","Apodidae","雨燕科","Apus","雨燕属"
"Cypsiurus balasiensis","棕雨燕","Caprimulgiformes","夜鹰目","Apodidae","雨燕科","Cypsiurus","棕雨燕属"
"Hirundapus caudacutus","白喉针尾雨燕","Caprimulgiformes","夜鹰目","Apodidae","雨燕科","Hirundapus","针尾雨燕属"
"Hirundapus celebensis","紫针尾雨燕","Caprimulgiformes","夜鹰目","Apodidae","雨燕科","Hirundapus","针尾雨燕属"
"Hirundapus cochinchinensis","灰喉针尾雨燕","Caprimulgiformes","夜鹰目","Apodidae","雨燕科","Hirundapus","针尾雨燕属"
"Hirundapus giganteus","褐背针尾雨燕","Caprimulgiformes","夜鹰目","Apodidae","雨燕科","Hirundapus","针尾雨燕属"
"Tachymarptis melba","高山雨燕","Caprimulgiformes","夜鹰目","Apodidae","雨燕科","Tachymarptis",NA
"Caprimulgus aegyptius","埃及夜鹰","Caprimulgiformes","夜鹰目","Caprimulgidae","夜鹰科","Caprimulgus","夜鹰属"
"Caprimulgus affinis","林夜鹰","Caprimulgiformes","夜鹰目","Caprimulgidae","夜鹰科","Caprimulgus","夜鹰属"
"Caprimulgus europaeus","欧夜鹰","Caprimulgiformes","夜鹰目","Caprimulgidae","夜鹰科","Caprimulgus","夜鹰属"
"Caprimulgus jotaka","普通夜鹰","Caprimulgiformes","夜鹰目","Caprimulgidae","夜鹰科","Caprimulgus","夜鹰属"
"Caprimulgus macrurus","长尾夜鹰","Caprimulgiformes","夜鹰目","Caprimulgidae","夜鹰科","Caprimulgus","夜鹰属"
"Lyncornis macrotis","毛腿夜鹰","Caprimulgiformes","夜鹰目","Caprimulgidae","夜鹰科","Lyncornis",NA
"Hemiprocne coronata","凤头雨燕","Caprimulgiformes","夜鹰目","Hemiprocnodae","凤头雨燕科","Hemiprocne","凤头雨燕属"
"Batrachostomus hodgsoni","黑顶蛙口夜鹰","Caprimulgiformes","夜鹰目","Podargidae","蛙口夜鹰科","Batrachostomus","蛙嘴夜鹰属"
"Brachyramphus perdix","长嘴斑海雀","Charadriiformes","鸻形目","Alcidae","海雀科","Brachyramphus","斑海雀属"
"Cerorhinca monocerata","角嘴海雀","Charadriiformes","鸻形目","Alcidae","海雀科","Cerorhinca","角嘴海雀属"
"Synthliboramphus antiquus","扁嘴海雀","Charadriiformes","鸻形目","Alcidae","海雀科","Synthliboramphus","扁嘴海雀属"
"Synthliboramphus wumizusume","冠海雀","Charadriiformes","鸻形目","Alcidae","海雀科","Synthliboramphus","扁嘴海雀属"
"Uria aalge","崖海鸦","Charadriiformes","鸻形目","Alcidae","海雀科","Uria",NA
"Burhinus oedicnemus","石鸻","Charadriiformes","鸻形目","Burhinidae","石鸻科","Burhinus","石鸻属"
"Esacus recurvirostris","大石鸻","Charadriiformes","鸻形目","Burhinidae","石鸻科","Esacus","大石鸻属"
"Charadrius alexandrinus","环颈鸻","Charadriiformes","鸻形目","Charadriidae","鸻科","Charadrius","鸻属"
"Charadrius asiaticus","红胸鸻","Charadriiformes","鸻形目","Charadriidae","鸻科","Charadrius","鸻属"
"Charadrius atrifrons","青藏沙鸻","Charadriiformes","鸻形目","Charadriidae","鸻科","Charadrius","鸻属"
"Charadrius dealbatus","白脸鸻","Charadriiformes","鸻形目","Charadriidae","鸻科","Charadrius","鸻属"
"Charadrius dubius","金眶鸻","Charadriiformes","鸻形目","Charadriidae","鸻科","Charadrius","鸻属"
"Charadrius hiaticula","剑鸻","Charadriiformes","鸻形目","Charadriidae","鸻科","Charadrius","鸻属"
"Charadrius leschenaultii","铁嘴沙鸻","Charadriiformes","鸻形目","Charadriidae","鸻科","Charadrius","鸻属"
"Charadrius mongolus","蒙古沙鸻","Charadriiformes","鸻形目","Charadriidae","鸻科","Charadrius","鸻属"
"Charadrius placidus","长嘴剑鸻","Charadriiformes","鸻形目","Charadriidae","鸻科","Charadrius","鸻属"
"Charadrius veredus","东方鸻","Charadriiformes","鸻形目","Charadriidae","鸻科","Charadrius","鸻属"
"Eudromias morinellus","小嘴鸻","Charadriiformes","鸻形目","Charadriidae","鸻科","Eudromias",NA
"Pluvialis apricaria","欧金鸻","Charadriiformes","鸻形目","Charadriidae","鸻科","Pluvialis","斑鸻属"
"Pluvialis fulva","金鸻","Charadriiformes","鸻形目","Charadriidae","鸻科","Pluvialis","斑鸻属"
"Pluvialis squatarola","灰鸻","Charadriiformes","鸻形目","Charadriidae","鸻科","Pluvialis","斑鸻属"
"Vanellus cinereus","灰头麦鸡","Charadriiformes","鸻形目","Charadriidae","鸻科","Vanellus","麦鸡属"
"Vanellus duvaucelii","距翅麦鸡","Charadriiformes","鸻形目","Charadriidae","鸻科","Vanellus","麦鸡属"
"Vanellus gregarius","黄颊麦鸡","Charadriiformes","鸻形目","Charadriidae","鸻科","Vanellus","麦鸡属"
"Vanellus indicus","肉垂麦鸡","Charadriiformes","鸻形目","Charadriidae","鸻科","Vanellus","麦鸡属"
"Vanellus leucurus","白尾麦鸡","Charadriiformes","鸻形目","Charadriidae","鸻科","Vanellus","麦鸡属"
"Vanellus vanellus","凤头麦鸡","Charadriiformes","鸻形目","Charadriidae","鸻科","Vanellus","麦鸡属"
"Chionis albus","白鞘嘴鸥","Charadriiformes","鸻形目","Chionidae","鞘嘴鸥科","Chionis",NA
"Glareola lactea","灰燕鸻","Charadriiformes","鸻形目","Glareolidae","燕鸻科","Glareola","燕鸻属"
"Glareola maldivarum","普通燕鸻","Charadriiformes","鸻形目","Glareolidae","燕鸻科","Glareola","燕鸻属"
"Glareola nordmanni","黑翅燕鸻","Charadriiformes","鸻形目","Glareolidae","燕鸻科","Glareola","燕鸻属"
"Glareola pratincola","领燕鸻","Charadriiformes","鸻形目","Glareolidae","燕鸻科","Glareola","燕鸻属"
"Haematopus ostralegus","蛎鹬","Charadriiformes","鸻形目","Haematopodidae","蛎鹬科","Haematopus","蛎鹬属"
"Ibidorhyncha struthersii","鹮嘴鹬","Charadriiformes","鸻形目","Ibidorhynchidae","鹮嘴鹬科","Ibidorhyncha","鹮嘴鹬属"
"Hydrophasianus chirurgus","水雉","Charadriiformes","鸻形目","Jacanidae","水雉科","Hydrophasianus","水雉属"
"Metopidius indicus","铜翅水雉","Charadriiformes","鸻形目","Jacanidae","水雉科","Metopidius","铜翅水雉属"
"Anous minutus","玄燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Anous","玄燕鸥属"
"Anous stolidus","白顶玄燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Anous","玄燕鸥属"
"Chlidonias hybrida","灰翅浮鸥","Charadriiformes","鸻形目","Laridae","鸥科","Chlidonias","浮鸥属"
"Chlidonias leucopterus","白翅浮鸥","Charadriiformes","鸻形目","Laridae","鸥科","Chlidonias","浮鸥属"
"Chlidonias niger","黑浮鸥","Charadriiformes","鸻形目","Laridae","鸥科","Chlidonias","浮鸥属"
"Chroicocephalus brunnicephalus","棕头鸥","Charadriiformes","鸻形目","Laridae","鸥科","Chroicocephalus",NA
"Chroicocephalus genei","细嘴鸥","Charadriiformes","鸻形目","Laridae","鸥科","Chroicocephalus",NA
"Chroicocephalus novaehollandiae","澳洲红嘴鸥","Charadriiformes","鸻形目","Laridae","鸥科","Chroicocephalus",NA
"Chroicocephalus ridibundus","红嘴鸥","Charadriiformes","鸻形目","Laridae","鸥科","Chroicocephalus",NA
"Gelochelidon nilotica","鸥嘴噪鸥","Charadriiformes","鸻形目","Laridae","鸥科","Gelochelidon","噪鸥属"
"Gygis alba","白燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Gygis","玄鸥属"
"Hydrocoloeus minutus","小鸥","Charadriiformes","鸻形目","Laridae","鸥科","Hydrocoloeus",NA
"Hydroprogne caspia","红嘴巨燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Hydroprogne","巨鸥属"
"Ichthyaetus ichthyaetus","渔鸥","Charadriiformes","鸻形目","Laridae","鸥科","Ichthyaetus",NA
"Ichthyaetus relictus","遗鸥","Charadriiformes","鸻形目","Laridae","鸥科","Ichthyaetus",NA
"Larus brachyrhynchus","美洲海鸥","Charadriiformes","鸻形目","Laridae","鸥科","Larus","鸥属"
"Larus cachinnans","黄腿银鸥","Charadriiformes","鸻形目","Laridae","鸥科","Larus","鸥属"
"Larus canus","普通海鸥","Charadriiformes","鸻形目","Laridae","鸥科","Larus","鸥属"
"Larus crassirostris","黑尾鸥","Charadriiformes","鸻形目","Laridae","鸥科","Larus","鸥属"
"Larus delawarensis","环嘴鸥","Charadriiformes","鸻形目","Laridae","鸥科","Larus","鸥属"
"Larus fuscus","小黑背银鸥","Charadriiformes","鸻形目","Laridae","鸥科","Larus","鸥属"
"Larus glaucescens","灰翅鸥","Charadriiformes","鸻形目","Laridae","鸥科","Larus","鸥属"
"Larus hyperboreus","北极鸥","Charadriiformes","鸻形目","Laridae","鸥科","Larus","鸥属"
"Larus schistisagus","灰背鸥","Charadriiformes","鸻形目","Laridae","鸥科","Larus","鸥属"
"Larus vegae","西伯利亚银鸥","Charadriiformes","鸻形目","Laridae","鸥科","Larus","鸥属"
"Leucophaeus atricilla","笑鸥","Charadriiformes","鸻形目","Laridae","鸥科","Leucophaeus",NA
"Leucophaeus pipixcan","弗氏鸥","Charadriiformes","鸻形目","Laridae","鸥科","Leucophaeus",NA
"Onychoprion aleuticus","白腰燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Onychoprion",NA
"Onychoprion anaethetus","褐翅燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Onychoprion",NA
"Onychoprion fuscatus","乌燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Onychoprion",NA
"Rhodostethia rosea","楔尾鸥","Charadriiformes","鸻形目","Laridae","鸥科","Rhodostethia","楔尾鸥属"
"Rissa tridactyla","三趾鸥","Charadriiformes","鸻形目","Laridae","鸥科","Rissa","三趾鸥属"
"Rynchops albicollis","剪嘴鸥","Charadriiformes","鸻形目","Laridae","鸥科","Rynchops","剪嘴鸥属"
"Saundersilarus saundersi","黑嘴鸥","Charadriiformes","鸻形目","Laridae","鸥科","Saundersilarus",NA
"Sterna acuticauda","黑腹燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Sterna","燕鸥属"
"Sterna aurantia","河燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Sterna","燕鸥属"
"Sterna dougallii","粉红燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Sterna","燕鸥属"
"Sterna hirundo","普通燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Sterna","燕鸥属"
"Sterna sumatrana","黑枕燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Sterna","燕鸥属"
"Sternula albifrons","白额燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Sternula",NA
"Thalasseus bengalensis","小凤头燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Thalasseus","凤头燕鸥属"
"Thalasseus bergii","大凤头燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Thalasseus","凤头燕鸥属"
"Thalasseus bernsteini","中华凤头燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Thalasseus","凤头燕鸥属"
"Thalasseus sandvicensis","白嘴端凤头燕鸥","Charadriiformes","鸻形目","Laridae","鸥科","Thalasseus","凤头燕鸥属"
"Xema sabini","叉尾鸥","Charadriiformes","鸻形目","Laridae","鸥科","Xema",NA
"Himantopus himantopus","黑翅长脚鹬","Charadriiformes","鸻形目","Recurvirostridae","反嘴鹬科","Himantopus","长脚鹬属"
"Recurvirostra avosetta","反嘴鹬","Charadriiformes","鸻形目","Recurvirostridae","反嘴鹬科","Recurvirostra","反嘴鹬属"
"Rostratula benghalensis","彩鹬","Charadriiformes","鸻形目","Rostratulidae","彩鹬科","Rostratula","彩鹬属"
"Actitis hypoleucos","矶鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Actitis",NA
"Arenaria interpres","翻石鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Arenaria","翻石鹬属"
"Calidris acuminata","尖尾滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris alba","三趾滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris alpina","黑腹滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris bairdii","黑腰滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris canutus","红腹滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris falcinellus","阔嘴鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris ferruginea","弯嘴滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris fuscicollis","白腰滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris himantopus","高跷鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris mauri","西滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris melanotos","斑胸滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris minuta","小滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris ptilocnemis","岩滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris pugnax","流苏鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
