"tree_label_final","order","family","genus","species_examples","pool_species_concepts","bridge_in_pool","new_record_species_concepts","new_record_species_list","new_record_species_cn","new_record_iucn","order_new","bridge_in_new_records","is_new_record","tip_index"
"Urocynchramus_pylzowi","Passeriformes","Urocynchramidae","Urocynchramus","Urocynchramus pylzowi",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,148
"Irena_puella","Passeriformes","Irenidae","Irena","Irena puella",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,149
"Chloropsis_aurifrons","Passeriformes","Chloropseidae","Chloropsis","Chloropsis aurifrons",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,150
"Chloropsis_cochinchinensis","Passeriformes","Chloropseidae","Chloropsis","Chloropsis cochinchinensis",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,151
"Chloropsis_hardwickii","Passeriformes","Chloropseidae","Chloropsis","Chloropsis hardwickii",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,152
"Cinnyris_asiaticus","Passeriformes","Nectariniidae","Cinnyris","Cinnyris asiaticus",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,153
"Cinnyris_jugularis","Passeriformes","Nectariniidae","Cinnyris","Cinnyris jugularis",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,154
"Aethopyga_christinae","Passeriformes","Nectariniidae","Aethopyga","Aethopyga christinae",1,FALSE,1,"Aethopyga christinae","叉尾太阳鸟","LC","Passeriformes",FALSE,TRUE,155
"Aethopyga_siparaja","Passeriformes","Nectariniidae","Aethopyga","Aethopyga siparaja",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,156
"Aethopyga_gouldiae","Passeriformes","Nectariniidae","Aethopyga","Aethopyga gouldiae",1,FALSE,1,"Aethopyga gouldiae","蓝喉太阳鸟","LC","Passeriformes",FALSE,TRUE,157
"Aethopyga_nipalensis","Passeriformes","Nectariniidae","Aethopyga","Aethopyga nipalensis",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,158
"Aethopyga_saturata","Passeriformes","Nectariniidae","Aethopyga","Aethopyga saturata",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,159
"Aethopyga_ignicauda","Passeriformes","Nectariniidae","Aethopyga","Aethopyga ignicauda",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,160
"Anthreptes_malacensis","Passeriformes","Nectariniidae","Anthreptes","Anthreptes malacensis",1,FALSE,1,"Anthreptes malacensis","褐喉直嘴太阳鸟","LC","Passeriformes",FALSE,TRUE,161
"Chalcoparia_singalensis","Passeriformes","Nectariniidae","Chalcoparia","Chalcoparia singalensis",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,162
"Arachnothera_magna","Passeriformes","Nectariniidae","Arachnothera","Arachnothera magna",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,163
"Kurochkinegramma_hypogrammicum","Passeriformes","Nectariniidae","Kurochkinegramma","Kurochkinegramma hypogrammicum",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,164
"Arachnothera_longirostra","Passeriformes","Nectariniidae","Arachnothera","Arachnothera longirostra",1,FALSE,0,NA,NA,"NotNew",NA,NA,FALSE,165
"Dicaeum_ignipectus","Passeriformes","Dicaeidae","Dicaeum","Dicaeum ignipectus",1,FALSE,1,"Dicaeum ignipectus","红胸啄花鸟","LC","Passeriformes",FALSE,TRUE,166
