"species","species_cn","english_name","order","iucn","n_event_records"
"Chlidonias leucopterus","白翅浮鸥","White-winged Tern","Charadriiformes","LC",1
"Chlidonias niger","黑浮鸥","Black Tern","Charadriiformes","LC",2
"Gelochelidon nilotica","鸥嘴噪鸥","Common Gull-billed Tern","Charadriiformes","LC",2
"Glareola lactea","灰燕鸻","Little Pratincole","Charadriiformes","LC",2
"Gygis alba","白玄鸥","Atlantic White Tern","Charadriiformes","LC",1
"Hydrocoloeus minutus","小鸥","Little Gull","Charadriiformes","LC",1
"Hydrophasianus chirurgus","水雉","Pheasant-tailed Jacana","Charadriiformes","LC",7
"Hydroprogne caspia","红嘴巨燕鸥","Caspian Tern","Charadriiformes","LC",3
"Larus argentatus","西伯利亚银鸥","European Herring Gull","Charadriiformes","LC",1
"Larus brunnicephalus","棕头鸥","Brown-headed Gull","Charadriiformes","LC",1
"Larus cachinnans","黄腿银鸥","Caspian Gull","Charadriiformes","LC",1
"Larus canus","普通海鸥","Mew Gull","Charadriiformes","LC",1
"Larus crassirostris","黑尾鸥","Black-tailed Gull","Charadriiformes","LC",1
"Larus fuscus","小黑背银鸥","Lesser Black-backed Gull","Charadriiformes","LC",3
"Larus genei","细嘴鸥","Slender-billed Gull","Charadriiformes","LC",2
"Larus glaucescens","灰翅鸥","Glaucous-winged Gull","Charadriiformes","LC",2
"Larus hyperboreus","北极鸥","Glaucous Gull","Charadriiformes","LC",3
"Larus ichthyaetus","渔鸥","Pallas's Gull","Charadriiformes","LC",2
"Larus relictus","遗鸥","Relict Gull","Charadriiformes","VU",1
"Limnodromus scolopaceus","长嘴半蹼鹬","Long-billed Dowitcher","Charadriiformes","VU",6
"Limnodromus semipalmatus","半蹼鹬","Asian Dowitcher","Charadriiformes","NT",2
"Limosa lapponica","斑尾塍鹬","Bar-tailed Godwit","Charadriiformes","NT",1
"Limosa limosa","黑尾塍鹬","Black-tailed Godwit","Charadriiformes","NT",1
"Numenius madagascariensis","大杓鹬","Far Eastern Curlew","Charadriiformes","EN",1
"Numenius minutus","小杓鹬","Little Curlew","Charadriiformes","LC",1
"Numenius phaeopus","中杓鹬","Whimbrel","Charadriiformes","LC",1
"Onychoprion aleuticus","白腰燕鸥","Aleutian Tern","Charadriiformes","VU",4
"Onychoprion anaethetus","褐翅燕鸥","Bridled Tern","Charadriiformes","LC",4
"Onychoprion fuscatus","乌燕鸥","Sooty Tern","Charadriiformes","LC",1
"Phalaropus fulicarius","灰瓣蹼鹬","Red Phalarope","Charadriiformes","LC",4
"Phalaropus lobatus","红颈瓣蹼鹬","Red-necked Phalarope","Charadriiformes","LC",5
"Pluvialis apricaria","欧金鸻","Eurasian Golden Plover","Charadriiformes","LC",1
"Recurvirostra avosetta","反嘴鹬","Pied Avocet","Charadriiformes","LC",2
"Rissa tridactyla","三趾鸥","Black-legged Kittiwake","Charadriiformes","VU",7
"Stercorarius parasiticus","短尾贼鸥","Arctic Jaeger","Charadriiformes","LC",8
"Thalasseus bengalensis","小凤头燕鸥","Lesser Crested Tern","Charadriiformes","LC",2
"Thalasseus bergii","大凤头燕鸥","Greater Crested Tern","Charadriiformes","LC",1
"Tringa brevipes","灰尾漂鹬","Grey-tailed Tattler","Charadriiformes","LC",1
"Vanellus cinereus","灰头麦鸡","Grey-headed Lapwing","Charadriiformes","LC",1
"Vanellus vanellus","凤头麦鸡","Northern Lapwing","Charadriiformes","NT",1
"Anastomus oscitans","钳嘴鹳","Asian Openbill","Ciconiiformes","LC",8
"Ciconia boyciana","东方白鹳","Oriental Stork","Ciconiiformes","EN",3
"Ciconia episcopus","白颈鹳","Asian Woollyneck","Ciconiiformes","NT",1
"Ciconia nigra","黑鹳","Black Stork","Ciconiiformes","LC",1
"Chalcophaps indica","绿翅金鸠","Grey-capped Emerald Dove","Columbiformes","LC",3
"Columba oenas","欧鸽","Stock Dove","Columbiformes","LC",4
"Geopelia striata","斑姬地鸠","Zebra Dove","Columbiformes","LC",1
"Macropygia unchall","斑尾鹃鸠","Barred Cuckoo-Dove","Columbiformes","LC",3
"Spilopelia chinensis","珠颈斑鸠","Eastern Spotted Dove","Columbiformes","LC",2
"Spilopelia senegalensis","棕斑鸠","Laughing Dove","Columbiformes","LC",1
"Streptopelia decaocto","灰斑鸠","Eurasian Collared-dove","Columbiformes","LC",1
"Treron curvirostra","厚嘴绿鸠","Thick-billed Green-pigeon","Columbiformes","LC",1
"Treron seimundi","白腹针尾绿鸠","Yellow-vented Green-pigeon","Columbiformes","LC",1
"Treron sieboldii","红翅绿鸠","White-bellied Green-pigeon","Columbiformes","LC",3
"Treron sphenurus","楔尾绿鸠","Wedge-tailed Green-pigeon","Columbiformes","LC",1
"Alcedo hercules","斑头大翠鸟","Blyth's Kingfisher","Coraciiformes","NT",1
"Ceryle rudis","斑鱼狗","Pied Kingfisher","Coraciiformes","LC",2
"Coracias garrulus","蓝胸佛法僧","European Roller","Coraciiformes","LC",1
"Halcyon coromanda","赤翡翠","Ruddy Kingfisher","Coraciiformes","LC",1
"Halcyon smyrnensis","白胸翡翠","White-throated Kingfisher","Coraciiformes","LC",5
"Megaceryle lugubris","冠鱼狗","Crested Kingfisher","Coraciiformes","LC",3
"Merops philippinus","栗喉蜂虎","Blue-tailed Bee-eater","Coraciiformes","LC",1
"Todiramphus chloris","白领翡翠","Collared Kingfisher","Coraciiformes","LC",1
"Clamator coromandus","红翅凤头鹃","Chestnut-winged Cuckoo","Cuculiformes","LC",5
"Clamator jacobinus","斑翅凤头鹃","Jacobin Cuckoo","Cuculiformes","LC",3
"Eudynamys scolopaceus","噪鹃","Western Koel","Cuculiformes","LC",4
"Hierococcyx nisicolor","棕腹杜鹃","Whistling Hawk-cuckoo","Cuculiformes","LC",1
"Falco cherrug","猎隼","Saker Falcon","Falconiformes","EN",1
"Chrysolophus pictus","红腹锦鸡","Golden Pheasant","Galliformes","LC",1
"Crossoptilon mantchuricum","褐马鸡","Brown Eared-pheasant","Galliformes","LC",1
"Gavia adamsii","黄嘴潜鸟","Yellow-billed Loon","Galliformes","NT",6
"Lophura leucomelanos","黑鹇","Kalij Pheasant","Galliformes","LC",1
"Lophura nycthemera","白鹇","Silver pheasant","Galliformes","LC",4
"Pavo cristatus","蓝孔雀","Indian Peafowl","Galliformes","LC",1
"Perdix hodgsoniae","高原山鹑","Tibetan Partridge","Galliformes","LC",1
"Tragopan caboti","黄腹角雉","Cabot's Tragopan","Galliformes","VU",1
"Tragopan temminckii","红腹角雉","Temminck's Tragopan","Galliformes","LC",1
"Gavia arctica","黑喉潜鸟","Arctic Loon","Gaviiformes","LC",3
"Gavia pacifica","太平洋潜鸟","Pacific Diver","Gaviiformes","LC",1
"Gavia stellata","红喉潜鸟","Red-throated Loon","Gaviiformes","LC",2
"Amaurornis cinerea","白眉田鸡","White-browed Crake","Gruiformes","LC",1
"Amaurornis phoenicurus","白胸苦恶鸟","White-breasted Waterhen","Gruiformes","LC",3
"Coturnicops exquisitus","花田鸡","Swinhoe's Rail","Gruiformes","LC",1
"Grus canadensis","沙丘鹤","Sandhill Crane","Gruiformes","LC",4
"Grus japonensis","丹顶鹤","Red-crowned Crane","Gruiformes","VU",2
"Grus monacha","白头鹤","Hooded Crane","Gruiformes","VU",1
"Grus nigricollis","黑颈鹤","Black-necked Crane","Gruiformes","NT",1
"Grus vipio","白枕鹤","White-naped Crane","Gruiformes","VU",3
"Grus virgo","蓑羽鹤","Demoiselle Crane","Gruiformes","LC",2
"Leucogeranus leucogeranus","白鹤","Siberian Crane","Gruiformes","CR",2
"Porphyrio porphyrio","紫水鸡","Purple Swamphen","Gruiformes","NR",1
"Rallina eurizonoides","白喉斑秧鸡","Slaty-legged Crake","Gruiformes","LC",4
"Rallina fasciata","红脚斑秧鸡","Red-legged Crake","Gruiformes","LC",3
"Rallus aquaticus","西秧鸡","Western Water Rail","Gruiformes","LC",3
"Zapornia bicolor","棕背田鸡","Brown-backed Crake","Gruiformes","LC",1
"Tetrax tetrax","小鸨","Little Bustard","Otidiformes","NT",1
"Abroscopus albogularis","棕脸鹟莺","Rufous-faced Warbler","Passeriformes","LC",5
"Acanthis flammea","白腰朱顶雀","Redpoll","Passeriformes","LC",2
"Acridotheres tristis","家八哥","Common Myna","Passeriformes","LC",2
"Acrocephalus agricola","稻田苇莺","Paddyfield Warbler","Passeriformes","LC",1
"Acrocephalus bistrigiceps","黑眉苇莺","Black-browed Reed-warbler","Passeriformes","LC",2
"Acrocephalus concinens","钝翅苇莺","Blunt-winged Warbler","Passeriformes","LC",1
"Acrocephalus dumetorum","布氏苇莺","Blyth's Reed-warbler","Passeriformes","LC",1
"Acrocephalus tangorum","远东苇莺","White-browed Reed-warbler","Passeriformes","VU",1
"Aegithalos bonvaloti","黑眉长尾山雀","Black-browed Tit","Passeriformes","LC",1
"Aegithalos caudatus","北长尾山雀","Long-tailed Tit","Passeriformes","LC",2
"Aegithalos concinnus","红头长尾山雀","Black-Throated Bushtit","Passeriformes","LC",4
"Aegithalos fuliginosus","银脸长尾山雀","Sooty Tit","Passeriformes","LC",2
"Aethopyga christinae","叉尾太阳鸟","Hainan Sunbird","Passeriformes","LC",2
"Aethopyga gouldiae","蓝喉太阳鸟","Gould's Sunbird","Passeriformes","LC",1
"Agropsar philippensis","紫背椋鸟","Chestnut-cheeked Starling","Passeriformes","LC",1
"Agropsar sturninus","北椋鸟","Purple-backed Starling","Passeriformes","LC",1
"Alcippe morrisonia","灰眶雀鹛","Grey-cheeked Fulvetta","Passeriformes","NR",1
"Anthreptes malacensis","褐喉直嘴太阳鸟","Brown-throated Sunbird","Passeriformes","LC",1
"Anthus godlewskii","布莱氏鹨","Blyth's Pipit","Passeriformes","LC",1
"Anthus gustavi","北鹨","Pechora Pipit","Passeriformes","LC",5
"Anthus pratensis","草地鹨","Meadow Pipit","Passeriformes","LC",1
"Anthus richardi","田鹨","Richard's Pipit","Passeriformes","LC",1
"Anthus roseatus","粉红胸鹨","Rosy Pipit","Passeriformes","LC",1
"Anthus trivialis","林鹨","Tree Pipit","Passeriformes","LC",1
"Artamus fuscus","灰燕鵙","Ashy Woodswallow","Passeriformes","LC",6
"Bombycilla japonica","小太平鸟","Japanese Waxwing","Passeriformes","NT",3
"Bucanetes mongolicus","蒙古沙雀","Mongolian Finch","Passeriformes","LC",3
"Calandrella brachydactyla","大短趾百灵","Greater Short-toed Lark","Passeriformes","LC",1
"Callacanthis burtoni","红眉金翅雀","Spectacled Finch","Passeriformes","LC",1
"Calliope obscura","黑喉歌鸲","Blackthroat","Passeriformes","VU",1
"Carduelis carduelis","红额金翅雀","European Goldfinch","Passeriformes","LC",2
"Carpodacus roborowskii","藏雀","Tibetan Rosefinch","Passeriformes","LC",1
"Carpodacus vinaceus","酒红朱雀","Vinaceous Rosefinch","Passeriformes","LC",1
"Cecropis daurica","金腰燕","Red-rumped Swallow","Passeriformes","LC",1
"Cecropis striolata","斑腰燕","Striated Swallow","Passeriformes","LC",1
"Cephalopyrus flammiceps","火冠雀","Fire-capped Tit","Passeriformes","LC",2
"Cettia brunnifrons","棕顶树莺","Grey-sided Bush-warbler","Passeriformes","LC",1
"Cettia castaneocoronata","栗头树莺","Chestnut-headed Tesia","Passeriformes","LC",1
"Chloris ambigua","黑头金翅雀","Black-headed Greenfinch","Passeriformes","LC",1
"Chloris chloris","欧金翅雀","European Greenfinch","Passeriformes","LC",1
"Chloris sinica","金翅雀","Oriental Greenfinch","Passeriformes","LC",1
"Copsychus saularis","鹊鸲","Oriental Magpie-robin","Passeriformes","LC",1
"Coracina macei","大鹃鵙","Indian Cuckooshrike","Passeriformes","LC",1
"Curruca communis","灰白喉林莺","Common Whitethroat","Passeriformes","LC",1
"Curruca crassirostris","东歌林莺","Eastern Orphean Warbler","Passeriformes","LC",1
"Curruca curruca","白喉林莺","Lesser Whitethroat","Passeriformes","LC",2
"Cyanistes cyanus","灰蓝山雀","Azure Tit","Passeriformes","LC",1
"Cyanoderma pyrrhops","黑颏穗鹛","Black-chinned Babbler","Passeriformes","LC",1
"Cyanoderma rufifrons","黄喉穗鹛","Rufous-fronted Babbler","Passeriformes","LC",1
"Cyornis glaucicomans","中华仙鹟","Chinese Blue Flycatcher","Passeriformes","LC",2
"Delichon dasypus","烟腹毛脚燕","Asian House Martin","Passeriformes","LC",1
"Dendrocitta formosae","灰树鹊","Grey Treepie","Passeriformes","LC",1
"Dicaeum cruentatum","朱背啄花鸟","Scarlet-backed Flowerpecker","Passeriformes","LC",1
"Dicaeum ignipectus","红胸啄花鸟","Fire-breasted Flowerpecker","Passeriformes","LC",1
"Dicaeum minullum","纯色啄花鸟","Plain Flowerpecker","Passeriformes","LC",1
"Dicrurus annectens","鸦嘴卷尾","Crow-billed Drongo","Passeriformes","LC",1
"Dicrurus hottentottus","发冠卷尾","Hair-crested Drongo","Passeriformes","LC",1
"Dicrurus remifer","小盘尾","Lesser Racquet-tailed Drongo","Passeriformes","LC",1
"Elachura formosa","丽星鹩鹛","Spotted Elachura","Passeriformes","LC",2
"Emberiza buchanani","灰颈鹀","Grey-necked Bunting","Passeriformes","LC",1
"Emberiza chrysophrys","黄眉鹀","Yellow-browed Bunting","Passeriformes","LC",3
"Emberiza elegans","黄喉鹀","Yellow-throated Bunting","Passeriformes","LC",3
"Emberiza godlewskii","灰眉岩鹀","Godlewski's Bunting","Passeriformes","LC",2
"Emberiza hortulana","圃鹀","Ortolan Bunting","Passeriformes","LC",1
"Emberiza leucocephalos","白头鹀","Pine Bunting","Passeriformes","LC",3
"Emberiza melanocephala","黑头鹀","Black-headed Bunting","Passeriformes","LC",1
"Emberiza pusilla","小鹀","Little Bunting","Passeriformes","LC",1
"Emberiza rustica","田鹀","Rustic Bunting","Passeriformes","VU",1
"Emberiza siemsseni","蓝鹀","Slaty Bunting","Passeriformes","LC",2
"Emberiza stewarti","白顶鹀","White-capped Bunting","Passeriformes","LC",1
"Emberiza sulphurata","硫磺鹀","Yellow Bunting","Passeriformes","LC",1
"Emberiza yessoensis","红颈苇鹀","Ochre-rumped Bunting","Passeriformes","NT",2
"Enicurus leschenaulti","白冠燕尾","White-crowned Forktail","Passeriformes","LC",1
"Enicurus maculatus","斑背燕尾","Spotted Forktail","Passeriformes","LC",2
"Enicurus schistaceus","灰背燕尾","Slaty-backed Forktail","Passeriformes","LC",1
"Eremophila alpestris","角百灵","Horned Lark","Passeriformes","LC",1
"Erithacus rubecula","欧亚鸲","European Robin","Passeriformes","LC",8
"Erpornis zantholeuca","白腹凤鹛","White-bellied Erpornis","Passeriformes","LC",1
"Erythrogenys hypoleucos","长嘴钩嘴鹛","Large Scimitar-babbler","Passeriformes","LC",1
"Eumyias thalassinus","铜蓝鹟","Verditer Flycatcher","Passeriformes","LC",6
"Ficedula albicilla","红喉姬鹟","Red-throated Flycatcher","Passeriformes","LC",1
"Ficedula elisae","绿背姬鹟","Green-backed Flycatcher","Passeriformes","LC",3
"Ficedula erithacus","锈胸蓝姬鹟","Slaty-backed Flycatcher","Passeriformes","LC",2
"Ficedula mugimaki","鸲姬鹟","Mugimaki Flycatcher","Passeriformes","LC",1
"Ficedula narcissina","黄眉姬鹟","Narcissus Flycatcher","Passeriformes","LC",3
"Ficedula owstoni","琉球姬鹟","Ryukyu Flycatcher","Passeriformes","LC",1
"Ficedula parva","红胸姬鹟","Red-breasted Flycatcher","Passeriformes","LC",7
"Ficedula ruficauda","栗尾姬鹟","Rusty-tailed Flycatcher","Passeriformes","LC",1
"Ficedula strophiata","橙胸姬鹟","Rufous-gorgeted Flycatcher","Passeriformes","LC",1
"Ficedula superciliaris","白眉蓝姬鹟","Ultramarine Flycatcher","Passeriformes","LC",1
"Ficedula tricolor","灰蓝姬鹟","Slaty-blue Flycatcher","Passeriformes","LC",3
"Fringilla coelebs","苍头燕雀","Common Chaffinch","Passeriformes","LC",6
"Fringilla montifringilla","燕雀","Brambling","Passeriformes","LC",1
"Galerida cristata","凤头百灵","Crested Lark","Passeriformes","LC",1
"Garrulax maesi","褐胸噪鹛","Grey Laughingthrush","Passeriformes","LC",1
"Garrulax monileger","小黑领噪鹛","Lesser Necklaced Laughingthrush","Passeriformes","LC",3
"Geokichla citrina","橙头地鸫","Orange-headed Thrush","Passeriformes","LC",2
"Geokichla wardii","杂色地鸫","Pied Thrush","Passeriformes","LC",1
"Gracupica nigricollis","黑领椋鸟","Black-collared Starling","Passeriformes","LC",4
"Grandala coelicolor","蓝大翅鸲","Grandala","Passeriformes","LC",1
"Helopsaltes certhiola","小蝗莺","Pallas's Grasshopper-warbler","Passeriformes","LC",1
"Helopsaltes ochotensis","北蝗莺","Middendorff's Grasshopper-warbler","Passeriformes","LC",1
"Helopsaltes pleskei","史氏蝗莺","Pleske's Grasshopper Warbler","Passeriformes","LC",2
"Helopsaltes pryeri","斑背大尾莺","Marsh Grassbird","Passeriformes","NT",1
"Hemitesia pallidipes","淡脚树莺","Pale-footed Bush-warbler","Passeriformes","LC",1
"Hemixos castanonotus","栗背短脚鹎","Chestnut Bulbul","Passeriformes","LC",2
"Heterophasia desgodinsi","黑头奇鹛","Black-headed Sibia","Passeriformes","LC",2
"Heteroxenicus stellatus","栗背短翅鸫","Gould's Shortwing","Passeriformes","LC",1
"Hypothymis azurea","黑枕王鹟","Black-naped Monarch","Passeriformes","LC",1
"Hypsipetes leucocephalus","黑短脚鹎","Black Bulbul","Passeriformes","LC",1
"Ianthocincla lunulata","斑背噪鹛","Barred Laughingthrush","Passeriformes","LC",3
"Iduna caligata","靴篱莺","Booted Warbler","Passeriformes","LC",1
"Ixos mcclellandii","绿翅短脚鹎","Mountain Bulbul","Passeriformes","LC",2
"Lalage melaschistos","暗灰鹃鵙","Black-winged Cuckooshrike","Passeriformes","LC",1
"Lanius borealis","灰伯劳","Northern Grey Shrike","Passeriformes","LC",1
"Lanius collurioides","栗背伯劳","Burmese Shrike","Passeriformes","LC",1
"Lanius isabellinus","荒漠伯劳","Isabelline Shrike","Passeriformes","LC",1
"Lanius schach","棕背伯劳","Long-tailed Shrike","Passeriformes","LC",6
"Lanius sphenocercus","楔尾伯劳","Chinese Grey Shrike","Passeriformes","LC",1
"Lanius tephronotus","灰背伯劳","Grey-backed Shrike","Passeriformes","LC",2
"Larvivora akahige","日本歌鸲","Japanese Robin","Passeriformes","LC",2
"Larvivora brunnea","栗腹歌鸲","Indian Blue Robin","Passeriformes","LC",1
"Larvivora cyane","蓝歌鸲","Siberian Blue Robin","Passeriformes","LC",2
"Leptopoecile elegans","凤头雀莺","Crested Tit-warbler","Passeriformes","LC",1
"Linaria cannabina","赤胸朱顶雀","Common Linnet","Passeriformes","LC",1
"Locustella davidi","北短翅莺","Baikal Grasshopper-warbler","Passeriformes","LC",2
"Locustella mandelli","高山短翅蝗莺","Russet Grasshopper-warbler","Passeriformes","LC",2
"Lonchura striata","白腰文鸟","White-rumped Munia","Passeriformes","LC",4
"Lophophanes dichrous","褐冠山雀","Grey-crested Tit","Passeriformes","LC",1
"Loxia curvirostra","红交嘴雀","Red Crossbill","Passeriformes","LC",1
"Machlolophus xanthogenys","眼纹黄山雀","Black-lored Tit","Passeriformes","LC",1
"Melanochlora sultanea","冕雀","Sultan Tit","Passeriformes","LC",2
"Mixornis gularis","纹胸鹛","Pin-striped Tit-babbler","Passeriformes","LC",1
"Monticola gularis","白喉矶鸫","White-throated Rock-thrush","Passeriformes","LC",1
"Monticola rufiventris","栗腹矶鸫","Chestnut-bellied Rock-thrush","Passeriformes","LC",1
"Monticola solitarius","蓝矶鸫","Blue Rock-thrush","Passeriformes","LC",1
"Motacilla citreola","黄头鹡鸰","Citrine Wagtail","Passeriformes","LC",1
"Moupinia poecilotis","宝兴鹛雀","Rufous-tailed Babbler","Passeriformes","LC",1
"Muscicapa dauurica","北灰鹟","Asian Brown Flycatcher","Passeriformes","LC",1
"Muscicapa ferruginea","棕尾褐鹟","Ferruginous Flycatcher","Passeriformes","LC",3
"Muscicapa muttui","褐胸鹟","Brown-breasted Flycatcher","Passeriformes","LC",1
"Mycerobas affinis","黄颈拟蜡嘴雀","Collared Grosbeak","Passeriformes","LC",2
"Mycerobas carnipes","白斑翅拟蜡嘴雀","White-winged Grosbeak","Passeriformes","LC",1
"Myiomela leucura","白尾蓝地鸲","White-tailed Blue Robin","Passeriformes","LC",1
"Myophonus caeruleus","紫啸鸫","Blue Whistling-thrush","Passeriformes","LC",1
"Napothera malacoptila","长嘴鹩鹛","Long-billed Wren-babbler","Passeriformes","LC",1
"Niltava davidi","棕腹大仙鹟","Fujian Niltava","Passeriformes","LC",1
"Niltava grandis","大仙鹟","Large Niltava","Passeriformes","LC",1
"Niltava macgrigoriae","小仙鹟","Small Niltava","Passeriformes","LC",1
"Niltava sundara","棕腹仙鹟","Rufous-bellied Niltava","Passeriformes","LC",1
"Oenanthe deserti","漠䳭","Desert Wheatear","Passeriformes","LC",5
"Oenanthe oenanthe","穗䳭","Northern Wheatear","Passeriformes","LC",1
"Oriolus oriolus","金黄鹂","Eurasian Golden Oriole","Passeriformes","LC",1
"Otocichla mupinensis","宝兴歌鸫","Chinese Thrush","Passeriformes","LC",6
