record_id,workbook_seq,species_cn,english_name,scientific_name_raw,scientific_name_field,scientific_name_draft,naming_time,order_raw,order_latin,family_raw,genus_raw,title,title_en,newdistribution_province_text,province_cn,province_en_raw,iucn_raw,discover_cause_raw,discovery_method_raw,longitude,latitude,recordingtime,year,quote,authors,journal,migratory_status,species_raw_binomial,order,province,iucn,discover_reason,discovery_method,paper_id,correction_sources,correction_source_primary,canonical_species,canonical_species_cn,canonical_english_name,species,identity_change_flag,identity_source,identity_notes,duplicate_rank,earliest_year_in_group,keep_record,duplicate_group_size,duplicate_rule
3,3,赤腹鹰,Chinese Sparrowhawk,Accipiter soloensis,Accipiter soloensis,Accipiter soloensis,NA,ACCIPITRIFORMES,鹰形目,鹰科,鹰属,甘肃鸟类一新纪录种,NA,甘肃省陇南市徽县嘉陵镇段北岸阳坡,甘肃省,Gansu,LC,分布变化,标本采集，捡到受伤鸟,116.216666666667,33.7,2012 年 7 月,2015,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUJ-lntVEutkNIZn7LRvQJWnLMOC6SclgqFgOsnEmZfFKP3mzAKf3dJXGH8zY4VuboxjEPeWBiquKXy6FUQoV0d 4qsJ-a0UxgKjzKGWpmxBUYmXa6-unZELmIeyslV8Ot8TT6zKCG Jjae9hPHDmFYVOI3TzMRR8BYOWOhxHN45SA==&uniplatform=NZKPT&language=CHS,"程晓,万丽霞,李宏伟,第五军,宁应之",西北师范大学学报（自然科学版）,Full Migrant,Accipiter soloensis,Accipitriformes,Gansu,LC,Range shift or distribution change,标本采集，捡到受伤鸟,甘肃鸟类一新纪录种,NA,NA,NA,NA,NA,Accipiter soloensis,FALSE,raw_table,No external row-level identity correction applied.,1,2015,TRUE,1,Unique species-province combination; retained.
4,4,赤腹鹰,Chinese Sparrowhawk,Accipiter soloensis,Accipiter soloensis,Accipiter soloensis,NA,ACCIPITRIFORMES,鹰形目,鹰科,鹰属,黑龙江省鸟类分布新纪录——赤腹鹰（Accipiter soloensis）,NA,黑龙江省嫩江县高峰鸟类环志站附近,黑龙江省,Heilongjiang,LC,NA,观察拍摄,125.250472222222,49.0878333333333,43235,2020,https://ysdwxb.nefu.edu.cn/#/digest?ArticleID=405,李显达，于晓东，郭玉民,野生动物学报,Full Migrant,Accipiter soloensis,Accipitriformes,Heilongjiang,LC,Unclear,观察拍摄,黑龙江省鸟类分布新纪录——赤腹鹰（Accipiter soloensis）,NA,NA,NA,NA,NA,Accipiter soloensis,FALSE,raw_table,No external row-level identity correction applied.,1,2020,TRUE,1,Unique species-province combination; retained.
5,5,赤腹鹰,Chinese Sparrowhawk,Accipiter soloensis,Accipiter soloensis,Accipiter soloensis,NA,ACCIPITRIFORMES,鹰形目,鹰科,鹰属,内蒙古自治区西部和宁夏回族自治区鸟类新记录,NA,内蒙古自治区阿拉善左旗巴彦浩特镇生态公园,内蒙古自治区,Inner Mongolia,LC,分布变化,观察拍摄,105.66,38.11,43971,2023,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPULaevfwHJT5Cd2UzmPQa47dDoqOPeDTUd5nk80HBvXQw9egR0HHrKUP1-99 aqhrpAKVVc4VuzB7HDFqboDLgKLF bomc8gpOyEUJbEN5i81WUg3cT5wqhk44q6EBc51dDiliQxnb61a621 jJgeqMcRADvRbsZNdsQ9oCoYcI9rA==&uniplatform=NZKPT&language=CHS,"王志芳, 韩佳文, 肖敏, 白玉玺, 朱东宁, 白小龙, 魏虹, 梁斌, 杨贵生",四川动物,Full Migrant,Accipiter soloensis,Accipitriformes,Inner Mongolia,LC,Range shift or distribution change,观察拍摄,内蒙古自治区西部和宁夏回族自治区鸟类新记录,NA,NA,NA,NA,NA,Accipiter soloensis,FALSE,raw_table,No external row-level identity correction applied.,1,2023,TRUE,1,Unique species-province combination; retained.
6,6,凤头鹰,Crested Goshawk,Accipiter trivirgatus,Accipiter trivirgatus,Accipiter trivirgatus,NA,ACCIPITRIFORMES,鹰形目,鹰科,鹰属,安徽省五种鸟类新纪录,NA,"宣城夏渡扬子鳄保护区,祁门牯牛降观音堂景区",安徽省,Anhui,LC,分布变化，调查不足,观察拍摄,117.816666666667,30.2333333333333,2006年 9 月 18 日、2007 年 7 月 11 日,2010,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUIFFCgqdfXjDVDIhHdP4E1VF5FuHHGYk6oX02M0z0NP9droPLI4m4hG4xXtk pwt4QS6MsM0tzVLHr5iRUrrai0e38J2dMavDQ1c8vXw9bOXgeiMLRSvgH3cPMGJLuM6JbS3mU5OkAFt5qFK4ZnaTH6wfV6lt-qHrUj4ek9kHJqvQ==&uniplatform=NZKPT&language=CHS,王剑,黄山学院学报,Not a Migrant,Accipiter trivirgatus,Accipitriformes,Anhui,LC,Mixed: range change + survey/technology,观察拍摄,安徽省五种鸟类新纪录,NA,NA,NA,NA,NA,Accipiter trivirgatus,FALSE,raw_table,No external row-level identity correction applied.,1,2010,TRUE,1,Unique species-province combination; retained.
7,7,凤头鹰,Crested Goshawk,Accipiter trivirgatus,Accipiter trivirgatus,Accipiter trivirgatus,NA,ACCIPITRIFORMES,鹰形目,鹰科,鹰属,北京发现凤头鹰和黑翅鸢,NA,北京百望山森林公园猛禽迁徙监测点,北京市,Beijing,LC,分布变化,观察拍摄,116.166752777778,39.9934861111111,41395,2013,http://dwxzz.ioz.ac.cn/dwxb/article/abstract/20130606?st=article issue,闻丞，宋晔，韩冬，孙霄，叶航,动物学杂志,Not a Migrant,Accipiter trivirgatus,Accipitriformes,Beijing,LC,Range shift or distribution change,观察拍摄,北京发现凤头鹰和黑翅鸢,NA,NA,NA,NA,NA,Accipiter trivirgatus,FALSE,raw_table,No external row-level identity correction applied.,1,2013,TRUE,1,Unique species-province combination; retained.
8,8,凤头鹰,Crested Goshawk,Accipiter trivirgatus,Accipiter trivirgatus,Accipiter trivirgatus,NA,ACCIPITRIFORMES,鹰形目,鹰科,鹰属,福建鸟类亚种新纪录——凤头鹰,NA,福州南屿桐坑村,福建省,Fujian,LC,分布变化,观察，标本采集,119.33,25.6,2000 年 1 月 28 日,2001,https://www.scdwzz.com/thesisDetails?columnId=29079653&Fpath=home&index=0&lang=zh,"张秋金, 陈友铃, 唐兆和",四川动物,Not a Migrant,Accipiter trivirgatus,Accipitriformes,Fujian,LC,Range shift or distribution change,观察，标本采集,福建鸟类亚种新纪录——凤头鹰,NA,NA,NA,NA,NA,Accipiter trivirgatus,FALSE,raw_table,No external row-level identity correction applied.,1,2001,TRUE,1,Unique species-province combination; retained.
9,9,凤头鹰,Crested Goshawk,Accipiter trivirgatus,Accipiter trivirgatus,Accipiter trivirgatus,NA,ACCIPITRIFORMES,鹰形目,鹰科,鹰属,甘肃省两种鸟类新记录——凤头鹰和栗颈凤鹛,NA,"甘肃裕河自然保护区内的强家湾样线,甘肃裕河自然保护区内的白沙沟样线",甘肃省,Gansu,LC,分布变化,观察拍摄,105.4,32.6,2020 年 9 月 30 日,2022,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUJKgxMWDbW59wyCevnKvX99kPzKfjSmrVQZ4vMFzv1YwmoD5zWdAKJfrjMmVLTEJO8teV5SXwrl0ENFiEGX9m14u-C5DC4nMD-Ruwq2zuXulaFlw5D24mOa-HuHdjLTWrlyta6 GqOHld7vqAfX67UluiNck0wqkTbyEbqmaKvdWw==&uniplatform=NZKPT&language=CHS,"程志昌, 廖继承, 赵伟, 包新康",兰州大学学报(自然科学版),Not a Migrant,Accipiter trivirgatus,Accipitriformes,Gansu,LC,Range shift or distribution change,观察拍摄,甘肃省两种鸟类新记录——凤头鹰和栗颈凤鹛,NA,NA,NA,NA,NA,Accipiter trivirgatus,FALSE,raw_table,No external row-level identity correction applied.,1,2022,TRUE,1,Unique species-province combination; retained.
10,10,凤头鹰,Crested Goshawk,Accipiter trivirgatus,Accipiter trivirgatus,Accipiter trivirgatus subsp. indicus,NA,ACCIPITRIFORMES,鹰形目,鹰科,鹰属,河南省鸟类新记录———凤头鹰,NA,董寨国家级自然保护区白云保护站,河南省,Henan,LC,分布变化,发现巢址，观察拍摄,114.249433333333,31.9506333333333,39610,2008,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUJUfiGzEaMCj4A0PuBEdiBEjJOiCI5ffiqIahpEgO1-8FuzO68uylHFDtMNLGbwT1w qEphuJcT9xgNGeDj18tXuSbAwnNg4veHHcSF6cPJ-W6Ywm0b c1EjCQHrtXK0lQD0s7T6BDeUoRVf4YPruUzz2hURFVobjja9DznZVDMiQ==&uniplatform=NZKPT&language=CHS,"马强,李建强,张正旺,阮祥峰,朱家贵,溪波",北京师范大学学报（自然科学版）,Not a Migrant,Accipiter trivirgatus,Accipitriformes,Henan,LC,Range shift or distribution change,发现巢址，观察拍摄,河南省鸟类新记录———凤头鹰,NA,NA,NA,NA,NA,Accipiter trivirgatus,FALSE,raw_table,No external row-level identity correction applied.,1,2008,TRUE,1,Unique species-province combination; retained.
11,11,凤头鹰,Crested Goshawk,Accipiter trivirgatus,Accipiter trivirgatus,Accipiter trivirgatus,NA,ACCIPITRIFORMES,鹰形目,鹰科,鹰属,辽宁省3 种鹰科鸟类新记录,NA,旅顺老铁山陈家村观鸟平台,辽宁省,Liaoning,LC,分布变化,观察拍摄,121.144419444444,38.7265055555556,2017 年 10 月 5 日,2021,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUI9N9zhxbjOLcncmCwaQd46BCykta9XSLOKuz6HJtvHCUfHwiU8ORj9oSCrJNBOkivJ9uM2IOCTTaM5ycn29Na39TwEy4yWsHQrR20fir-xa3o9CWoYyb8RfgePqtRD17QjnPDQX71hUkaJhEHFMt13qoSekD06HoG389mMKemWcg==&uniplatform=NZKPT&language=CHS,"王小平,刘涛,关翔宇,吴亚勇",四川动物,Not a Migrant,Accipiter trivirgatus,Accipitriformes,Liaoning,LC,Range shift or distribution change,观察拍摄,辽宁省3 种鹰科鸟类新记录,NA,NA,NA,NA,NA,Accipiter trivirgatus,FALSE,raw_table,No external row-level identity correction applied.,1,2021,TRUE,1,Unique species-province combination; retained.
12,12,凤头鹰,Crested Goshawk,Accipiter trivirgatus,Accipiter trivirgatus,Accipiter trivirgatus,NA,ACCIPITRIFORMES,鹰形目,鹰科,鹰属,陕西省鸟类2种新记录,NA,佛坪自然保护区的三官庙,陕西省,Shaanxi,LC,分布变化,观察,107.666666666667,33.55,1997 年 11 月 28 日,2007,http://dwxzz.ioz.ac.cn/dwxb/article/abstract/07040146?st=article issue,"许涛清,巩会生,高学斌,李建强",动物学杂志,Not a Migrant,Accipiter trivirgatus,Accipitriformes,Shaanxi,LC,Range shift or distribution change,观察,陕西省鸟类2种新记录,NA,NA,NA,NA,NA,Accipiter trivirgatus,FALSE,raw_table,No external row-level identity correction applied.,1,2007,TRUE,1,Unique species-province combination; retained.
13,13,松雀鹰,Besra,Accipiter virgatus,Accipiter virgatus,Accipiter virgatus,NA,ACCIPITRIFORMES,鹰形目,鹰科,鹰属,安徽省鸟类分布新记录———松雀鹰,NA,安徽省六安市舒城县高港镇山区茶园,安徽省,Anhui,LC,分布变化,"观察拍摄, 救助",117.116666666667,31.7666666666667,2011 年 7 月 20 日，2012 年 1 月 5 日、2 月 8 日,2012,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUJdD6MVjyrmUvobqDNkuawwHFvdBblHxFd-HziOYNBTWQnKMIZ9gtMajJa0n1-rYErSgVw3rNqj3lBaSUymGROgyUAT7 g 9hiCfMLA74yo6JwonmUfgoHCPttqfPlWa4q6C eh4AqXgHNiDARfh fZ6CsQ3MiWw5xAyMymu3VjxA==&uniplatform=NZKPT&language=CHS,"侯银续, 高厚忠, 马号号, 虞磊, 张保卫",安徽农业科学,Altitudinal Migrant,Accipiter virgatus,Accipitriformes,Anhui,LC,Range shift or distribution change,"观察拍摄, 救助",安徽省鸟类分布新记录———松雀鹰,NA,NA,NA,NA,NA,Accipiter virgatus,FALSE,raw_table,No external row-level identity correction applied.,1,2012,TRUE,1,Unique species-province combination; retained.
868,868,家八哥,Common Myna,Acridotheres tristis,Acridotheres tristis,Acridotheres tristis,NA,PASSERIFORMES,雀形目,椋鸟科,八哥属,重庆市鸟类新纪录———家八哥,NA,重庆市巴南区的清华自然保护小区缓冲区南观景台；罗家湾林区,重庆市,Chongqing,LC,分布变化,观察拍摄，记录鸣声,106.533333333333,29.45,2010 年 4 月 14 日,2010,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUIatDzWo3xQUvp9DxlcVmHa08x s1jkMlplORyUVBDbXfI-vb7O1nwXvwFnyrSo-p2mMi5DQK8jM7pPFMb9fQV2I6OobVsAF4EZxVUiFhn32K4xd6FMlh0cSdBcgVcxh7bNA5WYa9us3NXLVmECkn1JWevUsE14d4S5z7hmVkzKjg==&uniplatform=NZKPT&language=CHS,罗键,四川动物,Not a Migrant,Acridotheres tristis,Passeriformes,Chongqing,LC,Range shift or distribution change,观察拍摄，记录鸣声,重庆市鸟类新纪录———家八哥,NA,NA,NA,NA,NA,Acridotheres tristis,FALSE,raw_table,No external row-level identity correction applied.,1,2010,TRUE,1,Unique species-province combination; retained.
867,867,家八哥,Common Myna,Acridotheres tristis,Acridotheres tristis,Acridotheres tristis,NA,PASSERIFORMES,雀形目,椋鸟科,八哥属,山东烟台海阳发现家八哥,NA,山东烟台海阳市辛安镇徐家村附近公路旁；山东烟台海阳市行村镇白沙河桥附近,山东省,Shandong,LC,缺乏调查,观察记录、拍摄,121.014444444444,121.014444444444,2022/1/9、2022/5/8,2025,https://doi.org/10.13859/j.cjz.202323100,刘强强，孟德荣，乔新燕，原寒，张超，廉冰,动物学杂志 Chinese Journal of Zoology,NA,Acridotheres tristis,Passeriformes,Shandong,LC,Survey gap or under-sampling,观察记录、拍摄,山东烟台海阳发现家八哥,NA,NA,NA,NA,NA,Acridotheres tristis,FALSE,raw_table,No external row-level identity correction applied.,1,2025,TRUE,1,Unique species-province combination; retained.
426,426,稻田苇莺,Paddyfield Warbler,Acrocephalus agricola,Acrocephalus agricola,Acrocephalus agricola,NA,PASSERIFORMES,雀形目,苇莺科,苇莺属,内蒙古自治区西部和宁夏回族自治区鸟类新记录,NA,内蒙古自治区阿拉善盟额济纳旗沙日淖尔水库,内蒙古自治区,Inner Mongolia,LC,分布变化,观察拍摄,101.12,42.06,2020年 6 月 17 日,2023,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPULaevfwHJT5Cd2UzmPQa47dDoqOPeDTUd5nk80HBvXQw9egR0HHrKUP1-99 aqhrpAKVVc4VuzB7HDFqboDLgKLF bomc8gpOyEUJbEN5i81WUg3cT5wqhk44q6EBc51dDiliQxnb61a621 jJgeqMcRADvRbsZNdsQ9oCoYcI9rA==&uniplatform=NZKPT&language=CHS,"王志芳, 韩佳文, 肖敏, 白玉玺, 朱东宁, 白小龙, 魏虹, 梁斌, 杨贵生",四川动物,Full Migrant,Acrocephalus agricola,Passeriformes,Inner Mongolia,LC,Range shift or distribution change,观察拍摄,内蒙古自治区西部和宁夏回族自治区鸟类新记录,NA,NA,NA,NA,NA,Acrocephalus agricola,FALSE,raw_table,No external row-level identity correction applied.,1,2023,TRUE,1,Unique species-province combination; retained.
427,427,黑眉苇莺,Black-browed Reed-warbler,Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,NA,PASSERIFORMES,雀形目,苇莺科,苇莺属,贵州省鸟类新纪录—黑眉苇莺,NA,锦屏县三江镇小江河口,贵州省,Guizhou,LC,分布变化,观察,108.810277777778,26.3913888888889,2015 年 10 月 6 日,2017,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUIGktQY3HgCnAbQnmyTFUxlqAt2d8TCqGMcLWr31nlHWJdteOSQrhMHnhd2bGgvAguAhsmYQHW5VG7Gi0POE3mrHPERej3MJ ZxCrexRQf-6OJkuB2WjfI3S-7vcdOwytZIsovjgEqMI2aK7Tj82A8KRYM3mvUTaN8820nQg2-TBQ==&uniplatform=NZKPT&language=CHS,"袁继林,袁继鹏",贵州林业科技,Full Migrant,Acrocephalus bistrigiceps,Passeriformes,Guizhou,LC,Range shift or distribution change,观察,贵州省鸟类新纪录—黑眉苇莺,NA,NA,NA,NA,NA,Acrocephalus bistrigiceps,FALSE,raw_table,No external row-level identity correction applied.,1,2017,TRUE,1,Unique species-province combination; retained.
