species,order,mass,migration_av,habitat_av,trophic_level_av,trophic_niche_av,lifestyle_av,centroid_latitude,centroid_longitude,migration_cn,diet_cn,range_size_provinces,iucn_pool,log_mass,migration_class,iucn_group,risk_group,trophic_group,n_new_records,new_record
Sitta frontalis,Passeriformes,16.5,1,Forest,Carnivore,Invertivore,Insessorial,14.99,97.27,R,食虫,6,LC,1.21748394421391,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Sitta himalayensis,Passeriformes,14.28,1,Forest,Carnivore,Invertivore,Insessorial,27.45,88.46,R,食虫,2,LC,1.15472820744016,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Sitta magna,Passeriformes,41.13,1,Woodland,Omnivore,Invertivore,Insessorial,23.46,100.04,R,食虫,4,EN,1.61415870950918,Resident/low mobility,Threatened,Threatened/DD,Omnivore,0,0
Sitta nagaensis,Passeriformes,14.7,1,Forest,Carnivore,Invertivore,Insessorial,25.52,100.03,R,食虫,7,LC,1.16731733474818,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Sitta przewalskii,Passeriformes,14.77,1,Forest,Carnivore,Invertivore,Insessorial,33.77,100.24,NA,NA,NA,LC,1.16938049531195,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Sitta solangiae,Passeriformes,14.96,1,Forest,Carnivore,Invertivore,Insessorial,15.87,107.42,R,食虫,1,NT,1.17493159352844,Resident/low mobility,NT,NT,Carnivore,0,0
Sitta villosa,Passeriformes,9.38,1,Forest,Omnivore,Omnivore,Insessorial,38.94,113.72,R,食虫,11,LC,0.972202838379065,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Sitta yunnanensis,Passeriformes,9.87,1,Woodland,Carnivore,Invertivore,Insessorial,26.57,101.11,R,食虫,4,LC,0.994317152669637,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Sittiparus castaneoventris,Passeriformes,17,1,Forest,Carnivore,Invertivore,Insessorial,23.75,120.97,R,杂食,1,LC,1.2304489213782701,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Spelaeornis badeigularis,Passeriformes,6,1,Forest,Carnivore,Invertivore,Insessorial,28.16,96.05,R,NA,1,NT,0.778151250383644,Resident/low mobility,NT,NT,Carnivore,0,0
Spelaeornis caudatus,Passeriformes,11,1,Forest,Carnivore,Invertivore,Insessorial,27.6,91.45,R,食虫,1,LC,1.04139268515823,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Spelaeornis chocolatinus,Passeriformes,11.83,1,Forest,Carnivore,Invertivore,Insessorial,26.32,94.46,R,食虫,2,VU,1.07298474462793,Resident/low mobility,Threatened,Threatened/DD,Carnivore,0,0
Spelaeornis kinneari,Passeriformes,11.83,1,Forest,Carnivore,Invertivore,Insessorial,22.11,104,R,NA,1,VU,1.07298474462793,Resident/low mobility,Threatened,Threatened/DD,Carnivore,0,0
Spelaeornis troglodytoides,Passeriformes,7,1,Forest,Carnivore,Invertivore,Insessorial,28.68,101.27,R,食虫,9,LC,0.845098040014257,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Spinus thibetanus,Passeriformes,10.48,2,Forest,Herbivore,Granivore,Generalist,31.26,98.87,RWP,杂食性,4,LC,1.02036128264771,Partial migrant,LC,LC/NE,Herbivore,0,0
Spizixos canifrons,Passeriformes,44,1,Shrubland,Herbivore,Omnivore,Insessorial,23.9,99.22,R,杂食性,3,LC,1.64345267648619,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Stachyris nigriceps,Passeriformes,15.8,1,Shrubland,Carnivore,Invertivore,Insessorial,17.51,100.77,R,食虫,3,LC,1.19865708695442,Resident/low mobility,LC,LC/NE,Carnivore,0,0
