species,order,mass,migration_av,habitat_av,trophic_level_av,trophic_niche_av,lifestyle_av,centroid_latitude,centroid_longitude,migration_cn,diet_cn,range_size_provinces,iucn_pool,log_mass,migration_class,iucn_group,risk_group,trophic_group,n_new_records,new_record
Coturnicops exquisitus,Gruiformes,60.9,1,Wetland,Carnivore,Omnivore,Terrestrial,47.98,126.99,SWP,杂食性,18,LC,1.78461729263288,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Grus monacha,Gruiformes,3729.9,3,Wetland,Herbivore,Omnivore,Terrestrial,54.86,123.24,SWPV,杂食性,20,VU,3.57169718836891,Full migrant,Threatened,Threatened/DD,Herbivore,1,1
Grus nigricollis,Gruiformes,5999.99,3,Wetland,Omnivore,Omnivore,Terrestrial,33.39,89.59,SWP,杂食性,7,NT,3.7781505265589,Full migrant,NT,NT,Omnivore,1,1
Porphyrio porphyrio,Gruiformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Zapornia bicolor,Gruiformes,57.3,1,Forest,Carnivore,Omnivore,Terrestrial,25.17,99.33,R,食虫,5,LC,1.75815462196739,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Tetrax tetrax,Otidiformes,833.45,2,Grassland,Omnivore,Omnivore,Terrestrial,48.84,54.04,SPV,杂食性,4,NT,2.92087955092415,Partial migrant,NT,NT,Omnivore,1,1
Acrocephalus agricola,Passeriformes,9.6,3,Wetland,Carnivore,Invertivore,Insessorial,46.5,71.71,SP,食虫,2,LC,0.982271233039568,Full migrant,LC,LC/NE,Carnivore,1,1
Acrocephalus concinens,Passeriformes,8.3,2,Wetland,Carnivore,Invertivore,Insessorial,33.61,105.24,SPW,食虫,20,LC,0.919078092376074,Partial migrant,LC,LC/NE,Carnivore,1,1
Acrocephalus dumetorum,Passeriformes,11.2,3,Wetland,Carnivore,Invertivore,Insessorial,55.04,64.74,SV,食虫,3,LC,1.04921802267018,Full migrant,LC,LC/NE,Carnivore,1,1
Acrocephalus tangorum,Passeriformes,8,3,Wetland,Carnivore,Invertivore,Insessorial,49.24,127.78,SPWV,食虫,11,VU,0.903089986991944,Full migrant,Threatened,Threatened/DD,Carnivore,1,1
Aegithalos bonvaloti,Passeriformes,7,1,Forest,Carnivore,Invertivore,Insessorial,28.23,100.43,R,杂食性,5,LC,0.845098040014257,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Aethopyga gouldiae,Passeriformes,5,2,Forest,Omnivore,Nectarivore,Insessorial,26.41,100.5,R,食花,13,LC,0.698970004336019,Partial migrant,LC,LC/NE,Omnivore,1,1
Agropsar philippensis,Passeriformes,28.8,3,Woodland,Omnivore,Omnivore,Insessorial,40.4,141.25,PW,杂食性,10,LC,1.45939248775923,Full migrant,LC,LC/NE,Omnivore,1,1
Agropsar sturninus,Passeriformes,49.4,3,Forest,Omnivore,Invertivore,Generalist,44.55,120.17,SWP,杂食性,31,LC,1.69372694892365,Full migrant,LC,LC/NE,Omnivore,1,1
Alcippe morrisonia,Passeriformes,15.26,2,Forest,Omnivore,Invertivore,Insessorial,25.8,107.54,RW,杂食性,18,LC,1.18355453361886,Partial migrant,LC,LC/NE,Omnivore,1,1
Anthreptes malacensis,Passeriformes,11.33,1,Woodland,Omnivore,Invertivore,Insessorial,3.2,108.96,R,食花,1,LC,1.0542299098634,Resident/low mobility,LC,LC/NE,Omnivore,1,1
Anthus godlewskii,Passeriformes,25.34,3,Rock,Carnivore,Invertivore,Terrestrial,48.72,102.13,SPV,食虫,17,LC,1.40380661054742,Full migrant,LC,LC/NE,Carnivore,1,1
Anthus pratensis,Passeriformes,18.4,2,Grassland,Carnivore,Invertivore,Terrestrial,59.47,30.67,PV,食虫,5,LC,1.26481782300954,Partial migrant,LC,LC/NE,Carnivore,1,1
Anthus richardi,Passeriformes,32.17,3,Grassland,Carnivore,Invertivore,Terrestrial,48.01,110.35,SWP,食虫,33,LC,1.50745106090197,Full migrant,LC,LC/NE,Carnivore,1,1
Anthus roseatus,Passeriformes,20.61,1,Grassland,Carnivore,Invertivore,Terrestrial,33.88,95.28,RSV,食虫,19,LC,1.31407799177921,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Anthus trivialis,Passeriformes,23.33,3,Woodland,Omnivore,Invertivore,Terrestrial,56.07,58.29,SWP,食虫,6,LC,1.36791473879375,Full migrant,LC,LC/NE,Omnivore,1,1
Calandrella brachydactyla,Passeriformes,21.06,2,Grassland,Omnivore,Omnivore,Terrestrial,42.62,50.52,SPW,杂食性,21,LC,1.32345836684947,Partial migrant,LC,LC/NE,Omnivore,1,1
Callacanthis burtoni,Passeriformes,38.14,1,Forest,Herbivore,Granivore,Terrestrial,31.67,78.13,R,NA,1,LC,1.58138068870999,Resident/low mobility,LC,LC/NE,Herbivore,1,1
Calliope obscura,Passeriformes,19.6,2,Forest,Carnivore,Invertivore,Generalist,33.49,104.89,SP,食虫,4,VU,1.29225607135648,Partial migrant,Threatened,Threatened/DD,Carnivore,1,1
Carpodacus roborowskii,Passeriformes,33.4,1,Grassland,Herbivore,Granivore,Terrestrial,34.75,96.73,R,杂食性,2,LC,1.52374646681156,Resident/low mobility,LC,LC/NE,Herbivore,1,1
Carpodacus vinaceus,Passeriformes,22.08,1,Forest,Herbivore,Granivore,Insessorial,29.51,104.46,R,杂食性,10,LC,1.34399906905716,Resident/low mobility,LC,LC/NE,Herbivore,1,1
Cecropis daurica,Passeriformes,22.2,3,Grassland,Carnivore,Invertivore,Aerial,29.46,82.45,RSP,食虫,33,LC,1.34635297445064,Full migrant,LC,LC/NE,Carnivore,1,1
Cecropis striolata,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,RS,食虫,3,NA,NA,NA,Unknown,Unknown,Other,1,1
Cettia brunnifrons,Passeriformes,7.34,2,Shrubland,Carnivore,Invertivore,Generalist,29.04,95.71,R,食虫,3,LC,0.865696059916071,Partial migrant,LC,LC/NE,Carnivore,1,1
Cettia castaneocoronata,Passeriformes,8.94,1,Forest,Carnivore,Invertivore,Terrestrial,25.85,98.2,R,杂食性,5,LC,0.951337518795918,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Chloris ambigua,Passeriformes,15.5,1,Woodland,Herbivore,Granivore,Insessorial,24.55,101.01,R,杂食性,6,LC,1.19033169817029,Resident/low mobility,LC,LC/NE,Herbivore,1,1
Chloris chloris,Passeriformes,26,1,Woodland,Herbivore,Granivore,Generalist,50.67,25.85,R,杂食性,1,LC,1.41497334797082,Resident/low mobility,LC,LC/NE,Herbivore,1,1
Chloris sinica,Passeriformes,18.59,1,Shrubland,Herbivore,Granivore,Generalist,37.44,119.75,RWP,杂食性,31,LC,1.2692793897719,Resident/low mobility,LC,LC/NE,Herbivore,1,1
Copsychus saularis,Passeriformes,36,1,Woodland,Carnivore,Invertivore,Terrestrial,19.34,97.13,R,食虫,21,LC,1.55630250076729,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Coracina macei,Passeriformes,105,1,Forest,Carnivore,Invertivore,Insessorial,20.18,79.29,R,杂食性,9,LC,2.02118929906994,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Curruca communis,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,LC,LC/NE,Other,1,1
Curruca crassirostris,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,LC,LC/NE,Other,1,1
Cyanistes cyanus,Passeriformes,14.62,2,Forest,Omnivore,Invertivore,Insessorial,51.43,83.7,RS,食虫,5,LC,1.16494737262184,Partial migrant,LC,LC/NE,Omnivore,1,1
Cyanoderma pyrrhops,Passeriformes,9.59,1,Forest,Carnivore,Invertivore,Insessorial,29.66,80.76,R,食虫,1,LC,0.981818607170664,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Cyanoderma rufifrons,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Delichon dasypus,Passeriformes,18,3,Rock,Carnivore,Invertivore,Aerial,35.62,108.05,RSWP,食虫,24,LC,1.25527250510331,Full migrant,LC,LC/NE,Carnivore,1,1
Dendrocitta formosae,Passeriformes,102.74,1,Forest,Omnivore,Omnivore,Insessorial,25.48,105.19,R,杂食性,15,LC,2.01173956138832,Resident/low mobility,LC,LC/NE,Omnivore,1,1
Dicaeum cruentatum,Passeriformes,5.6,1,Forest,Herbivore,Omnivore,Insessorial,14.78,104.8,R,杂食性,9,LC,0.7481880270062,Resident/low mobility,LC,LC/NE,Herbivore,1,1
Dicaeum ignipectus,Passeriformes,5.72,1,Forest,Herbivore,Omnivore,Insessorial,24.88,103.67,R,杂食性,18,LC,0.757396028793024,Resident/low mobility,LC,LC/NE,Herbivore,1,1
Dicaeum minullum,Passeriformes,6.2,1,Forest,Herbivore,Omnivore,Insessorial,19.49,102.91,NA,NA,NA,LC,0.792391689498254,Resident/low mobility,LC,LC/NE,Herbivore,1,1
Dicrurus annectens,Passeriformes,44,3,Forest,Carnivore,Invertivore,Insessorial,22.13,98.94,NA,NA,NA,LC,1.64345267648619,Full migrant,LC,LC/NE,Carnivore,1,1
Dicrurus hottentottus,Passeriformes,79.19,1,Forest,Carnivore,Invertivore,Insessorial,21.4,103.03,RSP,食虫,31,LC,1.89867034296553,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Dicrurus remifer,Passeriformes,43.1,1,Forest,Carnivore,Invertivore,Insessorial,18.91,99.14,SP,食虫,2,LC,1.63447727016073,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Emberiza buchanani,Passeriformes,21.2,3,Rock,Omnivore,Granivore,Terrestrial,42.43,74.82,S,杂食性,1,LC,1.32633586092875,Full migrant,LC,LC/NE,Omnivore,1,1
Emberiza hortulana,Passeriformes,19.9,3,Shrubland,Omnivore,Omnivore,Generalist,52.13,47.51,SP,杂食性,1,LC,1.29885307640971,Full migrant,LC,LC/NE,Omnivore,1,1
Emberiza melanocephala,Passeriformes,28.31,3,Shrubland,Omnivore,Omnivore,Generalist,38.73,39.34,PV,杂食性,5,LC,1.4519398693651,Full migrant,LC,LC/NE,Omnivore,1,1
Emberiza pusilla,Passeriformes,14.57,3,Forest,Herbivore,Granivore,Generalist,62.69,104.75,WP,杂食性,34,LC,1.16345955176999,Full migrant,LC,LC/NE,Herbivore,1,1
Emberiza rustica,Passeriformes,20.54,3,Forest,Herbivore,Granivore,Generalist,61.42,100.29,WP,杂食性,30,VU,1.31260043926126,Full migrant,Threatened,Threatened/DD,Herbivore,1,1
Emberiza stewarti,Passeriformes,15.96,3,Grassland,Herbivore,Granivore,Insessorial,38.62,71.82,V,NA,1,LC,1.20303288701471,Full migrant,LC,LC/NE,Herbivore,1,1
Emberiza sulphurata,Passeriformes,14.89,3,Forest,Omnivore,Omnivore,Terrestrial,37.92,139.48,WP,杂食性,10,LC,1.17289469775218,Full migrant,LC,LC/NE,Omnivore,1,1
Enicurus leschenaulti,Passeriformes,33.8,1,Riverine,Carnivore,Aquatic predator,Terrestrial,19.16,105.94,R,食虫,22,LC,1.52891670027765,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Enicurus schistaceus,Passeriformes,31,1,Riverine,Carnivore,Aquatic predator,Terrestrial,23.27,103.26,R,食虫,13,LC,1.49136169383427,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Eremophila alpestris,Passeriformes,33.33,3,Grassland,Omnivore,Omnivore,Terrestrial,53.86,4.61,RSWP,杂食性,13,LC,1.52283531366053,Full migrant,LC,LC/NE,Omnivore,1,1
Erpornis zantholeuca,Passeriformes,11.8,1,Forest,Omnivore,Invertivore,Insessorial,17.04,104.89,R,杂食性,9,LC,1.07188200730613,Resident/low mobility,LC,LC/NE,Omnivore,1,1
Erythrogenys hypoleucos,Passeriformes,75.6,1,Shrubland,Carnivore,Invertivore,Terrestrial,19.03,101.01,R,食虫,3,LC,1.87852179550121,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Ficedula albicilla,Passeriformes,10.8,3,Woodland,Carnivore,Invertivore,Insessorial,59.73,113.81,SWPV,食虫,34,LC,1.03342375548695,Full migrant,LC,LC/NE,Carnivore,1,1
Ficedula mugimaki,Passeriformes,11.7,3,Forest,Carnivore,Invertivore,Insessorial,52,115.26,SWP,食虫,26,LC,1.06818586174616,Full migrant,LC,LC/NE,Carnivore,1,1
Ficedula owstoni,Passeriformes,13.1,3,Forest,Carnivore,Invertivore,Insessorial,27.58,128.39,V,食虫,3,LC,1.11727129565576,Full migrant,LC,LC/NE,Carnivore,1,1
Ficedula ruficauda,Passeriformes,13.3,3,Forest,Carnivore,Invertivore,Insessorial,34.64,74.4,V,NA,1,LC,1.12385164096709,Full migrant,LC,LC/NE,Carnivore,1,1
Ficedula strophiata,Passeriformes,12.84,1,Forest,Carnivore,Invertivore,Insessorial,27.77,100.87,SWPV,食虫,14,LC,1.10856502373283,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Ficedula superciliaris,Passeriformes,8,2,Forest,Carnivore,Invertivore,Insessorial,29.59,90.11,SW,食虫,4,LC,0.903089986991944,Partial migrant,LC,LC/NE,Carnivore,1,1
Fringilla montifringilla,Passeriformes,23.19,3,Forest,Herbivore,Omnivore,Generalist,60.69,91.43,SWP,杂食性,30,LC,1.36530074863799,Full migrant,LC,LC/NE,Herbivore,1,1
Galerida cristata,Passeriformes,42.68,1,Grassland,Omnivore,Omnivore,Terrestrial,34.48,50.27,RW,杂食性,16,LC,1.63022441075243,Resident/low mobility,LC,LC/NE,Omnivore,1,1
Garrulax maesi,Passeriformes,112.5,1,Forest,Carnivore,Invertivore,Terrestrial,25.73,107.43,R,杂食性,4,LC,2.05115252244738,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Geokichla wardii,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Grandala coelicolor,Passeriformes,45.6,2,Rock,Omnivore,Invertivore,Generalist,31.87,94.75,R,食虫,6,LC,1.65896484266444,Partial migrant,LC,LC/NE,Omnivore,1,1
Helopsaltes certhiola,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,LC,LC/NE,Other,1,1
Helopsaltes ochotensis,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,LC,LC/NE,Other,1,1
Helopsaltes pryeri,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NT,NA,NA,NT,NT,Other,1,1
Hemitesia pallidipes,Passeriformes,10,1,Shrubland,Carnivore,Invertivore,Generalist,23.81,97.19,R,食虫,4,LC,1,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Heteroxenicus stellatus,Passeriformes,23,2,Forest,Omnivore,Invertivore,Terrestrial,27.81,96.21,R,杂食性,2,LC,1.36172783601759,Partial migrant,LC,LC/NE,Omnivore,1,1
Hypothymis azurea,Passeriformes,11.1,1,Forest,Carnivore,Invertivore,Insessorial,16.05,98.4,RWV,食虫,12,LC,1.04532297878666,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Hypsipetes leucocephalus,Passeriformes,51.8,3,Forest,Herbivore,Frugivore,Insessorial,25.06,103.26,RSW,杂食性,22,LC,1.71432975974523,Full migrant,LC,LC/NE,Herbivore,1,1
Iduna caligata,Passeriformes,8.9,3,Shrubland,Carnivore,Invertivore,Insessorial,54.46,63.33,S,食虫,2,LC,0.949390006644913,Full migrant,LC,LC/NE,Carnivore,1,1
Lalage melaschistos,Passeriformes,43,1,Forest,Carnivore,Invertivore,Insessorial,27.04,105.6,RSWPV,杂食性,25,LC,1.63346845557959,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Lanius borealis,Passeriformes,63.41,3,Shrubland,Carnivore,Vertivore,Insessorial,60.4,41.46,NA,NA,NA,LC,1.80215775318696,Full migrant,LC,LC/NE,Carnivore,1,1
Lanius collurioides,Passeriformes,26,2,Shrubland,Carnivore,Invertivore,Insessorial,21.75,102.66,R,食虫,5,LC,1.41497334797082,Partial migrant,LC,LC/NE,Carnivore,1,1
Lanius isabellinus,Passeriformes,25.2,3,Shrubland,Carnivore,Invertivore,Insessorial,43.37,101.27,SP,食虫，食肉,6,LC,1.40140054078154,Full migrant,LC,LC/NE,Carnivore,1,1
Lanius sphenocercus,Passeriformes,92.1,2,Grassland,Carnivore,Invertivore,Insessorial,44.15,121.02,RSWP,食虫，食肉,27,LC,1.96425963019685,Partial migrant,LC,LC/NE,Carnivore,1,1
Larvivora brunnea,Passeriformes,17.5,3,Shrubland,Carnivore,Invertivore,Terrestrial,30.68,92.71,S,食虫，食肉,5,LC,1.24303804868629,Full migrant,LC,LC/NE,Carnivore,1,1
Leptopoecile elegans,Passeriformes,6.21,1,Forest,Carnivore,Invertivore,Insessorial,33.97,99.28,R,食虫,7,LC,0.79309160017658,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Linaria cannabina,Passeriformes,19.53,1,Shrubland,Herbivore,Granivore,Terrestrial,49.19,33.6,R,杂食性,1,LC,1.29070224328785,Resident/low mobility,LC,LC/NE,Herbivore,1,1
Lophophanes dichrous,Passeriformes,13.8,1,Forest,Carnivore,Invertivore,Insessorial,30.34,98.82,R,杂食性,7,LC,1.13987908640124,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Loxia curvirostra,Passeriformes,38.29,2,Forest,Herbivore,Granivore,Insessorial,52.38,24.37,RWP,杂食性,21,LC,1.58308536634769,Partial migrant,LC,LC/NE,Herbivore,1,1
Machlolophus xanthogenys,Passeriformes,14.76,2,Forest,Omnivore,Invertivore,Insessorial,22.07,79.19,R,食虫,1,LC,1.16908635748702,Partial migrant,LC,LC/NE,Omnivore,1,1
Mixornis gularis,Passeriformes,11.83,1,Forest,Carnivore,Invertivore,Insessorial,17.47,98.32,R,食虫,2,LC,1.07298474462793,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Monticola gularis,Passeriformes,34.6,3,Forest,Carnivore,Invertivore,Terrestrial,48.22,126.79,SPV,食虫,25,LC,1.53907609879278,Full migrant,LC,LC/NE,Carnivore,1,1
Monticola rufiventris,Passeriformes,53.2,1,Forest,Carnivore,Invertivore,Generalist,27.68,104.86,RP,食虫，食肉,17,LC,1.72591163229505,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Monticola solitarius,Passeriformes,53.65,2,Rock,Carnivore,Omnivore,Insessorial,33.99,80.36,RSWV,食虫,32,LC,1.72956972630197,Partial migrant,LC,LC/NE,Carnivore,1,1
Motacilla citreola,Passeriformes,19.11,3,Wetland,Carnivore,Aquatic predator,Terrestrial,52.43,81.65,SWPV,食虫,29,LC,1.28126068705501,Full migrant,LC,LC/NE,Carnivore,1,1
Moupinia poecilotis,Passeriformes,18.71,1,Grassland,Carnivore,Invertivore,Insessorial,30.64,102.19,R,食虫,2,LC,1.27207378750001,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Muscicapa dauurica,Passeriformes,9.8,3,Woodland,Carnivore,Invertivore,Insessorial,48.12,113.45,SWP,食虫,31,LC,0.991226075692495,Full migrant,LC,LC/NE,Carnivore,1,1
Muscicapa muttui,Passeriformes,12,3,Forest,Carnivore,Invertivore,Insessorial,24.79,101.89,SPV,食虫,12,LC,1.07918124604762,Full migrant,LC,LC/NE,Carnivore,1,1
Mycerobas carnipes,Passeriformes,58.84,1,Forest,Herbivore,Omnivore,Insessorial,34.69,85.65,R,杂食性,10,LC,1.76967266405549,Resident/low mobility,LC,LC/NE,Herbivore,1,1
Myiomela leucura,Passeriformes,26.83,1,Forest,Omnivore,Invertivore,Generalist,24.37,102.92,NA,NA,NA,LC,1.42862067267194,Resident/low mobility,LC,LC/NE,Omnivore,1,1
Myophonus caeruleus,Passeriformes,157.98,1,Forest,Carnivore,Omnivore,Terrestrial,26.68,98.33,SWP,食虫，食肉,26,LC,2.19860210948971,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Napothera malacoptila,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,LC,LC/NE,Other,1,1
Niltava davidi,Passeriformes,24.2,3,Forest,Omnivore,Omnivore,Insessorial,26.16,107.19,SWV,食虫,14,LC,1.38381536598043,Full migrant,LC,LC/NE,Omnivore,1,1
Niltava grandis,Passeriformes,30.3,1,Forest,Carnivore,Invertivore,Insessorial,18.6,100.03,S,食虫,4,LC,1.4814426285023,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Niltava macgrigoriae,Passeriformes,11.95,2,Forest,Carnivore,Invertivore,Insessorial,23.07,99.79,RSW,食虫,10,LC,1.07736790528416,Partial migrant,LC,LC/NE,Carnivore,1,1
Niltava sundara,Passeriformes,21.1,3,Forest,Carnivore,Invertivore,Insessorial,27.58,99.03,S,食虫,13,LC,1.32428245529769,Full migrant,LC,LC/NE,Carnivore,1,1
Oenanthe oenanthe,Passeriformes,25.39,3,Grassland,Carnivore,Invertivore,Insessorial,56.46,53.12,SV,食虫,8,LC,1.40466270087372,Full migrant,LC,LC/NE,Carnivore,1,1
Oriolus oriolus,Passeriformes,79,3,Woodland,Omnivore,Omnivore,Insessorial,50.16,43.01,S,杂食性,1,LC,1.89762709129044,Full migrant,LC,LC/NE,Omnivore,1,1
Paradoxornis gularis,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Paradoxornis guttaticollis,Passeriformes,26,2,Shrubland,Omnivore,Omnivore,Insessorial,24.84,104.83,R,杂食性,10,LC,1.41497334797082,Partial migrant,LC,LC/NE,Omnivore,1,1
Parayuhina diademata,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,LC,LC/NE,Other,1,1
Parus major,Passeriformes,16.25,1,Woodland,Omnivore,Invertivore,Insessorial,44.04,75.02,RW,食虫,2,LC,1.21085336531489,Resident/low mobility,LC,LC/NE,Omnivore,1,1
Parus monticolus,Passeriformes,13.95,1,Forest,Omnivore,Invertivore,Insessorial,29.19,102.36,R,食虫,12,LC,1.14457420760962,Resident/low mobility,LC,LC/NE,Omnivore,1,1
Passerculus sandwichensis,Passeriformes,19.97,3,Grassland,Omnivore,Omnivore,Generalist,54.37,-108.21,NA,NA,NA,LC,1.3003780648707,Full migrant,LC,LC/NE,Omnivore,1,1
Pastor roseus,Passeriformes,72.97,3,Grassland,Omnivore,Omnivore,Insessorial,44.27,60.99,SPV,杂食性,10,LC,1.86314434625267,Full migrant,LC,LC/NE,Omnivore,1,1
Pellorneum albiventre,Passeriformes,21.5,1,Shrubland,Carnivore,Invertivore,Terrestrial,22.24,98.83,R,食虫,2,LC,1.33243845991561,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Pericrocotus cantonensis,Passeriformes,16.26,3,Forest,Carnivore,Invertivore,Insessorial,27.98,110.92,SP,杂食性,19,LC,1.21112054125805,Full migrant,LC,LC/NE,Carnivore,1,1
Pericrocotus divaricatus,Passeriformes,24.6,3,Forest,Carnivore,Invertivore,Insessorial,43.69,133.27,SP,食虫,24,LC,1.39093510710338,Full migrant,LC,LC/NE,Carnivore,1,1
Pericrocotus solaris,Passeriformes,14.5,1,Forest,Carnivore,Invertivore,Insessorial,22.67,103.76,RP,食虫,16,LC,1.16136800223497,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Periparus rubidiventris,Passeriformes,11.83,1,Forest,Carnivore,Invertivore,Insessorial,31.96,98.06,R,杂食性,6,LC,1.07298474462793,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Phoenicurus erythronotus,Passeriformes,18.5,3,Woodland,Omnivore,Invertivore,Insessorial,47.45,86.89,NA,NA,NA,LC,1.26717172840301,Full migrant,LC,LC/NE,Omnivore,1,1
Phoenicurus schisticeps,Passeriformes,18.1,2,Forest,Omnivore,Invertivore,Insessorial,31.33,99.25,NA,NA,NA,LC,1.25767857486918,Partial migrant,LC,LC/NE,Omnivore,1,1
Phyllergates cucullatus,Passeriformes,5.9,1,Shrubland,Carnivore,Invertivore,Insessorial,17.48,104.58,R,食虫,6,LC,0.770852011642144,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Phylloscopus burkii,Passeriformes,7.3,3,Forest,Carnivore,Invertivore,Insessorial,28.62,83.9,NA,NA,NA,LC,0.863322860120456,Full migrant,LC,LC/NE,Carnivore,1,1
Phylloscopus claudiae,Passeriformes,7.63,2,Forest,Carnivore,Invertivore,Insessorial,34.5,108.18,NA,NA,NA,LC,0.88252453795488,Partial migrant,LC,LC/NE,Carnivore,1,1
Phylloscopus coronatus,Passeriformes,10.1,3,Woodland,Carnivore,Invertivore,Insessorial,44.03,128.7,SP,食虫,31,LC,1.00432137378264,Full migrant,LC,LC/NE,Carnivore,1,1
Phylloscopus humei,Passeriformes,6,3,Forest,Carnivore,Invertivore,Insessorial,40.75,92.41,S,食虫,12,LC,0.778151250383644,Full migrant,LC,LC/NE,Carnivore,1,1
Phylloscopus maculipennis,Passeriformes,5.1,1,Forest,Carnivore,Invertivore,Insessorial,25.44,97.45,SW,食虫,3,LC,0.707570176097936,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Phylloscopus magnirostris,Passeriformes,11.6,3,Forest,Carnivore,Invertivore,Insessorial,31.01,92.22,SP,食虫,13,LC,1.06445798922692,Full migrant,LC,LC/NE,Carnivore,1,1
Phylloscopus ogilviegranti,Passeriformes,6.4,2,Forest,Carnivore,Invertivore,Insessorial,24.41,108.3,RS,食虫,9,LC,0.806179973983887,Partial migrant,LC,LC/NE,Carnivore,1,1
Phylloscopus omeiensis,Passeriformes,7.3,3,Forest,Carnivore,Invertivore,Insessorial,30.99,104.49,NA,NA,NA,LC,0.863322860120456,Full migrant,LC,LC/NE,Carnivore,1,1
Phylloscopus proregulus,Passeriformes,6,3,Forest,Carnivore,Invertivore,Insessorial,53.21,117.16,SWPV,食虫,34,LC,0.778151250383644,Full migrant,LC,LC/NE,Carnivore,1,1
Phylloscopus pulcher,Passeriformes,6.8,1,Forest,Carnivore,Invertivore,Insessorial,29,97.77,R,食虫,7,LC,0.832508912706236,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Phylloscopus sibilatrix,Passeriformes,9.2,3,Forest,Carnivore,Invertivore,Insessorial,54.15,28.43,SP,食虫,3,LC,0.963787827345555,Full migrant,LC,LC/NE,Carnivore,1,1
Phylloscopus subaffinis,Passeriformes,6.2,1,Shrubland,Carnivore,Invertivore,Insessorial,30.17,107.3,SW,食虫,19,LC,0.792391689498254,Resident/low mobility,LC,LC/NE,Carnivore,1,1
Phylloscopus tenellipes,Passeriformes,11.8,3,Forest,Carnivore,Invertivore,Insessorial,46.04,131.91,SP,食虫,23,LC,1.07188200730613,Full migrant,LC,LC/NE,Carnivore,1,1
Phylloscopus valentini,Passeriformes,7.3,3,Forest,Carnivore,Invertivore,Insessorial,30.45,106.31,NA,NA,NA,LC,0.863322860120456,Full migrant,LC,LC/NE,Carnivore,1,1
Phylloscopus yunnanensis,Passeriformes,6,2,Shrubland,Carnivore,Invertivore,Insessorial,36.33,108.92,RS,食虫,15,LC,0.778151250383644,Partial migrant,LC,LC/NE,Carnivore,1,1
Pitta brachyura,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Pitta moluccensis,Passeriformes,76,3,Forest,Carnivore,Invertivore,Terrestrial,15.55,103.07,V,食虫、小脊椎动物,6,LC,1.88081359228079,Full migrant,LC,LC/NE,Carnivore,1,1
Pitta sordida,Passeriformes,64.5,3,Forest,Carnivore,Invertivore,Terrestrial,11.98,103.84,RS,食虫,3,LC,1.80955971463527,Full migrant,LC,LC/NE,Carnivore,1,1
