species,order,direction
Locustella mandelli,Passeriformes,Northeast
Paradoxornis guttaticollis,Passeriformes,Northeast
Pericrocotus ethologus,Passeriformes,East
Phylloscopus magnirostris,Passeriformes,East
Pteruthius xanthochlorus,Passeriformes,East
Pericrocotus ethologus,Passeriformes,Northeast
Plectrophenax nivalis,Passeriformes,East
Lalage melaschistos,Passeriformes,Northeast
Certhia himalayana,Passeriformes,East
Pardaliparus venustulus,Passeriformes,Northwest
Bucanetes mongolicus,Passeriformes,Southwest
Emberiza pusilla,Passeriformes,South
Nycticorax nycticorax,Pelecaniformes,East
Sasia ochracea,Piciformes,East
Ardenna tenuirostris,Procellariiformes,East
Bubo nipalensis,Strigiformes,East
Accipiter soloensis,Accipitriformes,Northwest
Circus spilonotus,Accipitriformes,West
Aix galericulata,Anseriformes,West
Hydrophasianus chirurgus,Charadriiformes,Northeast
Larus hyperboreus,Charadriiformes,East
Megaceryle lugubris,Coraciiformes,Northeast
Amaurornis phoenicurus,Gruiformes,North
Spodiopsar sericeus,Passeriformes,Northwest
Remiz consobrinus,Passeriformes,Southwest
Artamus fuscus,Passeriformes,East
Phylloscopus proregulus,Passeriformes,Southeast
Anthus gustavi,Passeriformes,South
Muscicapa muttui,Passeriformes,Northeast
Niltava sundara,Passeriformes,East
Enicurus leschenaulti,Passeriformes,North
Passer hispaniolensis,Passeriformes,East
Acanthis flammea,Passeriformes,East
Dicrurus hottentottus,Passeriformes,North
Bucanetes mongolicus,Passeriformes,Southeast
Callacanthis burtoni,Passeriformes,Southeast
Dicrurus annectens,Passeriformes,Northwest
Stachyris humei,Passeriformes,Northeast
Passer domesticus,Passeriformes,Southeast
Ixobrychus eurhythmus,Pelecaniformes,Southwest
Egretta garzetta,Pelecaniformes,Northeast
Dendrocopos hyperythrus,Piciformes,Northwest
Hieraaetus pennatus,Accipitriformes,Southeast
Branta hutchinsii,Anseriformes,East
Anser fabalis,Anseriformes,South
Brachyramphus perdix,Charadriiformes,Southwest
Macropygia unchall,Columbiformes,East
Cacomantis merulinus,Cuculiformes,North
Hierococcyx nisicolor,Cuculiformes,North
Eudynamys scolopaceus,Cuculiformes,Northwest
Ixos mcclellandii,Passeriformes,North
Muscicapa ferruginea,Passeriformes,Northeast
Phylloscopus tephrocephalus,Passeriformes,Northeast
