"province","n_records","n_species","current_report_sum","historical_report_sum","current_user_sum","historical_user_sum","historical_report_annual","current_report_annual","historical_user_annual","current_user_annual","gdp_per_capita","area_km2","habitat_heterogeneity","human_density","population_10k","reference_mammal_richness","new_record_density_100k","log_new_record_density","historical_report_density","current_report_density","historical_user_density","current_user_density","z_hist_report_density","z_curr_report_density","z_gdp_per_capita","z_area_km2","z_habitat_heterogeneity","z_curr_user_density","fitted_primary","resid_primary","std_resid_primary","cooks_d_primary","hat_primary","dffits_primary"
"Heilongjiang",21,21,3540,0,565,0,0,141.6,0,22.6,49925,473000,1.4265208,67,3185,92,4.43974630021142,1.69373242378981,0,29.9365750528541,0,4.77801268498943,-0.182574185835055,-0.317576807635544,-0.97095288389068,0.543584067406356,-0.759748975921546,-0.358042691667284,2.41501527058238,-0.721282846792571,-1.19443946339607,0.0286474074464179,0.107523872250868,-0.418489475773115
"Henan",38,38,9853,0,2053,0,0,394.12,0,82.12,61737,167000,1.2584924,595,9937,69,22.7544910179641,3.16777160809758,0,236,0,49.1736526946108,-0.182574185835055,-0.292328167769946,-0.647254726508455,-0.320090642773574,-1.25392307316212,-0.283427282243032,2.98891655294272,0.178855055154857,0.298714487000184,0.00207780996821518,0.122588028491823,0.109507957332292
"Hubei",35,35,40098,0,3660,0,0,1603.92,0,146.4,93043,185900,1.9581408,311,5775,102,18.8273265196342,2.98706111345448,0,862.786444324906,0,78.7520172135557,-0.182574185835055,-0.215528972524805,0.210660488104475,-0.266746028321284,0.803753584211362,-0.233715153344732,3.05734386097601,-0.0702827475215215,-0.114141798073748,0.000168611457878719,0.0720560820194403,-0.0311455047854161
"Hunan",59,59,32278,0,2529,0,0,1291.12,0,101.16,73249,211800,1.893338,314,6644,112,27.8564683663834,3.36233417463057,0,609.593956562795,0,47.7620396600567,-0.182574185835055,-0.246552265192197,-0.33177782270011,-0.193644149257035,0.613167557154853,-0.285799769372377,2.92635433033274,0.435979844297825,0.700467224111554,0.00447316779360668,0.0518634825774507,0.162041728463164
"Inner Mongolia",35,35,6925,0,1262,0,0,277,0,50.48,96299,1183000,1.9069698,20,2405,137,2.9585798816568,1.37588534520515,0,23.4150464919696,0,4.26711749788673,-0.182574185835055,-0.318375880668758,0.29988849355965,2.54753519233364,0.653258889684141,-0.358901349264073,1.40169976328902,-0.0258144180838694,-0.0492669907106352,0.000197513329455139,0.328066498548905,-0.0337018770248584
"Jiangsu",49,49,47456,5,4796,3,0.25,1898.24,0.15,191.84,144989,107200,1.336322,791,8475,62,45.7089552238806,3.84393590697379,0.233208955223881,1770.74626865672,0.139925373134328,178.955223880597,5.2946513892166,-0.10427802819606,1.63419794860033,-0.488874131887168,-1.02502502784005,-0.0653043974807797,3.84393590697379,-2.66317409311217e-16,NA,NA,1,NA
"Jiangxi",30,30,17752,0,3288,0,0,710.08,0,131.52,70980,166900,2.0060458,271,4519,113,17.974835230677,2.94311363974871,0,425.452366686639,0,78.8016776512882,-0.182574185835055,-0.26911485575505,-0.39395790389722,-0.320372889410887,0.94464292272979,-0.233631689430419,2.97019749544816,-0.0270838556994464,-0.0440696325856321,2.64754923972618e-05,0.0756087829284142,-0.0123388168556065
"Jilin",24,24,3810,0,697,0,0,152.4,0,27.88,54293,187400,1.3353062,128,2407,85,12.8068303094984,2.62516341967948,0,81.3233724653148,0,14.8772678762006,-0.182574185835055,-0.311280461051736,-0.851251431854991,-0.262512328761578,-1.02801251119392,-0.341068951434934,2.9099339278989,-0.284770508219423,-0.474086056801883,0.00496070534448956,0.116941769127965,-0.169687082284574
"Liaoning",33,33,8129,0,1079,0,0,325.16,0,43.16,68030,148000,1.4459971,288,4259,75,22.2972972972973,3.14833735801947,0,219.702702702703,0,29.1621621621622,-0.182574185835055,-0.294325050964271,-0.474800230707038,-0.373717503863177,-0.702468879401632,-0.317060439889697,3.02787673695689,0.120460621062583,0.1957336714372,0.000502942061897264,0.0730148037381845,0.0538195193262237
"Ningxia",24,24,2022,0,391,0,0,80.88,0,15.64,70385,66400,1.8940364,108,720,74,36.144578313253,3.61481782008955,0,121.807228915663,0,23.5542168674699,-0.182574185835055,-0.306320035337432,-0.410263390152082,-0.604030759911158,0.615221562248712,-0.326485670252445,3.12516518749881,0.489652632590743,0.794362543314113,0.0079238844444598,0.0700655004743563,0.216316006070654
"Qinghai",31,31,10968,0,1364,0,0,438.72,0,54.56,60940,722300,1.0587929,8,592,98,4.29184549356223,1.66616704959864,0,60.7393049979233,0,7.55364806866953,-0.182574185835055,-0.313802595712881,-0.669095856836396,1.24722493422942,-1.84124236044865,-0.353377702706187,2.08759861249131,-0.421431562892662,-0.753096409461042,0.0288084234526132,0.233580314762089,-0.411895238854454
"Shaanxi",57,57,9740,0,1723,0,0,389.6,0,68.92,82908,205600,2.0862734,192,3953,156,27.7237354085603,3.35772379869472,0,189.494163424125,0,33.5214007782101,-0.182574185835055,-0.298026457603058,-0.067080861799762,-0.211143440770484,1.18059352276989,-0.309733901201575,2.93548097411332,0.422242824581406,0.690914323665944,0.00747724321612616,0.0859081201918425,0.209443694438043
"Shandong",30,30,7302,0,2065,0,0,292.08,0,82.6,86120,155800,1.0360239,652,10153,34,19.2554557124519,3.00842417516492,0,187.471116816431,0,53.0166880616175,-0.182574185835055,-0.298274338444804,0.0209413597979105,-0.351702266152708,-1.90820633808618,-0.27696832237042,3.12376166329641,-0.115337488131486,-0.203923462247394,0.001921641075488,0.21707479762725,-0.105207484348402
"Shanghai",24,24,63627,0,4732,0,0,2545.08,0,189.28,179538,6340,1.1685455,3923,2487,26,378.548895899054,5.9389834314849,0,40143.2176656151,0,2985.48895899054,-0.182574185835055,4.59744286818946,2.5809849143469,-0.773548090281768,-1.51845828332355,4.65161518432546,5.92957596368797,0.00940746779693076,0.0353864055986876,0.000997822773291797,0.827023834312314,0.0757481373669753
"Shanxi",11,11,5230,0,958,0,0,209.2,0,38.32,73442,156700,1.8605019,223,3492,75,7.01978302488832,2.08191136725912,0,133.503509891512,0,24.4543714103382,-0.182574185835055,-0.304886907715673,-0.326488816234247,-0.349162046416885,0.5165960842705,-0.324972787461552,2.99387790200354,-0.911966534744416,-1.46557847911712,0.019771203719508,0.052338290848454,-0.353353754820338
"Sichuan",34,34,32701,0,4042,0,0,1308.04,0,161.68,67822,486000,2.2854274,172,8367,239,6.99588477366255,2.07892700603689,0,269.144032921811,0,33.2674897119342,-0.182574185835055,-0.28826707953388,-0.480500299851595,0.580276130257138,1.76630848620375,-0.31016064757044,2.40292438776396,-0.323997381727065,-0.553180621341883,0.00974484195558706,0.160418668742131,-0.238236243098933
"Tianjin",23,23,9815,0,1055,0,0,392.6,0,42.2,117635,11934,1.3320304,1162,1387,22,192.726663314899,5.26644821357211,0,3289.76034858388,0,353.611530082118,-0.182574185835055,0.0818444700817932,0.884584047733977,-0.75775921339044,-1.03764668915277,0.22823910798349,3.63072113712378,1.63572707644833,2.8278776943131,0.294815298631997,0.181131569518512,1.59445544045148
"Xinjiang",34,34,14290,0,1158,0,0,571.6,0,46.32,68626,1664990,1.6312508,16,2585,153,2.04205430663247,1.11253304595667,0,34.3305365197389,0,2.78199869068283,-0.182574185835055,-0.317038422181215,-0.458467340273597,3.90793575952196,-0.157634911108315,-0.361397376978036,0.527594660223172,0.584938385733499,1.41055069227938,0.456288422459933,0.579121699491876,1.69139805069421
"Yunnan",60,60,51846,0,4678,0,0,2073.84,0,187.12,61332,394100,2.2693637,120,4721,338,15.2245622938341,2.78652628495871,0,526.22177112408,0,47.4803349403705,-0.182574185835055,-0.256767733005031,-0.658353418833193,0.320891470565845,1.71906489853736,-0.286273228319958,2.54203461865244,0.244491666306277,0.418838262756442,0.00582083827303001,0.166032532937575,0.183619894313131
"Zhejiang",35,35,33618,0,4950,0,0,1344.72,0,198,120363,105500,2.0459541,612,6457,95,33.175355450237,3.53150478344069,0,1274.61611374408,0,187.677725118483,-0.182574185835055,-0.165068105867852,0.959342646899124,-0.493672324721501,1.06201384410324,-0.0506445569890695,3.31458632895312,0.216918454487571,0.376913134031918,0.00553110631545873,0.189367245489287,0.178866540497057
