"term","independent_r2","percent","iteration","predictor"
"z_area_km2",0.290008713231595,41.3611525191006,35,"Area"
"z_habitat_heterogeneity",0.0242009847079344,3.45155360493577,35,"Habitat heterogeneity"
"z_hist_report_density",0.0254645359205267,3.98578081878459,36,"Historical survey effort"
"z_curr_report_density",0.125811410699022,19.6923560324605,36,"Current survey effort"
"z_gdp_per_capita",0.223992164890286,35.0598839564193,36,"Per capita GDP"
"z_area_km2",0.246468507483346,38.5779443468949,36,"Area"
"z_habitat_heterogeneity",0.0171478826461186,2.68403484544065,36,"Habitat heterogeneity"
"z_hist_report_density",0.00589051091256199,0.85754592910676,37,"Historical survey effort"
"z_curr_report_density",0.248133463004295,36.1234949282096,37,"Current survey effort"
"z_gdp_per_capita",0.192155491993368,27.9741710626507,37,"Per capita GDP"
"z_area_km2",0.218978763981057,31.8791273626742,37,"Area"
"z_habitat_heterogeneity",0.0217450265555972,3.1656607173588,37,"Habitat heterogeneity"
"z_hist_report_density",0.00675031916990413,0.959170666422845,38,"Historical survey effort"
"z_curr_report_density",0.185206026502965,26.3164131050857,38,"Current survey effort"
"z_gdp_per_capita",0.235355443085615,33.4422760626116,38,"Per capita GDP"
"z_area_km2",0.267484348543315,38.0075570343165,38,"Area"
"z_habitat_heterogeneity",0.00897008556226594,1.27458313156336,38,"Habitat heterogeneity"
"z_hist_report_density",0.0327182592455835,7.03075949554576,39,"Historical survey effort"
"z_curr_report_density",0.0298206163762541,6.40809097380929,39,"Current survey effort"
"z_gdp_per_capita",0.0111433156235897,2.39456419561784,39,"Per capita GDP"
"z_area_km2",0.295566637916561,63.5137074530916,39,"Area"
"z_habitat_heterogeneity",0.0961099882788821,20.6528778819355,39,"Habitat heterogeneity"
"z_hist_report_density",0.0112523690155069,1.52987785204574,40,"Historical survey effort"
"z_curr_report_density",0.301224070107963,40.9545787848023,40,"Current survey effort"
"z_gdp_per_capita",0.249450054139962,33.9153570678686,40,"Per capita GDP"
"z_area_km2",0.142329449625339,19.3511848372186,40,"Area"
"z_habitat_heterogeneity",0.0312517318226675,4.2490014580648,40,"Habitat heterogeneity"
"z_hist_report_density",0.0275916094353292,4.08945537803338,41,"Historical survey effort"
"z_curr_report_density",0.254924103229083,37.7832524552068,41,"Current survey effort"
"z_gdp_per_capita",0.100534556694325,14.9006017396499,41,"Per capita GDP"
"z_area_km2",0.281787592894119,41.7647904854879,41,"Area"
"z_habitat_heterogeneity",0.00986345820996874,1.46189994162198,41,"Habitat heterogeneity"
"z_hist_report_density",0.0100707435661392,1.57452520198026,42,"Historical survey effort"
"z_curr_report_density",0.0874631146995927,13.6745491962708,42,"Current survey effort"
"z_gdp_per_capita",0.144391424631424,22.5750894697011,42,"Per capita GDP"
"z_area_km2",0.39499255145065,61.7556909049523,42,"Area"
"z_habitat_heterogeneity",0.00268727031951888,0.42014522709549,42,"Habitat heterogeneity"
"z_hist_report_density",0,0,43,"Historical survey effort"
"z_curr_report_density",0.123683319843548,19.2949681099796,43,"Current survey effort"
"z_gdp_per_capita",0.172704879198849,26.9424781029073,43,"Per capita GDP"
"z_area_km2",0.275094297662525,42.9155338597788,43,"Area"
"z_habitat_heterogeneity",0.0695308449008499,10.8470199273343,43,"Habitat heterogeneity"
"z_hist_report_density",0.027030498129301,4.8010058127196,44,"Historical survey effort"
"z_curr_report_density",0.106650310582811,18.942631341351,44,"Current survey effort"
"z_gdp_per_capita",0.12720850983379,22.5940636468478,44,"Per capita GDP"
"z_area_km2",0.273898089577041,48.6482459132607,44,"Area"
"z_habitat_heterogeneity",0.0282299924743945,5.01405328582095,44,"Habitat heterogeneity"
"z_hist_report_density",0.0120007449441646,1.54639055092878,45,"Historical survey effort"
"z_curr_report_density",0.348115038095892,44.8573657762356,45,"Current survey effort"
"z_gdp_per_capita",0.187299222675857,24.1349807440986,45,"Per capita GDP"
"z_area_km2",0.192749838365419,24.8373355260976,45,"Area"
"z_habitat_heterogeneity",0.0358839320158028,4.62392740263936,45,"Habitat heterogeneity"
"z_hist_report_density",0.00724181139073322,1.08871917036667,46,"Historical survey effort"
"z_curr_report_density",0.244309800988011,36.729037735569,46,"Current survey effort"
"z_gdp_per_capita",0.198779404199869,29.8840906438673,46,"Per capita GDP"
"z_area_km2",0.170854272439888,25.6858832283842,46,"Area"
"z_habitat_heterogeneity",0.0439826980845681,6.61226922181282,46,"Habitat heterogeneity"
"z_hist_report_density",0.00652037411144305,0.860697853416366,47,"Historical survey effort"
"z_curr_report_density",0.131383061508064,17.3427348005703,47,"Current survey effort"
