"province","n_records","n_species","current_report_sum","historical_report_sum","current_user_sum","historical_user_sum","historical_report_annual","current_report_annual","historical_user_annual","current_user_annual","gdp_per_capita","area_km2","habitat_heterogeneity","human_density","population_10k","reference_mammal_richness","new_record_density_100k","log_new_record_density","historical_report_density","current_report_density","historical_user_density","current_user_density"
"Hunan",59,59,32278,0,2529,0,0,1291.12,0,101.16,73249,211800,1.893338,314,6644,112,27.8564683663834,3.36233417463057,0,609.593956562795,0,47.7620396600567
"Inner Mongolia",35,35,6925,0,1262,0,0,277,0,50.48,96299,1183000,1.9069698,20,2405,137,2.9585798816568,1.37588534520515,0,23.4150464919696,0,4.26711749788673
"Jiangsu",49,49,47456,5,4796,3,0.25,1898.24,0.15,191.84,144989,107200,1.336322,791,8475,62,45.7089552238806,3.84393590697379,0.233208955223881,1770.74626865672,0.139925373134328,178.955223880597
"Jiangxi",30,30,17752,0,3288,0,0,710.08,0,131.52,70980,166900,2.0060458,271,4519,113,17.974835230677,2.94311363974871,0,425.452366686639,0,78.8016776512882
"Jilin",24,24,3810,0,697,0,0,152.4,0,27.88,54293,187400,1.3353062,128,2407,85,12.8068303094984,2.62516341967948,0,81.3233724653148,0,14.8772678762006
"Liaoning",33,33,8129,0,1079,0,0,325.16,0,43.16,68030,148000,1.4459971,288,4259,75,22.2972972972973,3.14833735801947,0,219.702702702703,0,29.1621621621622
"Ningxia",24,24,2022,0,391,0,0,80.88,0,15.64,70385,66400,1.8940364,108,720,74,36.144578313253,3.61481782008955,0,121.807228915663,0,23.5542168674699
"Qinghai",31,31,10968,0,1364,0,0,438.72,0,54.56,60940,722300,1.0587929,8,592,98,4.29184549356223,1.66616704959864,0,60.7393049979233,0,7.55364806866953
"Shaanxi",57,57,9740,0,1723,0,0,389.6,0,68.92,82908,205600,2.0862734,192,3953,156,27.7237354085603,3.35772379869472,0,189.494163424125,0,33.5214007782101
"Shandong",30,30,7302,0,2065,0,0,292.08,0,82.6,86120,155800,1.0360239,652,10153,34,19.2554557124519,3.00842417516492,0,187.471116816431,0,53.0166880616175
"Shanghai",24,24,63627,0,4732,0,0,2545.08,0,189.28,179538,6340,1.1685455,3923,2487,26,378.548895899054,5.9389834314849,0,40143.2176656151,0,2985.48895899054
"Shanxi",11,11,5230,0,958,0,0,209.2,0,38.32,73442,156700,1.8605019,223,3492,75,7.01978302488832,2.08191136725912,0,133.503509891512,0,24.4543714103382
"Sichuan",34,34,32701,0,4042,0,0,1308.04,0,161.68,67822,486000,2.2854274,172,8367,239,6.99588477366255,2.07892700603689,0,269.144032921811,0,33.2674897119342
"Taiwan",1,1,1818,0,170,0,0,72.72,0,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tianjin",23,23,9815,0,1055,0,0,392.6,0,42.2,117635,11934,1.3320304,1162,1387,22,192.726663314899,5.26644821357211,0,3289.76034858388,0,353.611530082118
"Xinjiang",34,34,14290,0,1158,0,0,571.6,0,46.32,68626,1664990,1.6312508,16,2585,153,2.04205430663247,1.11253304595667,0,34.3305365197389,0,2.78199869068283
"Xizang",66,66,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yunnan",60,60,51846,0,4678,0,0,2073.84,0,187.12,61332,394100,2.2693637,120,4721,338,15.2245622938341,2.78652628495871,0,526.22177112408,0,47.4803349403705
"Zhejiang",35,35,33618,0,4950,0,0,1344.72,0,198,120363,105500,2.0459541,612,6457,95,33.175355450237,3.53150478344069,0,1274.61611374408,0,187.677725118483
