new_record_species,new_record_order,record_count_new_record,first_year,provinces_recorded,matched_species,match_status,match_type,taxonomy_source,review_flag,avibase_ioc_review,birdlife_review,candidate_species,note,model_ready
Branta ruficollis,Anseriformes,4,2008,Hebei | Henan | Sichuan | Xinjiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Pomatorhinus ruficollis similis | Podiceps ruficollis poggei | Turdus ruficollis ruficollis | Turdus ruficollis | Montifringilla ruficollis,same epithet Pomatorhinus ruficollis similis | Podiceps ruficollis poggei | Turdus ruficollis ruficollis | Turdus ruficollis | Montifringilla ruficollis,FALSE
Bubulcus ibis,NA,3,2002,Heilongjiang | Shanxi | Tianjin,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Bucanetes mongolicus,Passeriformes,3,2006,Heilongjiang | Sichuan | Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Bulweria bulwerii,Procellariiformes,1,2006,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Cacomantis merulinus,Cuculiformes,1,2016,Shaanxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calandrella brachydactyla,Passeriformes,1,2024,Hunan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calidris acuminata,Charadriiformes,2,2010,Shaanxi | Xinjiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calidris alba,Charadriiformes,1,2017,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Motacilla alba alboides | Motacilla alba baicalensis,same epithet Motacilla alba alboides | Motacilla alba baicalensis,FALSE
Calidris alpina,Charadriiformes,4,2011,Chongqing | Shaanxi | Tibet | Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calidris bairdii,Charadriiformes,1,2023,Zhejiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calidris canutus,Charadriiformes,1,2010,Jilin,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calidris falcinellus,Charadriiformes,2,2011,Jilin | Shaanxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calidris melanotos,Charadriiformes,6,2007,Hainan | Hunan | Liaoning | Tianjin | Yunnan | Zhejiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calidris minuta,Charadriiformes,9,2007,Hainan | Hubei | Hunan | Jilin | Liaoning | Shaanxi | Sichuan | Tianjin | Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calidris pugnax,Charadriiformes,5,2007,Guizhou | Henan | Liaoning | Shaanxi | Tianjin,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calidris pygmaea,Charadriiformes,1,2018,Shandong,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calidris subminuta,Charadriiformes,2,2010,Jilin | Xinjiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calidris tenuirostris,Charadriiformes,3,2011,Jilin | Sichuan | Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Callacanthis burtoni,Passeriformes,1,2015,Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calliope obscura,Passeriformes,1,2021,Hubei,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Calonectris leucomelas,Procellariiformes,2,2012,Anhui | Tianjin,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Caprimulgus macrurus,Caprimulgiformes,1,2019,Guizhou,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Caprimulgus indicus jotaka | Caprimulgus centralasicus,same genus Caprimulgus indicus jotaka | Caprimulgus centralasicus,FALSE
Carduelis carduelis,Passeriformes,2,2019,Inner Mongolia | Qinghai,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Carduelis ambigua ambigua | Carduelis thibetana,same genus Carduelis ambigua ambigua | Carduelis thibetana,FALSE
Cecropis daurica,Passeriformes,1,2013,Xinjiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Cecropis striolata,Passeriformes,1,2025,Chongqing,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Cephalopyrus flammiceps,Passeriformes,2,2013,Guangxi | Hubei,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Certhia familiaris,Passeriformes,1,2024,Jiangsu,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Certhia himalayana yunnanensis | Certhia nipalensis | Certhia tianquanensis,same genus Certhia himalayana yunnanensis | Certhia nipalensis | Certhia tianquanensis,FALSE
Ceryle rudis,Coraciiformes,3,2011,Beijing | Liaoning | Shaanxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Ceryle lugubris guttulata,same genus Ceryle lugubris guttulata,FALSE
Cettia brunnifrons,Passeriformes,1,2018,Shaanxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Cettia castaneocoronata,Passeriformes,1,2021,Hubei,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Chalcophaps indica,Columbiformes,4,2011,Anhui | Hunan | Jiangxi | Zhejiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
