species,scenario,gcm,raster_type,raster_path
Cygnus cygnus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/cygnus_cygnus/cygnus_cygnus_current_binary.tif
Syrmaticus humiae,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/syrmaticus_humiae/syrmaticus_humiae_current_probability.tif
Syrmaticus humiae,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/syrmaticus_humiae/syrmaticus_humiae_current_binary.tif
Pardaliparus venustulus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/pardaliparus_venustulus/pardaliparus_venustulus_current_probability.tif
Pardaliparus venustulus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/pardaliparus_venustulus/pardaliparus_venustulus_current_binary.tif
Phylloscopus yunnanensis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/phylloscopus_yunnanensis/phylloscopus_yunnanensis_current_probability.tif
Phylloscopus yunnanensis,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/phylloscopus_yunnanensis/phylloscopus_yunnanensis_current_binary.tif
Gracupica nigricollis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/gracupica_nigricollis/gracupica_nigricollis_current_probability.tif
Gracupica nigricollis,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/gracupica_nigricollis/gracupica_nigricollis_current_binary.tif
Grus nigricollis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/grus_nigricollis/grus_nigricollis_current_probability.tif
Grus nigricollis,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/grus_nigricollis/grus_nigricollis_current_binary.tif
Podiceps nigricollis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/podiceps_nigricollis/podiceps_nigricollis_current_probability.tif
Podiceps nigricollis,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/podiceps_nigricollis/podiceps_nigricollis_current_binary.tif
Ciconia boyciana,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/ciconia_boyciana/ciconia_boyciana_current_probability.tif
Ciconia boyciana,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/ciconia_boyciana/ciconia_boyciana_current_binary.tif
Pseudopodoces humilis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/pseudopodoces_humilis/pseudopodoces_humilis_current_probability.tif
Pseudopodoces humilis,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/pseudopodoces_humilis/pseudopodoces_humilis_current_binary.tif
Crossoptilon mantchuricum,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/crossoptilon_mantchuricum/crossoptilon_mantchuricum_current_probability.tif
Crossoptilon mantchuricum,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/crossoptilon_mantchuricum/crossoptilon_mantchuricum_current_binary.tif
Parayuhina diademata,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/parayuhina_diademata/parayuhina_diademata_current_probability.tif
Parayuhina diademata,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/parayuhina_diademata/parayuhina_diademata_current_binary.tif
Aythya nyroca,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/aythya_nyroca/aythya_nyroca_current_probability.tif
Aythya nyroca,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/aythya_nyroca/aythya_nyroca_current_binary.tif
Otus semitorques,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/otus_semitorques/otus_semitorques_current_probability.tif
Otus semitorques,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/otus_semitorques/otus_semitorques_current_binary.tif
Spizixos semitorques,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/spizixos_semitorques/spizixos_semitorques_current_probability.tif
Spizixos semitorques,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/spizixos_semitorques/spizixos_semitorques_current_binary.tif
Haliaeetus leucoryphus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/haliaeetus_leucoryphus/haliaeetus_leucoryphus_current_probability.tif
Haliaeetus leucoryphus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/haliaeetus_leucoryphus/haliaeetus_leucoryphus_current_binary.tif
Cygnus columbianus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/cygnus_columbianus/cygnus_columbianus_current_probability.tif
Cygnus columbianus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/cygnus_columbianus/cygnus_columbianus_current_binary.tif
Ficedula albicilla,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/ficedula_albicilla/ficedula_albicilla_current_probability.tif
Ficedula albicilla,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/ficedula_albicilla/ficedula_albicilla_current_binary.tif
Carpodacus vinaceus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/carpodacus_vinaceus/carpodacus_vinaceus_current_probability.tif
Carpodacus vinaceus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/carpodacus_vinaceus/carpodacus_vinaceus_current_binary.tif
Grus japonensis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/grus_japonensis/grus_japonensis_current_probability.tif
Grus japonensis,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/grus_japonensis/grus_japonensis_current_binary.tif
Gypaetus barbatus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/gypaetus_barbatus/gypaetus_barbatus_current_probability.tif
Gypaetus barbatus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/gypaetus_barbatus/gypaetus_barbatus_current_binary.tif
Aquila heliaca,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/aquila_heliaca/aquila_heliaca_current_probability.tif
Aquila heliaca,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/aquila_heliaca/aquila_heliaca_current_binary.tif
Clanga clanga,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/clanga_clanga/clanga_clanga_current_probability.tif
Clanga clanga,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/clanga_clanga/clanga_clanga_current_binary.tif
Garrulax canorus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/garrulax_canorus/garrulax_canorus_current_probability.tif
Garrulax canorus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/garrulax_canorus/garrulax_canorus_current_binary.tif
Sibirionetta formosa,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/sibirionetta_formosa/sibirionetta_formosa_current_probability.tif
Sibirionetta formosa,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/sibirionetta_formosa/sibirionetta_formosa_current_binary.tif
Leucogeranus leucogeranus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/leucogeranus_leucogeranus/leucogeranus_leucogeranus_current_probability.tif
Leucogeranus leucogeranus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/leucogeranus_leucogeranus/leucogeranus_leucogeranus_current_binary.tif
Grus monacha,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/grus_monacha/grus_monacha_current_probability.tif
Grus monacha,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/grus_monacha/grus_monacha_current_binary.tif
Sitta villosa,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/sitta_villosa/sitta_villosa_current_probability.tif
Sitta villosa,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/sitta_villosa/sitta_villosa_current_binary.tif
Emberiza siemsseni,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/emberiza_siemsseni/emberiza_siemsseni_current_probability.tif
Emberiza siemsseni,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/emberiza_siemsseni/emberiza_siemsseni_current_binary.tif
Glaucidium cuculoides,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/glaucidium_cuculoides/glaucidium_cuculoides_current_probability.tif
Glaucidium cuculoides,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/glaucidium_cuculoides/glaucidium_cuculoides_current_binary.tif
Emberiza yessoensis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/emberiza_yessoensis/emberiza_yessoensis_current_probability.tif
Emberiza yessoensis,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/emberiza_yessoensis/emberiza_yessoensis_current_binary.tif
Bombycilla japonica,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/bombycilla_japonica/bombycilla_japonica_current_probability.tif
Bombycilla japonica,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/bombycilla_japonica/bombycilla_japonica_current_binary.tif
Syrrhaptes paradoxus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/syrrhaptes_paradoxus/syrrhaptes_paradoxus_current_probability.tif
Syrrhaptes paradoxus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/syrrhaptes_paradoxus/syrrhaptes_paradoxus_current_binary.tif
Otocichla mupinensis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/otocichla_mupinensis/otocichla_mupinensis_current_probability.tif
Otocichla mupinensis,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/otocichla_mupinensis/otocichla_mupinensis_current_binary.tif
Phylloscopus omeiensis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/phylloscopus_omeiensis/phylloscopus_omeiensis_current_probability.tif
Phylloscopus omeiensis,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/phylloscopus_omeiensis/phylloscopus_omeiensis_current_binary.tif
Grus vipio,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/grus_vipio/grus_vipio_current_probability.tif
Grus vipio,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/grus_vipio/grus_vipio_current_binary.tif
Aegithalos fuliginosus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/aegithalos_fuliginosus/aegithalos_fuliginosus_current_probability.tif
Aegithalos fuliginosus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/aegithalos_fuliginosus/aegithalos_fuliginosus_current_binary.tif
Cygnus olor,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/cygnus_olor/cygnus_olor_current_probability.tif
Cygnus olor,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/cygnus_olor/cygnus_olor_current_binary.tif
Gyps himalayensis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/gyps_himalayensis/gyps_himalayensis_current_probability.tif
Gyps himalayensis,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/gyps_himalayensis/gyps_himalayensis_current_binary.tif
Platalea minor,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/platalea_minor/platalea_minor_current_probability.tif
Platalea minor,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/platalea_minor/platalea_minor_current_binary.tif
Ciconia nigra,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/ciconia_nigra/ciconia_nigra_current_probability.tif
Ciconia nigra,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/ciconia_nigra/ciconia_nigra_current_binary.tif
Circus macrourus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/circus_macrourus/circus_macrourus_current_probability.tif
Circus macrourus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/circus_macrourus/circus_macrourus_current_binary.tif
Larus relictus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/larus_relictus/larus_relictus_current_probability.tif
Larus relictus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/larus_relictus/larus_relictus_current_binary.tif
Anser erythropus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/anser_erythropus/anser_erythropus_current_probability.tif
Anser erythropus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/anser_erythropus/anser_erythropus_current_binary.tif
Limnodromus semipalmatus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/limnodromus_semipalmatus/limnodromus_semipalmatus_current_probability.tif
Limnodromus semipalmatus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/limnodromus_semipalmatus/limnodromus_semipalmatus_current_binary.tif
Dicrurus remifer,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/dicrurus_remifer/dicrurus_remifer_current_probability.tif
Dicrurus remifer,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/dicrurus_remifer/dicrurus_remifer_current_binary.tif
Tetrax tetrax,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/tetrax_tetrax/tetrax_tetrax_current_probability.tif
Tetrax tetrax,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/tetrax_tetrax/tetrax_tetrax_current_binary.tif
Egretta eulophotes,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/egretta_eulophotes/egretta_eulophotes_current_probability.tif
Egretta eulophotes,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/egretta_eulophotes/egretta_eulophotes_current_binary.tif
Tringa guttifer,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/tringa_guttifer/tringa_guttifer_current_probability.tif
Tringa guttifer,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/tringa_guttifer/tringa_guttifer_current_binary.tif
Accipiter trivirgatus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/accipiter_trivirgatus/accipiter_trivirgatus_current_probability.tif
Accipiter trivirgatus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/accipiter_trivirgatus/accipiter_trivirgatus_current_binary.tif
Crex crex,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/crex_crex/crex_crex_current_probability.tif
Crex crex,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/crex_crex/crex_crex_current_binary.tif
Garrulax maesi,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/garrulax_maesi/garrulax_maesi_current_probability.tif
Garrulax maesi,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/garrulax_maesi/garrulax_maesi_current_binary.tif
Moupinia poecilotis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/moupinia_poecilotis/moupinia_poecilotis_current_probability.tif
Moupinia poecilotis,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/moupinia_poecilotis/moupinia_poecilotis_current_binary.tif
Parus monticolus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/parus_monticolus/parus_monticolus_current_probability.tif
Parus monticolus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/parus_monticolus/parus_monticolus_current_binary.tif
Certhia tianquanensis,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/certhia_tianquanensis/certhia_tianquanensis_current_probability.tif
Certhia tianquanensis,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/certhia_tianquanensis/certhia_tianquanensis_current_binary.tif
Pericrocotus ethologus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling/data/rasters/pericrocotus_ethologus/pericrocotus_ethologus_current_probability.tif
Pericrocotus ethologus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling/data/rasters/pericrocotus_ethologus/pericrocotus_ethologus_current_binary.tif
