"order","province","n_records","x_order","y_order","x_province","y_province","edge_color"
"Anseriformes","Guangdong",1,-0.269796771157024,0.962917287347799,0.540640817455598,0.841253532831181,"#6AC1A5"
"Anseriformes","Guangxi",1,-0.269796771157024,0.962917287347799,0.618158986220605,-0.786053094742788,"#6AC1A5"
"Anseriformes","Guizhou",5,-0.269796771157024,0.962917287347799,0.866025403784439,-0.5,"#6AC1A5"
"Anseriformes","Hainan",2,-0.269796771157024,0.962917287347799,0.998867339183008,-0.0475819158237423,"#6AC1A5"
"Anseriformes","Hebei",2,-0.269796771157024,0.962917287347799,0.45822652172741,0.888835448654923,"#6AC1A5"
"Anseriformes","Heilongjiang",1,-0.269796771157024,0.962917287347799,0.755749574354258,0.654860733945285,"#6AC1A5"
"Anseriformes","Henan",4,-0.269796771157024,0.962917287347799,0.690079011482112,-0.72373403810507,"#6AC1A5"
"Anseriformes","Hubei",2,-0.269796771157024,0.962917287347799,0.909631995354518,-0.415415013001886,"#6AC1A5"
"Anseriformes","Hunan",1,-0.269796771157024,0.962917287347799,0.18925124436041,-0.981928697262707,"#6AC1A5"
"Anseriformes","Inner Mongolia",1,-0.269796771157024,0.962917287347799,0.814575952050336,-0.580056909571198,"#6AC1A5"
"Anseriformes","Jiangsu",2,-0.269796771157024,0.962917287347799,0.45822652172741,-0.888835448654923,"#6AC1A5"
"Anseriformes","Jiangxi",1,-0.269796771157024,0.962917287347799,0.998867339183008,0.0475819158237423,"#6AC1A5"
"Anseriformes","Jilin",7,-0.269796771157024,0.962917287347799,0.945000818714669,0.327067963317421,"#6AC1A5"
"Anseriformes","Liaoning",3,-0.269796771157024,0.962917287347799,0.945000818714668,-0.327067963317422,"#6AC1A5"
"Anseriformes","Ningxia",1,-0.269796771157024,0.962917287347799,0.814575952050336,0.580056909571198,"#6AC1A5"
"Anseriformes","Shaanxi",4,-0.269796771157024,0.962917287347799,0.28173255684143,-0.959492973614497,"#6AC1A5"
"Anseriformes","Shandong",4,-0.269796771157024,0.962917287347799,0.971811568323542,0.235758935509427,"#6AC1A5"
"Anseriformes","Shanghai",2,-0.269796771157024,0.962917287347799,0.866025403784439,0.5,"#6AC1A5"
"Anseriformes","Sichuan",2,-0.269796771157024,0.962917287347799,0.971811568323542,-0.235758935509427,"#6AC1A5"
"Anseriformes","Tianjin",1,-0.269796771157024,0.962917287347799,0.909631995354518,0.415415013001886,"#6AC1A5"
"Anseriformes","Tibet",3,-0.269796771157024,0.962917287347799,6.12323399573677e-17,-1,"#6AC1A5"
"Anseriformes","Xinjiang",3,-0.269796771157024,0.962917287347799,0.989821441880933,-0.142314838273285,"#6AC1A5"
"Anseriformes","Yunnan",5,-0.269796771157024,0.962917287347799,0.0950560433041828,-0.995471922573085,"#6AC1A5"
"Anseriformes","Zhejiang",1,-0.269796771157024,0.962917287347799,0.755749574354258,-0.654860733945285,"#6AC1A5"
"Caprimulgiformes","Guizhou",2,-0.887885218402375,-0.460065037731152,0.866025403784439,-0.5,"#7DD8AC"
"Caprimulgiformes","Hunan",1,-0.887885218402375,-0.460065037731152,0.18925124436041,-0.981928697262707,"#7DD8AC"
"Caprimulgiformes","Inner Mongolia",1,-0.887885218402375,-0.460065037731152,0.814575952050336,-0.580056909571198,"#7DD8AC"
"Charadriiformes","Anhui",5,-0.136166649096246,0.990685946036331,0.540640817455598,-0.841253532831181,"#F28C57"
"Charadriiformes","Beijing",1,-0.136166649096246,0.990685946036331,0.690079011482112,0.72373403810507,"#F28C57"
"Charadriiformes","Chongqing",2,-0.136166649096246,0.990685946036331,0.371662455660328,0.928367933016073,"#F28C57"
"Charadriiformes","Fujian",5,-0.136166649096246,0.990685946036331,0.618158986220605,0.786053094742787,"#F28C57"
