order_bar,n_records,year
Gaviiformes,2,2025
Gruiformes,2,2025
Others,1,2025
Passeriformes,35,2025
Pelecaniformes,3,2025
Phoenicopteriformes,0,2025
Piciformes,0,2025
Podicipediformes,0,2025
Procellariiformes,0,2025
Strigiformes,0,2025
Suliformes,2,2025
Charadriiformes,1,NA
