order_bar,n_records,province_label_bar
Others,9,Xizang
Passeriformes,39,Xizang
Pelecaniformes,3,Xizang
Strigiformes,1,Xizang
Suliformes,0,Xizang
Accipitriformes,2,Yunnan
Anseriformes,5,Yunnan
Charadriiformes,18,Yunnan
Columbiformes,2,Yunnan
Coraciiformes,0,Yunnan
Gruiformes,6,Yunnan
Others,10,Yunnan
Passeriformes,12,Yunnan
Pelecaniformes,3,Yunnan
Strigiformes,1,Yunnan
Suliformes,1,Yunnan
Accipitriformes,1,Zhejiang
Anseriformes,1,Zhejiang
Charadriiformes,6,Zhejiang
Columbiformes,3,Zhejiang
Coraciiformes,0,Zhejiang
Gruiformes,0,Zhejiang
Others,5,Zhejiang
Passeriformes,16,Zhejiang
Pelecaniformes,0,Zhejiang
Strigiformes,2,Zhejiang
Suliformes,1,Zhejiang
