scale_id,climate_id,climate_label,effort_id,effort_label,additive_r2,interaction_r2,delta_interaction_r2,ratio_interaction_additive
grid100,exposure,Climate exposure,visits,Observer visits,0.000601185260968437,0.00062885401653401,2.76687555655733e-05,0.0460236758316435
grid100,exposure,Climate exposure,pc1,PCA composite (PC1),0.000575809005811663,0.000597650060095237,2.18410542835737e-05,0.0379310744763126
grid100,exposure,Climate exposure,days,Birding days,0.000595331886775807,0.000628314340567712,3.29824537919056e-05,0.0554017927219247
grid100,warming,Warming rate,record,Record-based (legacy),0.000589342143809604,0.000589142830691831,-1.99313117773127e-07,-0.00033819593569999
grid100,warming,Warming rate,visits,Observer visits,0.000594152725862617,0.000593672689314366,-4.80036548251156e-07,-0.000807934605625545
grid100,warming,Warming rate,pc1,PCA composite (PC1),0.000588193150376229,0.000588141874490629,-5.12758856001079e-08,-8.71752511352947e-05
grid100,warming,Warming rate,days,Birding days,0.000586835113188509,0.000586300602042539,-5.34511145970445e-07,-0.000910837020413165
grid100,prec_velocity,Precipitation velocity,record,Record-based (legacy),7.09097734479108e-08,0.000323964444369196,0.000323893534595749,4567.68536757032
grid100,prec_velocity,Precipitation velocity,visits,Observer visits,0.000293763804639003,0.000295183809794162,1.42000515515936e-06,0.00483383293903197
grid100,prec_velocity,Precipitation velocity,pc1,PCA composite (PC1),0.000290031151565246,0.000293918147125033,3.88699555978715e-06,0.0134019933335083
grid100,prec_velocity,Precipitation velocity,days,Birding days,0.000299619059210273,0.000301930834941372,2.31177573109932e-06,0.007715716540839
