province,year,climate_scenario,effort_scenario,hazard_mean
Hebei,2030,current,doubled,0.0764740332961083
Xinjiang,2030,current,doubled,0.133010908961296
Inner Mongolia,2030,current,doubled,0.172799646854401
Tianjin,2030,current,doubled,0.076122984290123
Beijing,2030,current,doubled,0.0910917147994041
Liaoning,2030,current,doubled,0.185927763581276
Jilin,2030,current,doubled,0.0532477460801601
Heilongjiang,2030,current,doubled,0.0894396901130676
Hainan,2030,ssp245,baseline,0.05217594653368
Guangdong,2030,ssp245,baseline,0.0596419312059879
Yunnan,2030,ssp245,baseline,0.0146275898441672
Guangxi,2030,ssp245,baseline,0.0323222205042839
Guizhou,2030,ssp245,baseline,0.108742162585258
Fujian,2030,ssp245,baseline,0.032178919762373
Hunan,2030,ssp245,baseline,0.0194218773394823
Jiangxi,2030,ssp245,baseline,0.0277859326452017
Sichuan,2030,ssp245,baseline,0.0868514254689217
Tibet,2030,ssp245,baseline,0.188544511795044
Zhejiang,2030,ssp245,baseline,0.015394788235426
Chongqing,2030,ssp245,baseline,0.0560689531266689
Hubei,2030,ssp245,baseline,0.0173240434378386
Anhui,2030,ssp245,baseline,0.0371516570448875
Shaanxi,2030,ssp245,baseline,0.0750196799635887
Qinghai,2030,ssp245,baseline,0.0822863802313805
Henan,2030,ssp245,baseline,0.0285760536789894
Jiangsu,2030,ssp245,baseline,0.0157389938831329
Shanghai,2030,ssp245,baseline,0.0247561745345593
Gansu,2030,ssp245,baseline,0.293455302715302
Shanxi,2030,ssp245,baseline,0.319070070981979
Ningxia,2030,ssp245,baseline,0.29539966583252
Shandong,2030,ssp245,baseline,0.0478257760405541
Hebei,2030,ssp245,baseline,0.0974389016628265
Xinjiang,2030,ssp245,baseline,0.15767477452755
Inner Mongolia,2030,ssp245,baseline,0.175978943705559
Tianjin,2030,ssp245,baseline,0.0657949298620224
Beijing,2030,ssp245,baseline,0.0534932389855385
Liaoning,2030,ssp245,baseline,0.177656099200249
Jilin,2030,ssp245,baseline,0.0430842414498329
Heilongjiang,2030,ssp245,baseline,0.0601186901330948
Hainan,2030,ssp245,trend,0.0357775203883648
Guangdong,2030,ssp245,trend,0.0852128118276596
Yunnan,2030,ssp245,trend,0.0131841842085123
Guangxi,2030,ssp245,trend,0.0271557494997978
Guizhou,2030,ssp245,trend,0.093161441385746
Fujian,2030,ssp245,trend,0.0180643703788519
Hunan,2030,ssp245,trend,0.0243575982749462
Jiangxi,2030,ssp245,trend,0.0312530621886253
Sichuan,2030,ssp245,trend,0.101358652114868
Tibet,2030,ssp245,trend,0.119914770126343
Zhejiang,2030,ssp245,trend,0.023120578378439
Chongqing,2030,ssp245,trend,0.045371450483799
Hubei,2030,ssp245,trend,0.0174580030143261
Anhui,2030,ssp245,trend,0.0245200544595718
Shaanxi,2030,ssp245,trend,0.0982105433940887
Qinghai,2030,ssp245,trend,0.129165083169937
Henan,2030,ssp245,trend,0.0276720859110355
Jiangsu,2030,ssp245,trend,0.0138002363964915
Shanghai,2030,ssp245,trend,0.0215844269841909
Gansu,2030,ssp245,trend,0.185994401574135
Shanxi,2030,ssp245,trend,0.179942801594734
Ningxia,2030,ssp245,trend,0.206305384635925
Shandong,2030,ssp245,trend,0.0396872982382774
Hebei,2030,ssp245,trend,0.10759100317955
Xinjiang,2030,ssp245,trend,0.124929942190647
Inner Mongolia,2030,ssp245,trend,0.150988325476646
Tianjin,2030,ssp245,trend,0.0570815838873386
Beijing,2030,ssp245,trend,0.051753468811512
Liaoning,2030,ssp245,trend,0.183179944753647
Jilin,2030,ssp245,trend,0.176226913928986
Heilongjiang,2030,ssp245,trend,0.0813591703772545
Hainan,2030,ssp245,doubled,0.0447121039032936
Guangdong,2030,ssp245,doubled,0.0584404729306698
Yunnan,2030,ssp245,doubled,0.0268511101603508
Guangxi,2030,ssp245,doubled,0.0293057877570391
Guizhou,2030,ssp245,doubled,0.0244447384029627
Fujian,2030,ssp245,doubled,0.0260418057441711
Hunan,2030,ssp245,doubled,0.0222453474998474
Jiangxi,2030,ssp245,doubled,0.0558511801064014
Sichuan,2030,ssp245,doubled,0.0821513086557388
Tibet,2030,ssp245,doubled,0.199804380536079
Zhejiang,2030,ssp245,doubled,0.0238141920417547
Chongqing,2030,ssp245,doubled,0.0471341386437416
Hubei,2030,ssp245,doubled,0.0222046542912722
Anhui,2030,ssp245,doubled,0.0487686768174171
Shaanxi,2030,ssp245,doubled,0.0987127125263214
Qinghai,2030,ssp245,doubled,0.169691801071167
Henan,2030,ssp245,doubled,0.0371377542614937
Jiangsu,2030,ssp245,doubled,0.0156396254897118
Shanghai,2030,ssp245,doubled,0.0209662411361933
Gansu,2030,ssp245,doubled,0.223498627543449
Shanxi,2030,ssp245,doubled,0.102591916918755
Ningxia,2030,ssp245,doubled,0.178742125630379
Shandong,2030,ssp245,doubled,0.0409215725958347
Hebei,2030,ssp245,doubled,0.1191466152668
Xinjiang,2030,ssp245,doubled,0.0940895900130272
Inner Mongolia,2030,ssp245,doubled,0.137021958827972
Tianjin,2030,ssp245,doubled,0.0617499984800816
Beijing,2030,ssp245,doubled,0.0912418439984322
Liaoning,2030,ssp245,doubled,0.0990145653486252
Jilin,2030,ssp245,doubled,0.154447540640831
Heilongjiang,2030,ssp245,doubled,0.0476781390607357
Hainan,2030,ssp585,baseline,0.0143781462684274
Guangdong,2030,ssp585,baseline,0.0459158085286617
Yunnan,2030,ssp585,baseline,0.0239009242504835
Guangxi,2030,ssp585,baseline,0.0386636666953564
Guizhou,2030,ssp585,baseline,0.147163361310959
Fujian,2030,ssp585,baseline,0.0625007376074791
Hunan,2030,ssp585,baseline,0.0281786099076271
Jiangxi,2030,ssp585,baseline,0.0597060360014439
Sichuan,2030,ssp585,baseline,0.0377377383410931
Tibet,2030,ssp585,baseline,0.214235752820969
Zhejiang,2030,ssp585,baseline,0.023298529908061
Chongqing,2030,ssp585,baseline,0.0290205087512732
Hubei,2030,ssp585,baseline,0.0203570630401373
Anhui,2030,ssp585,baseline,0.0427246540784836
Shaanxi,2030,ssp585,baseline,0.0430900417268276
Qinghai,2030,ssp585,baseline,0.198719814419746
Henan,2030,ssp585,baseline,0.0294999815523624
Jiangsu,2030,ssp585,baseline,0.0256793554872274
Shanghai,2030,ssp585,baseline,0.0340488441288471
Gansu,2030,ssp585,baseline,0.449683398008347
Shanxi,2030,ssp585,baseline,0.102790057659149
Ningxia,2030,ssp585,baseline,0.203781813383102
Shandong,2030,ssp585,baseline,0.031274002045393
Hebei,2030,ssp585,baseline,0.0527711845934391
Xinjiang,2030,ssp585,baseline,0.0798225626349449
Inner Mongolia,2030,ssp585,baseline,0.270254582166672
Tianjin,2030,ssp585,baseline,0.0252149384468794
Beijing,2030,ssp585,baseline,0.0149044310674071
Liaoning,2030,ssp585,baseline,0.0800382792949677
Jilin,2030,ssp585,baseline,0.143527805805206
Heilongjiang,2030,ssp585,baseline,0.204936295747757
Hainan,2030,ssp585,trend,0.0234746560454369
Guangdong,2030,ssp585,trend,0.0596583820879459
Yunnan,2030,ssp585,trend,0.0668635666370392
Guangxi,2030,ssp585,trend,0.0751351565122604
Guizhou,2030,ssp585,trend,0.100548803806305
Fujian,2030,ssp585,trend,0.0496591627597809
Hunan,2030,ssp585,trend,0.0431602969765663
Jiangxi,2030,ssp585,trend,0.0387689210474491
Sichuan,2030,ssp585,trend,0.0274689830839634
Tibet,2030,ssp585,trend,0.239333271980286
Zhejiang,2030,ssp585,trend,0.0274852756410837
Chongqing,2030,ssp585,trend,0.0284922197461128
Hubei,2030,ssp585,trend,0.0275614056736231
Anhui,2030,ssp585,trend,0.0351202376186848
Shaanxi,2030,ssp585,trend,0.0324867404997349
Qinghai,2030,ssp585,trend,0.242983132600784
Henan,2030,ssp585,trend,0.0292549151927233
Jiangsu,2030,ssp585,trend,0.0302806664258242
Shanghai,2030,ssp585,trend,0.0414624251425266
Gansu,2030,ssp585,trend,0.212821915745735
Shanxi,2030,ssp585,trend,0.118322275578976
Ningxia,2030,ssp585,trend,0.155016422271729
Shandong,2030,ssp585,trend,0.0341441929340363
Hebei,2030,ssp585,trend,0.0469195656478405
Xinjiang,2030,ssp585,trend,0.0797455459833145
Inner Mongolia,2030,ssp585,trend,0.166480958461761
Tianjin,2030,ssp585,trend,0.0251400545239449
Beijing,2030,ssp585,trend,0.0182095095515251
Liaoning,2030,ssp585,trend,0.0961820632219315
Jilin,2030,ssp585,trend,0.187069356441498
Heilongjiang,2030,ssp585,trend,0.261468410491943
Hainan,2030,ssp585,doubled,0.0184551682323217
Guangdong,2030,ssp585,doubled,0.051372341811657
Yunnan,2030,ssp585,doubled,0.0305474735796452
Guangxi,2030,ssp585,doubled,0.0513853579759598
Guizhou,2030,ssp585,doubled,0.061652421951294
Fujian,2030,ssp585,doubled,0.0494513772428036
Hunan,2030,ssp585,doubled,0.0397223047912121
Jiangxi,2030,ssp585,doubled,0.0452168546617031
Sichuan,2030,ssp585,doubled,0.0699854046106339
Tibet,2030,ssp585,doubled,0.121632598340511
Zhejiang,2030,ssp585,doubled,0.0246841572225094
Chongqing,2030,ssp585,doubled,0.060426976531744
Hubei,2030,ssp585,doubled,0.028431348502636
Anhui,2030,ssp585,doubled,0.0519976057112217
Shaanxi,2030,ssp585,doubled,0.0368757732212544
Qinghai,2030,ssp585,doubled,0.148225545883179
Henan,2030,ssp585,doubled,0.0312084965407848
Jiangsu,2030,ssp585,doubled,0.0272026304155588
Shanghai,2030,ssp585,doubled,0.0410889647901058
Gansu,2030,ssp585,doubled,0.13859336078167
Shanxi,2030,ssp585,doubled,0.0702360942959786
Ningxia,2030,ssp585,doubled,0.168769970536232
Shandong,2030,ssp585,doubled,0.0611820407211781
Hebei,2030,ssp585,doubled,0.0445082038640976
Xinjiang,2030,ssp585,doubled,0.0771735981106758
Inner Mongolia,2030,ssp585,doubled,0.0952581912279129
Tianjin,2030,ssp585,doubled,0.0491255670785904
Beijing,2030,ssp585,doubled,0.0172694213688374
Liaoning,2030,ssp585,doubled,0.0533724613487721
Jilin,2030,ssp585,doubled,0.179250165820122
Heilongjiang,2030,ssp585,doubled,0.116459608078003
Hainan,2035,current,baseline,0.0503746047616005
Guangdong,2035,current,baseline,0.0856037586927414
Yunnan,2035,current,baseline,0.0192420091480017
Guangxi,2035,current,baseline,0.0344646796584129
Guizhou,2035,current,baseline,0.221927285194397
Fujian,2035,current,baseline,0.0216995142400265
Hunan,2035,current,baseline,0.0155808385461569
Jiangxi,2035,current,baseline,0.0217745471745729
Sichuan,2035,current,baseline,0.202341750264168
Tibet,2035,current,baseline,0.15326651930809
Zhejiang,2035,current,baseline,0.0144040891900659
Chongqing,2035,current,baseline,0.102338187396526
Hubei,2035,current,baseline,0.0267897006124258
Anhui,2035,current,baseline,0.0474686846137047
Shaanxi,2035,current,baseline,0.158420071005821
Qinghai,2035,current,baseline,0.1220967695117
Henan,2035,current,baseline,0.0573702044785023
Jiangsu,2035,current,baseline,0.0304173231124878
Shanghai,2035,current,baseline,0.0305352471768856
Gansu,2035,current,baseline,0.107303753495216
Shanxi,2035,current,baseline,0.236601561307907
Ningxia,2035,current,baseline,0.107820875942707
Shandong,2035,current,baseline,0.149762764573097
Hebei,2035,current,baseline,0.212589412927628
Xinjiang,2035,current,baseline,0.277350187301636
Inner Mongolia,2035,current,baseline,0.0432942733168602
Tianjin,2035,current,baseline,0.0968052074313164
Beijing,2035,current,baseline,0.111239202320576
Liaoning,2035,current,baseline,0.159969091415405
Jilin,2035,current,baseline,0.0418970435857773
Heilongjiang,2035,current,baseline,0.142421826720238
Hainan,2035,current,trend,0.0452477969229221
Guangdong,2035,current,trend,0.121631808578968
Yunnan,2035,current,trend,0.00940378196537495
Guangxi,2035,current,trend,0.033021055161953
Guizhou,2035,current,trend,0.0875980705022812
Fujian,2035,current,trend,0.0205643102526665
Hunan,2035,current,trend,0.0151228783652186
Jiangxi,2035,current,trend,0.0143394367769361
Sichuan,2035,current,trend,0.109601512551308
Tibet,2035,current,trend,0.10649199783802
Zhejiang,2035,current,trend,0.0180823989212513
Chongqing,2035,current,trend,0.072600744664669
Hubei,2035,current,trend,0.0420805402100086
Anhui,2035,current,trend,0.0396872982382774
Shaanxi,2035,current,trend,0.12149665504694
Qinghai,2035,current,trend,0.0833994448184967
Henan,2035,current,trend,0.0269259810447693
Jiangsu,2035,current,trend,0.0293440353125334
Shanghai,2035,current,trend,0.0199001748114824
Gansu,2035,current,trend,0.120462618768215
Shanxi,2035,current,trend,0.42634117603302
Ningxia,2035,current,trend,0.131715714931488
Shandong,2035,current,trend,0.0887881889939308
Hebei,2035,current,trend,0.130749389529228
Xinjiang,2035,current,trend,0.214330509305
Inner Mongolia,2035,current,trend,0.167217016220093
Tianjin,2035,current,trend,0.11274091899395
Beijing,2035,current,trend,0.0749532133340836
Liaoning,2035,current,trend,0.530290246009827
Jilin,2035,current,trend,0.0362165868282318
Heilongjiang,2035,current,trend,0.12244538217783
Hainan,2035,current,doubled,0.0534191429615021
Guangdong,2035,current,doubled,0.068601556122303
Yunnan,2035,current,doubled,0.0335065610706806
Guangxi,2035,current,doubled,0.0700838714838028
Guizhou,2035,current,doubled,0.045569434762001
Fujian,2035,current,doubled,0.025552861392498
Hunan,2035,current,doubled,0.0326410494744778
Jiangxi,2035,current,doubled,0.0325219221413136
Sichuan,2035,current,doubled,0.0809899121522903
Tibet,2035,current,doubled,0.11090149730444
Zhejiang,2035,current,doubled,0.0204806607216597
Chongqing,2035,current,doubled,0.0827633067965508
Hubei,2035,current,doubled,0.063206747174263
Anhui,2035,current,doubled,0.0407111421227455
Shaanxi,2035,current,doubled,0.0886059626936913
Qinghai,2035,current,doubled,0.0961391255259514
Henan,2035,current,doubled,0.0498987622559071
Jiangsu,2035,current,doubled,0.0541202686727047
Shanghai,2035,current,doubled,0.0435698293149471
Gansu,2035,current,doubled,0.220131143927574
Shanxi,2035,current,doubled,0.192709133028984
Ningxia,2035,current,doubled,0.189179837703705
Shandong,2035,current,doubled,0.134560108184814
Hebei,2035,current,doubled,0.0764740332961083
Xinjiang,2035,current,doubled,0.133010908961296
Inner Mongolia,2035,current,doubled,0.172799646854401
Tianjin,2035,current,doubled,0.076122984290123
Beijing,2035,current,doubled,0.0910917147994041
Liaoning,2035,current,doubled,0.185927763581276
Jilin,2035,current,doubled,0.0532477460801601
Heilongjiang,2035,current,doubled,0.0894396901130676
Hainan,2035,ssp245,baseline,0.0172341987490654
Guangdong,2035,ssp245,baseline,0.0848315507173538
Yunnan,2035,ssp245,baseline,0.0272945687174797
Guangxi,2035,ssp245,baseline,0.0652538686990738
Guizhou,2035,ssp245,baseline,0.139597088098526
Fujian,2035,ssp245,baseline,0.0345718115568161
Hunan,2035,ssp245,baseline,0.0306239556521177
Jiangxi,2035,ssp245,baseline,0.0230601988732815
Sichuan,2035,ssp245,baseline,0.124290093779564
Tibet,2035,ssp245,baseline,0.231160283088684
Zhejiang,2035,ssp245,baseline,0.0150221195071936
Chongqing,2035,ssp245,baseline,0.0606296099722385
Hubei,2035,ssp245,baseline,0.0285437162965536
Anhui,2035,ssp245,baseline,0.0360673107206821
Shaanxi,2035,ssp245,baseline,0.067103385925293
Qinghai,2035,ssp245,baseline,0.285385847091675
Henan,2035,ssp245,baseline,0.0342621169984341
Jiangsu,2035,ssp245,baseline,0.0178734138607979
Shanghai,2035,ssp245,baseline,0.023529663681984
Gansu,2035,ssp245,baseline,0.204294487833977
Shanxi,2035,ssp245,baseline,0.252512633800507
Ningxia,2035,ssp245,baseline,0.23418453335762
Shandong,2035,ssp245,baseline,0.0399423949420452
Hebei,2035,ssp245,baseline,0.0659550800919533
Xinjiang,2035,ssp245,baseline,0.12260726839304
Inner Mongolia,2035,ssp245,baseline,0.173347786068916
Tianjin,2035,ssp245,baseline,0.030664399266243
Beijing,2035,ssp245,baseline,0.0261087771505117
Liaoning,2035,ssp245,baseline,0.117858722805977
Jilin,2035,ssp245,baseline,0.182598426938057
Heilongjiang,2035,ssp245,baseline,0.0543037503957748
Hainan,2035,ssp245,trend,0.0285300817340612
Guangdong,2035,ssp245,trend,0.144182443618774
Yunnan,2035,ssp245,trend,0.04244689270854
Guangxi,2035,ssp245,trend,0.0675380751490593
Guizhou,2035,ssp245,trend,0.050003606826067
Fujian,2035,ssp245,trend,0.0494697242975235
Hunan,2035,ssp245,trend,0.0287025049328804
Jiangxi,2035,ssp245,trend,0.0191081892699003
Sichuan,2035,ssp245,trend,0.0872993096709251
Tibet,2035,ssp245,trend,0.190653949975967
Zhejiang,2035,ssp245,trend,0.0263932384550571
Chongqing,2035,ssp245,trend,0.0404918864369392
Hubei,2035,ssp245,trend,0.0348003320395947
Anhui,2035,ssp245,trend,0.0490714684128761
Shaanxi,2035,ssp245,trend,0.0613502711057663
Qinghai,2035,ssp245,trend,0.121766738593578
Henan,2035,ssp245,trend,0.0204022768884897
Jiangsu,2035,ssp245,trend,0.0313341990113258
Shanghai,2035,ssp245,trend,0.0249138474464417
Gansu,2035,ssp245,trend,0.187896221876144
Shanxi,2035,ssp245,trend,0.182559818029404
Ningxia,2035,ssp245,trend,0.143035545945168
Shandong,2035,ssp245,trend,0.0244888961315155
Hebei,2035,ssp245,trend,0.08857361972332
Xinjiang,2035,ssp245,trend,0.155424639582634
Inner Mongolia,2035,ssp245,trend,0.465925067663193
Tianjin,2035,ssp245,trend,0.0270714126527309
Beijing,2035,ssp245,trend,0.0327272638678551
Liaoning,2035,ssp245,trend,0.195161789655685
Jilin,2035,ssp245,trend,0.162916377186775
Heilongjiang,2035,ssp245,trend,0.193464860320091
Hainan,2035,ssp245,doubled,0.021837217733264
Guangdong,2035,ssp245,doubled,0.0927838459610939
Yunnan,2035,ssp245,doubled,0.0382490754127502
Guangxi,2035,ssp245,doubled,0.0502128265798092
Guizhou,2035,ssp245,doubled,0.0549688376486301
Fujian,2035,ssp245,doubled,0.043386772274971
Hunan,2035,ssp245,doubled,0.0263346210122108
Jiangxi,2035,ssp245,doubled,0.0242371428757906
Sichuan,2035,ssp245,doubled,0.128680974245071
Tibet,2035,ssp245,doubled,0.153637662529945
Zhejiang,2035,ssp245,doubled,0.0251943822950125
Chongqing,2035,ssp245,doubled,0.0857340767979622
Hubei,2035,ssp245,doubled,0.0279757585376501
Anhui,2035,ssp245,doubled,0.067627027630806
Shaanxi,2035,ssp245,doubled,0.0450803935527802
Qinghai,2035,ssp245,doubled,0.139452204108238
Henan,2035,ssp245,doubled,0.045935645699501
Jiangsu,2035,ssp245,doubled,0.0301134046167135
Shanghai,2035,ssp245,doubled,0.024638943374157
Gansu,2035,ssp245,doubled,0.133561074733734
Shanxi,2035,ssp245,doubled,0.121646352112293
Ningxia,2035,ssp245,doubled,0.153683856129646
Shandong,2035,ssp245,doubled,0.04989393055439
Hebei,2035,ssp245,doubled,0.0440055094659328
Xinjiang,2035,ssp245,doubled,0.108124107122421
Inner Mongolia,2035,ssp245,doubled,0.182697713375092
Tianjin,2035,ssp245,doubled,0.0412726402282715
Beijing,2035,ssp245,doubled,0.0240567103028297
Liaoning,2035,ssp245,doubled,0.127258822321892
Jilin,2035,ssp245,doubled,0.16398423910141
Heilongjiang,2035,ssp245,doubled,0.195914179086685
Hainan,2035,ssp585,baseline,0.0338364988565445
Guangdong,2035,ssp585,baseline,0.0731027275323868
Yunnan,2035,ssp585,baseline,0.0511556267738342
Guangxi,2035,ssp585,baseline,0.0789710283279419
Guizhou,2035,ssp585,baseline,0.106415092945099
Fujian,2035,ssp585,baseline,0.021305026486516
Hunan,2035,ssp585,baseline,0.019770747050643
Jiangxi,2035,ssp585,baseline,0.017417062073946
Sichuan,2035,ssp585,baseline,0.0289492532610893
Tibet,2035,ssp585,baseline,0.0954141393303871
Zhejiang,2035,ssp585,baseline,0.0168353449553251
Chongqing,2035,ssp585,baseline,0.0252808835357428
Hubei,2035,ssp585,baseline,0.0202111806720495
Anhui,2035,ssp585,baseline,0.0202842485159636
Shaanxi,2035,ssp585,baseline,0.0327221117913723
Qinghai,2035,ssp585,baseline,0.0981658324599266
Henan,2035,ssp585,baseline,0.0588711202144623
Jiangsu,2035,ssp585,baseline,0.0224557220935822
Shanghai,2035,ssp585,baseline,0.0198506601154804
Gansu,2035,ssp585,baseline,0.0878148078918457
Shanxi,2035,ssp585,baseline,0.101378999650478
Ningxia,2035,ssp585,baseline,0.127122059464455
Shandong,2035,ssp585,baseline,0.0514997057616711
Hebei,2035,ssp585,baseline,0.0278883576393127
Xinjiang,2035,ssp585,baseline,0.0336682572960854
Inner Mongolia,2035,ssp585,baseline,0.123816125094891
Tianjin,2035,ssp585,baseline,0.0616315342485905
Beijing,2035,ssp585,baseline,0.0274852756410837
Liaoning,2035,ssp585,baseline,0.0553179644048214
Jilin,2035,ssp585,baseline,0.13814851641655
Heilongjiang,2035,ssp585,baseline,0.276884078979492
Hainan,2035,ssp585,trend,0.0349921956658363
Guangdong,2035,ssp585,trend,0.126134112477303
Yunnan,2035,ssp585,trend,0.0204779338091612
Guangxi,2035,ssp585,trend,0.0688138082623482
Guizhou,2035,ssp585,trend,0.0524709299206734
Fujian,2035,ssp585,trend,0.0195860434323549
Hunan,2035,ssp585,trend,0.0191029515117407
Jiangxi,2035,ssp585,trend,0.0169810354709625
Sichuan,2035,ssp585,trend,0.0364506356418133
Tibet,2035,ssp585,trend,0.0940443426370621
Zhejiang,2035,ssp585,trend,0.0117259696125984
Chongqing,2035,ssp585,trend,0.0350964516401291
Hubei,2035,ssp585,trend,0.0292518958449364
Anhui,2035,ssp585,trend,0.0280647911131382
Shaanxi,2035,ssp585,trend,0.0400499142706394
Qinghai,2035,ssp585,trend,0.0831503868103027
Henan,2035,ssp585,trend,0.0646415054798126
Jiangsu,2035,ssp585,trend,0.0156678035855293
Shanghai,2035,ssp585,trend,0.0191802177578211
Gansu,2035,ssp585,trend,0.0464526042342186
Shanxi,2035,ssp585,trend,0.071297861635685
Ningxia,2035,ssp585,trend,0.0610966421663761
Shandong,2035,ssp585,trend,0.0665450468659401
Hebei,2035,ssp585,trend,0.0299444105476141
Xinjiang,2035,ssp585,trend,0.0374289378523827
Inner Mongolia,2035,ssp585,trend,0.079966701567173
Tianjin,2035,ssp585,trend,0.0737273618578911
Beijing,2035,ssp585,trend,0.0357050560414791
Liaoning,2035,ssp585,trend,0.0368752256035805
Jilin,2035,ssp585,trend,0.0790034085512161
Heilongjiang,2035,ssp585,trend,0.172208219766617
Hainan,2035,ssp585,doubled,0.0225476529449224
Guangdong,2035,ssp585,doubled,0.108152888715267
Yunnan,2035,ssp585,doubled,0.0134939206764102
Guangxi,2035,ssp585,doubled,0.0539253875613213
Guizhou,2035,ssp585,doubled,0.100851856172085
Fujian,2035,ssp585,doubled,0.0149446148425341
Hunan,2035,ssp585,doubled,0.0174296665936708
Jiangxi,2035,ssp585,doubled,0.0141885103657842
Sichuan,2035,ssp585,doubled,0.0305846780538559
Tibet,2035,ssp585,doubled,0.0459139198064804
Zhejiang,2035,ssp585,doubled,0.0145415235310793
Chongqing,2035,ssp585,doubled,0.0220350995659828
Hubei,2035,ssp585,doubled,0.0223421417176723
Anhui,2035,ssp585,doubled,0.0216911993920803
Shaanxi,2035,ssp585,doubled,0.0594563223421574
Qinghai,2035,ssp585,doubled,0.0660974159836769
Henan,2035,ssp585,doubled,0.0502083525061607
Jiangsu,2035,ssp585,doubled,0.0193851087242365
Shanghai,2035,ssp585,doubled,0.0175002738833427
Gansu,2035,ssp585,doubled,0.0367388539016247
Shanxi,2035,ssp585,doubled,0.104699619114399
Ningxia,2035,ssp585,doubled,0.0402241982519627
Shandong,2035,ssp585,doubled,0.0595320723950863
Hebei,2035,ssp585,doubled,0.0562787018716335
Xinjiang,2035,ssp585,doubled,0.0681548789143562
Inner Mongolia,2035,ssp585,doubled,0.0662056133151054
Tianjin,2035,ssp585,doubled,0.0492778569459915
