scale_id,climate_id,climate_label,climate_var,effort_id,effort_label,effort_var,model,status,aic,convergence,pdHess,marginal_r2,conditional_r2,delta_aic
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,days,Birding days,log_effort_days_z,M1,ok,4225.28509295487,0,FALSE,0.00180431146278937,,3.05473795721628
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,days,Birding days,log_effort_days_z,M2,ok,4223.96593136789,0,FALSE,0.00501629451316272,,1.73557637023714
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,days,Birding days,log_effort_days_z,M3,ok,4225.50705284344,0,FALSE,0.00582258883938353,,3.27669784577756
province,mahalanobis,Mahalanobis distance,mahalanobis_dist_z,days,Birding days,log_effort_days_z,M4,ok,4222.23035499766,0,FALSE,0.0132378249584647,,0
province,exposure,Climate exposure,climate_exposure_z,record,Record-based (legacy),log_effort_record_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,2.17216574560098
province,exposure,Climate exposure,climate_exposure_z,record,Record-based (legacy),log_effort_record_z,M1,ok,4221.66350446871,0,FALSE,0.0300477286542201,,0
province,exposure,Climate exposure,climate_exposure_z,record,Record-based (legacy),log_effort_record_z,M2,ok,4224.36946965606,0,FALSE,0.00347850002282306,,2.70596518734419
province,exposure,Climate exposure,climate_exposure_z,record,Record-based (legacy),log_effort_record_z,M3,ok,4222.72624047936,0,FALSE,0.031872978872138,,1.06273601064822
province,exposure,Climate exposure,climate_exposure_z,record,Record-based (legacy),log_effort_record_z,M4,ok,4224.71686476904,0,FALSE,0.0317990872247442,,3.05336030033141
province,exposure,Climate exposure,climate_exposure_z,visits,Observer visits,log_effort_visits_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,3.72655333403054
province,exposure,Climate exposure,climate_exposure_z,visits,Observer visits,log_effort_visits_z,M1,ok,4221.66350446871,0,FALSE,0.0300477286542201,,1.55438758842956
province,exposure,Climate exposure,climate_exposure_z,visits,Observer visits,log_effort_visits_z,M2,ok,4222.89902645142,0,FALSE,0.00778001924313982,,2.78990957113183
province,exposure,Climate exposure,climate_exposure_z,visits,Observer visits,log_effort_visits_z,M3,ok,4220.10911688028,0,FALSE,0.0391183360114683,,0
province,exposure,Climate exposure,climate_exposure_z,visits,Observer visits,log_effort_visits_z,M4,ok,4222.02876630607,0,FALSE,0.0389825378277798,,1.91964942578579
province,exposure,Climate exposure,climate_exposure_z,pc1,PCA composite (PC1),effort_pc1_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,2.9094980793825
province,exposure,Climate exposure,climate_exposure_z,pc1,PCA composite (PC1),effort_pc1_z,M1,ok,4221.66350446871,0,FALSE,0.0300477286542201,,0.737332333781524
province,exposure,Climate exposure,climate_exposure_z,pc1,PCA composite (PC1),effort_pc1_z,M2,ok,4223.48043787928,0,FALSE,0.0041841048656596,,2.55426574435205
province,exposure,Climate exposure,climate_exposure_z,pc1,PCA composite (PC1),effort_pc1_z,M3,ok,4220.92617213493,0,FALSE,0.0345593541939017,,0
province,exposure,Climate exposure,climate_exposure_z,pc1,PCA composite (PC1),effort_pc1_z,M4,ok,4222.85658039891,0,FALSE,0.0346137948379264,,1.93040826397555
province,exposure,Climate exposure,climate_exposure_z,days,Birding days,log_effort_days_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,2.61495467692566
province,exposure,Climate exposure,climate_exposure_z,days,Birding days,log_effort_days_z,M1,ok,4221.66350446871,0,FALSE,0.0300477286542201,,0.442788931324685
province,exposure,Climate exposure,climate_exposure_z,days,Birding days,log_effort_days_z,M2,ok,4223.96593136789,0,FALSE,0.00501629451316272,,2.74521583050591
province,exposure,Climate exposure,climate_exposure_z,days,Birding days,log_effort_days_z,M3,ok,4221.22071553739,0,FALSE,0.036163064168683,,0
province,exposure,Climate exposure,climate_exposure_z,days,Birding days,log_effort_days_z,M4,ok,4222.2028976587,0,FALSE,0.0370321408790191,,0.98218212131178
province,warming,Warming rate,warming_rate_z,record,Record-based (legacy),log_effort_record_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,3.66450861466092
province,warming,Warming rate,warming_rate_z,record,Record-based (legacy),log_effort_record_z,M1,ok,4220.17116159965,0,FALSE,0.0391811309593197,,0
province,warming,Warming rate,warming_rate_z,record,Record-based (legacy),log_effort_record_z,M2,ok,4224.36946965606,0,FALSE,0.00347850002282306,,4.19830805640413
province,warming,Warming rate,warming_rate_z,record,Record-based (legacy),log_effort_record_z,M3,ok,4221.18038032382,0,FALSE,0.0409285160999866,,1.00921872416438
province,warming,Warming rate,warming_rate_z,record,Record-based (legacy),log_effort_record_z,M4,ok,4223.1726477075,0,FALSE,0.0408477878857777,,3.00148610785072
province,warming,Warming rate,warming_rate_z,visits,Observer visits,log_effort_visits_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,4.87886933466962
province,warming,Warming rate,warming_rate_z,visits,Observer visits,log_effort_visits_z,M1,ok,4220.17116159965,0,FALSE,0.0391811309593197,,1.2143607200087
province,warming,Warming rate,warming_rate_z,visits,Observer visits,log_effort_visits_z,M2,ok,4222.89902645142,0,FALSE,0.00778001924313982,,3.94222557177091
province,warming,Warming rate,warming_rate_z,visits,Observer visits,log_effort_visits_z,M3,ok,4218.95680087965,0,FALSE,0.0475203072621255,,0
province,warming,Warming rate,warming_rate_z,visits,Observer visits,log_effort_visits_z,M4,ok,4219.91702013815,0,FALSE,0.0479537469359704,,0.960219258505276
province,warming,Warming rate,warming_rate_z,pc1,PCA composite (PC1),effort_pc1_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,4.26917696150758
province,warming,Warming rate,warming_rate_z,pc1,PCA composite (PC1),effort_pc1_z,M1,ok,4220.17116159965,0,FALSE,0.0391811309593197,,0.604668346846665
province,warming,Warming rate,warming_rate_z,pc1,PCA composite (PC1),effort_pc1_z,M2,ok,4223.48043787928,0,FALSE,0.0041841048656596,,3.91394462647713
province,warming,Warming rate,warming_rate_z,pc1,PCA composite (PC1),effort_pc1_z,M3,ok,4219.56649325281,0,FALSE,0.0436366606457457,,0
province,warming,Warming rate,warming_rate_z,pc1,PCA composite (PC1),effort_pc1_z,M4,ok,4220.12536669304,0,FALSE,0.0449396113764754,,0.558873440234493
province,warming,Warming rate,warming_rate_z,days,Birding days,log_effort_days_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,4.28208322633418
province,warming,Warming rate,warming_rate_z,days,Birding days,log_effort_days_z,M1,ok,4220.17116159965,0,FALSE,0.0391811309593197,,0.617574611673263
province,warming,Warming rate,warming_rate_z,days,Birding days,log_effort_days_z,M2,ok,4223.96593136789,0,FALSE,0.00501629451316272,,4.41234437991443
province,warming,Warming rate,warming_rate_z,days,Birding days,log_effort_days_z,M3,ok,4219.97040287468,0,FALSE,0.044686433811143,,0.416815886695986
province,warming,Warming rate,warming_rate_z,days,Birding days,log_effort_days_z,M4,ok,4219.55358698798,0,FALSE,0.047185322555747,,0
