term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,resolution,hr,hr_lower,hr_upper
(Intercept),-8.07815640010828,0.507738819561036,-15.9100625929926,5.39595206242274e-57,-9.07332448644791,-7.08298831376865,grid_M4,100km,0.000310242471493883,0.000114684636663607,0.00083926142087326
year_c,0.20893852597383,0.0111516478360018,18.7361122810295,2.5133404943911e-78,0.187081296215266,0.230795755732393,grid_M4,100km,1.23236923750285,1.20572530196937,1.25960194669776
bio1_z,-0.00378764655211242,0.0407581444516707,-0.0929298083381509,0.925959324578854,-0.0836736096773869,0.0760983165731621,grid_M4,100km,0.996219517533227,0.919731398538552,1.07906865927502
climate_velocity_z,-0.558121400173643,0.411117912348663,-1.35757013598646,0.174600124492566,-1.36391250837702,0.247669708029737,grid_M4,100km,0.572283145666051,0.255658551400091,1.28103674615953
log_effort_visits_z,-0.591206815776058,0.0754909430059483,-7.83149331873459,4.82108973883035e-15,-0.739169064067716,-0.443244567484399,grid_M4,100km,0.553658717322183,0.477510531375595,0.641950187745139
climate_velocity_z:log_effort_visits_z,-0.424190827648879,0.0489322313743954,-8.66894510498134,4.36142158861473e-18,-0.520098001142694,-0.328283654155064,grid_M4,100km,0.654299011652831,0.594462287131999,0.720158714718957
(Intercept),-7.97919499137267,0.493046018132521,-16.1834690838696,6.59703720672619e-59,-8.94556518691241,-7.01282479583293,grid_M5,100km,0.000342515039124766,0.000130313797796305,0.000900261937036163
year_c,0.199409369756346,0.0113526191526535,17.5650541143836,4.56258963673843e-69,0.177158236217145,0.221660503295547,grid_M5,100km,1.22068157374915,1.19381998374026,1.24814756394201
mahalanobis_dist_z,0.24235509213021,0.0372749591441173,6.50182046325483,7.93537742909362e-11,0.16929617220774,0.31541401205268,grid_M5,100km,1.2742465874257,1.18447089433918,1.37082673227856
log_effort_visits_z,-0.543050815154202,0.0826800199248072,-6.56810213214844,5.09605851338595e-11,-0.705103654206824,-0.38099797610158,grid_M5,100km,0.580973104375615,0.4940573604781,0.683179272303951
mahalanobis_dist_z:log_effort_visits_z,-0.129465030650929,0.0259696355895906,-4.98524633525556,6.18829192309255e-07,-0.180365516406526,-0.0785645448953313,grid_M5,100km,0.878565310736107,0.834964962235308,0.924442389968578
(Intercept),-3.28093406287032,0.190510887314178,-17.2217667406043,1.82336218540953e-66,-3.65433540200611,-2.90753272373454,prov_prov_M1,province,0.0375931260593354,0.0258786906951661,0.0546103024901898
year_c,-0.0167564682108539,0.0436628168312001,-0.383769747967343,0.701149111948781,-0.102335589200006,0.0688226527782982,prov_prov_M1,province,0.983383140531794,0.902726555548007,1.07124620976185
temp_grad_z,0.0372307842550844,0.138296456600663,0.269209965101202,0.787768112222753,-0.233830270682215,0.308291839192384,prov_prov_M1,province,1.03793253168558,0.791496144596154,1.361098152766
log_effort_visits_z,0.00899936395469726,0.255374391558637,0.0352398840767513,0.971888459074575,-0.491534443500231,0.509533171409626,prov_prov_M1,province,1.00903997997852,0.611687074446627,1.66451397083412
temp_grad_z:log_effort_visits_z,0.163948319962993,0.128905372977003,1.27185016556479,0.203426361019128,-0.0887062110719336,0.41660285099792,prov_prov_M1,province,1.17815342650669,0.915114384559771,1.5167999976934
(Intercept),-3.29321230021834,0.189243228130847,-17.4020086887407,7.96598635114067e-68,-3.6641290273548,-2.92229557308188,prov_prov_M2,province,0.0371343708508852,0.0256264815309009,0.0538100205768902
year_c,-0.00914076663510783,0.0440331634880861,-0.207588233754339,0.835550492342366,-0.0954457670717566,0.077164233801541,prov_prov_M2,province,0.990900883171901,0.908967656294642,1.08021947037528
climate_velocity_z,-0.171643796173862,0.198239655672718,-0.86583986231915,0.386577985711295,-0.56019352129239,0.216905928944666,prov_prov_M2,province,0.842279142793503,0.571098533427894,1.24222723901379
log_effort_visits_z,-0.041203481903835,0.256487498850273,-0.160645185783062,0.872372863949484,-0.543918979650369,0.461512015842699,prov_prov_M2,province,0.959633841958541,0.580468943032323,1.58647094161734
climate_velocity_z:log_effort_visits_z,0.159764998127424,0.186426342210693,0.856987248866701,0.391451931676974,-0.205630632605534,0.525160628860382,prov_prov_M2,province,1.17323512614119,0.814133735209221,1.69073040666689
