term,Estimate,Std. Error,z value,Pr(>|z|),model,scale_id,climate_id,climate_label,climate_var,effort_id,effort_label,effort_var,hr,hr_lower,hr_upper
log_effort_record_z,-0.0968046627443968,0.0799042223766465,-1.21150872713693,0.225700491977035,M2,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,0.90773330294859,0.776144209870463,1.06163228276801
(Intercept),-3.36072754008181,0.117955573645372,-28.4914687472563,1.49425342023009e-178,M3,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,0.0347099968423147,0.0275453796727248,0.0437381475626004
year_c,0.00879092047789028,0.0131286553021257,0.669597934867475,0.503114130888803,M3,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,1.00882967409607,0.983201452006599,1.03512592384775
climate_velocity_z,-0.124043713518866,0.118933561456366,-1.04296644277633,0.296963834880367,M3,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,0.883341226085411,0.699665095116536,1.11523602813445
log_effort_record_z,-0.102891199615663,0.0798827646340048,-1.28802752492449,0.19773638190539,M3,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,0.90222513058262,0.771466971928379,1.05514586608952
(Intercept),-3.36292598547359,0.118103710723272,-28.4743465288168,2.43492737649181e-178,M4,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,0.0346337726277948,0.027476910133925,0.0436547705177665
year_c,0.00905196048268867,0.013146495817079,0.688545495973842,0.491109330393746,M4,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,1.0090930533738,0.983423752037769,1.03543237414928
climate_velocity_z,-0.125475786660312,0.119029357491688,-1.05415831274293,0.291810442278726,M4,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,0.882077122201451,0.698532671663427,1.11384918855461
log_effort_record_z,-0.10635810418588,0.0802811724723444,-1.32482001583272,0.185230854433051,M4,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,0.899102618008163,0.768196897122523,1.05231552058743
climate_velocity_z:log_effort_record_z,-0.0214437713501972,0.0533089615602559,-0.402254531369159,0.687496713546677,M4,province,clim_velocity,Climate velocity,climate_velocity_z,record,Record-based (legacy),log_effort_record_z,0.978784511653422,0.881677147408812,1.08658721967353
(Intercept),-3.34853134107635,0.117445677271392,-28.5113204578709,8.48004316571244e-179,M0,province,clim_velocity,Climate velocity,climate_velocity_z,visits,Observer visits,log_effort_visits_z,0.0351359189068634,0.027911266107413,0.0442306268973517
year_c,-0.0048853659093653,0.00758139207488204,-0.644389033189701,0.519323194245253,M0,province,clim_velocity,Climate velocity,climate_velocity_z,visits,Observer visits,log_effort_visits_z,0.995126548081372,0.98044875939865,1.01002407030809
(Intercept),-3.34569683515499,0.116326447802981,-28.7612739694545,6.54708767576426e-182,M1,province,clim_velocity,Climate velocity,climate_velocity_z,visits,Observer visits,log_effort_visits_z,0.0352356531589459,0.0280519628439905,0.0442589796814702
