"order","province","year","iucn","n_records"
"Accipitriformes","Xinjiang",2012,"EN",1
"Accipitriformes","Xinjiang",2013,"LC",1
"Accipitriformes","Xinjiang",2015,"LC",1
"Accipitriformes","Yunnan",2010,"EN",1
"Accipitriformes","Yunnan",2021,"CR",1
"Accipitriformes","Zhejiang",2023,"NT",1
"Anseriformes","Anhui",2010,"LC",1
"Anseriformes","Anhui",2017,"LC",2
"Anseriformes","Beijing",2017,"LC",1
"Anseriformes","Chongqing",2007,"LC",1
"Anseriformes","Fujian",2006,"NT",1
"Anseriformes","Gansu",2008,"VU",1
"Anseriformes","Gansu",2019,"LC",1
"Anseriformes","Gansu",2023,"LC",1
"Anseriformes","Guangdong",2025,"VU",1
"Anseriformes","Guangxi",2017,"LC",1
"Anseriformes","Guizhou",2021,"LC",1
"Anseriformes","Guizhou",2024,"LC",3
"Anseriformes","Guizhou",2025,"LC",1
"Anseriformes","Hainan",2006,"LC",1
"Anseriformes","Hainan",2009,"LC",1
"Anseriformes","Hebei",2021,"VU",1
"Anseriformes","Hebei",2025,"LC",1
"Anseriformes","Heilongjiang",2024,"LC",1
"Anseriformes","Henan",2008,"VU",1
"Anseriformes","Henan",2019,"LC",1
"Anseriformes","Henan",2020,"LC",1
"Anseriformes","Henan",2025,"VU",1
"Anseriformes","Hubei",2016,"LC",1
"Anseriformes","Hubei",2024,"VU",1
"Anseriformes","Hunan",2022,"LC",1
"Anseriformes","Inner Mongolia",2014,"LC",1
"Anseriformes","Jiangsu",2010,"VU",1
"Anseriformes","Jiangsu",2022,"LC",1
"Anseriformes","Jiangxi",2018,"VU",1
"Anseriformes","Jilin",2001,"LC",1
"Anseriformes","Jilin",2007,"LC",1
"Anseriformes","Jilin",2010,"LC",1
"Anseriformes","Jilin",2012,"NT",1
"Anseriformes","Jilin",2018,"LC",1
"Anseriformes","Jilin",2019,"LC",1
"Anseriformes","Jilin",2023,"LC",1
"Anseriformes","Liaoning",2018,"LC",1
"Anseriformes","Liaoning",2022,"LC",2
"Anseriformes","Ningxia",2022,"VU",1
"Anseriformes","Shaanxi",2016,"LC",1
"Anseriformes","Shaanxi",2017,"LC",2
"Anseriformes","Shaanxi",2019,"EN",1
"Anseriformes","Shandong",2000,"LC",1
"Anseriformes","Shandong",2014,"VU",1
"Anseriformes","Shandong",2023,"LC",2
"Anseriformes","Shanghai",2018,"LC",1
"Anseriformes","Shanghai",2021,"VU",1
"Anseriformes","Sichuan",2011,"VU",1
"Anseriformes","Sichuan",2022,"EN",1
"Anseriformes","Tianjin",2017,"LC",1
"Anseriformes","Tibet",2016,"LC",1
"Anseriformes","Tibet",2021,"LC",1
"Anseriformes","Tibet",2025,"LC",1
"Anseriformes","Xinjiang",2015,"LC",1
"Anseriformes","Xinjiang",2023,"LC",1
"Anseriformes","Xinjiang",2024,"VU",1
"Anseriformes","Yunnan",2004,"VU",1
"Anseriformes","Yunnan",2011,"LC",1
"Anseriformes","Yunnan",2017,"LC",1
"Anseriformes","Yunnan",2018,"VU",1
"Anseriformes","Yunnan",2019,"CR",1
"Anseriformes","Zhejiang",2019,"LC",1
"Caprimulgiformes","Guizhou",2010,"LC",1
"Caprimulgiformes","Guizhou",2019,"LC",1
"Caprimulgiformes","Hunan",2014,"LC",1
"Caprimulgiformes","Inner Mongolia",2018,"LC",1
"Charadriiformes","Anhui",2023,"LC",1
"Charadriiformes","Anhui",2024,"LC",1
"Charadriiformes","Anhui",2025,"VU",1
"Charadriiformes","Anhui",2025,"LC",2
"Charadriiformes","Beijing",2011,"LC",1
"Charadriiformes","Chongqing",2011,"NT",1
"Charadriiformes","Chongqing",2019,"LC",1
"Charadriiformes","Fujian",2006,"LC",2
"Charadriiformes","Fujian",2009,"VU",1
"Charadriiformes","Fujian",2024,"LC",2
"Charadriiformes","Gansu",2008,"VU",1
"Charadriiformes","Gansu",2022,"LC",1
"Charadriiformes","Gansu",2023,"LC",1
"Charadriiformes","Gansu",2025,"LC",2
"Charadriiformes","Guangxi",2013,"LC",1
"Charadriiformes","Guangxi",2021,"VU",1
"Charadriiformes","Guangxi",2021,"LC",1
"Charadriiformes","Guangxi",2025,"LC",1
"Charadriiformes","Guizhou",2021,"LC",1
"Charadriiformes","Guizhou",2024,"VU",1
"Charadriiformes","Guizhou",2024,"LC",2
"Charadriiformes","Guizhou",2025,"LC",1
"Charadriiformes","Hainan",2006,"NT",1
"Charadriiformes","Hainan",2006,"LC",5
"Charadriiformes","Hainan",2014,"LC",1
"Charadriiformes","Hainan",2019,"LC",1
"Charadriiformes","Hainan",2023,"LC",1
"Charadriiformes","Hainan",2024,"LC",1
"Charadriiformes","Hebei",2018,"LC",1
"Charadriiformes","Heilongjiang",2014,"VU",1
"Charadriiformes","Henan",2014,"LC",1
"Charadriiformes","Henan",2015,"LC",1
"Charadriiformes","Henan",2019,"LC",1
"Charadriiformes","Hubei",2001,"LC",1
"Charadriiformes","Hubei",2014,"VU",1
"Charadriiformes","Hubei",2021,"LC",3
"Charadriiformes","Hubei",2022,"LC",2
"Charadriiformes","Hunan",2019,"LC",1
"Charadriiformes","Hunan",2020,"LC",1
"Charadriiformes","Hunan",2022,"VU",1
"Charadriiformes","Hunan",2025,"LC",2
"Charadriiformes","Inner Mongolia",2007,"LC",1
"Charadriiformes","Inner Mongolia",2018,"LC",1
"Charadriiformes","Inner Mongolia",2019,"LC",1
"Charadriiformes","Inner Mongolia",2023,"LC",1
"Charadriiformes","Jiangsu",2016,"NT",1
"Charadriiformes","Jiangsu",2018,"LC",1
"Charadriiformes","Jiangsu",2019,"LC",1
"Charadriiformes","Jiangsu",2020,"LC",1
"Charadriiformes","Jiangsu",2025,"VU",1
"Charadriiformes","Jiangsu",2025,"LC",1
"Charadriiformes","Jiangxi",2009,"LC",1
"Charadriiformes","Jiangxi",2022,"LC",1
"Charadriiformes","Jiangxi",2024,"LC",1
"Charadriiformes","Jilin",2010,"NT",1
"Charadriiformes","Jilin",2010,"LC",1
"Charadriiformes","Jilin",2011,"EN",1
"Charadriiformes","Jilin",2011,"VU",1
"Charadriiformes","Jilin",2012,"LC",1
"Charadriiformes","Jilin",2020,"LC",1
"Charadriiformes","Jilin",2023,"VU",1
"Charadriiformes","Liaoning",2006,"EN",1
"Charadriiformes","Liaoning",2014,"LC",1
"Charadriiformes","Liaoning",2019,"VU",1
"Charadriiformes","Liaoning",2019,"LC",3
"Charadriiformes","Liaoning",2024,"LC",1
"Charadriiformes","Ningxia",2011,"NT",1
"Charadriiformes","Ningxia",2011,"LC",1
"Charadriiformes","Ningxia",2019,"VU",1
"Charadriiformes","Ningxia",2024,"LC",1
"Charadriiformes","Qinghai",2019,"VU",1
"Charadriiformes","Shaanxi",2007,"EN",1
"Charadriiformes","Shaanxi",2011,"LC",1
"Charadriiformes","Shaanxi",2016,"VU",1
"Charadriiformes","Shaanxi",2016,"LC",1
"Charadriiformes","Shaanxi",2017,"NT",1
"Charadriiformes","Shaanxi",2018,"LC",1
"Charadriiformes","Shaanxi",2019,"VU",1
"Charadriiformes","Shaanxi",2020,"EN",1
"Charadriiformes","Shaanxi",2020,"NT",1
"Charadriiformes","Shaanxi",2021,"EN",1
"Charadriiformes","Shaanxi",2021,"VU",1
"Charadriiformes","Shandong",2018,"CR",1
"Charadriiformes","Shandong",2019,"VU",1
"Charadriiformes","Shandong",2019,"LC",1
"Charadriiformes","Shandong",2021,"LC",1
"Charadriiformes","Shanghai",2013,"LC",1
"Charadriiformes","Shanghai",2018,"LC",1
"Charadriiformes","Shanxi",2020,"LC",1
"Charadriiformes","Sichuan",2012,"LC",2
"Charadriiformes","Sichuan",2014,"LC",1
"Charadriiformes","Sichuan",2017,"VU",1
"Charadriiformes","Sichuan",2017,"LC",1
"Charadriiformes","Sichuan",2021,"EN",1
"Charadriiformes","Sichuan",2021,"LC",1
"Charadriiformes","Tianjin",2007,"LC",3
"Charadriiformes","Tianjin",2015,"LC",1
"Charadriiformes","Tibet",2015,"LC",1
"Charadriiformes","Tibet",2018,"LC",1
"Charadriiformes","Tibet",2019,"NT",1
"Charadriiformes","Tibet",2025,"LC",3
"Charadriiformes","Xinjiang",2000,"NT",1
"Charadriiformes","Xinjiang",2010,"VU",1
"Charadriiformes","Xinjiang",2010,"LC",3
"Charadriiformes","Xinjiang",2011,"NT",1
"Charadriiformes","Xinjiang",2012,"LC",1
"Charadriiformes","Yunnan",2005,"LC",1
"Charadriiformes","Yunnan",2008,"LC",1
"Charadriiformes","Yunnan",2009,"VU",1
"Charadriiformes","Yunnan",2010,"LC",1
"Charadriiformes","Yunnan",2013,"EN",1
"Charadriiformes","Yunnan",2013,"NT",2
"Charadriiformes","Yunnan",2013,"LC",2
"Charadriiformes","Yunnan",2014,"NT",1
"Charadriiformes","Yunnan",2015,"EN",1
"Charadriiformes","Yunnan",2017,"LC",3
"Charadriiformes","Yunnan",2021,"LC",1
"Charadriiformes","Yunnan",2023,"LC",1
"Charadriiformes","Yunnan",2024,"LC",2
"Charadriiformes","Yunnan",2025,"LC",2
"Charadriiformes","Zhejiang",2017,"LC",1
"Charadriiformes","Zhejiang",2019,"LC",1
"Charadriiformes","Zhejiang",2021,"VU",1
"Charadriiformes","Zhejiang",2022,"LC",1
"Charadriiformes","Zhejiang",2023,"LC",2
"Charadriiformes","Zhejiang",2025,"LC",1
"Ciconiiformes","Gansu",2024,"EN",1
"Ciconiiformes","Hebei",2023,"LC",1
"Ciconiiformes","Hunan",2025,"LC",1
"Ciconiiformes","Ningxia",2018,"EN",1
"Ciconiiformes","Qinghai",2024,"LC",1
"Ciconiiformes","Shaanxi",2021,"LC",1
"Ciconiiformes","Sichuan",2018,"LC",1
"Ciconiiformes","Tianjin",2001,"EN",1
"Ciconiiformes","Tibet",2021,"LC",1
"Ciconiiformes","Yunnan",2011,"NT",1
"Ciconiiformes","Yunnan",2014,"NT",1
"Columbiformes","Anhui",2023,"LC",1
"Columbiformes","Gansu",2022,"LC",1
"Columbiformes","Gansu",2023,"LC",1
"Columbiformes","Guangdong",2023,"LC",2
"Columbiformes","Heilongjiang",2006,"LC",1
"Columbiformes","Henan",2024,"LC",1
"Columbiformes","Hunan",2018,"LC",1
"Columbiformes","Inner Mongolia",2006,"LC",1
"Columbiformes","Inner Mongolia",2017,"LC",1
"Columbiformes","Jiangsu",2024,"LC",1
"Columbiformes","Jiangxi",2011,"LC",2
"Columbiformes","Jilin",2022,"LC",1
"Columbiformes","Tibet",2017,"LC",1
"Columbiformes","Yunnan",2021,"LC",1
"Columbiformes","Yunnan",2022,"LC",1
"Columbiformes","Zhejiang",2016,"LC",1
"Columbiformes","Zhejiang",2019,"LC",1
"Columbiformes","Zhejiang",2021,"LC",1
"Coraciiformes","Beijing",2011,"LC",1
"Coraciiformes","Fujian",2006,"NT",1
"Coraciiformes","Fujian",2006,"LC",1
"Coraciiformes","Henan",2023,"LC",1
"Coraciiformes","Inner Mongolia",2015,"LC",1
"Coraciiformes","Jiangsu",2010,"LC",1
"Coraciiformes","Liaoning",2025,"LC",1
"Coraciiformes","Qinghai",2019,"LC",1
"Coraciiformes","Qinghai",2022,"LC",1
"Coraciiformes","Shaanxi",2020,"LC",1
"Coraciiformes","Shandong",2008,"LC",1
"Coraciiformes","Shandong",2024,"LC",1
"Coraciiformes","Shanghai",2009,"LC",1
"Coraciiformes","Tibet",2014,"LC",1
"Coraciiformes","Tibet",2017,"LC",1
"Coraciiformes","Tibet",2018,"VU",1
"Coraciiformes","Tibet",2019,"LC",1
"Cuculiformes","Beijing",2003,"LC",1
"Cuculiformes","Hebei",2003,"LC",1
"Cuculiformes","Heilongjiang",2013,"LC",1
"Cuculiformes","Liaoning",2018,"LC",1
"Cuculiformes","Liaoning",2022,"LC",2
"Cuculiformes","Qinghai",2024,"LC",1
"Cuculiformes","Shaanxi",2016,"LC",2
"Cuculiformes","Shanxi",2020,"LC",1
"Cuculiformes","Tibet",2016,"LC",1
"Cuculiformes","Tibet",2024,"LC",1
"Cuculiformes","Yunnan",2021,"LC",1
"Cuculiformes","Zhejiang",2003,"LC",1
"Falconiformes","Tibet",2014,"LC",1
"Falconiformes","Yunnan",2018,"EN",1
"Galliformes","Anhui",2022,"VU",1
"Galliformes","Guangdong",2024,"LC",1
"Galliformes","Guangxi",2021,"VU",1
"Galliformes","Henan",2021,"LC",1
"Galliformes","Henan",2024,"LC",1
"Galliformes","Jiangsu",2017,"LC",1
"Galliformes","Shandong",2021,"LC",1
"Galliformes","Shanxi",2007,"LC",1
"Galliformes","Sichuan",2007,"LC",1
"Galliformes","Tibet",2024,"LC",1
"Galliformes","Tibet",2025,"LC",1
"Galliformes","Yunnan",2013,"LC",1
"Galliformes","Yunnan",2022,"VU",1
"Gaviiformes","Anhui",2021,"LC",1
"Gaviiformes","Jiangsu",2009,"NT",1
"Gaviiformes","Jilin",2012,"NT",1
"Gaviiformes","Liaoning",2023,"LC",1
"Gaviiformes","Shaanxi",2018,"LC",1
"Gaviiformes","Sichuan",2006,"NT",1
"Gaviiformes","Xinjiang",2025,"LC",1
"Gaviiformes","Yunnan",2023,"LC",1
"Gaviiformes","Zhejiang",2025,"LC",1
"Gruiformes","Anhui",2017,"LC",1
"Gruiformes","Anhui",2021,"LC",1
"Gruiformes","Anhui",2022,"LC",1
"Gruiformes","Beijing",2009,"LC",1
"Gruiformes","Fujian",2024,"VU",1
"Gruiformes","Gansu",2020,"LC",1
"Gruiformes","Gansu",2022,"VU",1
"Gruiformes","Guangdong",2001,"LC",1
"Gruiformes","Heilongjiang",2010,"LC",1
"Gruiformes","Hunan",2025,"LC",1
"Gruiformes","Inner Mongolia",2023,"NT",1
"Gruiformes","Inner Mongolia",2023,"LC",2
"Gruiformes","Jiangxi",2009,"LC",1
"Gruiformes","Jiangxi",2011,"LC",1
"Gruiformes","Jilin",2002,"LC",1
"Gruiformes","Jilin",2007,"LC",1
"Gruiformes","Jilin",2011,"LC",1
"Gruiformes","Liaoning",2013,"LC",1
"Gruiformes","Ningxia",2021,"VU",1
"Gruiformes","Ningxia",2023,"LC",1
"Gruiformes","Qinghai",2015,"LC",1
"Gruiformes","Shaanxi",2022,"CR",1
"Gruiformes","Shandong",2022,"LC",1
"Gruiformes","Shanxi",2019,"VU",1
"Gruiformes","Sichuan",2023,"VU",1
"Gruiformes","Sichuan",2024,"VU",1
"Gruiformes","Tianjin",2002,"LC",1
"Gruiformes","Yunnan",2004,"LC",1
"Gruiformes","Yunnan",2012,"LC",1
"Gruiformes","Yunnan",2013,"CR",1
"Gruiformes","Yunnan",2013,"NA",1
"Gruiformes","Yunnan",2017,"LC",1
"Gruiformes","Yunnan",2025,"LC",2
"Otidiformes","Shaanxi",2025,"NT",1
"Passeriformes","Anhui",2010,"NT",1
"Passeriformes","Anhui",2010,"LC",2
"Passeriformes","Anhui",2011,"LC",1
"Passeriformes","Anhui",2013,"LC",2
"Passeriformes","Anhui",2014,"LC",1
"Passeriformes","Anhui",2016,"LC",1
"Passeriformes","Anhui",2017,"NT",1
"Passeriformes","Anhui",2017,"LC",4
"Passeriformes","Anhui",2018,"LC",1
"Passeriformes","Anhui",2020,"LC",1
"Passeriformes","Anhui",2023,"LC",1
"Passeriformes","Anhui",2024,"VU",1
"Passeriformes","Anhui",2024,"LC",3
"Passeriformes","Beijing",2003,"LC",1
"Passeriformes","Beijing",2004,"LC",1
"Passeriformes","Beijing",2011,"LC",2
"Passeriformes","Beijing",2013,"LC",1
"Passeriformes","Beijing",2014,"LC",1
"Passeriformes","Beijing",2017,"LC",1
"Passeriformes","Beijing",2022,"LC",1
"Passeriformes","Chongqing",2006,"LC",1
"Passeriformes","Chongqing",2009,"LC",4
"Passeriformes","Chongqing",2010,"LC",1
"Passeriformes","Chongqing",2025,"LC",1
"Passeriformes","Fujian",2020,"LC",1
"Passeriformes","Fujian",2024,"LC",1
"Passeriformes","Gansu",2009,"NT",1
"Passeriformes","Gansu",2011,"LC",1
"Passeriformes","Gansu",2015,"LC",2
"Passeriformes","Gansu",2016,"LC",4
"Passeriformes","Gansu",2017,"LC",1
"Passeriformes","Gansu",2018,"LC",1
"Passeriformes","Gansu",2019,"NT",1
"Passeriformes","Gansu",2019,"LC",1
"Passeriformes","Gansu",2020,"LC",3
"Passeriformes","Gansu",2021,"LC",2
"Passeriformes","Gansu",2022,"LC",2
"Passeriformes","Gansu",2023,"LC",1
"Passeriformes","Gansu",2024,"LC",1
"Passeriformes","Gansu",2025,"LC",3
"Passeriformes","Guangdong",2008,"LC",1
"Passeriformes","Guangdong",2022,"LC",1
"Passeriformes","Guangdong",2025,"LC",2
"Passeriformes","Guangxi",2002,"LC",1
"Passeriformes","Guangxi",2003,"LC",1
"Passeriformes","Guangxi",2005,"LC",2
"Passeriformes","Guangxi",2006,"LC",7
"Passeriformes","Guangxi",2008,"VU",1
"Passeriformes","Guangxi",2008,"LC",1
"Passeriformes","Guangxi",2010,"LC",1
"Passeriformes","Guangxi",2013,"LC",2
"Passeriformes","Guangxi",2014,"LC",2
"Passeriformes","Guangxi",2015,"LC",1
"Passeriformes","Guangxi",2019,"LC",1
"Passeriformes","Guangxi",2024,"LC",1
"Passeriformes","Guangxi",2025,"LC",1
"Passeriformes","Guizhou",2010,"LC",2
"Passeriformes","Guizhou",2012,"LC",1
"Passeriformes","Guizhou",2014,"LC",1
"Passeriformes","Guizhou",2015,"LC",1
"Passeriformes","Guizhou",2016,"VU",1
"Passeriformes","Guizhou",2016,"LC",1
"Passeriformes","Guizhou",2017,"LC",1
"Passeriformes","Guizhou",2018,"LC",2
"Passeriformes","Guizhou",2019,"LC",1
"Passeriformes","Guizhou",2020,"LC",1
"Passeriformes","Guizhou",2024,"VU",1
"Passeriformes","Guizhou",2024,"LC",4
"Passeriformes","Guizhou",2025,"LC",1
"Passeriformes","Hainan",2006,"LC",5
"Passeriformes","Hainan",2007,"LC",1
"Passeriformes","Hainan",2009,"LC",1
"Passeriformes","Hainan",2011,"LC",1
"Passeriformes","Hainan",2017,"LC",1
"Passeriformes","Hainan",2019,"LC",2
"Passeriformes","Hainan",2020,"LC",1
"Passeriformes","Hainan",2022,"LC",3
"Passeriformes","Hebei",2008,"LC",1
"Passeriformes","Hebei",2016,"LC",1
"Passeriformes","Hebei",2020,"LC",1
"Passeriformes","Hebei",2023,"LC",1
"Passeriformes","Hebei",2024,"LC",1
"Passeriformes","Heilongjiang",2003,"LC",1
"Passeriformes","Heilongjiang",2006,"LC",2
"Passeriformes","Heilongjiang",2008,"LC",1
"Passeriformes","Heilongjiang",2010,"LC",2
"Passeriformes","Heilongjiang",2011,"LC",1
"Passeriformes","Heilongjiang",2012,"LC",1
"Passeriformes","Heilongjiang",2014,"LC",1
"Passeriformes","Heilongjiang",2015,"LC",1
"Passeriformes","Heilongjiang",2016,"LC",1
"Passeriformes","Heilongjiang",2024,"LC",1
"Passeriformes","Heilongjiang",2025,"LC",2
"Passeriformes","Henan",2007,"LC",1
"Passeriformes","Henan",2008,"NT",1
"Passeriformes","Henan",2011,"LC",1
"Passeriformes","Henan",2013,"LC",1
"Passeriformes","Henan",2016,"LC",2
"Passeriformes","Henan",2016,"NA",1
"Passeriformes","Henan",2017,"LC",4
"Passeriformes","Henan",2018,"LC",1
"Passeriformes","Henan",2020,"LC",3
"Passeriformes","Henan",2021,"LC",2
"Passeriformes","Henan",2022,"LC",1
"Passeriformes","Henan",2023,"LC",1
"Passeriformes","Henan",2024,"LC",2
"Passeriformes","Henan",2025,"LC",1
"Passeriformes","Hong Kong",2008,"LC",1
"Passeriformes","Hubei",2001,"LC",1
"Passeriformes","Hubei",2004,"LC",1
"Passeriformes","Hubei",2010,"LC",1
"Passeriformes","Hubei",2011,"VU",1
"Passeriformes","Hubei",2012,"LC",1
"Passeriformes","Hubei",2013,"LC",1
"Passeriformes","Hubei",2014,"NT",1
"Passeriformes","Hubei",2015,"LC",1
"Passeriformes","Hubei",2016,"LC",2
"Passeriformes","Hubei",2017,"LC",1
"Passeriformes","Hubei",2019,"LC",2
"Passeriformes","Hubei",2020,"VU",1
"Passeriformes","Hubei",2020,"LC",2
"Passeriformes","Hubei",2021,"VU",1
"Passeriformes","Hubei",2021,"LC",1
"Passeriformes","Hubei",2022,"LC",2
"Passeriformes","Hubei",2024,"LC",3
"Passeriformes","Hubei",2025,"LC",2
"Passeriformes","Hunan",2007,"LC",1
"Passeriformes","Hunan",2010,"LC",4
"Passeriformes","Hunan",2011,"LC",4
"Passeriformes","Hunan",2014,"LC",7
"Passeriformes","Hunan",2015,"LC",2
"Passeriformes","Hunan",2016,"NT",1
"Passeriformes","Hunan",2016,"LC",3
"Passeriformes","Hunan",2017,"LC",1
"Passeriformes","Hunan",2019,"LC",1
"Passeriformes","Hunan",2021,"LC",2
"Passeriformes","Hunan",2022,"LC",4
"Passeriformes","Hunan",2023,"LC",5
"Passeriformes","Hunan",2024,"LC",3
"Passeriformes","Hunan",2025,"LC",5
"Passeriformes","Inner Mongolia",2009,"LC",1
"Passeriformes","Inner Mongolia",2014,"LC",2
"Passeriformes","Inner Mongolia",2015,"LC",2
"Passeriformes","Inner Mongolia",2017,"LC",1
"Passeriformes","Inner Mongolia",2022,"LC",1
"Passeriformes","Inner Mongolia",2023,"LC",12
"Passeriformes","Inner Mongolia",2024,"LC",1
"Passeriformes","Jiangsu",2009,"LC",3
"Passeriformes","Jiangsu",2014,"LC",1
"Passeriformes","Jiangsu",2019,"LC",3
"Passeriformes","Jiangsu",2020,"LC",2
"Passeriformes","Jiangsu",2021,"LC",3
"Passeriformes","Jiangsu",2023,"LC",1
"Passeriformes","Jiangsu",2024,"LC",12
"Passeriformes","Jiangsu",2025,"LC",4
"Passeriformes","Jiangxi",2009,"LC",1
"Passeriformes","Jiangxi",2010,"LC",1
"Passeriformes","Jiangxi",2011,"LC",4
"Passeriformes","Jiangxi",2012,"LC",2
"Passeriformes","Jiangxi",2013,"LC",1
"Passeriformes","Jiangxi",2015,"LC",1
"Passeriformes","Jiangxi",2018,"LC",4
"Passeriformes","Jiangxi",2019,"LC",1
"Passeriformes","Jiangxi",2021,"LC",1
"Passeriformes","Jiangxi",2022,"LC",1
"Passeriformes","Jiangxi",2023,"LC",1
"Passeriformes","Jiangxi",2025,"LC",2
"Passeriformes","Jilin",2012,"LC",1
"Passeriformes","Jilin",2020,"VU",1
"Passeriformes","Jilin",2020,"LC",1
"Passeriformes","Jilin",2022,"NT",1
"Passeriformes","Jilin",2023,"LC",3
"Passeriformes","Jilin",2025,"LC",1
"Passeriformes","Liaoning",2003,"LC",2
"Passeriformes","Liaoning",2006,"LC",2
"Passeriformes","Liaoning",2014,"LC",2
"Passeriformes","Liaoning",2022,"LC",3
"Passeriformes","Liaoning",2025,"LC",1
"Passeriformes","Ningxia",2011,"LC",2
"Passeriformes","Ningxia",2018,"LC",1
"Passeriformes","Ningxia",2019,"LC",3
"Passeriformes","Ningxia",2021,"LC",1
"Passeriformes","Ningxia",2022,"NT",1
"Passeriformes","Ningxia",2022,"LC",1
"Passeriformes","Ningxia",2024,"LC",3
"Passeriformes","Qinghai",2006,"LC",1
"Passeriformes","Qinghai",2013,"NT",1
"Passeriformes","Qinghai",2014,"LC",2
"Passeriformes","Qinghai",2015,"LC",2
"Passeriformes","Qinghai",2017,"LC",6
"Passeriformes","Qinghai",2019,"LC",5
"Passeriformes","Qinghai",2021,"LC",1
"Passeriformes","Qinghai",2024,"LC",1
"Passeriformes","Qinghai",2025,"LC",2
"Passeriformes","Shaanxi",2005,"LC",1
"Passeriformes","Shaanxi",2007,"LC",8
"Passeriformes","Shaanxi",2008,"LC",1
"Passeriformes","Shaanxi",2009,"LC",1
"Passeriformes","Shaanxi",2010,"LC",2
"Passeriformes","Shaanxi",2011,"LC",1
"Passeriformes","Shaanxi",2012,"LC",2
"Passeriformes","Shaanxi",2013,"LC",1
"Passeriformes","Shaanxi",2014,"LC",1
"Passeriformes","Shaanxi",2015,"LC",1
"Passeriformes","Shaanxi",2018,"LC",2
"Passeriformes","Shaanxi",2019,"LC",1
"Passeriformes","Shaanxi",2020,"LC",2
"Passeriformes","Shaanxi",2023,"LC",2
"Passeriformes","Shandong",2009,"LC",1
"Passeriformes","Shandong",2010,"LC",2
"Passeriformes","Shandong",2017,"LC",2
"Passeriformes","Shandong",2022,"LC",2
"Passeriformes","Shandong",2023,"LC",2
"Passeriformes","Shandong",2024,"LC",2
"Passeriformes","Shandong",2025,"LC",3
"Passeriformes","Shanghai",2006,"NT",1
"Passeriformes","Shanghai",2006,"LC",2
"Passeriformes","Shanghai",2013,"LC",5
"Passeriformes","Shanghai",2018,"LC",9
"Passeriformes","Shanxi",2016,"LC",1
"Passeriformes","Shanxi",2018,"LC",1
"Passeriformes","Shanxi",2020,"LC",1
"Passeriformes","Shanxi",2025,"LC",1
"Passeriformes","Sichuan",2007,"LC",2
"Passeriformes","Sichuan",2012,"VU",1
"Passeriformes","Sichuan",2012,"LC",1
"Passeriformes","Sichuan",2013,"LC",1
"Passeriformes","Sichuan",2015,"LC",1
"Passeriformes","Sichuan",2017,"LC",3
"Passeriformes","Sichuan",2018,"LC",2
"Passeriformes","Sichuan",2019,"LC",1
"Passeriformes","Sichuan",2021,"LC",1
