record_id,species,order,order_group,longitude,latitude,province_std,year
274,Numenius madagascariensis,Charadriiformes,Charadriiformes,107.52,33.19,Shaanxi,2007
241,Calidris melanotos,Charadriiformes,Charadriiformes,117.68,39.11,Tianjin,2007
251,Calidris minuta,Charadriiformes,Charadriiformes,117.7,39.11,Tianjin,2007
257,Calidris pugnax,Charadriiformes,Charadriiformes,117.49,38.46,Tianjin,2007
366,Chrysolophus pictus,Galliformes,Others,111.316666666667,34.9666666666667,Shanxi,2007
367,Chrysolophus pictus,Galliformes,Others,111.316666666667,34.9666666666667,Sichuan,2007
408,Amaurornis phoenicurus,Gruiformes,Others,122.335972222222,45.0195,Jilin,2007
470,Cisticola exilis,Passeriformes,Passeriformes,109.106039183255,19.0094632635263,Hainan,2007
764,Phylloscopus collybita,Passeriformes,Passeriformes,114.283333333333,32.1,Henan,2007
660,Larvivora cyane,Passeriformes,Passeriformes,113.21,28.2,Hunan,2007
435,Aegithalos bonvaloti,Passeriformes,Passeriformes,107.75,34.16,Shaanxi,2007
597,Anthus godlewskii,Passeriformes,Passeriformes,107.98,33.53,Shaanxi,2007
637,Ficedula hyperythra,Passeriformes,Passeriformes,107.98,33.53,Shaanxi,2007
662,Monticola rufiventris,Passeriformes,Passeriformes,107.76,33.6,Shaanxi,2007
811,Prunella immaculata,Passeriformes,Passeriformes,107.766666666667,33.9166666666667,Shaanxi,2007
919,Turdus boulboul,Passeriformes,Passeriformes,107.98,33.53,Shaanxi,2007
957,Yuhina nigrimenta,Passeriformes,Passeriformes,107.25,32.55,Shaanxi,2007
943,Zoothera mollissima,Passeriformes,Passeriformes,107.891657287872,34.1039140027229,Shaanxi,2007
807,Pitta sordida,Passeriformes,Passeriformes,102.98,31.5,Sichuan,2007
715,Suthora przewalskii,Passeriformes,Passeriformes,104.76222,32.579169,Sichuan,2007
583,Pterorhinus gularis,Passeriformes,Passeriformes,101.51,22.48,Yunnan,2007
945,Zoothera monticola,Passeriformes,Passeriformes,97.8333333333333,24.0166666666667,Yunnan,2007
1033,Podiceps nigricollis,Podicipediformes,Others,106.9,32.95,Shaanxi,2007
10,Accipiter trivirgatus,Accipitriformes,Accipitriformes,114.249433333333,31.9506333333333,Henan,2008
101,Clangula hyemalis,Anseriformes,Anseriformes,40.15,40.15,Gansu,2008
98,Branta ruficollis,Anseriformes,Anseriformes,112.775833333333,35,Henan,2008
214,Rissa tridactyla,Charadriiformes,Charadriiformes,103.79047,29.48523,Gansu,2008
176,Chlidonias leucopterus,Charadriiformes,Charadriiformes,102.69053,24.810808,Yunnan,2008
335,Halcyon coromanda,Coraciiformes,Others,119.547665645881,35.4666666666667,Shandong,2008
574,Garrulax maesi,Passeriformes,Passeriformes,113.2292844,24.3732841,Guangdong,2008
773,Phylloscopus intermedius,Passeriformes,Passeriformes,106.41769,23.13402,Guangxi,2008
900,Stachyris nonggangensis,Passeriformes,Passeriformes,117.19937,39.085099,Guangxi,2008
645,Ficedula parva,Passeriformes,Passeriformes,118.91252,39.42564,Hebei,2008
883,Sturnus vulgaris,Passeriformes,Passeriformes,124.216666666667,47.2,Heilongjiang,2008
709,Paradoxornis heudei,Passeriformes,Passeriformes,112.635555555556,34.8516666666667,Henan,2008
648,Ficedula parva,Passeriformes,Passeriformes,114.255833333333,22.165,Hong Kong,2008
812,Prunella immaculata,Passeriformes,Passeriformes,107.98,33.53,Shaanxi,2008
639,Ficedula hypoleuca,Passeriformes,Passeriformes,81.4824722222222,36.1876666666667,Xinjiang,2008
814,Prunella montanella,Passeriformes,Passeriformes,87.5418333333333,44.1755277777778,Xinjiang,2008
979,Oroanassa magnifica,Pelecaniformes,Pelecaniformes,108.275,26.4333333333333,Guizhou,2008
1021,Psilopogon faiostrictus,Piciformes,Others,106.85455,22.34262,Guangxi,2008
1032,Podiceps grisegena,Podicipediformes,Others,101.100270186076,38.8623471654714,Gansu,2008
1050,Glaucidium cuculoides,Strigiformes,Others,116.37415,39.90711,Beijing,2008
74,Anser anser,Anseriformes,Anseriformes,110.58,19.8977222222222,Hainan,2009
204,Onychoprion aleuticus,Charadriiformes,Charadriiformes,117.674166666667,23.7844444444444,Fujian,2009
283,Phalaropus lobatus,Charadriiformes,Charadriiformes,113,25,Jiangxi,2009
219,Rissa tridactyla,Charadriiformes,Charadriiformes,102.65135,24.973304,Yunnan,2009
340,Halcyon smyrnensis,Coraciiformes,Others,121,31.0666666666667,Shanghai,2009
380,Gavia adamsii,Gaviiformes,Others,119.820966666667,34,Jiangsu,2009
402,Grus virgo,Gruiformes,Others,116.116666666667,33,Beijing,2009
416,Rallina eurizonoides,Gruiformes,Others,113,25,Jiangxi,2009
638,Ficedula hyperythra,Passeriformes,Passeriformes,108.88612,29.32393,Chongqing,2009
903,Geokichla citrina,Passeriformes,Passeriformes,108.99573,30.67213,Chongqing,2009
905,Grandala coelicolor,Passeriformes,Passeriformes,107.57349,29.26961,Chongqing,2009
466,Pericrocotus solaris,Passeriformes,Passeriformes,109.083333333333,31.1166666666667,Chongqing,2009
482,Podoces biddulphi,Passeriformes,Passeriformes,93.4666666666667,40.2833333333333,Gansu,2009
659,Larvivora cyane,Passeriformes,Passeriformes,110.31,21.04,Hainan,2009
653,Ficedula tricolor,Passeriformes,Passeriformes,118.719166666667,44.2166666666667,Inner Mongolia,2009
576,Garrulax monileger,Passeriformes,Passeriformes,118.84,32.07,Jiangsu,2009
582,Pterorhinus berthemyi,Passeriformes,Passeriformes,118.86,32.06,Jiangsu,2009
585,Pterorhinus pectoralis,Passeriformes,Passeriformes,118.8533,32.070475,Jiangsu,2009
567,Lanius schach,Passeriformes,Passeriformes,114.39875,26.24847,Jiangxi,2009
740,Passer domesticus,Passeriformes,Passeriformes,108.76,34.35,Shaanxi,2009
545,Mycerobas affinis,Passeriformes,Passeriformes,119.22,37.27,Shandong,2009
988,Mycteria leucocephala,Pelecaniformes,Pelecaniformes,106.70722,26.5982,Guizhou,2009
6,Accipiter trivirgatus,Accipitriformes,Accipitriformes,117.816666666667,30.2333333333333,Anhui,2010
59,Ictinaetus malaiensis,Accipitriformes,Accipitriformes,99.3833333333333,28.9,Anhui,2010
44,Gypaetus barbatus,Accipitriformes,Accipitriformes,107.855733333333,28.9818166666667,Chongqing,2010
21,Aviceda leuphotes,Accipitriformes,Accipitriformes,119.071388888889,32.2477777777778,Jiangsu,2010
48,Haliaeetus leucoryphus,Accipitriformes,Accipitriformes,99.95,27.91,Yunnan,2010
137,Gracupica nigricollis,Anseriformes,Anseriformes,117.216666666667,30.3666666666667,Anhui,2010
103,Clangula hyemalis,Anseriformes,Anseriformes,119.35,35.0666666666667,Jiangsu,2010
110,Cygnus olor,Anseriformes,Anseriformes,122.549412011151,44.9599577662215,Jilin,2010
138,Aerodramus brevirostris,Caprimulgiformes,Others,104.25,26.8,Guizhou,2010
235,Calidris canutus,Charadriiformes,Charadriiformes,123.91,45.79,Jilin,2010
159,Charadrius veredus,Charadriiformes,Charadriiformes,122.958100768175,46.0518591831739,Jilin,2010
228,Calidris acuminata,Charadriiformes,Charadriiformes,84.9166666666667,44.4833333333333,Xinjiang,2010
260,Calidris subminuta,Charadriiformes,Charadriiformes,84.9166666666667,44.4833333333333,Xinjiang,2010
151,Charadrius hiaticula,Charadriiformes,Charadriiformes,86.75,47.75,Xinjiang,2010
160,Charadrius veredus,Charadriiformes,Charadriiformes,90.8,43.9,Xinjiang,2010
224,Recurvirostra avosetta,Charadriiformes,Charadriiformes,99.64,27.9,Yunnan,2010
338,Halcyon smyrnensis,Coraciiformes,Others,118.623055555556,32.1208333333333,Jiangsu,2010
406,Amaurornis phoenicurus,Gruiformes,Others,123.37122,45.803323,Heilongjiang,2010
817,Hemixos castanonotus,Passeriformes,Passeriformes,117.45,30,Anhui,2010
708,Paradoxornis heudei,Passeriformes,Passeriformes,117.1675,33.1666666666667,Anhui,2010
465,Pericrocotus solaris,Passeriformes,Passeriformes,117.7177,29.84926,Anhui,2010
868,Acridotheres tristis,Passeriformes,Passeriformes,106.533333333333,29.45,Chongqing,2010
749,Phylloscopus affinis,Passeriformes,Passeriformes,110.41742,25.863638,Guangxi,2010
594,Locustella mandelli,Passeriformes,Passeriformes,107.133333333333,28.1833333333333,Guizhou,2010
815,Prunella strophiata,Passeriformes,Passeriformes,107.133333333333,28.1833333333333,Guizhou,2010
489,Dicrurus hottentottus,Passeriformes,Passeriformes,126.66285,45.74208,Heilongjiang,2010
448,Galerida cristata,Passeriformes,Passeriformes,124.649277366268,47.0183423190898,Heilongjiang,2010
765,Phylloscopus collybita,Passeriformes,Passeriformes,114.540277777778,30.5316666666667,Hubei,2010
440,Aegithalos fuliginosus,Passeriformes,Passeriformes,110.6,30.05,Hunan,2010
614,Cyornis rubeculoides,Passeriformes,Passeriformes,110.666666666667,30.0666666666667,Hunan,2010
502,Emberiza godlewskii,Passeriformes,Passeriformes,110.722166666667,30.0333333333333,Hunan,2010
915,Turdus boulboul,Passeriformes,Passeriformes,110.65,28.8,Hunan,2010
787,Phylloscopus ricketti,Passeriformes,Passeriformes,117.728888888889,27.8461111111111,Jiangxi,2010
551,Pyrrhula nipalensis,Passeriformes,Passeriformes,109.506433333333,31.9517,Shaanxi,2010
553,Rhodospiza obsoleta,Passeriformes,Passeriformes,109.744166666667,38.2519166666667,Shaanxi,2010
691,Phoenicurus schisticeps,Passeriformes,Passeriformes,117.116196997078,36.245332721799,Shandong,2010
810,Prunella himalayana,Passeriformes,Passeriformes,117.116196997078,36.245332721799,Shandong,2010
892,Cyanoderma pyrrhops,Passeriformes,Passeriformes,85.98,28,Xizang,2010
722,Machlolophus xanthogenys,Passeriformes,Passeriformes,85.9666666666667,27.9833333333333,Xizang,2010
808,Pnoepyga immaculata,Passeriformes,Passeriformes,85.9666666666667,27.9833333333333,Xizang,2010
600,Anthus gustavi,Passeriformes,Passeriformes,87.5105431123776,44.171737306194,Xinjiang,2010
619,Erithacus rubecula,Passeriformes,Passeriformes,88.2075,39.328056,Xinjiang,2010
686,Phoenicurus leucocephalus,Passeriformes,Passeriformes,75.208848,37.801109,Xinjiang,2010
554,Spinus spinus,Passeriformes,Passeriformes,97.336333,41.686202,Xinjiang,2010
701,Anthreptes malacensis,Passeriformes,Passeriformes,101.23,21.95,Yunnan,2010
657,Larvivora akahige,Passeriformes,Passeriformes,121.46,29.475,Zhejiang,2010
991,Pelecanus onocrotalus,Pelecaniformes,Pelecaniformes,117.4,30.48,Anhui,2010
967,Bubulcus ibis,Pelecaniformes,Pelecaniformes,123.37122,45.803323,Heilongjiang,2010
1013,Phoenicopterus roseus,Phoenicopteriformes,Others,109.005283333333,34.3772,Shaanxi,2010
68,Spilornis cheela,Accipitriformes,Accipitriformes,124.564444444444,47.0775,Heilongjiang,2011
99,Branta ruficollis,Anseriformes,Anseriformes,104.216855555556,31.0068055555556,Sichuan,2011
108,Cygnus columbianus,Anseriformes,Anseriformes,100.2,26.5833333333333,Yunnan,2011
277,Phalaropus fulicarius,Charadriiformes,Charadriiformes,116.313888888889,40.1338888888889,Beijing,2011
233,Calidris alpina,Charadriiformes,Charadriiformes,106.5025,29.775,Chongqing,2011
236,Calidris falcinellus,Charadriiformes,Charadriiformes,122.575,45.8240833333333,Jilin,2011
261,Calidris tenuirostris,Charadriiformes,Charadriiformes,122.566666666667,45.8333333333333,Jilin,2011
273,Limosa limosa,Charadriiformes,Charadriiformes,106.462222222222,38.8713888888889,Ningxia,2011
223,Recurvirostra avosetta,Charadriiformes,Charadriiformes,106.385277777778,38.3777777777778,Ningxia,2011
256,Calidris pugnax,Charadriiformes,Charadriiformes,108.071263888889,34.2356833333333,Shaanxi,2011
271,Limnodromus semipalmatus,Charadriiformes,Charadriiformes,84.9166666666667,44.4833333333333,Xinjiang,2011
307,Ciconia episcopus,Ciconiiformes,Others,99.6230361111111,27.8940722222222,Yunnan,2011
313,Chalcophaps indica,Columbiformes,Others,114.380555555556,24.4883333333333,Jiangxi,2011
328,Treron sieboldii,Columbiformes,Others,114.380555555556,24.4883333333333,Jiangxi,2011
332,Ceryle rudis,Coraciiformes,Others,116.23231,40.268082,Beijing,2011
417,Rallina eurizonoides,Gruiformes,Others,114.380555555556,24.4883333333333,Jiangxi,2011
390,Grus canadensis,Gruiformes,Others,123.58,45.94,Jilin,2011
840,Regulus regulus,Passeriformes,Passeriformes,117.193611111111,31.8780555555556,Anhui,2011
566,Lanius schach,Passeriformes,Passeriformes,115.9133,40.517869,Beijing,2011
927,Turdus mandarinus,Passeriformes,Passeriformes,115.25,40,Beijing,2011
519,Lonchura striata,Passeriformes,Passeriformes,104.166666666667,31.0333333333333,Gansu,2011
825,Pycnonotus jocosus,Passeriformes,Passeriformes,110.333333333333,20,Hainan,2011
750,Phylloscopus affinis,Passeriformes,Passeriformes,125.25,49.0941666666667,Heilongjiang,2011
794,Phylloscopus tenellipes,Passeriformes,Passeriformes,114.25,31.9658333333333,Henan,2011
805,Pitta nympha,Passeriformes,Passeriformes,110.9,30.85,Hubei,2011
606,Motacilla citreola,Passeriformes,Passeriformes,111.35,28.7,Hunan,2011
548,Pyrrhula erythaca,Passeriformes,Passeriformes,110.65,30.0333333333333,Hunan,2011
550,Pyrrhula nipalensis,Passeriformes,Passeriformes,110.666666666667,30.05,Hunan,2011
714,Suthora conspicillata,Passeriformes,Passeriformes,110.55,30.05,Hunan,2011
484,Dicaeum cruentatum,Passeriformes,Passeriformes,114.380555555556,24.4883333333333,Jiangxi,2011
486,Dicaeum minullum,Passeriformes,Passeriformes,114.380555555556,24.4883333333333,Jiangxi,2011
642,Ficedula narcissina,Passeriformes,Passeriformes,114.380555555556,24.4883333333333,Jiangxi,2011
901,Timalia pileata,Passeriformes,Passeriformes,114.380555555556,24.4883333333333,Jiangxi,2011
542,Fringilla montifringilla,Passeriformes,Passeriformes,106.633333333333,38.55,Ningxia,2011
832,Pycnonotus sinensis,Passeriformes,Passeriformes,106.733333333333,38.75,Ningxia,2011
712,Paradoxornis gularis,Passeriformes,Passeriformes,109.503888888889,31.8877777777778,Shaanxi,2011
601,Anthus gustavi,Passeriformes,Passeriformes,93.4833333333333,41.2166666666667,Xinjiang,2011
664,Muscicapa dauurica,Passeriformes,Passeriformes,89,45,Xinjiang,2011
442,Leptopoecile elegans,Passeriformes,Passeriformes,98.8208333333333,28.395,Yunnan,2011
1058,Otus spilocephalus,Strigiformes,Others,114.380555555556,24.4883333333333,Jiangxi,2011
1066,Fregata ariel,Suliformes,Others,116.3000378,40.1288432,Beijing,2011
13,Accipiter virgatus,Accipitriformes,Accipitriformes,117.116666666667,31.7666666666667,Anhui,2012
54,Hieraaetus pennatus,Accipitriformes,Accipitriformes,112.383333333333,34.6,Henan,2012
62,Neophron percnopterus,Accipitriformes,Accipitriformes,75.25,39.9166666666667,Xinjiang,2012
87,Aythya nyroca,Anseriformes,Anseriformes,123.883333333333,46.0054444444444,Jilin,2012
247,Calidris minuta,Charadriiformes,Charadriiformes,122.566666666667,45.8330833333333,Jilin,2012
280,Phalaropus fulicarius,Charadriiformes,Charadriiformes,100.765,30.0497222222222,Sichuan,2012
285,Phalaropus lobatus,Charadriiformes,Charadriiformes,104.073611111111,30.5785277777778,Sichuan,2012
165,Vanellus leucurus,Charadriiformes,Charadriiformes,77.1166666666667,38.4333333333333,Xinjiang,2012
379,Gavia adamsii,Gaviiformes,Others,127.663061111111,42.0517888888889,Jilin,2012
412,Crex crex,Gruiformes,Others,100.329994444444,24.8993472222222,Yunnan,2012
797,Phylloscopus tephrocephalus,Passeriformes,Passeriformes,107.166666666667,28.2166666666667,Guizhou,2012
930,Turdus pilaris,Passeriformes,Passeriformes,125.1435,51.1388611111111,Heilongjiang,2012
578,Heterophasia desgodinsi,Passeriformes,Passeriformes,110.133333333333,30.45,Hubei,2012
631,Ficedula elisae,Passeriformes,Passeriformes,114.2,26.61,Jiangxi,2012
801,Phylloscopus yunnanensis,Passeriformes,Passeriformes,114.17,26.57,Jiangxi,2012
725,Pardaliparus venustulus,Passeriformes,Passeriformes,126.558888888889,44.0086388888889,Jilin,2012
579,Heterophasia desgodinsi,Passeriformes,Passeriformes,109.258916666667,32.09115,Shaanxi,2012
780,Phylloscopus ogilviegranti,Passeriformes,Passeriformes,107.782777777778,34.0616666666667,Shaanxi,2012
679,Oenanthe deserti,Passeriformes,Passeriformes,100.7825,30.1658333333333,Sichuan,2012
926,Turdus feae,Passeriformes,Passeriformes,104.066388888889,30.64,Sichuan,2012
1042,Calonectris leucomelas,Procellariiformes,Others,117.195625,31.888053,Anhui,2012
1054,Otus semitorques,Strigiformes,Others,114.25,31.95,Henan,2012
1067,Fregata ariel,Suliformes,Others,116.60972,27.667778,Jiangxi,2012
24,Butastur indicus,Accipitriformes,Accipitriformes,116.816666666667,31.4666666666667,Anhui,2013
7,Accipiter trivirgatus,Accipitriformes,Accipitriformes,116.166752777778,39.9934861111111,Beijing,2013
34,Elanus caeruleus,Accipitriformes,Accipitriformes,116.166752777778,39.9934861111111,Beijing,2013
45,Gyps himalayensis,Accipitriformes,Accipitriformes,109.077777777778,21.4386111111111,Guangxi,2013
2,Accipiter gularis,Accipitriformes,Accipitriformes,88.36,36.47,Xinjiang,2013
208,Onychoprion anaethetus,Charadriiformes,Charadriiformes,109.2,20.9166666666667,Guangxi,2013
222,Thalasseus bergii,Charadriiformes,Charadriiformes,121.983305555556,31.2946416666667,Shanghai,2013
232,Calidris alpina,Charadriiformes,Charadriiformes,102.833333333333,24.8166666666667,Yunnan,2013
252,Calidris minuta,Charadriiformes,Charadriiformes,102.703611111111,24.9266666666667,Yunnan,2013
156,Charadrius mongolus,Charadriiformes,Charadriiformes,103.304469444444,23.5910027777778,Yunnan,2013
272,Limosa lapponica,Charadriiformes,Charadriiformes,102.589080555556,24.6540027777778,Yunnan,2013
276,Numenius phaeopus,Charadriiformes,Charadriiformes,102.67,24.97,Yunnan,2013
354,Clamator coromandus,Cuculiformes,Others,126.26374242608,49.8739376167821,Heilongjiang,2013
373,Perdix hodgsoniae,Galliformes,Others,99.95,28.04115,Yunnan,2013
391,Grus canadensis,Gruiformes,Others,122.94,42.37,Liaoning,2013
405,Leucogeranus leucogeranus,Gruiformes,Others,103.3,26.6894444444444,Yunnan,2013
415,Porphyrio porphyrio,Gruiformes,Others,102.7833,24.9167,Yunnan,2013
504,Emberiza leucocephalos,Passeriformes,Passeriformes,115.6,33.2533,Anhui,2013
