year,order_bar,n_records,year_total
2008,Piciformes,1,20
2008,Podicipediformes,1,20
2008,Procellariiformes,0,20
2008,Strigiformes,1,20
2008,Suliformes,0,20
2009,Accipitriformes,0,22
2009,Anseriformes,1,22
2009,Caprimulgiformes,0,22
2009,Charadriiformes,3,22
2009,Ciconiiformes,0,22
2009,Columbiformes,0,22
2009,Coraciiformes,1,22
2009,Cuculiformes,0,22
2009,Falconiformes,0,22
2009,Galliformes,0,22
2009,Gaviiformes,1,22
2009,Gruiformes,2,22
2009,Others,0,22
2009,Passeriformes,13,22
2009,Pelecaniformes,1,22
2009,Phoenicopteriformes,0,22
2009,Piciformes,0,22
2009,Podicipediformes,0,22
2009,Procellariiformes,0,22
2009,Strigiformes,0,22
2009,Suliformes,0,22
2010,Accipitriformes,5,49
2010,Anseriformes,3,49
2010,Caprimulgiformes,1,49
2010,Charadriiformes,7,49
2010,Ciconiiformes,0,49
2010,Columbiformes,0,49
2010,Coraciiformes,1,49
2010,Cuculiformes,0,49
2010,Falconiformes,0,49
2010,Galliformes,0,49
2010,Gaviiformes,0,49
2010,Gruiformes,1,49
2010,Others,0,49
2010,Passeriformes,28,49
2010,Pelecaniformes,2,49
2010,Phoenicopteriformes,1,49
2010,Piciformes,0,49
2010,Podicipediformes,0,49
2010,Procellariiformes,0,49
2010,Strigiformes,0,49
2010,Suliformes,0,49
2011,Accipitriformes,1,41
2011,Anseriformes,2,41
2011,Caprimulgiformes,0,41
2011,Charadriiformes,8,41
2011,Ciconiiformes,1,41
2011,Columbiformes,2,41
2011,Coraciiformes,1,41
2011,Cuculiformes,0,41
2011,Falconiformes,0,41
2011,Galliformes,0,41
2011,Gaviiformes,0,41
2011,Gruiformes,2,41
2011,Others,0,41
2011,Passeriformes,22,41
2011,Pelecaniformes,0,41
2011,Phoenicopteriformes,0,41
2011,Piciformes,0,41
2011,Podicipediformes,0,41
2011,Procellariiformes,0,41
2011,Strigiformes,1,41
2011,Suliformes,1,41
2012,Accipitriformes,3,23
2012,Anseriformes,1,23
2012,Caprimulgiformes,0,23
2012,Charadriiformes,4,23
2012,Ciconiiformes,0,23
2012,Columbiformes,0,23
2012,Coraciiformes,0,23
2012,Cuculiformes,0,23
2012,Falconiformes,0,23
2012,Galliformes,0,23
2012,Gaviiformes,1,23
2012,Gruiformes,1,23
2012,Others,0,23
2012,Passeriformes,10,23
2012,Pelecaniformes,0,23
2012,Phoenicopteriformes,0,23
2012,Piciformes,0,23
2012,Podicipediformes,0,23
2012,Procellariiformes,1,23
2012,Strigiformes,1,23
2012,Suliformes,1,23
2013,Accipitriformes,5,41
2013,Anseriformes,0,41
2013,Caprimulgiformes,0,41
2013,Charadriiformes,7,41
2013,Ciconiiformes,0,41
2013,Columbiformes,0,41
2013,Coraciiformes,0,41
2013,Cuculiformes,1,41
2013,Falconiformes,0,41
2013,Galliformes,1,41
2013,Gaviiformes,0,41
2013,Gruiformes,3,41
2013,Others,0,41
2013,Passeriformes,21,41
2013,Pelecaniformes,2,41
2013,Phoenicopteriformes,0,41
2013,Piciformes,0,41
2013,Podicipediformes,0,41
2013,Procellariiformes,1,41
2013,Strigiformes,0,41
2013,Suliformes,0,41
2014,Accipitriformes,2,47
2014,Anseriformes,2,47
2014,Caprimulgiformes,1,47
2014,Charadriiformes,7,47
2014,Ciconiiformes,1,47
2014,Columbiformes,0,47
2014,Coraciiformes,1,47
2014,Cuculiformes,0,47
2014,Falconiformes,1,47
2014,Galliformes,0,47
2014,Gaviiformes,0,47
2014,Gruiformes,0,47
2014,Others,0,47
2014,Passeriformes,25,47
2014,Pelecaniformes,2,47
2014,Phoenicopteriformes,1,47
2014,Piciformes,1,47
2014,Podicipediformes,1,47
2014,Procellariiformes,1,47
2014,Strigiformes,1,47
2014,Suliformes,0,47
2015,Accipitriformes,3,34
2015,Anseriformes,1,34
2015,Caprimulgiformes,0,34
2015,Charadriiformes,4,34
2015,Ciconiiformes,0,34
2015,Columbiformes,0,34
2015,Coraciiformes,1,34
2015,Cuculiformes,0,34
2015,Falconiformes,0,34
2015,Galliformes,0,34
2015,Gaviiformes,0,34
2015,Gruiformes,1,34
2015,Others,0,34
2015,Passeriformes,19,34
2015,Pelecaniformes,3,34
2015,Phoenicopteriformes,0,34
2015,Piciformes,1,34
2015,Podicipediformes,0,34
2015,Procellariiformes,0,34
2015,Strigiformes,1,34
2015,Suliformes,0,34
2016,Accipitriformes,3,42
2016,Anseriformes,3,42
2016,Caprimulgiformes,0,42
2016,Charadriiformes,3,42
2016,Ciconiiformes,0,42
2016,Columbiformes,1,42
2016,Coraciiformes,0,42
2016,Cuculiformes,3,42
2016,Falconiformes,0,42
2016,Galliformes,0,42
2016,Gaviiformes,0,42
2016,Gruiformes,0,42
2016,Others,0,42
2016,Passeriformes,23,42
2016,Pelecaniformes,2,42
2016,Phoenicopteriformes,3,42
2016,Piciformes,1,42
2016,Podicipediformes,0,42
2016,Procellariiformes,0,42
2016,Strigiformes,0,42
2016,Suliformes,0,42
2017,Accipitriformes,1,69
2017,Anseriformes,8,69
2017,Caprimulgiformes,0,69
2017,Charadriiformes,7,69
2017,Ciconiiformes,0,69
2017,Columbiformes,2,69
2017,Coraciiformes,1,69
2017,Cuculiformes,0,69
2017,Falconiformes,0,69
2017,Galliformes,1,69
2017,Gaviiformes,0,69
2017,Gruiformes,2,69
2017,Others,0,69
2017,Passeriformes,35,69
2017,Pelecaniformes,5,69
2017,Phoenicopteriformes,2,69
2017,Piciformes,2,69
2017,Podicipediformes,1,69
2017,Procellariiformes,0,69
2017,Strigiformes,0,69
2017,Suliformes,2,69
2018,Accipitriformes,4,58
2018,Anseriformes,5,58
2018,Caprimulgiformes,1,58
2018,Charadriiformes,7,58
2018,Ciconiiformes,2,58
2018,Columbiformes,1,58
2018,Coraciiformes,1,58
2018,Cuculiformes,1,58
2018,Falconiformes,1,58
2018,Galliformes,0,58
2018,Gaviiformes,1,58
2018,Gruiformes,0,58
2018,Others,0,58
2018,Passeriformes,29,58
2018,Pelecaniformes,1,58
2018,Phoenicopteriformes,1,58
2018,Piciformes,2,58
2018,Podicipediformes,0,58
2018,Procellariiformes,0,58
2018,Strigiformes,0,58
2018,Suliformes,1,58
2019,Accipitriformes,2,73
2019,Anseriformes,6,73
2019,Caprimulgiformes,1,73
2019,Charadriiformes,17,73
2019,Ciconiiformes,0,73
2019,Columbiformes,1,73
2019,Coraciiformes,2,73
2019,Cuculiformes,0,73
2019,Falconiformes,0,73
2019,Galliformes,0,73
2019,Gaviiformes,0,73
2019,Gruiformes,1,73
2019,Others,0,73
2019,Passeriformes,32,73
2019,Pelecaniformes,5,73
2019,Phoenicopteriformes,1,73
2019,Piciformes,1,73
2019,Podicipediformes,0,73
2019,Procellariiformes,2,73
2019,Strigiformes,2,73
2019,Suliformes,0,73
2020,Accipitriformes,2,42
2020,Anseriformes,1,42
2020,Caprimulgiformes,0,42
2020,Charadriiformes,6,42
2020,Ciconiiformes,0,42
2020,Columbiformes,0,42
2020,Coraciiformes,1,42
2020,Cuculiformes,1,42
2020,Falconiformes,0,42
2020,Galliformes,0,42
2020,Gaviiformes,0,42
2020,Gruiformes,1,42
2020,Others,1,42
2020,Passeriformes,28,42
2020,Pelecaniformes,1,42
2020,Phoenicopteriformes,0,42
2020,Piciformes,0,42
2020,Podicipediformes,0,42
2020,Procellariiformes,0,42
2020,Strigiformes,0,42
2020,Suliformes,0,42
2021,Accipitriformes,8,60
2021,Anseriformes,4,60
2021,Caprimulgiformes,0,60
2021,Charadriiformes,13,60
2021,Ciconiiformes,2,60
2021,Columbiformes,2,60
2021,Coraciiformes,0,60
2021,Cuculiformes,1,60
2021,Falconiformes,0,60
2021,Galliformes,3,60
2021,Gaviiformes,1,60
2021,Gruiformes,2,60
2021,Others,0,60
2021,Passeriformes,16,60
2021,Pelecaniformes,2,60
2021,Phoenicopteriformes,1,60
2021,Piciformes,0,60
2021,Podicipediformes,1,60
2021,Procellariiformes,0,60
2021,Strigiformes,1,60
2021,Suliformes,3,60
2022,Accipitriformes,2,63
2022,Anseriformes,6,63
2022,Caprimulgiformes,0,63
2022,Charadriiformes,6,63
2022,Ciconiiformes,0,63
2022,Columbiformes,3,63
2022,Coraciiformes,1,63
2022,Cuculiformes,2,63
2022,Falconiformes,0,63
2022,Galliformes,2,63
2022,Gaviiformes,0,63
2022,Gruiformes,4,63
2022,Others,0,63
2022,Passeriformes,31,63
2022,Pelecaniformes,2,63
2022,Phoenicopteriformes,1,63
2022,Piciformes,1,63
2022,Podicipediformes,0,63
2022,Procellariiformes,1,63
2022,Strigiformes,1,63
2022,Suliformes,0,63
2023,Accipitriformes,9,77
2023,Anseriformes,5,77
2023,Caprimulgiformes,0,77
2023,Charadriiformes,8,77
2023,Ciconiiformes,1,77
2023,Columbiformes,4,77
2023,Coraciiformes,1,77
2023,Cuculiformes,0,77
2023,Falconiformes,0,77
2023,Galliformes,0,77
2023,Gaviiformes,2,77
2023,Gruiformes,5,77
2023,Others,0,77
2023,Passeriformes,38,77
2023,Pelecaniformes,1,77
2023,Phoenicopteriformes,0,77
2023,Piciformes,0,77
2023,Podicipediformes,0,77
2023,Procellariiformes,0,77
2023,Strigiformes,3,77
2023,Suliformes,0,77
2024,Accipitriformes,4,92
2024,Anseriformes,6,92
2024,Caprimulgiformes,0,92
2024,Charadriiformes,12,92
2024,Ciconiiformes,2,92
2024,Columbiformes,2,92
2024,Coraciiformes,1,92
2024,Cuculiformes,2,92
2024,Falconiformes,0,92
2024,Galliformes,3,92
2024,Gaviiformes,0,92
2024,Gruiformes,2,92
2024,Others,0,92
2024,Passeriformes,48,92
2024,Pelecaniformes,3,92
2024,Phoenicopteriformes,1,92
2024,Piciformes,0,92
2024,Podicipediformes,0,92
2024,Procellariiformes,1,92
2024,Strigiformes,2,92
2024,Suliformes,3,92
2025,Accipitriformes,6,80
2025,Anseriformes,5,80
2025,Caprimulgiformes,0,80
2025,Charadriiformes,17,80
2025,Ciconiiformes,1,80
2025,Columbiformes,0,80
2025,Coraciiformes,1,80
2025,Cuculiformes,0,80
2025,Falconiformes,0,80
2025,Galliformes,1,80
2025,Gaviiformes,2,80
2025,Gruiformes,3,80
2025,Others,1,80
2025,Passeriformes,37,80
2025,Pelecaniformes,4,80
2025,Phoenicopteriformes,0,80
2025,Piciformes,0,80
2025,Podicipediformes,0,80
2025,Procellariiformes,0,80
2025,Strigiformes,0,80
2025,Suliformes,2,80
