record_type,species,shp_species,order_occurrence,family_occurrence,longitude,latitude,cell_id,points_used_csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,NA,NA,109.868355,18.724968,1235003,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,NA,NA,108.78804,19.107891,1221675,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,NA,NA,109.15173,19.102024,1221684,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,NA,NA,109.53369000000001,19.038427,1224649,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,NA,NA,109.733596,18.928098,1227610,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,雀形目,花蜜鸟科,106.9949,22.4889,1101914,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,101.254333,21.928222,1120991,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,101.248995,21.932935,1120990,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,101.575596,21.509247,1135778,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,100.79739,22.00749,1118024,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,101.262379,21.912425,1122469,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,101.341295,21.856487,1123949,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,100.7353,21.9404,1120978,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,100.78602,22.012798,1118023,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,100.93785,21.855839,1123939,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,100.86354,22.169786,1112113,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,101.587494,21.625381,1131345,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,101.324394,21.87126,1123948,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,101.44875,21.633007,1131341,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,100.46247,22.718115,1092890,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,101.65151,21.496244,1137258,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Anthreptes malacensis,Anthreptes malacensis,NA,NA,100.8066,21.992874,1119502,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/anthreptes_malacensis_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,夜鹰目,凤头雨燕科,91.73856,27.82839,912364,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,夜鹰目,凤头雨燕科,108.97293,34.24413,685166,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.622266,24.486301,1030745,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.632876,24.464259,1030746,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,101.57487,21.626675,1131344,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.592605,24.516767,1029267,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.57081,24.466088,1030744,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.93184,24.70519,1023363,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.721303,24.485696,1030748,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.56423,24.44394,1032222,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.53337,24.437689,1032221,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.59413,24.449905,1032223,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,101.587494,21.625381,1131345,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,101.5881,21.597641,1132823,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,100.86354,22.169786,1112113,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,101.56461,21.45941,1137256,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,101.44875,21.633007,1131341,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.55595,24.730984,1021876,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.899802,24.859801,1017450,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.699303,24.493516,1030747,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,100.46247,22.718115,1092890,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,101.60005,21.533472,1135779,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,101.263306,21.925907,1120991,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.664734,24.60282,1026312,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.98838,24.05033,1045534,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.793335,24.9275,1014492,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.599,24.666752,1023355,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.71373,24.590593,1026314,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,97.79921,23.98464,1048486,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,101.30184,22.033138,1118036,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,100.890144,22.254063,1109158,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Hemiprocne coronata,Hemiprocne coronata,NA,NA,100.70491,22.08531,1115065,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/hemiprocne_coronata_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,鸻形目,鸻科,104.05846,30.58521,813634,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.57001,24.72145,1021876,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.9707,24.0562,1045534,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,98.606125,25.223675,1004165,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,98.55847,25.120054,1008598,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,98.658676,25.214706,1004166,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.93932,24.687584,1023363,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,98.02626,24.739704,1021887,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.87849,23.987038,1048488,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.976105,24.037752,1047012,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.835655,24.394926,1033707,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.873436,24.638252,1024839,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.65621,24.61217,1026312,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.67011,24.468342,1030747,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.95923,24.68344,1023364,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.53337,24.437689,1032221,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.815575,24.607882,1026316,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.57877,24.699087,1023354,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.591729,24.560061,1027789,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,98.256657,24.65407,1024849,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,98.57933,25.222765,1004164,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.702675,24.545324,1027791,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,103.3,23.57,1063398,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.91908,24.711594,1021885,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.59056,24.68803,1023355,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,98.8561,25.1346,1007127,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.896736,24.053478,1045532,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.90758,24.698977,1023362,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.589645,24.666466,1024833,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.79921,23.98464,1048486,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.58451,24.610987,1026311,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,98.00198,24.690735,1023365,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.84232,24.006266,1047009,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,97.83519,23.967054,1048487,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,100.235306,26.888853,945084,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,98.710785,25.240639,1004168,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,100.93895,21.842579,1123939,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,98.48373,25.008856,1011552,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Vanellus indicus,Vanellus indicus,NA,NA,100.06383,26.00915,976118,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/vanellus_indicus_points_used.csv
occurrence_point_used_for_modeling,Syrmaticus humiae,Syrmaticus humiae,鸡形目,雉科,106.21061,24.84698,1017650,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/syrmaticus_humiae_points_used.csv
occurrence_point_used_for_modeling,Syrmaticus humiae,Syrmaticus humiae,鸡形目,雉科,106.39129,24.81528,1019132,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/syrmaticus_humiae_points_used.csv
occurrence_point_used_for_modeling,Syrmaticus humiae,Syrmaticus humiae,NA,NA,98.87093,25.261126,1002693,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/syrmaticus_humiae_points_used.csv
occurrence_point_used_for_modeling,Syrmaticus humiae,Syrmaticus humiae,NA,NA,99.72519,26.632286,953940,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/syrmaticus_humiae_points_used.csv
occurrence_point_used_for_modeling,Syrmaticus humiae,Syrmaticus humiae,NA,NA,101.40584,25.022047,1011622,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/syrmaticus_humiae_points_used.csv
occurrence_point_used_for_modeling,Syrmaticus humiae,Syrmaticus humiae,NA,NA,99.6554,26.771175,949504,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/syrmaticus_humiae_points_used.csv
occurrence_point_used_for_modeling,Syrmaticus humiae,Syrmaticus humiae,NA,NA,99.60926,26.807487,948025,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/syrmaticus_humiae_points_used.csv
occurrence_point_used_for_modeling,Syrmaticus humiae,Syrmaticus humiae,NA,NA,99.667973,26.92695,943593,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/syrmaticus_humiae_points_used.csv
occurrence_point_used_for_modeling,Syrmaticus humiae,Syrmaticus humiae,NA,NA,99.637985,26.816647,948026,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/syrmaticus_humiae_points_used.csv
occurrence_point_used_for_modeling,Syrmaticus humiae,Syrmaticus humiae,NA,NA,102.111725,24.084507,1044155,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/syrmaticus_humiae_points_used.csv
occurrence_point_used_for_modeling,Syrmaticus humiae,Syrmaticus humiae,NA,NA,98.802124,25.297853,1001214,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/syrmaticus_humiae_points_used.csv
occurrence_point_used_for_modeling,Syrmaticus humiae,Syrmaticus humiae,NA,NA,104.17906,30.642256,812159,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/syrmaticus_humiae_points_used.csv
occurrence_point_used_for_modeling,Syrmaticus humiae,Syrmaticus humiae,NA,NA,100.893984,24.530281,1029346,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/syrmaticus_humiae_points_used.csv
occurrence_point_used_for_modeling,Syrmaticus humiae,Syrmaticus humiae,NA,NA,98.80341,25.278633,1002692,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/syrmaticus_humiae_points_used.csv
