scenario,res_minutes,target_name,path,source,readable,checked_at
current,2.5,wc2.1_2.5m_bio_19.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_19.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_2.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_2.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_3.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_3.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_4.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_4.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_5.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_5.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_6.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_6.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_7.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_7.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_8.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_8.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_9.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_9.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_elev.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_elev.tif,scan_existing,TRUE,2026-03-24 09:40:20
