species,algorithm,fold,available,auc,tss,threshold
Vanellus indicus,RF,1,TRUE,0.9285714285714286,0.865,0.016666666666666666
Vanellus indicus,RF,2,TRUE,0.3525,0,0
Vanellus indicus,RF,3,TRUE,0.6763888888888889,0.3255555555555556,0.0033333333333333335
Vanellus indicus,RF,4,TRUE,0.9375,0.905,0.03300000000000011
Vanellus indicus,RF,5,TRUE,0.992,0.9300000000000002,0.05
Vanellus indicus,MaxEnt,1,TRUE,NA,NA,NA
Vanellus indicus,MaxEnt,2,TRUE,NA,NA,NA
Vanellus indicus,MaxEnt,3,TRUE,NA,NA,NA
Vanellus indicus,MaxEnt,4,TRUE,NA,NA,NA
Vanellus indicus,MaxEnt,5,TRUE,NA,NA,NA
Syrmaticus humiae,GLM,1,TRUE,0.7434615384615385,0.44807692307692326,0.00921565921101376
Syrmaticus humiae,GLM,2,TRUE,0.7597826086956522,0.4695652173913043,0.01620957335194064
Syrmaticus humiae,GLM,3,TRUE,1,-0.05500000000000005,0.29814255884586427
Syrmaticus humiae,GLM,4,TRUE,0.54625,0.2549999999999999,0.005665857794906389
Syrmaticus humiae,GLM,5,TRUE,0.8854166666666666,0.7949999999999999,0.055787329301412655
Syrmaticus humiae,GAM,1,TRUE,0.7269230769230769,0.44807692307692326,0.0020362163449825048
Syrmaticus humiae,GAM,2,TRUE,0.7647826086956522,0.5065217391304349,0.008596828236102264
Syrmaticus humiae,GAM,3,TRUE,0.965,-0.05500000000000005,0.28163562309712475
Syrmaticus humiae,GAM,4,TRUE,0.635,0.3599999999999999,0.0027151304732738776
Syrmaticus humiae,GAM,5,TRUE,0.7779166666666667,0.635,0.020121170302738422
Syrmaticus humiae,GBM,1,TRUE,0.6546153846153846,0.585,0.004487120837581936
Syrmaticus humiae,GBM,2,TRUE,0.8556521739130435,0.6345652173913043,0.01484810558509881
Syrmaticus humiae,GBM,3,TRUE,0.805,0.1499999999999999,0.002350936423105708
Syrmaticus humiae,GBM,4,TRUE,0.53875,0.30499999999999994,0.003916886536592731
Syrmaticus humiae,GBM,5,TRUE,0.8300000000000001,0.635,0.005293359929143105
Syrmaticus humiae,RF,1,TRUE,0.3463461538461538,0,0
Syrmaticus humiae,RF,2,TRUE,0.8071739130434783,0.5165217391304349,0.006666666666666667
Syrmaticus humiae,RF,3,TRUE,0.285,0,0
Syrmaticus humiae,RF,4,TRUE,0.390625,0,0
Syrmaticus humiae,RF,5,TRUE,0.7510416666666667,0.5633333333333335,0.01233333333333339
Syrmaticus humiae,MaxEnt,1,TRUE,NA,NA,NA
Syrmaticus humiae,MaxEnt,2,TRUE,NA,NA,NA
Syrmaticus humiae,MaxEnt,3,TRUE,NA,NA,NA
Syrmaticus humiae,MaxEnt,4,TRUE,NA,NA,NA
Syrmaticus humiae,MaxEnt,5,TRUE,NA,NA,NA
Phalaropus fulicarius,GLM,1,TRUE,0.760625,0.15999999999999992,9.987355611102272e-5
Phalaropus fulicarius,GLM,2,TRUE,0.9,0.05499999999999994,2.100419037553528e-4
Phalaropus fulicarius,GLM,3,TRUE,0.559,0.20500000000000007,0.0038296539348172502
Phalaropus fulicarius,GLM,4,TRUE,0.71,0.6099999999999999,0.019413321494628093
Phalaropus fulicarius,GLM,5,TRUE,0.765,0.7050000000000001,0.02029180656195322
Phalaropus fulicarius,GAM,1,TRUE,0.769375,0.15999999999999992,1.6356499218330258e-4
Phalaropus fulicarius,GAM,2,TRUE,0.73,0.20500000000000007,0.0031562686025030495
Phalaropus fulicarius,GAM,3,TRUE,0.615,0.10000000000000009,0.0025457671126815564
Phalaropus fulicarius,GAM,4,TRUE,0.5683333333333334,0.56,0.01201777520200183
Phalaropus fulicarius,GAM,5,TRUE,0.625,0.5049999999999999,0.00925811539571534
Phalaropus fulicarius,GBM,1,TRUE,0.755625,0,1.8342353147866947e-4
Phalaropus fulicarius,GBM,2,TRUE,0.785,0.7549999999999999,0.0067595764240373744
Phalaropus fulicarius,GBM,3,TRUE,0.7505,0.48,0.0012055146435803017
Phalaropus fulicarius,GBM,4,TRUE,0.6616666666666667,0.5800000000000001,0.0017411177596820583
Phalaropus fulicarius,GBM,5,TRUE,0.8474999999999999,0.8050000000000002,0.002784350219779074
Phalaropus fulicarius,RF,1,TRUE,0.40562499999999996,0,0
Phalaropus fulicarius,RF,2,TRUE,0.7424999999999999,0.7250000000000001,0.006666666666666667
Phalaropus fulicarius,RF,3,TRUE,0.5785,0.2250000000000001,0.006666666666666667
Phalaropus fulicarius,RF,4,TRUE,0.3275,0,0
Phalaropus fulicarius,RF,5,TRUE,0.63375,0.3999999999999999,0.026333333333333448
Phalaropus fulicarius,MaxEnt,1,TRUE,NA,NA,NA
Phalaropus fulicarius,MaxEnt,2,TRUE,NA,NA,NA
Phalaropus fulicarius,MaxEnt,3,TRUE,NA,NA,NA
Phalaropus fulicarius,MaxEnt,4,TRUE,NA,NA,NA
Phalaropus fulicarius,MaxEnt,5,TRUE,NA,NA,NA
Coturnicops exquisitus,GLM,1,TRUE,0.53375,0.2549999999999999,0.026365603292670164
Coturnicops exquisitus,GLM,2,TRUE,0.6799999999999999,0.1333333333333333,0.05165688243067329
Coturnicops exquisitus,GLM,3,TRUE,0.765625,0.15999999999999992,0.008829882371724522
Coturnicops exquisitus,GLM,4,TRUE,0.8822222222222222,0.05499999999999994,0.00160818667629266
Coturnicops exquisitus,GLM,5,TRUE,0.7861111111111111,0.10499999999999998,0.0035219311491268713
Coturnicops exquisitus,GAM,1,TRUE,0.55125,0.30499999999999994,0.0077505382657699655
Coturnicops exquisitus,GAM,2,TRUE,0.6116666666666667,0.2333333333333334,0.08727565727363766
Coturnicops exquisitus,GAM,3,TRUE,0.6431250000000001,0.05499999999999994,0.0010865144326171873
Coturnicops exquisitus,GAM,4,TRUE,0.9616666666666667,-0.05500000000000005,0.12037084528926187
Coturnicops exquisitus,GAM,5,TRUE,0.6522222222222223,0.05499999999999994,9.57318348944884e-4
Coturnicops exquisitus,GBM,1,TRUE,0.5125,0.20500000000000007,0.004391954467935631
Coturnicops exquisitus,GBM,2,TRUE,0.565,0.18333333333333335,0.01746250676367835
Coturnicops exquisitus,GBM,3,TRUE,0.7634375,0.04499999999999993,0.002645876205464423
Coturnicops exquisitus,GBM,4,TRUE,0.7975,0.08000000000000007,0.0033994165881249096
Coturnicops exquisitus,GBM,5,TRUE,0.6313888888888889,0.135,0.003176103388212604
Coturnicops exquisitus,RF,1,TRUE,0.5437500000000001,0.2749999999999999,0.023333333333333334
Coturnicops exquisitus,RF,2,TRUE,0.5516666666666666,0.32166666666666677,0.0076666666666668
Coturnicops exquisitus,RF,3,TRUE,0.6525,0,0
Coturnicops exquisitus,RF,4,TRUE,0.7327777777777778,0,0
Coturnicops exquisitus,RF,5,TRUE,0.44083333333333335,0.04444444444444429,0.006000000000000038
Coturnicops exquisitus,MaxEnt,1,TRUE,NA,NA,NA
Coturnicops exquisitus,MaxEnt,2,TRUE,NA,NA,NA
Coturnicops exquisitus,MaxEnt,3,TRUE,NA,NA,NA
Coturnicops exquisitus,MaxEnt,4,TRUE,NA,NA,NA
Coturnicops exquisitus,MaxEnt,5,TRUE,NA,NA,NA
Hirundo smithii,GLM,1,TRUE,0.9718592964824121,0.8693467336683418,0.009683273231397393
Hirundo smithii,GLM,2,TRUE,1,0.955223880597015,0.04648523912063453
Hirundo smithii,GLM,3,TRUE,0.8515151515151516,0.6161616161616161,2.6275757535196693e-4
Hirundo smithii,GLM,4,TRUE,0.9900497512437811,0.955223880597015,0.040174132353138284
Hirundo smithii,GLM,5,TRUE,0.9601990049751243,0.955223880597015,0.11625687550932721
Hirundo smithii,GAM,1,TRUE,0.9989949748743718,0.9698492462311559,0.06942568823129601
Hirundo smithii,GAM,2,TRUE,1,0.955223880597015,0.03760724675153223
Hirundo smithii,GAM,3,TRUE,0.7676767676767677,0.3545454545454545,9.838394731834849e-7
Hirundo smithii,GAM,4,TRUE,0.9950248756218906,0.955223880597015,0.04577812035242957
Hirundo smithii,GAM,5,TRUE,0.9552238805970149,0.955223880597015,0.1041004987585881
Hirundo smithii,GBM,1,TRUE,0.9768844221105528,0.9195979899497488,0.0010645597525368857
Hirundo smithii,GBM,2,TRUE,1,0.955223880597015,0.009451732824024778
Hirundo smithii,GBM,3,TRUE,0.9383838383838383,0.8636363636363638,2.9184936374410725e-5
Hirundo smithii,GBM,4,TRUE,0.9950248756218906,0.955223880597015,0.013761315251796694
Hirundo smithii,GBM,5,TRUE,0.9029850746268656,0.855721393034826,0.0012106122044836163
Hirundo smithii,RF,1,TRUE,0.9899497487437185,0.9698492462311559,0.04516666666666661
Hirundo smithii,RF,2,TRUE,0.9975124378109452,0.955223880597015,0.04266666666666651
Hirundo smithii,RF,3,TRUE,0.952020202020202,0.8535353535353534,0.0033333333333333335
Hirundo smithii,RF,4,TRUE,0.9925373134328358,0.9502487562189055,0.04
Hirundo smithii,RF,5,TRUE,0.9751243781094527,0.955223880597015,0.07999999999999924
Hirundo smithii,MaxEnt,1,TRUE,NA,NA,NA
Hirundo smithii,MaxEnt,2,TRUE,NA,NA,NA
Hirundo smithii,MaxEnt,3,TRUE,NA,NA,NA
Hirundo smithii,MaxEnt,4,TRUE,NA,NA,NA
Hirundo smithii,MaxEnt,5,TRUE,NA,NA,NA
Gavia pacifica,GLM,1,TRUE,0.5895522388059702,0.4502487562189055,0.06703734062480299
Gavia pacifica,GLM,2,TRUE,NA,NA,NA
Gavia pacifica,GLM,3,TRUE,0.7018425460636516,0.6214405360134003,0.04173920340830908
Gavia pacifica,GLM,4,TRUE,0.983756345177665,0.9187817258883249,0.018771672277449594
Gavia pacifica,GLM,5,TRUE,0.9950248756218906,0.9502487562189055,0.06515898829515171
Gavia pacifica,GAM,1,TRUE,0.677860696517413,0.4502487562189055,0.013428419101909977
Gavia pacifica,GAM,2,TRUE,NA,NA,NA
Gavia pacifica,GAM,3,TRUE,0.7412060301507537,0.5711892797319933,2.9643669080470977e-5
Gavia pacifica,GAM,4,TRUE,0.9908629441624365,0.969543147208122,0.07641677784672816
Gavia pacifica,GAM,5,TRUE,0.9950248756218906,0.9502487562189055,0.014756151631335075
Gavia pacifica,GBM,1,TRUE,0.695273631840796,0.4502487562189055,9.30126425025484e-4
Gavia pacifica,GBM,2,TRUE,NA,NA,NA
Gavia pacifica,GBM,3,TRUE,0.7747068676716916,0.5711892797319933,3.878563930973383e-6
Gavia pacifica,GBM,4,TRUE,0.9411167512690356,0.7644670050761422,0.00190461561797416
Gavia pacifica,GBM,5,TRUE,1,0.9502487562189055,0.003014308423250111
Gavia pacifica,RF,1,TRUE,0.7126865671641791,0.4502487562189055,0.07599999999999985
Gavia pacifica,RF,2,TRUE,NA,NA,NA
Gavia pacifica,RF,3,TRUE,0.8065326633165829,0.6113902847571189,0.01
Gavia pacifica,RF,4,TRUE,0.8913705583756346,0.7644670050761422,0.026333333333333257
Gavia pacifica,RF,5,TRUE,1,0.9502487562189055,0.049499999999999884
Gavia pacifica,MaxEnt,1,TRUE,NA,NA,NA
Gavia pacifica,MaxEnt,2,TRUE,NA,NA,NA
Gavia pacifica,MaxEnt,3,TRUE,NA,NA,NA
Gavia pacifica,MaxEnt,4,TRUE,NA,NA,NA
Gavia pacifica,MaxEnt,5,TRUE,NA,NA,NA
Cyornis rubeculoides,GLM,1,TRUE,0.915,0.905,0.07271281622571198
Cyornis rubeculoides,GLM,2,TRUE,0.7,0.41999999999999993,0.0020313917475421814
Cyornis rubeculoides,GLM,3,TRUE,0.66,0.30499999999999994,0.005145133740717755
Cyornis rubeculoides,GLM,4,TRUE,0.885,0.7149999999999999,0.01827142780358893
Cyornis rubeculoides,GLM,5,TRUE,0.8421428571428572,0.5842857142857143,0.032529390771920984
Cyornis rubeculoides,GAM,1,TRUE,0.625,0.605,0.014556949881990605
Cyornis rubeculoides,GAM,2,TRUE,0.649,0.41999999999999993,0.001781841675051059
Cyornis rubeculoides,GAM,3,TRUE,0.8200000000000001,0.15500000000000003,5.700823050474674e-7
Cyornis rubeculoides,GAM,4,TRUE,0.8175,0.7149999999999999,0.015362254756203775
Cyornis rubeculoides,GAM,5,TRUE,0.7235714285714285,0.4792857142857143,0.015720953427262756
Cyornis rubeculoides,GBM,1,TRUE,0.58,0.5550000000000002,0.0031840847258765162
Cyornis rubeculoides,GBM,2,TRUE,0.51725,0.20999999999999996,3.8212538755182156e-4
Cyornis rubeculoides,GBM,3,TRUE,0.7224999999999999,0.2549999999999999,0.0012806498743562636
Cyornis rubeculoides,GBM,4,TRUE,0.83875,0.7149999999999999,0.0037861349177989324
Cyornis rubeculoides,GBM,5,TRUE,0.5278571428571428,0.2885714285714285,0.005594429189188439
Cyornis rubeculoides,RF,1,TRUE,0.895,0.8500000000000001,0.06333333333333334
Cyornis rubeculoides,RF,2,TRUE,0.6005,0.29000000000000004,0.01
Cyornis rubeculoides,RF,3,TRUE,0.2925,0,0
Cyornis rubeculoides,RF,4,TRUE,0.846875,0.7650000000000001,0.010833333333333429
Cyornis rubeculoides,RF,5,TRUE,0.55,0.23357142857142854,0.01600000000000004
Cyornis rubeculoides,MaxEnt,1,TRUE,NA,NA,NA
Cyornis rubeculoides,MaxEnt,2,TRUE,NA,NA,NA
Cyornis rubeculoides,MaxEnt,3,TRUE,NA,NA,NA
Cyornis rubeculoides,MaxEnt,4,TRUE,NA,NA,NA
Cyornis rubeculoides,MaxEnt,5,TRUE,NA,NA,NA
Lophotriorchis kienerii,GLM,1,TRUE,0.823,0.7149999999999999,0.021165848200216074
Lophotriorchis kienerii,GLM,2,TRUE,0.57,0.5550000000000002,0.009330651576515882
Lophotriorchis kienerii,GLM,3,TRUE,0.9611538461538461,0.905,0.035995231386113366
Lophotriorchis kienerii,GLM,4,TRUE,0.7175,0.6099999999999999,0.029795642384629117
Lophotriorchis kienerii,GLM,5,TRUE,0.7133333333333334,0.20500000000000007,7.993024008800319e-4
Lophotriorchis kienerii,GAM,1,TRUE,0.95,0.9199999999999999,0.07470799666006724
Lophotriorchis kienerii,GAM,2,TRUE,0.645,0.605,0.0043893538809059345
Lophotriorchis kienerii,GAM,3,TRUE,0.8611538461538462,0.8,0.012701225521085616
Lophotriorchis kienerii,GAM,4,TRUE,0.68375,0.51,0.0010816147853683726
Lophotriorchis kienerii,GAM,5,TRUE,0.8183333333333334,0.10499999999999998,3.0929450732601282e-12
Lophotriorchis kienerii,GBM,1,TRUE,0.853,0.77,0.004461612698986336
Lophotriorchis kienerii,GBM,2,TRUE,0.87,0.855,0.009857280112406231
Lophotriorchis kienerii,GBM,3,TRUE,0.8323076923076923,0.7450000000000001,0.0018564390929338168
Lophotriorchis kienerii,GBM,4,TRUE,0.615,0.45999999999999996,7.479841240284977e-4
Lophotriorchis kienerii,GBM,5,TRUE,0.6716666666666666,0.02499999999999991,5.308056487014263e-4
Lophotriorchis kienerii,RF,1,TRUE,0.6355000000000001,0.43999999999999995,0.0033333333333333335
Lophotriorchis kienerii,RF,2,TRUE,0.9275,0.905,0.046666666666666766
Lophotriorchis kienerii,RF,3,TRUE,0.9225,0.7850000000000001,0.006666666666666667
Lophotriorchis kienerii,RF,4,TRUE,0.4575,0.02499999999999991,0.013333333333333334
Lophotriorchis kienerii,RF,5,TRUE,0.3525,0,0
Lophotriorchis kienerii,MaxEnt,1,TRUE,NA,NA,NA
Lophotriorchis kienerii,MaxEnt,2,TRUE,NA,NA,NA
Lophotriorchis kienerii,MaxEnt,3,TRUE,NA,NA,NA
Lophotriorchis kienerii,MaxEnt,4,TRUE,NA,NA,NA
Lophotriorchis kienerii,MaxEnt,5,TRUE,NA,NA,NA
Ficedula owstoni,GLM,1,TRUE,0.9601990049751243,0.8606965174129353,0.046285501131010265
Ficedula owstoni,GLM,2,TRUE,0.905,0.815,0.02475349131640871
Ficedula owstoni,GLM,3,TRUE,0.7106598984771573,0.43437273386511954,0.011950893173041776
Ficedula owstoni,GLM,4,TRUE,0.95375,0.915,0.04297692730250078
Ficedula owstoni,GLM,5,TRUE,0.8613861386138614,0.8514851485148514,0.025907722486055183
Ficedula owstoni,GAM,1,TRUE,0.9751243781094527,0.9104477611940298,0.059848575683494484
Ficedula owstoni,GAM,2,TRUE,0.9137500000000001,0.7650000000000001,0.01619696241918961
Ficedula owstoni,GAM,3,TRUE,0.7367657722987672,0.4851341551849164,0.019292314846718298
Ficedula owstoni,GAM,4,TRUE,0.955,0.915,0.043587439003462826
Ficedula owstoni,GAM,5,TRUE,0.6633663366336634,0.6534653465346536,0.010193196667551927
Ficedula owstoni,GBM,1,TRUE,0.9900497512437811,0.9601990049751243,0.029948076474697535
Ficedula owstoni,GBM,2,TRUE,0.86625,0.645,0.0013428715852991046
Ficedula owstoni,GBM,3,TRUE,0.8129079042784626,0.6287164612037708,8.579154179471193e-4
Ficedula owstoni,GBM,4,TRUE,0.94,0.865,0.003909623528877193
Ficedula owstoni,GBM,5,TRUE,0.9356435643564357,0.9009900990099009,0.007058550508473255
Ficedula owstoni,RF,1,TRUE,1,0.9601990049751243,0.10183333333333328
Ficedula owstoni,RF,2,TRUE,0.956875,0.865,0.028833333333333447
Ficedula owstoni,RF,3,TRUE,0.7868020304568528,0.5772298767222626,0.01
Ficedula owstoni,RF,4,TRUE,0.863125,0.74,0.01
Ficedula owstoni,RF,5,TRUE,0.9183168316831684,0.896039603960396,0.03
Ficedula owstoni,MaxEnt,1,TRUE,NA,NA,NA
Ficedula owstoni,MaxEnt,2,TRUE,NA,NA,NA
Ficedula owstoni,MaxEnt,3,TRUE,NA,NA,NA
Ficedula owstoni,MaxEnt,4,TRUE,NA,NA,NA
Ficedula owstoni,MaxEnt,5,TRUE,NA,NA,NA
Grus canadensis,GLM,1,TRUE,0.50125,0.20500000000000007,0.0024128633675797096
Grus canadensis,GLM,2,TRUE,0.7396984924623116,0.4582914572864323,0.013035567539372182
Grus canadensis,GLM,3,TRUE,0.88375,0.6600000000000001,0.03838543914142098
Grus canadensis,GLM,4,TRUE,0.5124378109452736,0.4502487562189055,0.07546514214476752
Grus canadensis,GLM,5,TRUE,0.7466666666666667,0.56,0.01152925296860129
Grus canadensis,GAM,1,TRUE,0.718125,0.56,0.03375811216784258
Grus canadensis,GAM,2,TRUE,0.8130653266331659,0.614070351758794,0.023511067346524608
Grus canadensis,GAM,3,TRUE,0.7875,0.6099999999999999,0.01403627216286351
Grus canadensis,GAM,4,TRUE,0.7288557213930349,0.45273631840796025,0.008797558086599063
Grus canadensis,GAM,5,TRUE,0.6833333333333333,0.42166666666666663,0.02043529062283786
Grus canadensis,GBM,1,TRUE,0.885,0.71,0.03230829672693418
Grus canadensis,GBM,2,TRUE,0.8391959798994975,0.6130653266331658,0.00140201797931345
Grus canadensis,GBM,3,TRUE,0.78,0.51,0.004790234003000235
Grus canadensis,GBM,4,TRUE,0.9925373134328359,0.955223880597015,0.029606724121706982
Grus canadensis,GBM,5,TRUE,0.7416666666666666,0.5716666666666668,0.007366547813001869
Grus canadensis,RF,1,TRUE,0.8256249999999999,0.7,0.07
Grus canadensis,RF,2,TRUE,0.7844221105527639,0.5547738693467337,0.05333333333333334
Grus canadensis,RF,3,TRUE,0.76625,0.5,0.01
Grus canadensis,RF,4,TRUE,0.9875621890547264,0.955223880597015,0.13733333333333275
Grus canadensis,RF,5,TRUE,0.525,0.2833333333333332,0.09933333333333319
Grus canadensis,MaxEnt,1,TRUE,NA,NA,NA
Grus canadensis,MaxEnt,2,TRUE,NA,NA,NA
Grus canadensis,MaxEnt,3,TRUE,NA,NA,NA
Grus canadensis,MaxEnt,4,TRUE,NA,NA,NA
Grus canadensis,MaxEnt,5,TRUE,NA,NA,NA
Halcyon coromanda,GLM,1,TRUE,0.45959595959595956,0.3545454545454545,0.028634706941555427
Halcyon coromanda,GLM,2,TRUE,0.7425742574257426,0.2524752475247525,0.005689581906383927
Halcyon coromanda,GLM,3,TRUE,0.5841708542713568,0.4547738693467336,0.02521380463982522
Halcyon coromanda,GLM,4,TRUE,0.9851485148514851,0.9504950495049505,0.03274796391160141
Halcyon coromanda,GLM,5,TRUE,0.5912897822445561,0.13232830820770514,0.0188124894969085
Halcyon coromanda,GAM,1,TRUE,0.8797979797979798,0.7171717171717171,0.006053714813564903
Halcyon coromanda,GAM,2,TRUE,0.9554455445544554,0.9504950495049505,0.056926005916677194
