species,order_occurrence,family_occurrence,longitude,latitude
Arborophila ardens,GALLIFORMES,Phasianidae,109.7,18.9
Lophura nycthemera,GALLIFORMES,Phasianidae,109.7,18.9
Niltara hainana,PASSERIFORMES,Muscicapidae,109.02128,18.93742
Columba punicea,COLUMBIFORMES,Columbidae,110.02235,18.93911
Niltara hainana,PASSERIFORMES,Muscicapidae,109.87828,18.95998
Gorsachius magnificus,CICONIIFORMES,Ardeidae,109.49837,18.9647
Arborophila rufipectus,GALLIFORMES,Phasianidae,109.3876,18.98967
Garrulax canorus,PASSERIFORMES,Sylviidae,109.3876,18.98967
Garrulax maesi,PASSERIFORMES,Sylviidae,109.3876,18.98967
Niltara hainana,PASSERIFORMES,Muscicapidae,109.3876,18.98967
Gallus gallus,GALLIFORMES,Phasianidae,108.9,19
Arborophila ardens,GALLIFORMES,Phasianidae,109.8,19
Francolinus pintadeanus,GALLIFORMES,Phasianidae,109.8,19
Gallus gallus,GALLIFORMES,Phasianidae,109.8,19
Polyplectron katsumatae,GALLIFORMES,Phasianidae,110.4,19.01667
Polyplectron katsumatae,GALLIFORMES,Phasianidae,108.8,19.03333
Gallus gallus,GALLIFORMES,Phasianidae,109.53333,19.03333
Polyplectron katsumatae,GALLIFORMES,Phasianidae,109,19.05
Arborophila rufipectus,GALLIFORMES,Phasianidae,109.09696,19.08008
Garrulax maesi,PASSERIFORMES,Sylviidae,109.09696,19.08008
Hypsipetes castanonotus,PASSERIFORMES,Pycnonotidae,109.09696,19.08008
Niltara hainana,PASSERIFORMES,Muscicapidae,109.09696,19.08008
Gallus gallus,GALLIFORMES,Phasianidae,109.125,19.08333
Polyplectron katsumatae,GALLIFORMES,Phasianidae,109.125,19.08333
Polyplectron katsumatae,GALLIFORMES,Phasianidae,109.125,19.08333
Garrulax maesi,PASSERIFORMES,Sylviidae,109.25696,19.08873
Hypsipetes castanonotus,PASSERIFORMES,Pycnonotidae,109.25696,19.08873
Niltara hainana,PASSERIFORMES,Muscicapidae,109.25696,19.08873
Garrulax maesi,PASSERIFORMES,Sylviidae,108.96443,19.09433
Niltara hainana,PASSERIFORMES,Muscicapidae,108.96443,19.09433
Gorsachius magnificus,CICONIIFORMES,Ardeidae,109.28163,19.09629
Arborophila ardens,GALLIFORMES,Phasianidae,109.7,19.1
Arborophila ardens,GALLIFORMES,Phasianidae,109.7,19.1
Arborophila ardens,GALLIFORMES,Phasianidae,109.7,19.1
Lophura nycthemera,GALLIFORMES,Phasianidae,109.7,19.1
Polyplectron katsumatae,GALLIFORMES,Phasianidae,109.7,19.1
Arborophila rufipectus,GALLIFORMES,Phasianidae,109.03439,19.11604
Lophura nycthemera,GALLIFORMES,Phasianidae,109.08333,19.11667
Lophura nycthemera,GALLIFORMES,Phasianidae,109.08333,19.11667
Arborophila ardens,GALLIFORMES,Phasianidae,109.85,19.11667
Alcedo hercules,CORACIIFORMES,Alcedinidae,109.51758,19.1293
Anas formosa,ANSERIFORMES,Anatidae,109.51758,19.1293
Circus macrourus,FALCONIFORMES,Accipitridae,109.51758,19.1293
Eurynorhynchus pygmeus,CHARADRIIFORMES,Recurvirostridae,109.51758,19.1293
Graminicola bengalensis,PASSERIFORMES,Sylviidae,109.51758,19.1293
Harpactes wardi,TROGONIFORMES,Trogonidae,109.51758,19.1293
Ichthyophaga humilis,FALCONIFORMES,Accipitridae,109.51758,19.1293
Leptoptilos javanicus,CICONIIFORMES,Pelecanidae,109.51758,19.1293
Mycteria leucocephala,CICONIIFORMES,Pelecanidae,109.51758,19.1293
Threskiornis melanocephalus,CICONIIFORMES,Threskiornithidae,109.51758,19.1293
Tringa guttifer,CICONIIFORMES,Scolopacidae,109.51758,19.1293
Arborophila rufipectus,GALLIFORMES,Phasianidae,109.97637,19.1309
Arborophila rufipectus,GALLIFORMES,Phasianidae,109.86835,19.13645
Garrulax canorus,PASSERIFORMES,Sylviidae,109.86835,19.13645
Garrulax maesi,PASSERIFORMES,Sylviidae,109.86835,19.13645
Niltara hainana,PASSERIFORMES,Muscicapidae,109.86835,19.13645
Arborophila ardens,GALLIFORMES,Phasianidae,109.11667,19.16667
Arborophila ardens,GALLIFORMES,Phasianidae,109.11667,19.16667
Arborophila ardens,GALLIFORMES,Phasianidae,109.11667,19.16667
Arborophila ardens,GALLIFORMES,Phasianidae,109.11667,19.16667
Arborophila ardens,GALLIFORMES,Phasianidae,109.11667,19.16667
Arborophila ardens,GALLIFORMES,Phasianidae,109.11667,19.16667
Lophura nycthemera,GALLIFORMES,Phasianidae,109.11667,19.16667
Lophura nycthemera,GALLIFORMES,Phasianidae,109.11667,19.16667
Arborophila ardens,GALLIFORMES,Phasianidae,109.83333,19.16667
Gallus gallus,GALLIFORMES,Phasianidae,109.83333,19.16667
Lophura nycthemera,GALLIFORMES,Phasianidae,109.83333,19.16667
Polyplectron bicalcaratum,GALLIFORMES,Phasianidae,109.83333,19.16667
Coturnix japonica,GALLIFORMES,Phasianidae,108.8,19.18333
Francolinus pintadeanus,GALLIFORMES,Phasianidae,108.8,19.18333
Gallus gallus,GALLIFORMES,Phasianidae,108.8,19.18333
Gallus gallus,GALLIFORMES,Phasianidae,109.4,19.2
Gallus gallus,GALLIFORMES,Phasianidae,109.4,19.2
Polyplectron katsumatae,GALLIFORMES,Phasianidae,109.4,19.2
Gallus gallus,GALLIFORMES,Phasianidae,110.4,19.2
Arborophila rufipectus,GALLIFORMES,Phasianidae,110.06493,19.22514
Arborophila rufipectus,GALLIFORMES,Phasianidae,109.67792,19.22611
Niltara hainana,PASSERIFORMES,Muscicapidae,109.67792,19.22611
Gorsachius magnificus,CICONIIFORMES,Ardeidae,109.88993,19.25009
Arborophila ardens,GALLIFORMES,Phasianidae,109.05,19.26667
Francolinus pintadeanus,GALLIFORMES,Phasianidae,109.05,19.26667
Gallus gallus,GALLIFORMES,Phasianidae,109.05,19.26667
Arborophila ardens,GALLIFORMES,Phasianidae,109.21667,19.3
Lophura nycthemera,GALLIFORMES,Phasianidae,110,19.3
Arborophila ardens,GALLIFORMES,Phasianidae,109.08333,19.36667
Arborophila ardens,GALLIFORMES,Phasianidae,110.1,19.36667
Gallus gallus,GALLIFORMES,Phasianidae,110.1,19.36667
Lophura nycthemera,GALLIFORMES,Phasianidae,110.1,19.36667
Polyplectron katsumatae,GALLIFORMES,Phasianidae,110.1,19.36667
Arborophila ardens,GALLIFORMES,Phasianidae,110.03333,19.4
Polyplectron katsumatae,GALLIFORMES,Phasianidae,110,19.41667
Polyplectron katsumatae,GALLIFORMES,Phasianidae,109.83333,19.46667
Garrulax canorus,PASSERIFORMES,Sylviidae,109.85049,19.48322
Hypsipetes castanonotus,PASSERIFORMES,Pycnonotidae,109.85049,19.48322
Niltara hainana,PASSERIFORMES,Muscicapidae,109.85049,19.48322
Arborophila ardens,GALLIFORMES,Phasianidae,109.56667,19.51667
Francolinus pintadeanus,GALLIFORMES,Phasianidae,109.56667,19.51667
Dendrocygna javanica,ANSERIFORMES,Anatidae,109.61913,19.51909
Egretta eulophotes,CICONIIFORMES,Ardeidae,109.61913,19.51909
Egretta sacra,CICONIIFORMES,Ardeidae,109.61913,19.51909
Platalea minor,CICONIIFORMES,Threskiornithidae,109.61913,19.51909
Francolinus pintadeanus,GALLIFORMES,Phasianidae,110.7,19.6
Gallus gallus,GALLIFORMES,Phasianidae,110.7,19.6
Gallus gallus,GALLIFORMES,Phasianidae,110.7,19.6
Lophura nycthemera,GALLIFORMES,Phasianidae,110,19.7
Polyplectron katsumatae,GALLIFORMES,Phasianidae,110,19.7
Francolinus pintadeanus,GALLIFORMES,Phasianidae,110.1,20.3
Gallus gallus,GALLIFORMES,Phasianidae,110.1,20.3
Gallus gallus,GALLIFORMES,Phasianidae,110.1,20.3
Bambusicola thoracica,GALLIFORMES,Phasianidae,110,20.7
Francolinus pintadeanus,GALLIFORMES,Phasianidae,110,20.9
Coturnix chinensis,GALLIFORMES,Phasianidae,109.1,21.03333
Bambusicola thoracica,GALLIFORMES,Phasianidae,110.3,21.2
Gallus gallus,GALLIFORMES,Phasianidae,110.3,21.2
Arborophila brunneopectus,GALLIFORMES,Phasianidae,101.5,21.4
Arborophila chloropus,GALLIFORMES,Phasianidae,101.5,21.4
Coturnix chinensis,GALLIFORMES,Phasianidae,101.5,21.4
Coturnix japonica,GALLIFORMES,Phasianidae,101.5,21.4
Gallus gallus,GALLIFORMES,Phasianidae,101.5,21.4
Gallus gallus,GALLIFORMES,Phasianidae,101.5,21.4
Gallus gallus,GALLIFORMES,Phasianidae,101.5,21.4
Gallus gallus,GALLIFORMES,Phasianidae,101.5,21.4
Lophura nycthemera,GALLIFORMES,Phasianidae,101.5,21.4
Lophura nycthemera,GALLIFORMES,Phasianidae,101.5,21.4
Lophura nycthemera,GALLIFORMES,Phasianidae,101.5,21.4
Pavo muticus,GALLIFORMES,Phasianidae,101.5,21.4
Polyplectron bicalcaratum,GALLIFORMES,Phasianidae,101.5,21.4
Syrmaticus humiae,GALLIFORMES,Phasianidae,101.5,21.4
Oriolus mellianus,PASSERIFORMES,Corvidae,110.55318,21.42302
Coturnix chinensis,GALLIFORMES,Phasianidae,109.11667,21.46667
Phasianus colchicus,GALLIFORMES,Phasianidae,109.11667,21.46667
Arborophila brunneopectus,GALLIFORMES,Phasianidae,101.35,21.5
Lophura nycthemera,GALLIFORMES,Phasianidae,101.5,21.5
Grus antigone,GRUIFORMES,Gruidae,100.57372,21.56124
Pavo muticus,GALLIFORMES,Phasianidae,100.35,21.6
Lophura nycthemera,GALLIFORMES,Phasianidae,101.41667,21.6
Coturnix japonica,GALLIFORMES,Phasianidae,109.1,21.6
Coturnix coturnix,GALLIFORMES,Phasianidae,109.7,21.6
Coturnix chinensis,GALLIFORMES,Phasianidae,109.2,21.66667
Lophura nycthemera,GALLIFORMES,Phasianidae,101.33333,21.7
Francolinus pintadeanus,GALLIFORMES,Phasianidae,110,21.75
Niltara hainana,PASSERIFORMES,Muscicapidae,100.40039,21.75968
Francolinus pintadeanus,GALLIFORMES,Phasianidae,107.9,21.8
Arborophila brunneopectus,GALLIFORMES,Phasianidae,108,21.81667
Bambusicola thoracica,GALLIFORMES,Phasianidae,108,21.81667
Coturnix chinensis,GALLIFORMES,Phasianidae,108,21.81667
Coturnix japonica,GALLIFORMES,Phasianidae,108,21.81667
Francolinus pintadeanus,GALLIFORMES,Phasianidae,108,21.81667
Gallus gallus,GALLIFORMES,Phasianidae,108,21.81667
Lophura nycthemera,GALLIFORMES,Phasianidae,108,21.81667
Phasianus colchicus,GALLIFORMES,Phasianidae,108,21.81667
Arborophila brunneopectus,GALLIFORMES,Phasianidae,100.9,21.875
Arborophila chloropus,GALLIFORMES,Phasianidae,100.9,21.875
Bambusicola fytchii,GALLIFORMES,Phasianidae,100.9,21.875
Francolinus pintadeanus,GALLIFORMES,Phasianidae,100.9,21.875
Gallus gallus,GALLIFORMES,Phasianidae,100.9,21.875
Lophura nycthemera,GALLIFORMES,Phasianidae,100.9,21.875
Pavo muticus,GALLIFORMES,Phasianidae,100.9,21.875
Polyplectron bicalcaratum,GALLIFORMES,Phasianidae,100.9,21.875
Polyplectron bicalcaratum,GALLIFORMES,Phasianidae,100.9,21.875
Syrmaticus humiae,GALLIFORMES,Phasianidae,100.9,21.875
Pavo muticus,GALLIFORMES,Phasianidae,100.8,21.88333
Francolinus pintadeanus,GALLIFORMES,Phasianidae,100.5,21.9
Francolinus pintadeanus,GALLIFORMES,Phasianidae,100.5,21.9
Francolinus pintadeanus,GALLIFORMES,Phasianidae,100.5,21.9
Gallus gallus,GALLIFORMES,Phasianidae,100.5,21.9
Gallus gallus,GALLIFORMES,Phasianidae,100.5,21.9
Lophura nycthemera,GALLIFORMES,Phasianidae,100.5,21.9
Pavo muticus,GALLIFORMES,Phasianidae,100.5,21.9
Pavo muticus,GALLIFORMES,Phasianidae,100.5,21.9
Arborophila chloropus,GALLIFORMES,Phasianidae,101.2,21.9
Coturnix japonica,GALLIFORMES,Phasianidae,101.2,21.9
Lophura nycthemera,GALLIFORMES,Phasianidae,101.2,21.9
Gallus gallus,GALLIFORMES,Phasianidae,107.7,21.9
Arborophila brunneopectus,GALLIFORMES,Phasianidae,100.81667,21.98333
Arborophila chloropus,GALLIFORMES,Phasianidae,100.81667,21.98333
Arborophila rufogularis,GALLIFORMES,Phasianidae,100.81667,21.98333
Francolinus pintadeanus,GALLIFORMES,Phasianidae,100.81667,21.98333
Gallus gallus,GALLIFORMES,Phasianidae,100.81667,21.98333
Syrmaticus humiae,GALLIFORMES,Phasianidae,100.81667,21.98333
Lophura nycthemera,GALLIFORMES,Phasianidae,107.85,21.98333
Arborophila brunneopectus,GALLIFORMES,Phasianidae,100.8,22
Arborophila rufogularis,GALLIFORMES,Phasianidae,100.8,22
Coturnix japonica,GALLIFORMES,Phasianidae,100.8,22
Francolinus pintadeanus,GALLIFORMES,Phasianidae,100.8,22
Francolinus pintadeanus,GALLIFORMES,Phasianidae,100.8,22
Gallus gallus,GALLIFORMES,Phasianidae,100.8,22
Gallus gallus,GALLIFORMES,Phasianidae,100.8,22
Lophura nycthemera,GALLIFORMES,Phasianidae,100.8,22
Polyplectron bicalcaratum,GALLIFORMES,Phasianidae,100.8,22
Pavo muticus,GALLIFORMES,Phasianidae,101,22
Bambusicola thoracica,GALLIFORMES,Phasianidae,107.9,22
Gallus gallus,GALLIFORMES,Phasianidae,107.9,22
Lophura nycthemera,GALLIFORMES,Phasianidae,107.9,22
Phasianus colchicus,GALLIFORMES,Phasianidae,107.9,22
Terpsiphone atrocaudata,PASSERIFORMES,Corvidae,112.2127,22.00265
Anorrhinus tickelli,BUCEROTIFORMES,Bucerotidae,100.80517,22.00998
Dicrurus paradiseus,PASSERIFORMES,Corvidae,100.80517,22.00998
Dicrurus remifer,PASSERIFORMES,Corvidae,100.80517,22.00998
Pavo muticus,GALLIFORMES,Phasianidae,100.80517,22.00998
Sitta magna,PASSERIFORMES,Sittidae,100.80517,22.00998
Pavo muticus,GALLIFORMES,Phasianidae,100.81667,22.01667
Arborophila chloropus,GALLIFORMES,Phasianidae,100.8,22.05
Gallus gallus,GALLIFORMES,Phasianidae,100.88333,22.06667
Francolinus pintadeanus,GALLIFORMES,Phasianidae,107,22.1
Gallus gallus,GALLIFORMES,Phasianidae,107,22.1
Coturnix japonica,GALLIFORMES,Phasianidae,107.7,22.1
Gallus gallus,GALLIFORMES,Phasianidae,107.7,22.1
Lophura nycthemera,GALLIFORMES,Phasianidae,107.7,22.1
Phasianus colchicus,GALLIFORMES,Phasianidae,107.7,22.1
Francolinus pintadeanus,GALLIFORMES,Phasianidae,106.73333,22.11667
Lophura nycthemera,GALLIFORMES,Phasianidae,106.73333,22.11667
Gallus gallus,GALLIFORMES,Phasianidae,108.06667,22.11667
Anas formosa,ANSERIFORMES,Anatidae,120.77499,22.1408
Aythya baeri,ANSERIFORMES,Anatidae,120.77499,22.1408
Diomedea　albatrus,CICONIIFORMES,Procellariidae,120.77499,22.1408
Mergus squamatus,ANSERIFORMES,Anatidae,120.77499,22.1408
Treron　formosae,COLUMBIFORMES,Columbidae,120.77499,22.1408
Limnodromus semipalmatus,CICONIIFORMES,Scolopacidae,120.77499,22.14081
Threskiornis melanocephalus,CICONIIFORMES,Threskiornithidae,120.77499,22.14081
Tragopan caboti,GALLIFORMES,Phasianidae,111.78333,22.16667
Tragopan caboti,GALLIFORMES,Phasianidae,111.78333,22.16667
Lophura nycthemera,GALLIFORMES,Phasianidae,100.33333,22.18333
Dicrurus remifer,PASSERIFORMES,Corvidae,99.55284,22.19869
Bambusicola thoracica,GALLIFORMES,Phasianidae,107.1,22.2
Francolinus pintadeanus,GALLIFORMES,Phasianidae,107.1,22.2
Coturnix japonica,GALLIFORMES,Phasianidae,108,22.2
Francolinus pintadeanus,GALLIFORMES,Phasianidae,108,22.2
Coturnix japonica,GALLIFORMES,Phasianidae,108.6,22.2
Platalea minor,CICONIIFORMES,Threskiornithidae,113.50087,22.20793
Anas formosa,ANSERIFORMES,Anatidae,113.45465,22.25295
Anser erythropus,ANSERIFORMES,Anatidae,113.45465,22.25295
Aythya baeri,ANSERIFORMES,Anatidae,113.45465,22.25295
Dendrocygna javanica,ANSERIFORMES,Anatidae,100.58944,22.26156
Dicrurus remifer,PASSERIFORMES,Corvidae,100.58944,22.26156
Pavo muticus,GALLIFORMES,Phasianidae,100.58944,22.26156
Syrmaticus humiae,GALLIFORMES,Phasianidae,100.58944,22.26156
Bambusicola thoracica,GALLIFORMES,Phasianidae,114.15,22.26667
Francolinus pintadeanus,GALLIFORMES,Phasianidae,114.15,22.26667
Gallus gallus,GALLIFORMES,Phasianidae,99.5,22.3
Lophura nycthemera,GALLIFORMES,Phasianidae,99.5,22.3
Gallus gallus,GALLIFORMES,Phasianidae,106.8,22.3
Gallus gallus,GALLIFORMES,Phasianidae,107.3,22.3
Lophura nycthemera,GALLIFORMES,Phasianidae,107.3,22.3
Butastur liventer,FALCONIFORMES,Accipitridae,100.78645,22.33213
Bambusicola thoracica,GALLIFORMES,Phasianidae,106.88333,22.39167
Gallus gallus,GALLIFORMES,Phasianidae,106.89167,22.39167
Gallus gallus,GALLIFORMES,Phasianidae,106.89167,22.39167
Lophura nycthemera,GALLIFORMES,Phasianidae,106.89167,22.39167
Lophura nycthemera,GALLIFORMES,Phasianidae,106.89167,22.39167
Arborophila chloropus,GALLIFORMES,Phasianidae,100.6,22.4
Gallus gallus,GALLIFORMES,Phasianidae,100.6,22.4
Arborophila chloropus,GALLIFORMES,Phasianidae,101,22.4
Gallus gallus,GALLIFORMES,Phasianidae,101,22.4
Lophura nycthemera,GALLIFORMES,Phasianidae,101,22.4
Coturnix chinensis,GALLIFORMES,Phasianidae,114.11667,22.4
Crossoptilon mantchuricum,GALLIFORMES,Phasianidae,109.47922,22.40862
Pavo muticus,GALLIFORMES,Phasianidae,100.81667,22.41667
Niltara hainana,PASSERIFORMES,Muscicapidae,100.94534,22.44209
Gorsachius goisagi,CICONIIFORMES,Ardeidae,113.38556,22.44544
Arborophila rufogularis,GALLIFORMES,Phasianidae,100.2,22.46667
Arborophila rufogularis,GALLIFORMES,Phasianidae,100.2,22.46667
Gallus gallus,GALLIFORMES,Phasianidae,107.25833,22.475
Lophura nycthemera,GALLIFORMES,Phasianidae,107.25833,22.475
Bambusicola fytchii,GALLIFORMES,Phasianidae,99.9,22.5
Lophura nycthemera,GALLIFORMES,Phasianidae,99.9,22.5
Lophura nycthemera,GALLIFORMES,Phasianidae,99.9,22.5
Lophura nycthemera,GALLIFORMES,Phasianidae,100.53333,22.5
Arborophila rufogularis,GALLIFORMES,Phasianidae,101.8,22.5
Arborophila brunneopectus,GALLIFORMES,Phasianidae,106.7,22.5
Francolinus pintadeanus,GALLIFORMES,Phasianidae,106.7,22.5
Aythya nyroca,ANSERIFORMES,Anatidae,107.12338,22.50316
Arborophila rufogularis,GALLIFORMES,Phasianidae,103.98333,22.51667
Coturnix japonica,GALLIFORMES,Phasianidae,103.98333,22.51667
Francolinus pintadeanus,GALLIFORMES,Phasianidae,103.98333,22.51667
Gallus gallus,GALLIFORMES,Phasianidae,103.98333,22.51667
Lophura nycthemera,GALLIFORMES,Phasianidae,103.98333,22.51667
Pavo muticus,GALLIFORMES,Phasianidae,103.98333,22.51667
Pavo muticus,GALLIFORMES,Phasianidae,103.98333,22.51667
Polyplectron bicalcaratum,GALLIFORMES,Phasianidae,103.98333,22.51667
Ciconia boyciana,CICONIIFORMES,Pelecanidae,120.30793,22.56456
Treron　formosae,COLUMBIFORMES,Columbidae,120.30793,22.56456
Anas formosa,ANSERIFORMES,Anatidae,120.30794,22.56456
Anser erythropus,ANSERIFORMES,Anatidae,120.30794,22.56456
Pelecanus crispus,CICONIIFORMES,Pelecanidae,120.30794,22.56456
Tringa guttifer,CICONIIFORMES,Scolopacidae,120.30794,22.56456
Chrysolophus amherstiae,GALLIFORMES,Phasianidae,101.18333,22.56667
Lophura nycthemera,GALLIFORMES,Phasianidae,101.18333,22.56667
Pavo muticus,GALLIFORMES,Phasianidae,101.18333,22.56667
Anser cygnoides,ANSERIFORMES,Anatidae,120.66594,22.57236
Francolinus pintadeanus,GALLIFORMES,Phasianidae,103.93333,22.58333
Gallus gallus,GALLIFORMES,Phasianidae,103.93333,22.58333
Gallus gallus,GALLIFORMES,Phasianidae,103.93333,22.58333
Polyplectron bicalcaratum,GALLIFORMES,Phasianidae,106.9,22.6
Francolinus pintadeanus,GALLIFORMES,Phasianidae,107.6,22.6
Gallus gallus,GALLIFORMES,Phasianidae,108.1,22.6
Bambusicola thoracica,GALLIFORMES,Phasianidae,120.3,22.6
Coturnix chinensis,GALLIFORMES,Phasianidae,120.3,22.6
Lophura swinhoii,GALLIFORMES,Phasianidae,120.3,22.6
Phasianus colchicus,GALLIFORMES,Phasianidae,120.3,22.6
Syrmaticus mikado,GALLIFORMES,Phasianidae,120.3,22.6
Bambusicola thoracica,GALLIFORMES,Phasianidae,120.5,22.6
Coturnix chinensis,GALLIFORMES,Phasianidae,120.5,22.6
Lophura swinhoii,GALLIFORMES,Phasianidae,120.5,22.6
Phasianus colchicus,GALLIFORMES,Phasianidae,120.5,22.6
Syrmaticus mikado,GALLIFORMES,Phasianidae,120.5,22.6
Francolinus pintadeanus,GALLIFORMES,Phasianidae,108.39167,22.625
Ciconia boyciana,CICONIIFORMES,Pelecanidae,114.29116,22.63675
Platalea minor,CICONIIFORMES,Threskiornithidae,114.29116,22.63675
Egretta sacra,CICONIIFORMES,Ardeidae,120.55728,22.64105
Dendrocygna javanica,ANSERIFORMES,Anatidae,100.57912,22.66577
Gallus gallus,GALLIFORMES,Phasianidae,99.4,22.7
Gallus gallus,GALLIFORMES,Phasianidae,99.4,22.7
Arborophila brunneopectus,GALLIFORMES,Phasianidae,100.9,22.7
Arborophila chloropus,GALLIFORMES,Phasianidae,100.9,22.7
Bambusicola fytchii,GALLIFORMES,Phasianidae,100.9,22.7
Bambusicola fytchii,GALLIFORMES,Phasianidae,100.9,22.7
Francolinus pintadeanus,GALLIFORMES,Phasianidae,100.9,22.7
Gallus gallus,GALLIFORMES,Phasianidae,100.9,22.7
Gallus gallus,GALLIFORMES,Phasianidae,100.9,22.7
Gallus gallus,GALLIFORMES,Phasianidae,100.9,22.7
Lophura nycthemera,GALLIFORMES,Phasianidae,100.9,22.7
Lophura nycthemera,GALLIFORMES,Phasianidae,100.9,22.7
Lophura nycthemera,GALLIFORMES,Phasianidae,100.9,22.7
Pavo muticus,GALLIFORMES,Phasianidae,100.9,22.7
Pavo muticus,GALLIFORMES,Phasianidae,100.9,22.7
Phasianus colchicus,GALLIFORMES,Phasianidae,100.9,22.7
Polyplectron bicalcaratum,GALLIFORMES,Phasianidae,100.9,22.7
Syrmaticus humiae,GALLIFORMES,Phasianidae,100.9,22.7
Coturnix chinensis,GALLIFORMES,Phasianidae,103.2,22.7
Coturnix japonica,GALLIFORMES,Phasianidae,103.2,22.7
Gallus gallus,GALLIFORMES,Phasianidae,103.2,22.7
Gallus gallus,GALLIFORMES,Phasianidae,103.2,22.7
Lophura nycthemera,GALLIFORMES,Phasianidae,103.2,22.7
Pavo muticus,GALLIFORMES,Phasianidae,103.2,22.7
Phasianus colchicus,GALLIFORMES,Phasianidae,103.2,22.7
Francolinus pintadeanus,GALLIFORMES,Phasianidae,108.4,22.7
Gallus gallus,GALLIFORMES,Phasianidae,110.3,22.7
Gallus gallus,GALLIFORMES,Phasianidae,110.9,22.7
Dicrurus remifer,PASSERIFORMES,Corvidae,99.40694,22.70061
Alcedo hercules,CORACIIFORMES,Alcedinidae,100.43072,22.7806
Butastur liventer,FALCONIFORMES,Accipitridae,100.43072,22.7806
Sterna acuticauda,CICONIIFORMES,Laridae,100.43072,22.7806
Buceros bicornis,BUCEROTIFORMES,Bucerotidae,100.43072,22.78061
Porzana paykullii,GRUIFORMES,Rallidae,100.43072,22.78061
Bambusicola thoracica,GALLIFORMES,Phasianidae,107.1,22.8
Francolinus pintadeanus,GALLIFORMES,Phasianidae,107.1,22.8
Gallus gallus,GALLIFORMES,Phasianidae,107.1,22.8
Arborophila brunneopectus,GALLIFORMES,Phasianidae,108.3,22.8
