"species","order","n_new_records","new_record","mass","migration_av","trophic_level_av","centroid_latitude","centroid_longitude","migration_cn","range_size_provinces","iucn_pool","log_mass","migration_class","iucn_group","risk_group"
"Cecropis striolata","Passeriformes",1,1,NA,NA,NA,NA,NA,"RS",3,NA,NA,NA,"Unknown","Unknown"
"Delichon dasypus","Passeriformes",1,1,18,"3","Carnivore",35.62,108.05,"RSWP",24,"LC",1.25527250510331,"Full migrant","LC","LC/NE"
"Delichon nipalense","Passeriformes",0,0,14.96,"3","Carnivore",25.74,96.45,"R",2,"LC",1.17493159352844,"Full migrant","LC","LC/NE"
"Delichon urbicum","Passeriformes",0,0,14.5,"3","Carnivore",51.81,42.81,"SPV",22,"LC",1.16136800223497,"Full migrant","LC","LC/NE"
"Hirundo rustica","Passeriformes",1,1,17.91,"3","Carnivore",47.56,34.57,"RSWP",34,"LC",1.25309558584903,"Full migrant","LC","LC/NE"
"Hirundo smithii","Passeriformes",1,1,12.4,"2","Carnivore",6.49,41.98,"R",1,"LC",1.09342168516224,"Partial migrant","LC","LC/NE"
"Hirundo tahitica","Passeriformes",0,0,17.8,"2","Carnivore",-17.66,-149.46,"RS",1,"LC",1.25042000230889,"Partial migrant","LC","LC/NE"
"Petrochelidon fluvicola","Passeriformes",0,0,9.7,"2","Carnivore",24.62,77.59,"V",1,"LC",0.986771734266245,"Partial migrant","LC","LC/NE"
"Ptyonoprogne concolor","Passeriformes",0,0,12.96,"2","Carnivore",20.87,82.26,"R",3,"LC",1.11260500153457,"Partial migrant","LC","LC/NE"
"Ptyonoprogne rupestris","Passeriformes",2,1,20.4,"2","Carnivore",37.85,68.44,"RS",13,"LC",1.3096301674259,"Partial migrant","LC","LC/NE"
"Riparia chinensis","Passeriformes",0,0,9.8,"2","Carnivore",24.08,86.26,NA,NA,"LC",0.991226075692495,"Partial migrant","LC","LC/NE"
"Riparia diluta","Passeriformes",0,0,15.2,"3","Carnivore",43.84,99.44,"RSW",16,"LC",1.18184358794477,"Full migrant","LC","LC/NE"
"Riparia riparia","Passeriformes",1,1,12.68,"3","Carnivore",54.72,29.5,"SP",30,"LC",1.10311925354571,"Full migrant","LC","LC/NE"
"Irena puella","Passeriformes",0,0,64.9,"1","Herbivore",11.14,102.08,"R",3,"LC",1.81224469680037,"Resident/low mobility","LC","LC/NE"
"Lanius borealis","Passeriformes",1,1,63.41,"3","Carnivore",60.4,41.46,NA,NA,"LC",1.80215775318696,"Full migrant","LC","LC/NE"
"Lanius bucephalus","Passeriformes",0,0,39.42,"3","Carnivore",40.1,127.06,"RSWP",29,"LC",1.59571661994342,"Full migrant","LC","LC/NE"
"Lanius collurio","Passeriformes",0,0,28.44,"3","Carnivore",52.82,41.84,"PV",3,"LC",1.45392959205773,"Full migrant","LC","LC/NE"
"Lanius collurioides","Passeriformes",1,1,26,"2","Carnivore",21.75,102.66,"R",5,"LC",1.41497334797082,"Partial migrant","LC","LC/NE"
"Lanius cristatus","Passeriformes",0,0,32.18,"3","Carnivore",55.16,120.12,"SWP",31,"LC",1.50758603976301,"Full migrant","LC","LC/NE"
"Lanius excubitor","Passeriformes",0,0,63.41,"3","Carnivore",40.81,42.37,"SWP",11,"LC",1.80215775318696,"Full migrant","LC","LC/NE"
"Lanius giganteus","Passeriformes",0,0,92.1,"2","Carnivore",33.3,101.27,NA,NA,"LC",1.96425963019685,"Partial migrant","LC","LC/NE"
"Lanius isabellinus","Passeriformes",1,1,25.2,"3","Carnivore",43.37,101.27,"SP",6,"LC",1.40140054078154,"Full migrant","LC","LC/NE"
"Lanius minor","Passeriformes",0,0,46.49,"3","Carnivore",47.12,49.2,"S",1,"LC",1.66735954618309,"Full migrant","LC","LC/NE"
"Lanius phoenicuroides","Passeriformes",0,0,28,"3","Carnivore",40.84,68.2,"S",2,"LC",1.44715803134222,"Full migrant","LC","LC/NE"
"Lanius schach","Passeriformes",3,1,51.51,"2","Carnivore",23.44,92.75,"RS",27,"LC",1.71189154988058,"Partial migrant","LC","LC/NE"
"Lanius sphenocercus","Passeriformes",1,1,92.1,"2","Carnivore",44.15,121.02,"RSWP",27,"LC",1.96425963019685,"Partial migrant","LC","LC/NE"
"Lanius tephronotus","Passeriformes",2,1,46.35,"3","Carnivore",31.55,98.62,"RSP",15,"LC",1.66604973848052,"Full migrant","LC","LC/NE"
"Lanius tigrinus","Passeriformes",0,0,30.14,"3","Carnivore",36.94,119.92,"SWP",31,"LC",1.47914324797861,"Full migrant","LC","LC/NE"
"Lanius vittatus","Passeriformes",0,0,20.8,"2","Carnivore",26.02,72.68,NA,NA,"LC",1.31806333496276,"Partial migrant","LC","LC/NE"
"Actinodura cyanouroptera","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown"
"Actinodura egertoni","Passeriformes",0,0,36,"1","Omnivore",26.14,93.02,"R",2,"LC",1.55630250076729,"Resident/low mobility","LC","LC/NE"
"Actinodura morrisoniana","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown"
"Actinodura nipalensis","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown"
"Actinodura ramsayi","Passeriformes",0,0,38.4,"2","Carnivore",19.23,98.04,"R",3,"LC",1.58433122436753,"Partial migrant","LC","LC/NE"
"Actinodura souliei","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown"
"Actinodura strigula","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown"
"Actinodura waldeni","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown"
"Cutia nipalensis","Passeriformes",1,1,47.15,"1","Carnivore",23.81,95.91,"R",4,"LC",1.67348169707335,"Resident/low mobility","LC","LC/NE"
"Garrulax canorus","Passeriformes",1,1,62.78,"1","Carnivore",27.21,110.37,"R",19,"LC",1.79782131136402,"Resident/low mobility","LC","LC/NE"
"Garrulax castanotis","Passeriformes",0,0,97.5,"1","Carnivore",18.78,105.34,"R",1,"LC",1.98900461569854,"Resident/low mobility","LC","LC/NE"
"Garrulax leucolophus","Passeriformes",0,0,123.44,"1","Carnivore",20.08,99.33,"R",2,"LC",2.09145591305509,"Resident/low mobility","LC","LC/NE"
"Garrulax maesi","Passeriformes",1,1,112.5,"1","Carnivore",25.73,107.43,"R",4,"LC",2.05115252244738,"Resident/low mobility","LC","LC/NE"
"Garrulax merulinus","Passeriformes",0,0,78.8,"1","Carnivore",23.45,98.33,"R",1,"LC",1.89652621748956,"Resident/low mobility","LC","LC/NE"
"Garrulax monileger","Passeriformes",3,1,83.7,"1","Carnivore",21.73,103.79,"R",12,"LC",1.92272545799326,"Resident/low mobility","LC","LC/NE"
"Garrulax owstoni","Passeriformes",0,0,NA,NA,NA,NA,NA,"R",1,NA,NA,NA,"Unknown","Unknown"
"Garrulax strepitans","Passeriformes",0,0,131.5,"1","Carnivore",18.98,99.74,"R",1,"LC",2.11892575282578,"Resident/low mobility","LC","LC/NE"
"Garrulax taewanus","Passeriformes",0,0,62.78,"1","Carnivore",23.8,121.08,"R",1,"NT",1.79782131136402,"Resident/low mobility","NT","NT"
"Grammatoptila striata","Passeriformes",0,0,92,"1","Omnivore",28.36,88.62,"R",3,"LC",1.96378782734556,"Resident/low mobility","LC","LC/NE"
"Heterophasia auricularis","Passeriformes",0,0,41.78,"1","Herbivore",23.78,121.12,"R",1,"LC",1.62096843564429,"Resident/low mobility","LC","LC/NE"
"Heterophasia capistrata","Passeriformes",0,0,39.4,"1","Herbivore",29.41,83.15,"R",2,"LC",1.59549622182557,"Resident/low mobility","LC","LC/NE"
"Heterophasia desgodinsi","Passeriformes",2,1,31,"1","Omnivore",24.78,104.37,"R",7,"LC",1.49136169383427,"Resident/low mobility","LC","LC/NE"
"Heterophasia gracilis","Passeriformes",0,0,37.78,"1","Carnivore",25.39,95.87,"R",1,"LC",1.57726195358581,"Resident/low mobility","LC","LC/NE"
"Heterophasia picaoides","Passeriformes",0,0,42.4,"1","Herbivore",17.99,98.62,"R",2,"LC",1.62736585659273,"Resident/low mobility","LC","LC/NE"
"Heterophasia pulchella","Passeriformes",0,0,40.55,"1","Omnivore",26.95,97.03,"R",2,"LC",1.60799085854717,"Resident/low mobility","LC","LC/NE"
"Ianthocincla bieti","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,"Threatened","Threatened/DD"
"Ianthocincla cineracea","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Ianthocincla lunulata","Passeriformes",1,1,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Ianthocincla maxima","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Ianthocincla ocellata","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Ianthocincla rufogularis","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Ianthocincla sukatschewi","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,"Threatened","Threatened/DD"
"Leioptila annectens","Passeriformes",0,0,24.5,"1","Carnivore",22.58,97.62,"R",3,"LC",1.38916608436453,"Resident/low mobility","LC","LC/NE"
"Leiothrix argentauris","Passeriformes",0,0,28.4,"1","Carnivore",22.64,98.65,"R",4,"LC",1.45331834004704,"Resident/low mobility","LC","LC/NE"
"Leiothrix lutea","Passeriformes",0,0,21.39,"1","Carnivore",28.75,107.8,"R",18,"LC",1.33021078457153,"Resident/low mobility","LC","LC/NE"
"Liocichla bugunorum","Passeriformes",0,0,40,"1","Omnivore",27.11,92.44,"R",1,"CR",1.60205999132796,"Resident/low mobility","Threatened","Threatened/DD"
"Liocichla omeiensis","Passeriformes",0,0,40.4,"2","Omnivore",28.73,103.55,"R",2,"VU",1.6063813651106,"Partial migrant","Threatened","Threatened/DD"
"Liocichla phoenicea","Passeriformes",0,0,49,"1","Omnivore",26.27,94.63,"R",1,"LC",1.69019608002851,"Resident/low mobility","LC","LC/NE"
"Liocichla ripponi","Passeriformes",0,0,49,"1","Omnivore",21.87,99.76,"R",1,"LC",1.69019608002851,"Resident/low mobility","LC","LC/NE"
"Liocichla steerii","Passeriformes",0,0,31.38,"1","Omnivore",23.84,121.1,"R",1,"LC",1.49665293925092,"Resident/low mobility","LC","LC/NE"
"Minla ignotincta","Passeriformes",0,0,14.3,"1","Carnivore",26.14,100.77,"R",8,"LC",1.15533603746506,"Resident/low mobility","LC","LC/NE"
"Pterorhinus albogularis","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Pterorhinus berthemyi","Passeriformes",1,1,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Pterorhinus caerulatus","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Pterorhinus chinensis","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Pterorhinus courtoisi","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,"Threatened","Threatened/DD"
"Pterorhinus davidi","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Pterorhinus gularis","Passeriformes",1,1,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Pterorhinus koslowi","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Pterorhinus lanceolatus","Passeriformes",1,1,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Pterorhinus pectoralis","Passeriformes",1,1,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Pterorhinus perspicillatus","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Pterorhinus poecilorhynchus","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Pterorhinus ruficeps","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Pterorhinus ruficollis","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Pterorhinus sannio","Passeriformes",1,1,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Pterorhinus waddelli","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Trochalopteron affine","Passeriformes",0,0,72.66,"1","Carnivore",27.77,98.41,"R",5,"LC",1.8612953935267,"Resident/low mobility","LC","LC/NE"
"Trochalopteron chrysopterum","Passeriformes",0,0,71.7,"1","Omnivore",25.09,96.25,NA,NA,"LC",1.8555191556678,"Resident/low mobility","LC","LC/NE"
"Trochalopteron elliotii","Passeriformes",0,0,45,"1","Carnivore",33.04,103.87,"R",11,"LC",1.65321251377534,"Resident/low mobility","LC","LC/NE"
"Trochalopteron erythrocephalum","Passeriformes",0,0,71.7,"1","Omnivore",28.77,86.19,"R",2,"LC",1.8555191556678,"Resident/low mobility","LC","LC/NE"
"Trochalopteron formosum","Passeriformes",0,0,94.5,"1","Carnivore",28.13,103.76,"R",2,"LC",1.97543180850926,"Resident/low mobility","LC","LC/NE"
"Trochalopteron henrici","Passeriformes",0,0,65,"1","Carnivore",29.45,94.63,"R",1,"LC",1.81291335664286,"Resident/low mobility","LC","LC/NE"
"Trochalopteron imbricatum","Passeriformes",0,0,40.7,"1","Carnivore",27.34,90.78,NA,NA,"LC",1.60959440922522,"Resident/low mobility","LC","LC/NE"
"Trochalopteron lineatum","Passeriformes",0,0,40.7,"1","Carnivore",33.11,73.75,"R",1,"LC",1.60959440922522,"Resident/low mobility","LC","LC/NE"
"Trochalopteron melanostigma","Passeriformes",0,0,71.7,"1","Omnivore",20.04,100.31,NA,NA,"LC",1.8555191556678,"Resident/low mobility","LC","LC/NE"
"Trochalopteron milnei","Passeriformes",0,0,79.5,"1","Carnivore",23.86,106.09,"R",8,"LC",1.90036712865647,"Resident/low mobility","LC","LC/NE"
"Trochalopteron morrisonianum","Passeriformes",0,0,73.1,"1","Omnivore",23.82,121.12,"R",1,"LC",1.86391737695786,"Resident/low mobility","LC","LC/NE"
"Trochalopteron squamatum","Passeriformes",0,0,83.99,"1","Omnivore",24.91,96.01,"R",1,"LC",1.92422758126012,"Resident/low mobility","LC","LC/NE"
"Trochalopteron subunicolor","Passeriformes",0,0,65.93,"1","Carnivore",25.84,96.49,"R",2,"LC",1.8190830757437,"Resident/low mobility","LC","LC/NE"
"Helopsaltes amnicola","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Helopsaltes certhiola","Passeriformes",1,1,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Helopsaltes fasciolatus","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Helopsaltes ochotensis","Passeriformes",1,1,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Helopsaltes pleskei","Passeriformes",2,1,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,"Threatened","Threatened/DD"
"Helopsaltes pryeri","Passeriformes",1,1,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,"NT","NT"
"Locustella alishanensis","Passeriformes",0,0,10,"1","Carnivore",23.76,121.11,"R",1,"LC",1,"Resident/low mobility","LC","LC/NE"
"Locustella chengi","Passeriformes",0,0,10,"2","Carnivore",30.41,106.23,"S",6,"LC",1,"Partial migrant","LC","LC/NE"
"Locustella davidi","Passeriformes",2,1,10,"3","Carnivore",49.15,120.27,"SV",10,"LC",1,"Full migrant","LC","LC/NE"
"Locustella lanceolata","Passeriformes",0,0,10.6,"3","Carnivore",57.51,111.96,"SP",22,"LC",1.02530586526477,"Full migrant","LC","LC/NE"
"Locustella luscinioides","Passeriformes",0,0,13.89,"3","Carnivore",47.96,39.14,"SP",2,"LC",1.14270224573762,"Full migrant","LC","LC/NE"
"Locustella luteoventris","Passeriformes",0,0,13.2,"2","Carnivore",24.82,105.55,"R",19,"LC",1.12057393120585,"Partial migrant","LC","LC/NE"
"Locustella major","Passeriformes",0,0,13.3,"2","Carnivore",35.68,76.52,"R",2,"NT",1.12385164096709,"Partial migrant","NT","NT"
"Locustella mandelli","Passeriformes",2,1,11.3,"2","Carnivore",24.72,106.12,"R",11,"LC",1.05307844348342,"Partial migrant","LC","LC/NE"
"Locustella naevia","Passeriformes",0,0,13.3,"3","Carnivore",52.97,43.23,"R",2,"LC",1.12385164096709,"Full migrant","LC","LC/NE"
"Locustella tacsanowskia","Passeriformes",0,0,14,"3","Carnivore",40.23,110.99,"SP",14,"LC",1.14612803567824,"Full migrant","LC","LC/NE"
"Locustella thoracica","Passeriformes",0,0,10.8,"1","Carnivore",30.44,100.03,"RSV",11,"LC",1.03342375548695,"Resident/low mobility","LC","LC/NE"
"Megalurus palustris","Passeriformes",0,0,44.1,"2","Carnivore",19.65,97.08,"R",4,"LC",1.64443858946784,"Partial migrant","LC","LC/NE"
"Hypothymis azurea","Passeriformes",1,1,11.1,"1","Carnivore",16.05,98.4,"RWV",12,"LC",1.04532297878666,"Resident/low mobility","LC","LC/NE"
"Terpsiphone affinis","Passeriformes",0,0,19.23,"2","Carnivore",12.37,103.2,"S",2,"LC",1.28397928423848,"Partial migrant","LC","LC/NE"
"Terpsiphone atrocaudata","Passeriformes",0,0,18.7,"3","Carnivore",34.57,132.24,"SP",16,"LC",1.2718416065365,"Full migrant","LC","LC/NE"
"Terpsiphone incei","Passeriformes",0,0,19.23,"2","Carnivore",33.61,114.28,"RSP",30,"LC",1.28397928423848,"Partial migrant","LC","LC/NE"
"Terpsiphone paradisi","Passeriformes",0,0,19.23,"2","Carnivore",26.34,76.61,"S",2,"LC",1.28397928423848,"Partial migrant","LC","LC/NE"
"Anthus campestris","Passeriformes",0,0,23,"3","Carnivore",45.89,51.57,"S",2,"LC",1.36172783601759,"Full migrant","LC","LC/NE"
"Anthus cervinus","Passeriformes",0,0,20.9,"3","Carnivore",68.1,104.51,"WP",31,"LC",1.32014628611105,"Full migrant","LC","LC/NE"
"Anthus godlewskii","Passeriformes",1,1,25.34,"3","Carnivore",48.72,102.13,"SPV",17,"LC",1.40380661054742,"Full migrant","LC","LC/NE"
"Anthus gustavi","Passeriformes",4,1,19.8,"3","Carnivore",65.91,119.79,"SP",19,"LC",1.29666519026153,"Full migrant","LC","LC/NE"
"Anthus hodgsoni","Passeriformes",0,0,21.3,"3","Carnivore",51.36,108.28,"SWP",34,"LC",1.32837960343874,"Full migrant","LC","LC/NE"
"Anthus pratensis","Passeriformes",1,1,18.4,"2","Carnivore",59.47,30.67,"PV",5,"LC",1.26481782300954,"Partial migrant","LC","LC/NE"
"Anthus richardi","Passeriformes",1,1,32.17,"3","Carnivore",48.01,110.35,"SWP",33,"LC",1.50745106090197,"Full migrant","LC","LC/NE"
"Anthus roseatus","Passeriformes",1,1,20.61,"1","Carnivore",33.88,95.28,"RSV",19,"LC",1.31407799177921,"Resident/low mobility","LC","LC/NE"
"Anthus rubescens","Passeriformes",0,0,20.68,"3","Carnivore",61.56,13.05,"WP",31,"LC",1.3155505344219,"Full migrant","LC","LC/NE"
"Anthus rufulus","Passeriformes",0,0,20.44,"1","Carnivore",18.8,90.02,"RP",4,"LC",1.31048089146268,"Resident/low mobility","LC","LC/NE"
"Anthus spinoletta","Passeriformes",0,0,23.9,"3","Carnivore",45.38,74.9,"RWPV",24,"LC",1.37839790094814,"Full migrant","LC","LC/NE"
"Anthus sylvanus","Passeriformes",0,0,31,"1","Carnivore",27.03,99.02,"R",16,"LC",1.49136169383427,"Resident/low mobility","LC","LC/NE"
"Anthus trivialis","Passeriformes",1,1,23.33,"3","Omnivore",56.07,58.29,"SWP",6,"LC",1.36791473879375,"Full migrant","LC","LC/NE"
"Dendronanthus indicus","Passeriformes",0,0,16.4,"3","Carnivore",36.72,118.98,"SWP",32,"LC",1.2148438480477,"Full migrant","LC","LC/NE"
"Motacilla alba","Passeriformes",0,0,23.93,"3","Carnivore",52.86,81.67,"RSWP",34,"LC",1.37894269861344,"Full migrant","LC","LC/NE"
"Motacilla cinerea","Passeriformes",0,0,17.15,"2","Carnivore",52.19,88.74,"SWPR",34,"LC",1.23426412437879,"Partial migrant","LC","LC/NE"
"Motacilla citreola","Passeriformes",1,1,19.11,"3","Carnivore",52.43,81.65,"SWPV",29,"LC",1.28126068705501,"Full migrant","LC","LC/NE"
"Motacilla flava","Passeriformes",0,0,17.68,"3","Carnivore",53.37,57.63,"SWPV",25,"LC",1.24748226067705,"Full migrant","LC","LC/NE"
"Motacilla grandis","Passeriformes",0,0,30.16,"1","Carnivore",37.55,137.02,"SPV",4,"LC",1.47943133719774,"Resident/low mobility","LC","LC/NE"
"Motacilla tschutschensis","Passeriformes",0,0,18.5,"3","Carnivore",58.5,115.25,"SWPV",29,"LC",1.26717172840301,"Full migrant","LC","LC/NE"
"Anthipes monileger","Passeriformes",0,0,11,"1","Carnivore",21.81,98.73,"V",1,"LC",1.04139268515823,"Resident/low mobility","LC","LC/NE"
"Brachypteryx cruralis","Passeriformes",0,0,17.68,"1","Carnivore",24.18,99.42,NA,NA,"LC",1.24748226067705,"Resident/low mobility","LC","LC/NE"
"Brachypteryx goodfellowi","Passeriformes",0,0,17.68,"1","Carnivore",23.75,120.97,NA,NA,"LC",1.24748226067705,"Resident/low mobility","LC","LC/NE"
"Brachypteryx hyperythra","Passeriformes",0,0,15.8,"2","Carnivore",26.49,97.27,"R",2,"NT",1.19865708695442,"Partial migrant","NT","NT"
"Brachypteryx leucophris","Passeriformes",0,0,15.8,"2","Carnivore",21.78,103.17,"R",8,"LC",1.19865708695442,"Partial migrant","LC","LC/NE"
"Brachypteryx sinensis","Passeriformes",0,0,17.68,"1","Carnivore",27.97,110.58,NA,NA,"LC",1.24748226067705,"Resident/low mobility","LC","LC/NE"
"Calliope calliope","Passeriformes",0,0,18.5,"3","Carnivore",57.27,112.34,"SWP",33,"LC",1.26717172840301,"Full migrant","LC","LC/NE"
"Calliope obscura","Passeriformes",1,1,19.6,"2","Carnivore",33.49,104.89,"SP",4,"VU",1.29225607135648,"Partial migrant","Threatened","Threatened/DD"
"Calliope pectardens","Passeriformes",0,0,14.5,"3","Carnivore",32.13,101.52,"SW",5,"NT",1.16136800223497,"Full migrant","NT","NT"
"Calliope pectoralis","Passeriformes",0,0,23.27,"2","Carnivore",34.82,92.29,"S",2,"LC",1.36679638328673,"Partial migrant","LC","LC/NE"
"Calliope tschebaiewi","Passeriformes",0,0,23.27,"2","Carnivore",32.75,95.48,"SV",6,"LC",1.36679638328673,"Partial migrant","LC","LC/NE"
"Cercotrichas galactotes","Passeriformes",0,0,20.3,"3","Omnivore",28.41,35.3,"S",1,"LC",1.30749603791321,"Full migrant","LC","LC/NE"
"Cinclidium frontale","Passeriformes",0,0,25.4,"2","Carnivore",22.24,100.31,"R",2,"LC",1.40483371661994,"Partial migrant","LC","LC/NE"
"Copsychus malabaricus","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Copsychus saularis","Passeriformes",1,1,36,"1","Carnivore",19.34,97.13,"R",21,"LC",1.55630250076729,"Resident/low mobility","LC","LC/NE"
"Cyanoptila cumatilis","Passeriformes",0,0,22.5,"3","Carnivore",35.02,110.41,"PS",17,"NT",1.35218251811136,"Full migrant","NT","NT"
"Cyanoptila cyanomelana","Passeriformes",0,0,22.5,"3","Carnivore",42.15,129.93,"SWP",15,"LC",1.35218251811136,"Full migrant","LC","LC/NE"
"Cyornis brunneatus","Passeriformes",0,0,18.1,"3","Carnivore",26.7,114.79,"S",15,"VU",1.25767857486918,"Full migrant","Threatened","Threatened/DD"
"Cyornis concretus","Passeriformes",0,0,24.5,"2","Carnivore",11.13,105.04,"W",1,"LC",1.38916608436453,"Partial migrant","LC","LC/NE"
"Cyornis glaucicomans","Passeriformes",3,1,14.2,"1","Carnivore",28.78,106.49,"S",10,"LC",1.15228834438306,"Resident/low mobility","LC","LC/NE"
"Cyornis hainanus","Passeriformes",1,1,14.4,"2","Carnivore",18.37,104.17,"RSV",8,"LC",1.15836249209525,"Partial migrant","LC","LC/NE"
"Cyornis poliogenys","Passeriformes",1,1,16.21,"1","Carnivore",24.84,92.96,"R",4,"LC",1.20978301484851,"Resident/low mobility","LC","LC/NE"
"Cyornis rubeculoides","Passeriformes",1,1,14.2,"1","Carnivore",23.56,94.08,"S",2,"LC",1.15228834438306,"Resident/low mobility","LC","LC/NE"
"Cyornis unicolor","Passeriformes",0,0,21,"1","Carnivore",16.34,103.27,"RS",4,"LC",1.32221929473392,"Resident/low mobility","LC","LC/NE"
"Cyornis whitei","Passeriformes",0,0,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Enicurus immaculatus","Passeriformes",0,0,25.5,"2","Carnivore",23.98,94.64,"R",2,"LC",1.40654018043396,"Partial migrant","LC","LC/NE"
"Enicurus leschenaulti","Passeriformes",1,1,33.8,"1","Carnivore",19.16,105.94,"R",22,"LC",1.52891670027765,"Resident/low mobility","LC","LC/NE"
"Enicurus maculatus","Passeriformes",2,1,40.39,"1","Carnivore",25.59,100.85,"R",8,"LC",1.60627385316999,"Resident/low mobility","LC","LC/NE"
"Enicurus schistaceus","Passeriformes",1,1,31,"1","Carnivore",23.27,103.26,"R",13,"LC",1.49136169383427,"Resident/low mobility","LC","LC/NE"
"Enicurus scouleri","Passeriformes",0,0,17.8,"1","Carnivore",28.71,101.8,"R",15,"LC",1.25042000230889,"Resident/low mobility","LC","LC/NE"
"Erithacus rubecula","Passeriformes",4,1,17.7,"3","Carnivore",53.82,30.86,"RV",3,"LC",1.24797326636181,"Full migrant","LC","LC/NE"
"Eumyias thalassinus","Passeriformes",6,1,18.1,"1","Carnivore",17.79,104.13,"SWPV",19,"LC",1.25767857486918,"Resident/low mobility","LC","LC/NE"
"Ficedula albicilla","Passeriformes",1,1,10.8,"3","Carnivore",59.73,113.81,"SWPV",34,"LC",1.03342375548695,"Full migrant","LC","LC/NE"
"Ficedula elisae","Passeriformes",3,1,13.1,"3","Carnivore",39.35,114.86,"SPW",11,"LC",1.11727129565576,"Full migrant","LC","LC/NE"
"Ficedula erithacus","Passeriformes",2,1,10,"1","Omnivore",29.11,99.73,NA,NA,"LC",1,"Resident/low mobility","LC","LC/NE"
"Ficedula hodgsoni","Passeriformes",0,0,10,"1","Carnivore",16.54,100.31,"S",2,"LC",1,"Resident/low mobility","LC","LC/NE"
"Ficedula hyperythra","Passeriformes",3,1,8.2,"1","Carnivore",18.22,103.41,"RS",10,"LC",0.913813852383717,"Resident/low mobility","LC","LC/NE"
"Ficedula hypoleuca","Passeriformes",1,1,13.79,"3","Carnivore",57.07,38.09,"P",1,"LC",1.13956426617585,"Full migrant","LC","LC/NE"
"Ficedula mugimaki","Passeriformes",1,1,11.7,"3","Carnivore",52,115.26,"SWP",26,"LC",1.06818586174616,"Full migrant","LC","LC/NE"
"Ficedula narcissina","Passeriformes",3,1,13.1,"3","Carnivore",40.79,138.04,"WP",15,"LC",1.11727129565576,"Full migrant","LC","LC/NE"
