"species","order","n_new_records","new_record","mass","migration_av","trophic_level_av","centroid_latitude","centroid_longitude","migration_cn","range_size_provinces","iucn_pool","log_mass","migration_class","iucn_group","risk_group","z_log_mass","z_range_size"
"Butastur indicus","Accipitriformes",2,1,414.6,"3","Carnivore",44.31,129.81,"SWP",28,"LC",2.61762929775784,"Full migrant","LC","LC/NE",0.996237259189688,1.45371452207775
"Butastur liventer","Accipitriformes",0,0,337.99,"1","Carnivore",12.53,104.1,"S",1,"LC",2.52890385113841,"Resident/low mobility","LC","LC/NE",0.878489171564729,-0.943337153095455
"Butastur teesa","Accipitriformes",0,0,325,"1","Carnivore",23.18,78.91,"R",1,"LC",2.51188336097887,"Resident/low mobility","LC","LC/NE",0.855901174061364,-0.943337153095455
"Buteo buteo","Accipitriformes",0,0,759.1,"2","Carnivore",52.89,40.23,"WP",2,"LC",2.88029899142575,"Partial migrant","LC","LC/NE",1.34482783027007,-0.854557461422374
"Buteo hemilasius","Accipitriformes",0,0,1358.89,"1","Carnivore",42.4,100.83,"RSWP",26,"LC",3.13318430270269,"Resident/low mobility","LC","LC/NE",1.68043348711193,1.27615513873159
"Buteo japonicus","Accipitriformes",0,0,759.1,"2","Carnivore",54.33,126.58,"SWP",34,"LC",2.88029899142575,"Partial migrant","LC","LC/NE",1.34482783027007,1.98639267211624
"Buteo lagopus","Accipitriformes",0,0,949.76,"3","Carnivore",67.33,2.14,"WPV",22,"LC",2.9776138749269,"Full migrant","LC","LC/NE",1.47397501257567,0.92103637203926
"Buteo refectus","Accipitriformes",0,0,759.1,"2","Carnivore",29.54,82.67,"R",1,"LC",2.88029899142575,"Partial migrant","LC","LC/NE",1.34482783027007,-0.943337153095455
"Buteo rufinus","Accipitriformes",0,0,1166.18,"3","Carnivore",40.86,49.85,"RWP",6,"LC",3.06676558899369,"Full migrant","LC","LC/NE",1.59228880236,-0.499438694730047
"Circaetus gallicus","Accipitriformes",3,1,1699.12,"3","Carnivore",40.79,51.26,"RP",8,"LC",3.23022405191052,"Full migrant","LC","LC/NE",1.80921553699936,-0.321879311383884
"Circus aeruginosus","Accipitriformes",2,1,704.07,"2","Carnivore",50.03,51.14,"SWP",21,"LC",2.84761583968535,"Partial migrant","LC","LC/NE",1.3014538179476,0.832256680366178
"Circus cyaneus","Accipitriformes",0,0,392.98,"3","Carnivore",58.07,84.36,"SWP",34,"LC",2.59437044831268,"Full migrant","LC","LC/NE",0.965370296589072,1.98639267211624
"Circus macrourus","Accipitriformes",1,1,384.36,"3","Carnivore",51.02,62.85,"SWP",13,"NT",2.58473818471145,"Full migrant","NT","NT",0.952587260134951,0.122019146981525
"Circus melanoleucos","Accipitriformes",0,0,336.3,"3","Carnivore",49.1,122.04,"SWP",29,"LC",2.52672686731464,"Full migrant","LC","LC/NE",0.875600082900692,1.54249421375083
"Circus pygargus","Accipitriformes",0,0,310.75,"3","Carnivore",49.91,45.8,"SW",5,"LC",2.49241113731368,"Full migrant","LC","LC/NE",0.83005946589599,-0.588218386403129
"Circus spilonotus","Accipitriformes",1,1,558.78,"3","Carnivore",52.88,121.45,"SWP",34,"LC",2.74724085333857,"Full migrant","LC","LC/NE",1.16824555427539,1.98639267211624
"Clanga clanga","Accipitriformes",1,1,2154.29,"3","Carnivore",55.15,73.97,"RWP",27,"VU",3.3333041654997,"Full migrant","Threatened","Threatened/DD",1.94601379172498,1.36493483040467
"Elanus caeruleus","Accipitriformes",8,1,259.76,"2","Carnivore",3.69,41.21,"RSP",20,"LC",2.41457227561795,"Partial migrant","LC","LC/NE",0.726759032291079,0.743476988693097
"Gypaetus barbatus","Accipitriformes",2,1,5694.98,"2","Scavenger",34.75,76.41,"RP",14,"NT",3.75549220323428,"Partial migrant","NT","NT",2.50630214140901,0.210798838654607
"Gyps bengalensis","Accipitriformes",0,0,4385,"1","Scavenger",23.99,83.33,"R",1,"CR",3.64196959770206,"Resident/low mobility","Threatened","Threatened/DD",2.35564559119793,-0.943337153095455
"Gyps fulvus","Accipitriformes",0,0,7435.99,"1","Scavenger",36.3,52.81,"R",2,"LC",3.87133879705632,"Resident/low mobility","LC","LC/NE",2.66004287081802,-0.854557461422374
"Gyps himalayensis","Accipitriformes",2,1,9797.95,"1","Scavenger",34.8,88.99,"RW",10,"NT",3.99113521887419,"Resident/low mobility","NT","NT",2.81902544132984,-0.14431992803772
"Haliaeetus albicilla","Accipitriformes",0,0,4729.27,"2","Carnivore",59.89,91.01,"SWP",33,"LC",3.67479410914395,"Partial migrant","LC","LC/NE",2.39920720285241,1.89761298044316
"Haliaeetus leucogaster","Accipitriformes",0,0,2827.01,"1","Carnivore",-9.12,123.68,"RV",8,"LC",3.4513273447248,"Resident/low mobility","LC","LC/NE",2.10264308105142,-0.321879311383884
"Haliaeetus leucoryphus","Accipitriformes",1,1,2885.92,"3","Carnivore",27.12,85.7,"SWP",22,"EN",3.46028428793554,"Full migrant","Threatened","Threatened/DD",2.11452989564875,0.92103637203926
"Haliaeetus pelagicus","Accipitriformes",1,1,7756.99,"3","Carnivore",58.65,151.19,"WPV",9,"VU",3.88969323156954,"Full migrant","Threatened","Threatened/DD",2.68440115410329,-0.233099619710802
"Haliastur indus","Accipitriformes",1,1,529,"1","Carnivore",9.01,106.46,"RSWPV",12,"LC",2.72345567203519,"Resident/low mobility","LC","LC/NE",1.13668009341839,0.0332394553084432
"Hieraaetus pennatus","Accipitriformes",7,1,823.75,"3","Carnivore",42.1,55.17,"RP",11,"LC",2.91579542760207,"Full migrant","LC","LC/NE",1.39193536972479,-0.0555402363646385
"Lophotriorchis kienerii","Accipitriformes",1,1,799,"1","Carnivore",9.42,104.2,"R",1,"NT",2.90254677931399,"Resident/low mobility","NT","NT",1.37435300684047,-0.943337153095455
"Milvus migrans","Accipitriformes",0,0,734.1,"3","Omnivore",26.77,69.99,"RSWP",34,"LC",2.86575522407145,"Full migrant","LC","LC/NE",1.32552670688237,1.98639267211624
"Neophron percnopterus","Accipitriformes",1,1,2082,"3","Omnivore",27.02,47.48,"P",1,"EN",3.31848072517452,"Full migrant","Threatened","Threatened/DD",1.92634151261209,-0.943337153095455
"Nisaetus cirrhatus","Accipitriformes",0,0,1475.12,"1","Carnivore",13.11,94.36,"R",2,"LC",3.16882735130943,"Resident/low mobility","LC","LC/NE",1.72773559682764,-0.854557461422374
"Nisaetus nipalensis","Accipitriformes",3,1,3004.99,"1","Carnivore",26.77,106.31,"R",17,"NT",3.47784303109681,"Resident/low mobility","NT","NT",2.13783221203162,0.477137913673852
"Pernis apivorus","Accipitriformes",0,0,754.37,"3","Carnivore",54.03,38.95,"P",1,"LC",2.87758440892662,"Full migrant","LC","LC/NE",1.3412252910871,-0.943337153095455
"Pernis ptilorhynchus","Accipitriformes",2,1,1141.13,"1","Carnivore",32.05,103.73,"RSWP",34,"LC",3.05733512300419,"Resident/low mobility","LC","LC/NE",1.57977357276146,1.98639267211624
"Sarcogyps calvus","Accipitriformes",0,0,4469.89,"1","Scavenger",24.15,83.35,"R",1,"CR",3.65029683566419,"Resident/low mobility","Threatened","Threatened/DD",2.36669672007468,-0.943337153095455
"Spilornis cheela","Accipitriformes",2,1,597.74,"1","Carnivore",16.74,98.68,"R",20,"LC",2.7765123192401,"Resident/low mobility","LC","LC/NE",1.20709189727176,0.743476988693097
"Pandion haliaetus","Accipitriformes",0,0,1483.2,"3","Carnivore",49.18,25.45,"RSW",34,"LC",3.17119971680042,"Full migrant","LC","LC/NE",1.7308839777077,1.98639267211624
"Aix galericulata","Anseriformes",2,1,567.04,"3","Herbivore",45.58,131.94,"SWPV",32,"LC",2.75361369587094,"Full migrant","LC","LC/NE",1.17670299291913,1.80883328877008
"Anas acuta","Anseriformes",0,0,944.62,"3","Herbivore",59.6,26.95,"SWP",34,"LC",2.97525713645314,"Full migrant","LC","LC/NE",1.47084737040659,1.98639267211624
"Anas crecca","Anseriformes",0,0,341.89,"2","Herbivore",58.18,22.29,"SWP",34,"LC",2.53388639822762,"Partial migrant","LC","LC/NE",0.88510154054803,1.98639267211624
"Anas luzonica","Anseriformes",0,0,832.04,"1","Omnivore",11.81,122.91,"V",2,"VU",2.92014420533123,"Resident/low mobility","Threatened","Threatened/DD",1.39770665948016,-0.854557461422374
"Anas platyrhynchos","Anseriformes",0,0,843.42,"2","Herbivore",51.63,11.04,"RSWP",34,"LC",2.92604389521649,"Partial migrant","LC","LC/NE",1.40553617432667,1.98639267211624
"Anas poecilorhyncha","Anseriformes",0,0,999.96,"2","Herbivore",21.93,88.08,"VR",5,"LC",2.99998262787328,"Partial migrant","LC","LC/NE",1.50366072262106,-0.588218386403129
"Anas zonorhyncha","Anseriformes",0,0,1156,"2","Herbivore",41.57,115.32,"RSWPV",34,"LC",3.06295783408451,"Partial migrant","LC","LC/NE",1.58723550732703,1.98639267211624
"Anser albifrons","Anseriformes",1,1,2506.39,"3","Herbivore",68.29,12.71,"WP",21,"LC",3.39904864912808,"Full migrant","LC","LC/NE",2.03326370157708,0.832256680366178
"Anser anser","Anseriformes",1,1,3302.41,"3","Herbivore",51.74,74.51,"SWP",34,"LC",3.51883099069656,"Full migrant","LC","LC/NE",2.19222758610306,1.98639267211624
"Anser caerulescens","Anseriformes",4,1,2636.15,"3","Herbivore",72.41,-90.29,"W",9,"LC",3.42097011848603,"Full migrant","LC","LC/NE",2.06235581881261,-0.233099619710802
"Anser erythropus","Anseriformes",1,1,1755.5,"3","Herbivore",68.29,95.41,"WPV",23,"VU",3.24440083380137,"Full migrant","Threatened","Threatened/DD",1.8280296317143,1.00981606371234
"Anser fabalis","Anseriformes",1,1,2754.73,"3","Herbivore",62.77,105.89,"WP",23,"LC",3.44007903866642,"Full migrant","LC","LC/NE",2.08771538468179,1.00981606371234
"Anser indicus","Anseriformes",2,1,2212.55,"3","Herbivore",41.25,86.98,"SWP",17,"LC",3.34489309382353,"Full migrant","LC","LC/NE",1.96139353000465,0.477137913673852
"Aythya baeri","Anseriformes",0,0,681.23,"3","Omnivore",49.45,125.01,"SWPV",32,"CR",2.8332937651678,"Full migrant","Threatened","Threatened/DD",1.28244690449133,1.80883328877008
"Aythya ferina","Anseriformes",0,0,822.99,"1","Herbivore",53.5,67.94,"SWP",33,"VU",2.91539455821202,"Resident/low mobility","Threatened","Threatened/DD",1.39140337348399,1.89761298044316
"Aythya fuligula","Anseriformes",1,1,701.17,"2","Omnivore",57.84,83.37,"SWP",34,"LC",2.84582332625636,"Partial migrant","LC","LC/NE",1.29907496231657,1.98639267211624
"Aythya marila","Anseriformes",0,0,1005.37,"3","Omnivore",64.6,26.26,"WP",24,"LC",3.00232592184208,"Full migrant","LC","LC/NE",1.50677052250466,1.09859575538542
"Aythya nyroca","Anseriformes",2,1,574,"3","Herbivore",46.16,49.61,"SWP",29,"NT",2.75891189239797,"Full migrant","NT","NT",1.18373426221885,1.54249421375083
"Branta bernicla","Anseriformes",2,1,1277.91,"3","Herbivore",74.79,-22.74,"PWV",13,"LC",3.10650026862698,"Full migrant","LC","LC/NE",1.64502094085549,0.122019146981525
"Branta canadensis","Anseriformes",4,1,2811.68,"3","Herbivore",53.3,-104.21,"V",1,"LC",3.44896589168836,"Full migrant","LC","LC/NE",2.09950918215712,-0.943337153095455
"Branta hutchinsii","Anseriformes",2,1,2811.68,"3","Herbivore",66.72,-124.78,"V",3,"LC",3.44896589168836,"Full migrant","LC","LC/NE",2.09950918215712,-0.765777769749292
"Branta leucopsis","Anseriformes",1,1,1683.97,"3","Herbivore",72.42,-0.02,"V",2,"LC",3.22633435025715,"Full migrant","LC","LC/NE",1.80405348993658,-0.854557461422374
"Branta ruficollis","Anseriformes",4,1,1226.47,"3","Herbivore",71.96,90.31,"VW",8,"VU",3.08865692963674,"Full migrant","Threatened","Threatened/DD",1.6213409355921,-0.321879311383884
"Bucephala clangula","Anseriformes",0,0,918.56,"3","Carnivore",58.51,35.56,"SWP",33,"LC",2.96310752952354,"Full migrant","LC","LC/NE",1.45472355208995,1.89761298044316
"Clangula hyemalis","Anseriformes",7,1,871,"3","Carnivore",68.24,-27.99,"WP",19,"VU",2.94001815500766,"Full migrant","Threatened","Threatened/DD",1.42408150071361,0.654697297020015
"Cygnus columbianus","Anseriformes",1,1,6377.96,"3","Herbivore",67.98,51.4,"WP",27,"LC",3.80468179119516,"Full migrant","LC","LC/NE",2.57158194708073,1.36493483040467
"Cygnus cygnus","Anseriformes",1,1,9349.99,"3","Herbivore",58.93,97.43,"SWPV",27,"LC",3.97081114638619,"Full migrant","LC","LC/NE",2.792053239336,1.36493483040467
"Cygnus olor","Anseriformes",3,1,10682.04,"3","Herbivore",49.96,41.72,"SPV",18,"LC",4.02865419989662,"Full migrant","LC","LC/NE",2.86881711252849,0.565917605346933
"Dendrocygna javanica","Anseriformes",1,1,519.61,"2","Herbivore",20.14,92.69,"RSPV",9,"LC",2.71567750056694,"Partial migrant","LC","LC/NE",1.12635763407329,-0.233099619710802
"Histrionicus histrionicus","Anseriformes",3,1,561.57,"2","Carnivore",59.49,20.66,"P",9,"LC",2.74940389901053,"Partial migrant","LC","LC/NE",1.17111614553217,-0.233099619710802
"Mareca americana","Anseriformes",1,1,754.61,"3","Herbivore",55.41,-116.72,"V",1,"LC",2.8777225561208,"Full migrant","LC","LC/NE",1.34140862708084,-0.943337153095455
"Mareca falcata","Anseriformes",2,1,645.83,"3","Herbivore",54.68,122.38,"SWP",32,"LC",2.81011821493299,"Full migrant","LC","LC/NE",1.25169048878672,1.80883328877008
"Mareca penelope","Anseriformes",0,0,770.03,"3","Herbivore",61.69,93.37,"SWP",34,"LC",2.8865076454071,"Full migrant","LC","LC/NE",1.35306737327474,1.98639267211624
"Mareca strepera","Anseriformes",0,0,915.58,"2","Herbivore",49.62,29.99,"SWP",34,"LC",2.96169629734402,"Partial migrant","LC","LC/NE",1.45285069715752,1.98639267211624
"Marmaronetta angustirostris","Anseriformes",0,0,477,"2","Herbivore",37.8,47.74,"S",1,"NT",2.67851837904011,"Partial migrant","NT","NT",1.07704353463151,-0.943337153095455
"Melanitta americana","Anseriformes",0,0,1117,"3","Carnivore",62.61,22.94,"V",8,"NT",3.04805317311561,"Full migrant","NT","NT",1.56745543979675,-0.321879311383884
"Melanitta fusca","Anseriformes",3,1,1800.17,"3","Carnivore",62.27,68.59,"WPV",21,"VU",3.2553135198676,"Full migrant","Threatened","Threatened/DD",1.84251192472164,0.832256680366178
"Mergellus albellus","Anseriformes",0,0,608.55,"3","Carnivore",60.6,90.3,"SWPV",33,"LC",2.78429626676001,"Full migrant","LC","LC/NE",1.21742202205066,1.89761298044316
"Mergus merganser","Anseriformes",0,0,1451.02,"3","Carnivore",54.96,28.88,"RSWPV",32,"LC",3.16167339853682,"Full migrant","LC","LC/NE",1.71824154196481,1.80883328877008
"Mergus serrator","Anseriformes",4,1,1015.17,"3","Carnivore",60.86,26.86,"SWPV",23,"LC",3.00653877513574,"Full migrant","LC","LC/NE",1.51236142610304,1.00981606371234
"Mergus squamatus","Anseriformes",0,0,1234,"3","Carnivore",45.96,134.05,"SWPV",27,"EN",3.09131515969722,"Full migrant","Threatened","Threatened/DD",1.62486868910606,1.36493483040467
"Netta rufina","Anseriformes",4,1,1118,"2","Herbivore",46.6,71.79,"SWPV",19,"LC",3.0484418035504,"Partial migrant","LC","LC/NE",1.56797119364453,0.654697297020015
"Nettapus coromandelianus","Anseriformes",0,0,391.33,"1","Herbivore",16.85,100.56,"RSV",20,"LC",2.59254314290461,"Resident/low mobility","LC","LC/NE",0.96294526830796,0.743476988693097
"Oxyura leucocephala","Anseriformes",2,1,661.09,"1","Omnivore",48.43,65.67,"SW",3,"EN",2.82026058784064,"Resident/low mobility","Threatened","Threatened/DD",1.26515049444865,-0.765777769749292
"Polysticta stelleri","Anseriformes",0,0,806.76,"3","Carnivore",70.64,58.58,"WV",3,"VU",2.90674435730235,"Full migrant","Threatened","Threatened/DD",1.37992363848694,-0.765777769749292
"Sarkidiornis melanotos","Anseriformes",0,0,2610,"1","Herbivore",0.53,30.99,"V",3,"LC",3.41664050733828,"Resident/low mobility","LC","LC/NE",2.05660996514569,-0.765777769749292
"Sibirionetta formosa","Anseriformes",1,1,433.98,"3","Herbivore",64.58,140.97,"WP",31,"LC",2.63746971548076,"Full migrant","LC","LC/NE",1.02256759996075,1.720053597097
"Spatula clypeata","Anseriformes",0,0,612.56,"3","Omnivore",55.88,22.06,"SWP",34,"LC",2.78714863408588,"Full migrant","LC","LC/NE",1.22120741632731,1.98639267211624
"Spatula querquedula","Anseriformes",0,0,325.6,"3","Omnivore",53.56,74.07,"SWP",34,"LC",2.51268439621716,"Full migrant","LC","LC/NE",0.856964232868307,1.98639267211624
"Tadorna ferruginea","Anseriformes",0,0,1235.03,"2","Omnivore",41.82,70.95,"RSWP",33,"LC",3.09167750713108,"Partial migrant","LC","LC/NE",1.62534956262114,1.89761298044316
"Tadorna tadorna","Anseriformes",0,0,1146.83,"2","Carnivore",48.41,66.23,"SWP",33,"LC",3.05949904516043,"Partial migrant","LC","LC/NE",1.58264532720592,1.89761298044316
"Aceros nipalensis","Bucerotiformes",0,0,2385,"1","Herbivore",24.08,97.27,"R",2,"VU",3.37748838337613,"Resident/low mobility","Threatened","Threatened/DD",2.00465093987561,-0.854557461422374
"Anorrhinus austeni","Bucerotiformes",0,0,933,"1","Omnivore",20.03,100.79,"R",1,"NT",2.9698816437465,"Resident/low mobility","NT","NT",1.46371352087002,-0.943337153095455
"Anthracoceros albirostris","Bucerotiformes",0,0,892.89,"1","Omnivore",14.07,99.91,"R",3,"LC",2.95079795907269,"Resident/low mobility","LC","LC/NE",1.43838744519731,-0.765777769749292
"Buceros bicornis","Bucerotiformes",0,0,2790.79,"1","Omnivore",15.78,98.02,"R",2,"VU",3.44572715813948,"Resident/low mobility","Threatened","Threatened/DD",2.09521103888214,-0.854557461422374
"Rhyticeros undulatus","Bucerotiformes",0,0,2214.55,"1","Herbivore",9.93,103.94,"R",2,"VU",3.34528549021073,"Resident/low mobility","Threatened","Threatened/DD",1.9619142816711,-0.854557461422374
"Upupa epops","Bucerotiformes",0,0,66.93,"3","Carnivore",29.41,61.88,"RSWP",34,"LC",1.8256208250035,"Full migrant","LC","LC/NE",-0.0548420715190662,1.98639267211624
"Aerodramus brevirostris","Caprimulgiformes",1,1,13.42,"1","Carnivore",26.62,99.51,"RSP",11,"LC",1.12775251583297,"Resident/low mobility","LC","LC/NE",-0.980987410311828,-0.0555402363646385
"Aerodramus fuciphagus","Caprimulgiformes",0,0,10.7,"1","Carnivore",0.9,109.4,"R",1,"LC",1.02938377768521,"Resident/low mobility","LC","LC/NE",-1.111533169621,-0.943337153095455
"Apus acuticauda","Caprimulgiformes",0,0,39.4,"3","Carnivore",26.16,92.18,"V",1,"NT",1.59549622182557,"Full migrant","NT","NT",-0.360241852214211,-0.943337153095455
"Apus apus","Caprimulgiformes",0,0,37.6,"3","Carnivore",48.52,57.95,"SP",19,"LC",1.57518784492766,"Full migrant","LC","LC/NE",-0.387193224493609,0.654697297020015
"Apus nipalensis","Caprimulgiformes",0,0,29.82,"3","Carnivore",16.15,106.18,"RSP",14,"LC",1.47450763911698,"Full migrant","LC","LC/NE",-0.52080654679949,0.210798838654607
"Apus pacificus","Caprimulgiformes",0,0,39.43,"2","Carnivore",46.94,116.49,"SP",32,"LC",1.59582677707322,"Partial migrant","LC","LC/NE",-0.359803170305603,1.80883328877008
"Cypsiurus balasiensis","Caprimulgiformes",0,0,9.11,"1","Carnivore",15.1,95.81,"R",2,"LC",0.959518376972998,"Resident/low mobility","LC","LC/NE",-1.20425197396019,-0.854557461422374
"Hirundapus caudacutus","Caprimulgiformes",1,1,95.5,"3","Carnivore",46.53,112.91,"RSP",25,"LC",1.98000337158375,"Full migrant","LC","LC/NE",0.150039958553621,1.18737544705851
"Hirundapus celebensis","Caprimulgiformes",0,0,180,"1","Carnivore",10.51,122.92,"S",1,"LC",2.25527250510331,"Resident/low mobility","LC","LC/NE",0.515351323996879,-0.943337153095455
"Hirundapus cochinchinensis","Caprimulgiformes",0,0,83.79,"3","Carnivore",25.16,98.59,"RSP",8,"LC",1.92319219042067,"Full migrant","LC","LC/NE",0.0746454895197223,-0.321879311383884
"Hirundapus giganteus","Caprimulgiformes",0,0,127,"3","Carnivore",7.87,102.56,"R",3,"LC",2.10380372095596,"Full migrant","LC","LC/NE",0.314336166026156,-0.765777769749292
"Tachymarptis melba","Caprimulgiformes",0,0,100.38,"3","Carnivore",21.34,40.29,"S",2,"LC",2.00164719134604,"Full migrant","LC","LC/NE",0.178763605297722,-0.854557461422374
"Caprimulgus aegyptius","Caprimulgiformes",0,0,77.3,"3","Carnivore",36.18,43.65,"V",1,"LC",1.88817949391832,"Full migrant","LC","LC/NE",0.0281799239708982,-0.943337153095455
"Caprimulgus affinis","Caprimulgiformes",0,0,58.7,"2","Carnivore",17.18,94.41,"RS",8,"LC",1.76863810124761,"Partial migrant","LC","LC/NE",-0.130464195786259,-0.321879311383884
"Caprimulgus europaeus","Caprimulgiformes",0,0,67,"3","Carnivore",47.43,55.71,"S",4,"LC",1.82607480270083,"Full migrant","LC","LC/NE",-0.054239594916003,-0.67699807807621
"Caprimulgus macrurus","Caprimulgiformes",1,1,66.2,"1","Carnivore",7.52,110.9,"VR",2,"LC",1.8208579894397,"Resident/low mobility","LC","LC/NE",-0.0611628599814238,-0.854557461422374
"Lyncornis macrotis","Caprimulgiformes",0,0,140.64,"1","Carnivore",16.45,103.05,"R",1,"LC",2.1481088577297,"Resident/low mobility","LC","LC/NE",0.373133786391445,-0.943337153095455
"Hemiprocne coronata","Caprimulgiformes",1,1,29,"1","Carnivore",20.18,90.5,"R",1,"LC",1.46239799789896,"Resident/low mobility","LC","LC/NE",-0.536877326373722,-0.943337153095455
"Batrachostomus hodgsoni","Caprimulgiformes",0,0,51,"1","Carnivore",22.21,97.88,"R",1,"LC",1.70757017609794,"Resident/low mobility","LC","LC/NE",-0.211507816027939,-0.943337153095455
"Brachyramphus perdix","Charadriiformes",1,1,220,"3","Carnivore",54.22,149.82,"PV",6,"NT",2.34242268082221,"Full migrant","NT","NT",0.63100885989067,-0.499438694730047
"Cerorhinca monocerata","Charadriiformes",0,0,482.24,"3","Carnivore",50.73,-51.05,"W",1,"LC",2.68326323063454,"Full migrant","LC","LC/NE",1.08334045645715,-0.943337153095455
"Synthliboramphus antiquus","Charadriiformes",1,1,217.72,"3","Carnivore",50.68,-15.49,"SWPV",12,"LC",2.33789832564504,"Full migrant","LC","LC/NE",0.62500456022078,0.0332394553084432
"Synthliboramphus wumizusume","Charadriiformes",0,0,198,"3","Carnivore",34.63,134.76,"V",2,"VU",2.29666519026153,"Full migrant","Threatened","Threatened/DD",0.570283811854038,-0.854557461422374
"Uria aalge","Charadriiformes",0,0,991.93,"3","Carnivore",58.79,-17.82,"V",1,"LC",2.9964810252929,"Full migrant","LC","LC/NE",1.49901372423253,-0.943337153095455
"Burhinus oedicnemus","Charadriiformes",0,0,459,"3","Carnivore",40.04,45.22,"SWV",3,"LC",2.66181268553726,"Full migrant","LC","LC/NE",1.05487330571345,-0.765777769749292
"Esacus recurvirostris","Charadriiformes",0,0,790,"2","Carnivore",22.18,85.15,"W",2,"NT",2.89762709129044,"Partial migrant","NT","NT",1.36782405851103,-0.854557461422374
"Charadrius alexandrinus","Charadriiformes",0,0,42.3,"2","Carnivore",40.96,74.32,"RSWP",33,"LC",1.62634036737504,"Partial migrant","LC","LC/NE",-0.31930839635398,1.89761298044316
"Charadrius asiaticus","Charadriiformes",1,1,77.09,"3","Carnivore",44.94,66.44,"P",3,"LC",1.8869980456711,"Full migrant","LC","LC/NE",0.0266120167127316,-0.765777769749292
"Charadrius dubius","Charadriiformes",0,0,38.7,"3","Carnivore",43.86,79.16,"RSWP",34,"LC",1.58771096501891,"Full migrant","LC","LC/NE",-0.370573714555639,1.98639267211624
"Charadrius hiaticula","Charadriiformes",4,1,64.04,"2","Carnivore",69.82,39,"SWP",13,"LC",1.80645132324726,"Partial migrant","LC","LC/NE",-0.0802820355713404,0.122019146981525
"Charadrius leschenaultii","Charadriiformes",0,0,74.8,"3","Carnivore",44.18,88.45,"SWP",32,"LC",1.87390159786446,"Full migrant","LC","LC/NE",0.00923164002636648,1.80883328877008
"Charadrius mongolus","Charadriiformes",3,1,64,"3","Carnivore",41.63,105.77,"SWP",27,"EN",1.80617997398389,"Full migrant","Threatened","Threatened/DD",-0.0806421448529301,1.36493483040467
"Charadrius placidus","Charadriiformes",1,1,62.7,"3","Carnivore",41.52,124.82,"WP",33,"LC",1.79726754083072,"Full migrant","LC","LC/NE",-0.0924698898782371,1.89761298044316
"Charadrius veredus","Charadriiformes",4,1,95,"3","Carnivore",47.51,105.58,"SP",31,"LC",1.97772360528885,"Full migrant","LC","LC/NE",0.147014466638009,1.720053597097
