"species_lat","class_lat","order_lat","family_lat","genus_lat","species","order","family","genus","genus_size","n_congeners","n_new_records","new_record","mass","hwi","habitat_av","habitat_density_av","migration_av_raw","trophic_level_av","trophic_niche_av","range_size_av","centroid_latitude","centroid_longitude","endemic_cn","diet_cn","clutch_raw","migration_cn_raw","range_size_provinces","clutch_size","endemic_status","migration_class_av","diet_group_av","forest_association","log_mass","log_hwi","log_range_provinces","log_clutch_size","log_n_congeners","tree_label","phylo_species"
"Turnix sylvaticus","Aves","CHARADRIIFORMES","Turnicidae","Turnix","Turnix sylvaticus","Charadriiformes","Turnicidae","Turnix",3,2,0,0,52.69,27.2,"Shrubland",2,"1","Omnivore","Omnivore",17313380.02,3.48,46.97,"否","杂食性","4","R",4,4,"Non_endemic","Resident_low","Omnivore","Non_forest",1.72172819857279,3.33932197794407,1.6094379124341,1.6094379124341,1.09861228866811,"Turnix_sylvaticus","Turnix_sylvaticus"
"Turnix tanki","Aves","CHARADRIIFORMES","Turnicidae","Turnix","Turnix tanki","Charadriiformes","Turnicidae","Turnix",3,2,0,0,52.79,27,"Grassland",3,"1","Herbivore","Granivore",9318008.55,28.08,102.37,"否","杂食性","3-4","RSWPV",30,3.5,"Non_endemic","Resident_low","Plant_seed","Non_forest",1.72255166200096,3.3322045101752,3.43398720448515,1.50407739677627,1.09861228866811,"Turnix_tanki","Turnix_tanki"
"Ciconia boyciana","Aves","CICONIIFORMES","Ciconiidae","Ciconia","Ciconia boyciana","Ciconiiformes","Ciconiidae","Ciconia",4,3,3,1,4847.74,44.6,"Wetland",3,"3","Carnivore","Aquatic predator",475164.45,47.77,130.95,"否","食肉，食虫","4-5","SWP",25,4.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.68553931916292,3.81990771652034,3.25809653802148,1.70474809223843,1.38629436111989,"Ciconia_boyciana","Ciconia_boyciana"
"Ciconia ciconia","Aves","CICONIIFORMES","Ciconiidae","Ciconia","Ciconia ciconia","Ciconiiformes","Ciconiidae","Ciconia",4,3,0,0,3445.8,45.9,"Grassland",3,"3","Carnivore","Omnivore",5196114,44.94,24.63,"否","食肉，食虫","4","S",1,4,"Non_endemic","Long_distance_migrant","Omnivore","Non_forest",3.53729006666481,3.84801767545223,0.693147180559945,1.6094379124341,1.38629436111989,"Ciconia_ciconia","Ciconia_ciconia"
"Ciconia episcopus","Aves","CICONIIFORMES","Ciconiidae","Ciconia","Ciconia episcopus","Ciconiiformes","Ciconiidae","Ciconia",4,3,1,1,2061,38,"Wetland",3,"1","Carnivore","Aquatic predator",3858090.35,17.45,91.11,"否","NA","2-5","V",1,3.5,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",3.31407799177921,3.66356164612965,0.693147180559945,1.50407739677627,1.38629436111989,"Ciconia_episcopus","Ciconia_episcopus"
"Ciconia nigra","Aves","CICONIIFORMES","Ciconiidae","Ciconia","Ciconia nigra","Ciconiiformes","Ciconiidae","Ciconia",4,3,1,1,2926,43.1,"Woodland",2,"3","Carnivore","Aquatic predator",18362407.3,42.16,78.07,"否","食肉，食虫","4-5","SW",33,4.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",3.46627432178929,3.7864597824528,3.52636052461616,1.70474809223843,1.38629436111989,"Ciconia_nigra","Ciconia_nigra"
"Leptoptilos javanicus","Aves","CICONIIFORMES","Ciconiidae","Leptoptilos","Leptoptilos javanicus","Ciconiiformes","Ciconiidae","Leptoptilos",1,0,1,1,4650.99,35.2,"Wetland",3,"2","Carnivore","Omnivore",1287176.59,7.51,103.3,"否","食肉","2～4","P",5,3,"Non_endemic","Partial_migrant","Omnivore","Non_forest",3.6675454057447,3.58905911883173,1.79175946922805,1.38629436111989,0,"Leptoptilos_javanicus","Leptoptilos_javanicus"
"Mycteria leucocephala","Aves","CICONIIFORMES","Ciconiidae","Mycteria","Mycteria leucocephala","Ciconiiformes","Ciconiidae","Mycteria",1,0,1,1,3180,41.1,"Wetland",3,"2","Carnivore","Aquatic predator",1543399.32,17.9,78.8,"否","杂食","2～5","S",11,3.5,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",3.50242711998443,3.74004774068834,2.484906649788,1.50407739677627,0,"Mycteria_leucocephala","Mycteria_leucocephala"
"Chalcophaps indica","Aves","COLUMBIFORMES","Columbidae","Chalcophaps","Chalcophaps indica","Columbiformes","Columbidae","Chalcophaps",1,0,4,1,136.54,28.7,"Forest",1,"1","Herbivore","Omnivore",4704607.55,11.66,104.11,"否","食果实，食种子","2","R",10,2,"Non_endemic","Resident_low","Omnivore","Forest_primary",2.13525989851566,3.39114704580865,2.39789527279837,1.09861228866811,0,"Chalcophaps_indica","Chalcophaps_indica"
"Columba livia","Aves","COLUMBIFORMES","Columbidae","Columba","Columba livia","Columbiformes","Columbidae","Columba",11,10,0,0,354.2,45.1,"Human Modified",3,"1","Herbivore","Granivore",17464191.46,33.52,51.08,"否","食种子","2","R",6,2,"Non_endemic","Resident_low","Plant_seed","Non_forest",2.54924855685406,3.8308129500026,1.94591014905531,1.09861228866811,2.39789527279837,"Columba_livia","Columba_livia"
"Columba oenas","Aves","COLUMBIFORMES","Columbidae","Columba","Columba oenas","Columbiformes","Columbidae","Columba",11,10,2,1,290.79,42.5,"Woodland",3,"1","Herbivore","Omnivore",9272521.23,50.84,35.32,"否","食茎叶，食果实，食种子","2","R",2,2,"Non_endemic","Resident_low","Omnivore","Forest_primary",2.46357946745697,3.77276093809464,1.09861228866811,1.09861228866811,2.39789527279837,"Columba_oenas","Columba_oenas"
"Columba palumbus","Aves","COLUMBIFORMES","Columbidae","Columba","Columba palumbus","Columbiformes","Columbidae","Columba",11,10,0,0,490,41.2,"Woodland",2,"1","Herbivore","Omnivore",11947217.36,50.34,32.15,"否","食果实，食种子，食茎叶","2","R",1,2,"Non_endemic","Resident_low","Omnivore","Forest_primary",2.69019608002851,3.74242022104197,0.693147180559945,1.09861228866811,2.39789527279837,"Columba_palumbus","Columba_palumbus"
"Columba pulchricollis","Aves","COLUMBIFORMES","Columbidae","Columba","Columba pulchricollis","Columbiformes","Columbidae","Columba",11,10,0,0,330,38,"Forest",3,"1","Herbivore","Frugivore",565151.19,25.51,96.29,"否","食果实，食种子","1","R",3,1,"Non_endemic","Resident_low","Fruit_nectar","Forest_primary",2.51851393987789,3.66356164612965,1.38629436111989,0.693147180559945,2.39789527279837,"Columba_pulchricollis","Columba_pulchricollis"
"Columba rupestris","Aves","COLUMBIFORMES","Columbidae","Columba","Columba rupestris","Columbiformes","Columbidae","Columba",11,10,0,0,245.41,48.6,"Rock",3,"1","Herbivore","Granivore",11847809.42,44.45,101.9,"否","食种子，食果实","2","RS",21,2,"Non_endemic","Resident_low","Plant_seed","Non_forest",2.38989225544206,3.90399083373088,3.09104245335832,1.09861228866811,2.39789527279837,"Columba_rupestris","Columba_rupestris"
"Ducula aenea","Aves","COLUMBIFORMES","Columbidae","Ducula","Ducula aenea","Columbiformes","Columbidae","Ducula",2,1,0,0,545,31.1,"Forest",1,"1","Herbivore","Frugivore",5136924.07,12.16,102.13,"否","食果实","1-2","R",3,1.5,"Non_endemic","Resident_low","Fruit_nectar","Forest_primary",2.73639650227664,3.46885603013597,1.38629436111989,0.916290731874155,0.693147180559945,"Ducula_aenea","Ducula_aenea"
"Macropygia tenuirostris","Aves","COLUMBIFORMES","Columbidae","Macropygia","Macropygia tenuirostris","Columbiformes","Columbidae","Macropygia",3,2,0,0,177,33.2,"Forest",1,"1","Herbivore","Frugivore",282345.03,11.79,122.86,"否","食果实，食种子","3-4","R",1,3.5,"Non_endemic","Resident_low","Fruit_nectar","Forest_primary",2.24797326636181,3.53222564406856,0.693147180559945,1.50407739677627,1.09861228866811,"Macropygia_tenuirostris","Macropygia_tenuirostris"
"Streptopelia decaocto","Aves","COLUMBIFORMES","Columbidae","Streptopelia","Streptopelia decaocto","Columbiformes","Columbidae","Streptopelia",4,3,1,1,148.96,35.4,"Human Modified",3,"1","Herbivore","Omnivore",19265912.02,40.2,54.01,"否","杂食性","2","RV",20,2,"Non_endemic","Resident_low","Omnivore","Non_forest",2.17306966363727,3.5945687746427,3.04452243772342,1.09861228866811,1.38629436111989,"Streptopelia_decaocto","Streptopelia_decaocto"
"Streptopelia orientalis","Aves","COLUMBIFORMES","Columbidae","Streptopelia","Streptopelia orientalis","Columbiformes","Columbidae","Streptopelia",4,3,0,0,232.94,32.8,"Woodland",3,"3","Herbivore","Omnivore",16926350.97,43.17,102.09,"否","杂食性","2","RS",34,2,"Non_endemic","Long_distance_migrant","Omnivore","Forest_primary",2.36724407113523,3.52046080248897,3.55534806148941,1.09861228866811,1.38629436111989,"Streptopelia_orientalis","Streptopelia_orientalis"
"Streptopelia tranquebarica","Aves","COLUMBIFORMES","Columbidae","Streptopelia","Streptopelia tranquebarica","Columbiformes","Columbidae","Streptopelia",4,3,0,0,103,39.6,"Woodland",2,"1","Herbivore","Granivore",9407303.38,26.15,97.93,"否","杂食性","2","RS",33,2,"Non_endemic","Resident_low","Plant_seed","Forest_primary",2.01283722470517,3.70376806660769,3.52636052461616,1.09861228866811,1.38629436111989,"Streptopelia_tranquebarica","Streptopelia_tranquebarica"
"Streptopelia turtur","Aves","COLUMBIFORMES","Columbidae","Streptopelia","Streptopelia turtur","Columbiformes","Columbidae","Streptopelia",4,3,0,0,132,43.5,"Woodland",2,"3","Herbivore","Granivore",17578320.62,45.44,42.42,"否","食果实，食种子","2","R",5,2,"Non_endemic","Long_distance_migrant","Plant_seed","Forest_primary",2.12057393120585,3.7954891891722,1.79175946922805,1.09861228866811,1.38629436111989,"Streptopelia_turtur","Streptopelia_turtur"
"Treron sieboldii","Aves","COLUMBIFORMES","Columbidae","Treron","Treron sieboldii","Columbiformes","Columbidae","Treron",9,8,3,1,245,37.6,"Forest",2,"2","Herbivore","Frugivore",2159328.24,28.01,116.78,"否","食果实，食种子","2","RP",13,2,"Non_endemic","Partial_migrant","Fruit_nectar","Forest_primary",2.38916608436453,3.65325227647079,2.63905732961526,1.09861228866811,2.19722457733622,"Treron_sieboldii","Treron_sieboldii"
"Alcedo atthis","Aves","CORACIIFORMES","Alcedinidae","Alcedo","Alcedo atthis","Coraciiformes","Alcedinidae","Alcedo",3,2,0,0,31.09,26.9,"Riverine",2,"1","Carnivore","Aquatic predator",24992154.31,39.55,74.25,"否","食肉","5-7","RS",34,6,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",1.49262072204319,3.32862668882732,3.55534806148941,1.94591014905531,1.09861228866811,"Alcedo_atthis","Alcedo_atthis"
"Alcedo hercules","Aves","CORACIIFORMES","Alcedinidae","Alcedo","Alcedo hercules","Coraciiformes","Alcedinidae","Alcedo",3,2,1,1,62.5,26,"Riverine",2,"1","Carnivore","Aquatic predator",698178.98,22.73,100.19,"否","食虫，食肉","4-6","R",6,5,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",1.79588001734408,3.29583686600433,1.94591014905531,1.79175946922805,1.09861228866811,"Alcedo_hercules","Alcedo_hercules"
"Alcedo meninting","Aves","CORACIIFORMES","Alcedinidae","Alcedo","Alcedo meninting","Coraciiformes","Alcedinidae","Alcedo",3,2,0,0,20.42,25.2,"Riverine",2,"1","Carnivore","Aquatic predator",3655192.84,10.45,101.99,"否","食肉，食虫","5-8","R",1,6.5,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",1.31005573775089,3.26575941076705,0.693147180559945,2.01490302054226,1.09861228866811,"Alcedo_meninting","Alcedo_meninting"
"Ceryle rudis","Aves","CORACIIFORMES","Alcedinidae","Ceryle","Ceryle rudis","Coraciiformes","Alcedinidae","Ceryle",1,0,3,1,84.37,34.5,"Wetland",3,"1","Carnivore","Aquatic predator",23875911.23,7.17,44.36,"否","食肉，食虫","4-5","RS",16,4.5,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",1.92618804910721,3.56953269648137,2.83321334405622,1.70474809223843,0,"Ceryle_rudis","Ceryle_rudis"
"Ceyx erithaca","Aves","CORACIIFORMES","Alcedinidae","Ceyx","Ceyx erithaca","Coraciiformes","Alcedinidae","Ceyx",1,0,0,0,17.79,13.7,"Forest",1,"1","Carnivore","Invertivore",3196823.57,8.98,102.67,"否","食肉","4-7","RV",4,5.5,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.25017594808392,2.68784749378469,1.6094379124341,1.87180217690159,0,"Ceyx_erithaca","Ceyx_erithaca"
"Halcyon coromanda","Aves","CORACIIFORMES","Alcedinidae","Halcyon","Halcyon coromanda","Coraciiformes","Alcedinidae","Halcyon",3,2,1,1,77.5,22.4,"Forest",1,"3","Carnivore","Omnivore",2736822.53,14.22,113.04,"否","食肉，食虫","4-6","RSWP",15,5,"Non_endemic","Long_distance_migrant","Omnivore","Forest_primary",1.88930170250631,3.15273602236366,2.77258872223978,1.79175946922805,1.09861228866811,"Halcyon_coromanda","Halcyon_coromanda"
"Pelargopsis capensis","Aves","CORACIIFORMES","Alcedinidae","Pelargopsis","Pelargopsis capensis","Coraciiformes","Alcedinidae","Pelargopsis",1,0,0,0,178.68,20.1,"Riverine",2,"2","Carnivore","Aquatic predator",5091973.15,13.61,97.66,"否","食肉，食虫","4-5","R",1,4.5,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",2.2520759437998,3.04927304048202,0.693147180559945,1.70474809223843,0,"Pelargopsis_capensis","Pelargopsis_capensis"
"Todiramphus chloris","Aves","CORACIIFORMES","Alcedinidae","Todiramphus","Todiramphus chloris","Coraciiformes","Alcedinidae","Todiramphus",1,0,1,1,66.09,23.8,"Woodland",2,"1","Carnivore","Invertivore",3828153.1,0.66,114.99,"否","食肉，食虫","3-5","V",4,4,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.82013575187043,3.21084365317094,1.6094379124341,1.6094379124341,0,"Todiramphus_chloris","Todiramphus_chloris"
"Coracias garrulus","Aves","CORACIIFORMES","Coraciidae","Coracias","Coracias garrulus","Coraciiformes","Coraciidae","Coracias",2,1,1,1,146,37.5,"Woodland",2,"3","Carnivore","Invertivore",9539437.58,43.92,43.17,"否","食虫，食肉","4-6","S",2,5,"Non_endemic","Long_distance_migrant","Invertebrate","Forest_primary",2.16435285578444,3.65065824129374,1.09861228866811,1.79175946922805,0.693147180559945,"Coracias_garrulus","Coracias_garrulus"
"Eurystomus orientalis","Aves","CORACIIFORMES","Coraciidae","Eurystomus","Eurystomus orientalis","Coraciiformes","Coraciidae","Eurystomus",1,0,0,0,143.02,36.9,"Woodland",2,"3","Carnivore","Invertivore",12922409.59,14.36,121.24,"否","食虫","3-4","SWP",31,3.5,"Non_endemic","Long_distance_migrant","Invertebrate","Forest_primary",2.15539677370485,3.63495111208838,3.46573590279973,1.50407739677627,0,"Eurystomus_orientalis","Eurystomus_orientalis"
"Merops apiaster","Aves","CORACIIFORMES","Meropidae","Merops","Merops apiaster","Coraciiformes","Meropidae","Merops",7,6,0,0,56.6,45.5,"Woodland",2,"3","Carnivore","Invertivore",11028502.02,40.17,44.58,"否","食虫","5-6","S",1,5.5,"Non_endemic","Long_distance_migrant","Invertebrate","Forest_primary",1.75281643118827,3.83945231259331,0.693147180559945,1.87180217690159,1.94591014905531,"Merops_apiaster","Merops_apiaster"
"Merops orientalis","Aves","CORACIIFORMES","Meropidae","Merops","Merops orientalis","Coraciiformes","Meropidae","Merops",7,6,0,0,14.8,35.4,"Shrubland",2,"1","Carnivore","Invertivore",5717891,21.74,84.59,"否","食虫","4-7","S",2,5.5,"Non_endemic","Resident_low","Invertebrate","Non_forest",1.17026171539496,3.5945687746427,1.09861228866811,1.87180217690159,1.94591014905531,"Merops_orientalis","Merops_orientalis"
"Merops ornatus","Aves","CORACIIFORMES","Meropidae","Merops","Merops ornatus","Coraciiformes","Meropidae","Merops",7,6,0,0,29.5,38,"Woodland",3,"3","Carnivore","Invertivore",6451756.43,-25.32,135.56,"否","食虫","4-5","V",1,4.5,"Non_endemic","Long_distance_migrant","Invertebrate","Forest_primary",1.46982201597816,3.66356164612965,0.693147180559945,1.70474809223843,1.94591014905531,"Merops_ornatus","Merops_ornatus"
"Merops persicus","Aves","CORACIIFORMES","Meropidae","Merops","Merops persicus","Coraciiformes","Meropidae","Merops",7,6,0,0,49.3,52,"Desert",3,"3","Carnivore","Invertivore",3658429.52,34.61,52.22,"否","食虫","4-7","V",1,5.5,"Non_endemic","Long_distance_migrant","Invertebrate","Non_forest",1.69284691927723,3.97029191355212,0.693147180559945,1.87180217690159,1.94591014905531,"Merops_persicus","Merops_persicus"
"Merops philippinus","Aves","CORACIIFORMES","Meropidae","Merops","Merops philippinus","Coraciiformes","Meropidae","Merops",7,6,1,1,34,20.3,"Wetland",2,"3","Carnivore","Invertivore",4254463.63,18.69,100.21,"否","食虫","4-7","S",8,5.5,"Non_endemic","Long_distance_migrant","Invertebrate","Non_forest",1.53147891704226,3.05870707271538,2.19722457733622,1.87180217690159,1.94591014905531,"Merops_philippinus","Merops_philippinus"
"Merops viridis","Aves","CORACIIFORMES","Meropidae","Merops","Merops viridis","Coraciiformes","Meropidae","Merops",7,6,0,0,34.8,19.8,"Woodland",2,"1","Carnivore","Invertivore",3204518.18,11.3,108.76,"否","食虫","4","RS",11,4,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.54157924394658,3.03495298670727,2.484906649788,1.6094379124341,1.94591014905531,"Merops_viridis","Merops_viridis"
"Nyctyornis amictus","Aves","CORACIIFORMES","Meropidae","Nyctyornis","Nyctyornis amictus","Coraciiformes","Meropidae","Nyctyornis",2,1,0,0,71.89,17.6,"Forest",1,"1","Carnivore","Invertivore",1492016.66,1.98,107.61,"否","食虫","NA","R",1,NA,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.85666848361154,2.92316158071916,0.693147180559945,NA,0.693147180559945,"Nyctyornis_amictus","Nyctyornis_amictus"
"Cacomantis merulinus","Aves","CUCULIFORMES","Cuculidae","Cacomantis","Cacomantis merulinus","Cuculiformes","Cuculidae","Cacomantis",2,1,1,1,25.3,32.5,"Woodland",2,"1","Carnivore","Invertivore",5031778.72,13.43,105.48,"否","食虫","1","RSV",15,1,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.40312052117582,3.51154543883102,2.77258872223978,0.693147180559945,0.693147180559945,"Cacomantis_merulinus","Cacomantis_merulinus"
"Cacomantis sonneratii","Aves","CUCULIFORMES","Cuculidae","Cacomantis","Cacomantis sonneratii","Cuculiformes","Cuculidae","Cacomantis",2,1,0,0,33.8,33.3,"Forest",1,"1","Carnivore","Invertivore",4946192.25,13.43,96.57,"否","食虫","1","S",3,1,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.52891670027765,3.53514535417189,1.38629436111989,0.693147180559945,0.693147180559945,"Cacomantis_sonneratii","Cacomantis_sonneratii"
"Centropus bengalensis","Aves","CUCULIFORMES","Cuculidae","Centropus","Centropus bengalensis","Cuculiformes","Cuculidae","Centropus",2,1,4,1,148.91,18.6,"Grassland",2,"1","Carnivore","Invertivore",6030216.39,14.75,105.79,"否","食虫","3-5","R",19,4,"Non_endemic","Resident_low","Invertebrate","Non_forest",2.17292386362854,2.97552956623647,2.99573227355399,1.6094379124341,0.693147180559945,"Centropus_bengalensis","Centropus_bengalensis"
"Centropus sinensis","Aves","CUCULIFORMES","Cuculidae","Centropus","Centropus sinensis","Cuculiformes","Cuculidae","Centropus",2,1,0,0,280.7,14.6,"Woodland",2,"1","Carnivore","Vertivore",7931391.58,18,93.56,"否","食虫，食肉","3-5","R",14,4,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",2.44824241263444,2.74727091425549,2.70805020110221,1.6094379124341,0.693147180559945,"Centropus_sinensis","Centropus_sinensis"
"Chrysococcyx maculatus","Aves","CUCULIFORMES","Cuculidae","Chrysococcyx","Chrysococcyx maculatus","Cuculiformes","Cuculidae","Chrysococcyx",2,1,0,0,27.38,44.3,"Forest",1,"1","Carnivore","Invertivore",1869561.64,24.16,100.65,"否","食虫","1","RS",9,1,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.43743344379797,3.81330703248899,2.30258509299405,0.693147180559945,0.693147180559945,"Chrysococcyx_maculatus","Chrysococcyx_maculatus"
"Chrysococcyx xanthorhynchus","Aves","CUCULIFORMES","Cuculidae","Chrysococcyx","Chrysococcyx xanthorhynchus","Cuculiformes","Cuculidae","Chrysococcyx",2,1,0,0,22.37,41,"Forest",1,"1","Carnivore","Invertivore",2956376.12,8.64,106.16,"否","食虫","1","R",1,1,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.34966598409663,3.73766961828337,0.693147180559945,0.693147180559945,0.693147180559945,"Chrysococcyx_xanthorhynchus","Chrysococcyx_xanthorhynchus"
"Clamator coromandus","Aves","CUCULIFORMES","Cuculidae","Clamator","Clamator coromandus","Cuculiformes","Cuculidae","Clamator",2,1,3,1,74.59,26.4,"Woodland",2,"3","Carnivore","Invertivore",5851485.76,24.55,100.85,"否","食虫","2","RSPV",25,2,"Non_endemic","Long_distance_migrant","Invertebrate","Forest_primary",1.87268060715193,3.31054301339402,3.25809653802148,1.09861228866811,0.693147180559945,"Clamator_coromandus","Clamator_coromandus"
"Cuculus canorus","Aves","CUCULIFORMES","Cuculidae","Cuculus","Cuculus canorus","Cuculiformes","Cuculidae","Cuculus",5,4,0,0,111.36,43.9,"Forest",2,"3","Carnivore","Invertivore",37338142.79,49.44,81.5,"否","食虫","1","SP",33,1,"Non_endemic","Long_distance_migrant","Invertebrate","Forest_primary",2.04672922226649,3.80443779474821,3.52636052461616,0.693147180559945,1.6094379124341,"Cuculus_canorus","Cuculus_canorus"
"Cuculus micropterus","Aves","CUCULIFORMES","Cuculidae","Cuculus","Cuculus micropterus","Cuculiformes","Cuculidae","Cuculus",5,4,0,0,88.75,45.1,"Forest",1,"1","Carnivore","Invertivore",10050685.23,25.25,107.12,"否","食虫","1","RSV",31,1,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.94816836172713,3.8308129500026,3.46573590279973,0.693147180559945,1.6094379124341,"Cuculus_micropterus","Cuculus_micropterus"
"Cuculus poliocephalus","Aves","CUCULIFORMES","Cuculidae","Cuculus","Cuculus poliocephalus","Cuculiformes","Cuculidae","Cuculus",5,4,0,0,46.56,48.3,"Forest",1,"3","Carnivore","Invertivore",5291320.75,32.14,112.09,"否","食虫","1","RSP",31,1,"Non_endemic","Long_distance_migrant","Invertebrate","Forest_primary",1.66801297164183,3.89792408104864,3.46573590279973,0.693147180559945,1.6094379124341,"Cuculus_poliocephalus","Cuculus_poliocephalus"
"Cuculus saturatus","Aves","CUCULIFORMES","Cuculidae","Cuculus","Cuculus saturatus","Cuculiformes","Cuculidae","Cuculus",5,4,0,0,87,47.8,"Forest",1,"3","Carnivore","Invertivore",16826585.93,52.86,104.25,"否","食虫","1","S",24,1,"Non_endemic","Long_distance_migrant","Invertebrate","Forest_primary",1.93951925261862,3.8877303128591,3.2188758248682,0.693147180559945,1.6094379124341,"Cuculus_saturatus","Cuculus_saturatus"
"Eudynamys scolopaceus","Aves","CUCULIFORMES","Cuculidae","Eudynamys","Eudynamys scolopaceus","Cuculiformes","Cuculidae","Eudynamys",1,0,4,1,194.92,31.4,"Woodland",2,"2","Herbivore","Frugivore",9692360.68,19.56,97.74,"否","杂食性","1","RSP",25,1,"Non_endemic","Partial_migrant","Fruit_nectar","Forest_primary",2.28985640270926,3.47815842279828,3.25809653802148,0.693147180559945,0,"Eudynamys_scolopaceus","Eudynamys_scolopaceus"
"Phaenicophaeus tristis","Aves","CUCULIFORMES","Cuculidae","Phaenicophaeus","Phaenicophaeus tristis","Cuculiformes","Cuculidae","Phaenicophaeus",1,0,0,0,117,16,"Forest",1,"1","Carnivore","Invertivore",4373319.66,18.67,98.34,"否","食虫","2-4","R",5,3,"Non_endemic","Resident_low","Invertebrate","Forest_primary",2.06818586174616,2.83321334405622,1.79175946922805,1.38629436111989,0,"Phaenicophaeus_tristis","Phaenicophaeus_tristis"
"Surniculus lugubris","Aves","CUCULIFORMES","Cuculidae","Surniculus","Surniculus lugubris","Cuculiformes","Cuculidae","Surniculus",1,0,0,0,29.7,33.3,"Forest",2,"1","Carnivore","Invertivore",1789081.99,4.43,106.15,"否","食虫","1","RSP",16,1,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.47275644931721,3.53514535417189,2.83321334405622,0.693147180559945,0,"Surniculus_lugubris","Surniculus_lugubris"
"Falco amurensis","Aves","FALCONIFORMES","Falconidae","Falco","Falco amurensis","Falconiformes","Falconidae","Falco",10,9,0,0,141.87,52.9,"Grassland",3,"3","Carnivore","Invertivore",2793291.94,47.59,124.66,"否","食虫，食肉","4","RSWP",33,4,"Non_endemic","Long_distance_migrant","Invertebrate","Non_forest",2.15189056873509,3.98713047791495,3.52636052461616,1.6094379124341,2.30258509299405,"Falco_amurensis","Falco_amurensis"
"Falco cherrug","Aves","FALCONIFORMES","Falconidae","Falco","Falco cherrug","Falconiformes","Falconidae","Falco",10,9,1,1,961.21,49.9,"Grassland",3,"3","Carnivore","Vertivore",11514254.26,46.79,77.96,"否","食肉","3-5","RSWP",17,4,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",2.9828182803614,3.92986292355648,2.89037175789616,1.6094379124341,2.30258509299405,"Falco_cherrug","Falco_cherrug"
"Falco columbarius","Aves","FALCONIFORMES","Falconidae","Falco","Falco columbarius","Falconiformes","Falconidae","Falco",10,9,0,0,188.5,48.9,"Woodland",3,"3","Carnivore","Vertivore",26326086.22,58.48,16.49,"否","食肉，食虫","3-4","SWP",29,3.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",2.27531135454181,3.91002100275747,3.40119738166216,1.50407739677627,2.30258509299405,"Falco_columbarius","Falco_columbarius"
"Falco naumanni","Aves","FALCONIFORMES","Falconidae","Falco","Falco naumanni","Falconiformes","Falconidae","Falco",10,9,0,0,152.06,53.9,"Grassland",3,"3","Carnivore","Invertivore",9560575.62,44.83,68.24,"否","食虫，食肉","4-5","SWP",19,4.5,"Non_endemic","Long_distance_migrant","Invertebrate","Non_forest",2.18201498615073,4.00551334851548,2.99573227355399,1.70474809223843,2.30258509299405,"Falco_naumanni","Falco_naumanni"
"Falco peregrinus","Aves","FALCONIFORMES","Falconidae","Falco","Falco peregrinus","Falconiformes","Falconidae","Falco",10,9,0,0,759.95,52.2,"Grassland",3,"2","Carnivore","Vertivore",38088662.45,50.28,21.82,"否","食肉","2-4","RWPV",33,3,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",2.88078501933549,3.9740583963476,3.52636052461616,1.38629436111989,2.30258509299405,"Falco_peregrinus","Falco_peregrinus"
"Falco rusticolus","Aves","FALCONIFORMES","Falconidae","Falco","Falco rusticolus","Falconiformes","Falconidae","Falco",10,9,0,0,1431.72,47.5,"Grassland",3,"3","Carnivore","Vertivore",8809463.94,68.74,6.83,"否","食肉","3-4","S",6,3.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.15585809175327,3.88156379794344,1.94591014905531,1.50407739677627,2.30258509299405,"Falco_rusticolus","Falco_rusticolus"
"Falco subbuteo","Aves","FALCONIFORMES","Falconidae","Falco","Falco subbuteo","Falconiformes","Falconidae","Falco",10,9,0,0,208.17,57.8,"Woodland",3,"3","Carnivore","Invertivore",28255832.68,50.34,78.26,"否","食肉，食虫","3","SWP",33,3,"Non_endemic","Long_distance_migrant","Invertebrate","Forest_primary",2.31841814220994,4.07414185490458,3.52636052461616,1.38629436111989,2.30258509299405,"Falco_subbuteo","Falco_subbuteo"
